Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.2271,1.416430478,0.122644139,0.200399995,1.45085735,0.128046795,0.256099999,1.463310939,0.121469951,0.217700005,1.4403842,0.130163524,0.247700006,1.415238335,0.129818972,0.27610001,1.403311299,0.137665841,0.237599999,1.402361203,0.142072574,0.237800002,1.429986481,0.126841573,0.267199993,1.436562709,0.131002001,0.214900002,2.180588906,0.142020912,0.234899998,1.459968785,0.11238274,0.253199995,1.405051234,0.125595195,0.2104,1.409346735,0.118775655,0.226600006,1.460700251,0.131552652,0.2042,2.163322557,0.126615426,0.276899993,1.399680144,0.117470047,0.264299989,1.877144401,0.12799407,0.28549999,1.38206201,0.126725121,0.222599998,1.398434222,0.120998552,0.225199997,1.370309736,0.119143617,0.252499998,1.410584513,0.118718887,0.291099995,1.408575411,0.132023211,0.216900006,1.379483384,0.119677288,0.225899994,1.428130242,0.127137316,0.213200003,1.45165698,0.119882806,0.25909999,1.379584984,0.123449519,0.286799997,1.398384112,0.127486025,0.270599991,2.203331978,0.120877289,0.238900006,1.39061174,0.134523217,0.290899992,1.51953656,0.118320828,0.260399997,1.372783916,0.130746065,0.281300008,1.42172228,0.114473943,0.229000002,1.394623783,0.116899177,0.241600007,1.370389712,0.119317468,0.189999998,1.531132315,0.122323924,0.251100004,1.405672327,0.128275403,0.265300006,2.194300341,0.147726605,0.201900005,1.389787332,0.124706471,0.278299987,1.403218743,0.129625603,0.258100003,1.423744604,0.119784721,0.289499998,1.71997847,0.124502154,0.246700004,1.452299477,0.11851443,0.2861,1.3736931,0.127291427,0.234300002,1.381778239,0.123313983,0.261500001,1.928784246,0.123277345,0.289799988,1.430398689,0.122752422,0.237299994,1.394655346,0.117416556,0.253199995,1.426582671,0.159475261,0.219600007,1.491191432,0.129483613,0.278200001,1.416278489,0.122595818,0.2271,1.416430478,0.122644139
1,0.323799998,1.434994475,0.115476426,0.323399991,1.435442874,0.127268157,0.301499993,1.451995736,0.125094473,0.297500014,1.426215099,0.113882307,0.328599989,1.447409355,0.117022713,0.351500005,1.423733862,0.116883298,0.309399992,1.400867558,0.124779981,0.304199994,1.470604973,0.128626596,0.292499989,1.437682993,0.118283571,0.327800006,1.439917082,0.13456164,0.303200006,1.429560016,0.125191641,0.323700011,1.412876413,0.121620839,0.266799986,1.441461708,0.112355744,0.322600007,1.412679746,0.116353088,0.306800008,1.423348449,0.116826443,0.308400005,1.461881338,0.122667869,0.311100006,1.417201751,0.116136332,0.320100009,1.416785235,0.121901503,0.289299995,1.393525634,0.125080238,0.261099994,1.45948317,0.125445743,0.323500007,1.40733906,0.11696229,0.295599997,1.41489954,0.115938791,0.300799996,1.432037302,0.114619892,0.288800001,1.382438131,0.117223643,0.327300012,1.460107357,0.116051983,0.333900005,1.466508767,0.116565684,0.294699997,1.435489298,0.130126452,0.296999991,1.399246965,0.122517014,0.309599996,1.495334971,0.119503597,0.32069999,1.404198632,0.146381915,0.324400008,1.463163746,0.125944731,0.325399995,1.433910241,0.130121144,0.337099999,1.427390227,0.117791523,0.285400003,1.428420102,0.13431639,0.275000006,2.489248724,0.125205781,0.297500014,2.809734459,0.117752745,0.285100013,1.392376834,0.142815194,0.324800014,1.396262236,0.140727271,0.323199987,1.52646634,0.116640639,0.326000005,1.420166861,0.124913159,0.33829999,1.402356451,0.127738855,0.277099997,1.415161286,0.121487713,0.301299989,2.757519252,0.114973102,0.300700009,1.447248486,0.128448913,0.325199991,1.457318965,0.124432372,0.32159999,1.47793334,0.113998352,0.301899999,1.420561885,0.148180212,0.298200011,1.507691626,0.135154439,0.323000014,1.466117405,0.118326317,0.312099993,1.45421911,0.1198792,0.323799998,1.434994475,0.115476426
2,0.363200009,1.386093463,0.122875216,0.363599986,1.396127368,0.136647804,0.339300007,1.471146203,0.135176341,0.3495,1.556250432,0.125379723,0.345299989,1.465345138,0.128196394,0.358999997,1.491701362,0.129583814,0.306100011,1.475441013,0.128182089,0.344500005,1.428197546,0.141709122,0.324099988,2.961323075,0.142084318,0.376899987,1.451628235,0.135388698,0.344199985,1.43213219,0.134444609,0.337300003,1.447703169,0.122928682,0.322699994,1.411114038,0.150602318,0.364499986,1.491254632,0.125403608,0.35679999,1.457968935,0.136595948,0.354999989,1.544350506,0.125061826,0.347000003,1.464681851,0.136237064,0.351599991,1.454915875,0.12319688,0.3134,1.434932573,0.124029801,0.32190001,1.431278852,0.123242564,0.359499991,3.335930588,0.128399961,0.351599991,1.392699406,0.133842191,0.356000006,1.411645967,0.137601938,0.329400003,1.388515993,0.126784499,0.362599999,1.394792519,0.122199322,0.375999987,1.374347646,0.13156715,0.334100008,1.428090858,0.125707437,0.349000007,1.420761836,0.126682459,0.318399996,1.420053799,0.129436123,0.344000012,1.465046336,0.136275453,0.362800002,1.442084428,0.128135283,0.34830001,1.444040761,0.133059074,0.364100009,1.402955196,0.128546349,0.31220001,1.506476858,0.122009093,0.344099998,1.391238244,0.130833225,0.349799991,1.429594304,0.128925788,0.340600014,1.458554663,0.149294295,0.350199997,1.436822222,0.127252142,0.35679999,1.486349962,0.121809296,0.362399995,3.208262398,0.133332031,0.372200012,1.462486737,0.133131558,0.304199994,1.407259156,0.124410239,0.336600006,1.50508038,0.134350617,0.328500003,1.506669065,0.129321181,0.337500006,1.467763704,0.143352929,0.361699998,1.45746738,0.128414457,0.344500005,1.479266327,0.127475456,0.340999991,1.467203515,0.136683717,0.351799995,1.463102011,0.122496629,0.355199993,1.427406237,0.127756211,0.363200009,1.386093463,0.122875216
3,0.382699996,1.480765747,0.13461365,0.3917,1.462647066,0.121102712,0.374900013,1.452393113,0.130564256,0.380100012,1.452011141,0.122649524,0.369399995,1.397364832,0.147676203,0.378800005,1.490916932,0.134535612,0.326599985,1.433260124,0.133479763,0.371899992,1.500475078,0.13279277,0.360300004,1.472261785,0.130368767,0.385899991,1.435998512,0.124690919,0.379900008,1.458333166,0.138593881,0.370599985,1.504793241,0.121921565,0.333900005,1.439991482,0.132467868,0.38499999,1.470032327,0.12869501,0.377999991,1.440303369,0.134085253,0.381799996,1.470285921,0.119343009,0.379500002,1.463350532,0.136087454,0.357199997,1.422449725,0.122671565,0.365099996,1.539111366,0.136391461,0.35679999,1.481125423,0.119543833,0.386900008,1.44358882,0.12306196,0.365999997,1.499510193,0.137374763,0.371499985,1.458192458,0.122148505,0.36559999,1.431362268,0.124654256,0.381900012,1.459106098,0.122382231,0.391200006,1.403498876,0.141369876,0.367900014,1.443525694,0.127677731,0.376100004,1.46596666,0.134003594,0.334500015,1.418892897,0.140129752,0.369899988,1.413858037,0.118144003,0.372099996,1.466176534,0.125885691,0.373600006,1.44650493,0.137532703,0.38319999,1.453213243,0.121829346,0.345299989,1.393001862,0.137489163,0.356999993,1.434667709,0.127055391,0.379000008,1.448444608,0.132109588,0.366899997,1.393502205,0.127136748,0.372299999,1.384407598,0.132661251,0.37470001,1.407424726,0.126787468,0.380199999,1.444342502,0.119717315,0.385199994,1.420300451,0.122777539,0.346599996,1.399692014,0.130484271,0.360599995,1.41880952,0.129365507,0.350300014,1.398054956,0.125463142,0.366600007,1.434002465,0.13625191,0.384499997,1.442856288,0.152171782,0.35710001,1.387626665,0.15478532,0.363299996,1.426651654,0.118627709,0.366100013,1.423001097,0.143291679,0.383700013,1.434900936,0.133930653,0.382699996,1.480765747,0.13461365
4,0.389699996,1.455316204,0.126641871,0.408699989,1.458539083,0.150840736,0.395099998,1.418085729,0.120768391,0.3935,1.414250887,0.123463238,0.391099989,1.489464956,0.127799765,0.39199999,1.513961746,0.151613316,0.3389,1.444722951,0.126485472,0.389600009,1.524294256,0.121254433,0.388399988,1.45526034,0.134270566,0.400299996,1.465766076,0.12302833,0.394800007,1.429567807,0.147493156,0.394300014,1.480247291,0.127826978,0.344399989,1.453957757,0.141976635,0.4014,1.425235978,0.127219327,0.392399997,1.461182497,0.134163491,0.392199993,1.435026957,0.125712903,0.400599986,1.405958402,0.127162027,0.369899988,1.461978685,0.128033715,0.377799988,1.448165027,0.122700267,0.386700004,1.41720801,0.131874062,0.3935,1.424107707,0.129934535,0.372099996,1.469252313,0.131184611,0.38440001,1.429385306,0.133198375,0.388700008,3.145217918,0.131085504,0.402999997,1.498256425,0.1274828,0.405699998,1.461298629,0.127371699,0.390700012,1.482870088,0.135734939,0.397399992,1.467868558,0.136139338,0.362500012,1.434074286,0.119767968,0.396899998,1.428093125,0.123950661,0.395399988,1.479395906,0.123832541,0.378300011,1.400608614,0.128636615,0.401300013,1.451358252,0.122418513,0.370900005,1.414097227,0.131921089,0.385600001,1.417244559,0.131228086,0.399800003,1.454887957,0.129828765,0.379700005,1.496617131,0.145683846,0.396899998,1.40857051,0.1232222,0.38319999,1.451394609,0.14261284,0.394300014,1.465938721,0.128814637,0.401800007,1.42654187,0.13081178,0.371800005,1.42456076,0.125964575,0.380699992,1.424996881,0.121645415,0.366100013,1.473286249,0.137205925,0.379400015,1.46354489,0.124039271,0.402200013,1.460786508,0.12172087,0.362300009,1.439521709,0.124542699,0.389499992,3.240238313,0.129004623,0.388300002,1.430118278,0.133934875,0.40200001,1.435726056,0.117107171,0.389699996,1.455316204,0.126641871
5,0.409200013,1.469033222,0.127317436,0.423599988,1.461026402,0.127462903,0.412900001,1.415868213,0.129570895,0.40990001,1.433376475,0.140915491,0.4102,1.476288903,0.139096263,0.40200001,1.433581654,0.133469729,0.3741,1.459966359,0.136998299,0.403899997,1.453864502,0.133860974,0.400299996,1.436592654,0.126176211,0.403600007,1.435450905,0.130441423,0.413199991,1.440931347,0.123930987,0.416299999,1.480234512,0.136357609,0.361699998,1.438049891,0.128151635,0.409700006,1.45873478,0.132858745,0.409000009,1.452045731,0.132061625,0.409099996,1.426574931,0.132075687,0.415399998,1.424554488,0.134547054,0.397399992,1.46488495,0.148832688,0.400000006,1.40013749,0.135264649,0.395500004,1.456495207,0.123162813,0.403100014,1.438580613,0.123916531,0.388500005,1.594194176,0.123825604,0.390700012,3.455305082,0.134003072,0.396400005,1.460456271,0.127183748,0.404700011,1.465326452,0.134734931,0.406500012,1.408983359,0.130760666,0.401300013,1.430790212,0.151670571,0.407499999,1.482320835,0.123568152,0.38319999,1.466083021,0.130581187,0.40290001,1.474637042,0.131029663,0.404500008,1.41629847,0.119059747,0.387300014,1.407440003,0.129049143,0.408499986,1.407379381,0.121101923,0.381399989,3.271109919,0.139370412,0.399800003,1.417339273,0.126024968,0.405400008,1.423254588,0.131771827,0.401899993,1.421127107,0.149299017,0.403100014,1.441517823,0.125503845,0.39410001,1.420487571,0.125916466,0.410100013,1.45052826,0.131402951,0.420300007,1.458368198,0.134294369,0.398600012,1.477937288,0.128580907,0.388200015,1.393788842,0.126573813,0.384200007,1.416386046,0.135551974,0.4014,1.441424012,0.122627634,0.413599998,1.464399363,0.134910883,0.389200002,3.166165367,0.1271252,0.392800003,1.494076841,0.12702585,0.403400004,1.511042676,0.134901778,0.412200004,1.411224461,0.127436934,0.409200013,1.469033222,0.127317436
6,0.419099987,1.456656126,0.130414762,0.42899999,1.477573408,0.135245797,0.429699987,1.430774739,0.122639379,0.418900013,1.430854192,0.130567855,0.423799992,1.479131706,0.130950813,0.410899997,1.504637615,0.126533753,0.394600004,1.467315916,0.132604248,0.413500011,1.478485018,0.132098251,0.409200013,1.515537188,0.159789509,0.42019999,1.57617093,0.138665844,0.426400006,1.442996291,0.130199586,0.426600009,1.43965946,0.13982898,0.387499988,1.474063561,0.13856924,0.414900005,1.422948123,0.127718784,0.4199,1.492058128,0.128446985,0.423299998,1.411489178,0.1259009,0.422899991,1.405802928,0.133037899,0.41139999,1.453801202,0.135179442,0.405800015,1.473508335,0.129962972,0.390199989,1.42601516,0.158756352,0.416900009,1.444935454,0.138785436,0.402999997,1.455080671,0.123926135,0.399800003,1.452639299,0.139228961,0.406800002,1.564195801,0.131277378,0.412200004,1.482289699,0.131418677,0.415100008,1.459839024,0.136744271,0.407999992,1.476642207,0.129948104,0.417699993,1.42660927,0.133390028,0.399599999,1.454197118,0.135498187,0.410899997,1.495080161,0.126922305,0.412200004,1.454029617,0.134632075,0.406199992,1.480649891,0.144403677,0.411500007,1.429210642,0.120609838,0.393700004,1.546445196,0.13806392,0.412699997,3.204576035,0.127017329,0.421499997,1.50712637,0.127712711,0.412,1.433940182,0.150198056,0.412900001,1.467528556,0.12864932,0.397899985,1.483780038,0.123588545,0.426699996,1.397241684,0.125277838,0.425500005,1.408126961,0.133860994,0.414900005,1.556535889,0.130658433,0.40079999,1.483357041,0.127060664,0.400200009,1.439764867,0.12245806,0.417899996,1.497259945,0.129276152,0.4296,1.512669089,0.150987622,0.397399992,1.480488404,0.136174446,0.40990001,1.495944372,0.131213264,0.414099991,1.486683795,0.125048744,0.425099999,3.279355628,0.135456831,0.419099987,1.456656126,0.130414762
7,0.427399993,1.453667933,0.12139456,0.440600008,1.47370485,0.12265673,0.440400004,3.469313517,0.119364408,0.428299993,1.446130284,0.126841619,0.431400001,1.476882276,0.125874269,0.421600014,1.479488088,0.14388101,0.404599994,1.509076532,0.129889166,0.424199998,1.487094041,0.127597005,0.415300012,1.432339058,0.124455849,0.430200011,1.526417397,0.12919108,0.441100001,1.469368133,0.138049859,0.434500009,1.456545456,0.122361774,0.398499995,1.435054433,0.129337547,0.42899999,1.418356226,0.123791689,0.422399998,1.452227684,0.124460179,0.438699991,1.439660369,0.129691461,0.432999998,1.450307507,0.127466491,0.422699988,1.414269953,0.140008605,0.414400011,1.423530316,0.122636303,0.411300004,1.416003251,0.127344741,0.428799987,1.458722525,0.123714872,0.417199999,1.456007136,0.123332971,0.408800006,1.521881961,0.122524341,0.419800013,1.450233015,0.121114836,0.423999995,1.479332437,0.123502568,0.423299998,1.468706153,0.12391056,0.415899992,1.418290413,0.124346886,0.435499996,1.449404202,0.128016456,0.413399994,1.446537629,0.12857048,0.432900012,1.485865489,0.127720027,0.41870001,1.442328527,0.124060833,0.421400011,1.440902133,0.133111905,0.417800009,1.4254932,0.125137108,0.405600011,1.475587156,0.124385544,0.4111,1.452629148,0.133767401,0.428799987,1.459353318,0.130200902,0.416599989,1.435109545,0.143339624,0.426600009,1.550635383,0.121866313,0.403400004,3.478616136,0.11975234,0.432799995,1.517968872,0.125173508,0.437000006,1.402656704,0.131340267,0.423200011,1.489332479,0.132816763,0.409799993,1.501161903,0.133842162,0.416799992,1.50038391,0.124783169,0.426099986,1.489495968,0.127303116,0.437299997,1.486607245,0.152543852,0.407299995,1.513804356,0.128351498,0.415699989,1.520046802,0.123881304,0.426800013,1.544240948,0.125884583,0.433400005,1.531579845,0.135691574,0.427399993,1.453667933,0.12139456
8,0.425999999,1.469368459,0.136438363,0.450199991,1.482204915,0.157649328,0.450399995,3.83704718,0.132476368,0.435900003,1.429420807,0.127388702,0.441599995,1.468763804,0.134098119,0.422699988,1.447611092,0.149359859,0.425399989,1.534812838,0.134930432,0.436399996,1.470542965,0.130793289,0.426099986,1.503011139,0.148697409,0.444299996,1.602980963,0.154089004,0.449200004,1.433567602,0.136145355,0.440200001,1.441494839,0.137662459,0.411199987,1.443942147,0.139502373,0.439099997,1.458876351,0.123173647,0.432399988,1.523930372,0.123551476,0.443500012,1.449615552,0.13171938,0.4384,1.510781978,0.133596546,0.433299989,1.42365117,0.131682694,0.415600002,1.478062513,0.124557757,0.403100014,1.451396367,0.137433364,0.433400005,1.4580955,0.142066473,0.422600001,1.45107894,0.133406331,0.413100004,1.574447609,0.129991316,0.430900007,1.477103622,0.127244028,0.431300014,1.502670062,0.132746773,0.431199998,1.477360793,0.125948188,0.4296,1.422738149,0.137977222,0.444599986,1.489760143,0.151744442,0.423000008,1.495217635,0.136835021,0.441500008,1.469268516,0.128611215,0.435299993,1.461327132,0.137969521,0.428600013,1.464144322,0.125149173,0.422399998,1.448185065,0.122858462,0.416000009,1.469984841,0.131724599,0.423799992,1.517705242,0.142136226,0.437099993,1.451437527,0.129891805,0.428499997,3.872556829,0.141125946,0.435000002,1.510293602,0.137632308,0.419699997,4.052719711,0.141666058,0.443899989,1.430614292,0.134069177,0.441399992,1.476033445,0.132528144,0.431499988,1.463309375,0.136205798,0.415899992,1.549789034,0.135660267,0.423000008,1.426142082,0.134206021,0.435200006,1.530300228,0.13415221,0.44600001,1.49408363,0.137466768,0.421600014,1.582517613,0.139737935,0.427100003,1.509255774,0.129536448,0.433299989,1.509343338,0.151115541,0.440200001,1.606709784,0.145900201,0.426,1.469368459,0.136438363
9,0.436800003,1.437255549,0.147747718,0.452800006,1.513904717,0.140429979,0.455300003,3.904753074,0.135726844,0.43810001,1.426337415,0.14045491,0.447699994,1.459517693,0.147366744,0.441000015,1.423967725,0.140743559,0.426999986,1.46590912,0.140020654,0.439900011,1.454767873,0.171184586,0.425599992,1.420540478,0.134160117,0.45480001,1.534609318,0.141510288,0.458799988,1.473272256,0.14888769,0.44600001,1.475120661,0.150111418,0.419800013,1.520554893,0.14760572,0.4463,1.404953021,0.142396398,0.435299993,1.463723381,0.164358372,0.446399987,1.435720576,0.139771848,0.44749999,1.463728367,0.136016467,0.444700003,1.465267878,0.13318208,0.42719999,1.481023738,0.139043285,0.407999992,1.42467337,0.138372518,0.446700007,1.468386043,0.147659552,0.426699996,1.450923838,0.139673377,0.416500002,1.565966397,0.142548623,0.436399996,1.511873058,0.167817214,0.447600007,1.472767639,0.143305858,0.435799986,1.427082801,0.148443989,0.444900006,1.432948896,0.139899379,0.451999992,1.533827644,0.136368805,0.431499988,1.521443314,0.140115103,0.454899997,1.486730569,0.141438311,0.4463,1.45538732,0.143466614,0.434700012,1.470300942,0.14818075,0.430500001,1.608403887,0.156479884,0.431100011,1.503491419,0.146548439,0.431699991,1.485136426,0.141854513,0.445499986,1.462250797,0.159796394,0.439500004,3.679344202,0.175548209,0.440800011,1.538097196,0.140896708,0.433800012,1.597367402,0.142886508,0.450100005,1.493991395,0.14774861,0.449200004,1.446694147,0.130877852,0.444799989,1.623938678,0.147975951,0.415300012,1.50235133,0.149604125,0.427100003,3.915693832,0.141808534,0.446999997,1.436385303,0.140668255,0.450500011,1.43327666,0.137462215,0.436800003,1.505465654,0.135771194,0.435299993,1.49221146,0.14861068,0.448399991,1.477579324,0.14475881,0.448700011,1.545862664,0.141091226,0.4368,1.437255549,0.147747718
