Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.638599992,1.622306919,0.102881292,0.716099977,1.580814212,0.127741439,0.693899989,1.615669018,0.1128205,0.656000018,1.617541207,0.101863819,0.660899997,1.586594172,0.111553105,0.701399982,1.620457635,0.105991093,0.689899981,1.604862017,0.102440777,0.658599973,1.592825097,0.105974458,0.701900005,1.616912784,0.101574657,0.655499995,1.619456129,0.108927844,0.718800008,1.625414135,0.10804275,0.653500021,1.607074507,0.099607918,0.688399971,2.35786437,0.104248944,0.695800006,2.153015787,0.10481468,0.692900002,1.61240686,0.102518111,0.681800008,1.599675273,0.123253989,0.689100027,1.612842528,0.11167244,0.693099976,1.590426816,0.113262848,0.670700014,1.613405321,0.115216271,0.667699993,1.589822492,0.10085293,0.644900024,1.613783186,0.104308539,0.657299995,1.599181009,0.105124481,0.71359998,1.617630297,0.102495631,0.690699995,1.58860177,0.100444415,0.691600025,1.576273876,0.102678433,0.655700028,1.642870584,0.117662754,0.688399971,1.61151306,0.105592121,0.676999986,1.592212481,0.103329141,0.682799995,1.657489078,0.10485995,0.695299983,1.643634344,0.10966353,0.67049998,1.629762148,0.114344273,0.665499985,1.652865178,0.11618594,0.714600027,1.627661185,0.094833025,0.611599982,1.644237285,0.100940905,0.677999973,1.69791695,0.102130859,0.638400018,1.602291334,0.099386652,0.669200003,5.320187937,0.112697761,0.675999999,1.640297968,0.110793726,0.662400007,1.60993795,0.102377064,0.66140002,1.619637836,0.10892125,0.720300019,1.655625421,0.104653047,0.675999999,1.590446583,0.121643478,0.687699974,1.619053175,0.117821887,0.713400006,1.595783519,0.112112722,0.683499992,2.087491212,0.101928944,0.674600005,1.60600029,0.110898924,0.695599973,1.65181303,0.113587905,0.630900025,1.593552544,0.101384388,0.67110002,1.618648128,0.105526729,0.695900023,1.635343619,0.102809531,0.638599992,1.622306919,0.102881292
1,0.680000007,1.698695928,0.119295534,0.694599986,1.648770775,0.104166671,0.730499983,1.602453882,0.123479994,0.727900028,1.69060942,0.100533027,0.744400024,3.781693587,0.116851939,0.731599987,3.442456143,0.115604405,0.722599983,1.655313435,0.104498044,0.723399997,1.603107475,0.112438955,0.738399982,1.633569225,0.104082548,0.719699979,1.612462065,0.104191719,0.735199988,1.645449914,0.11415431,0.70480001,1.670947491,0.099519757,0.739799976,1.617214503,0.104017726,0.703999996,1.652555992,0.10361784,0.723999977,1.613512613,0.099285094,0.701300025,1.686282856,0.102748134,0.7403,1.622466419,0.124583214,0.725899994,1.621232427,0.108221716,0.712800026,1.616765696,0.10311159,0.692399979,1.606351064,0.104663937,0.709599972,1.612651407,0.107665882,0.698400021,1.594735996,0.102776515,0.745299995,1.672585715,0.113431831,0.7324,1.603050098,0.105953608,0.736699998,1.634721376,0.100713036,0.719799995,1.663420174,0.135715587,0.734899998,1.652005414,0.111908732,0.708299994,3.566868702,0.102733323,0.700600028,1.603170342,0.101564054,0.732900023,1.601489725,0.110018061,0.726899981,3.301333083,0.117267082,0.70450002,1.756972021,0.10588748,0.722299993,1.616221174,0.106106024,0.708500028,1.591460503,0.097702992,0.714600027,1.612787856,0.10471876,0.695100009,1.613903403,0.105288489,0.731999993,1.623778181,0.126854972,0.729399979,1.590346554,0.117491864,0.673699975,1.641315827,0.111823611,0.681900024,1.682517621,0.10650328,0.744700015,1.653575633,0.105185995,0.703299999,1.642427897,0.105182969,0.736100018,1.600213395,0.106352758,0.743200004,1.631555346,0.112375615,0.704100013,1.603619274,0.132795936,0.701600015,1.596201367,0.107805987,0.731999993,1.605903289,0.107255929,0.73210001,1.629265411,0.107140586,0.71420002,1.633941246,0.108908235,0.709100008,1.598709725,0.10309676,0.680000007,1.698695928,0.119295534
2,0.711300015,1.630648384,0.102960197,0.708100021,1.625036552,0.103463712,0.744499981,1.608535037,0.095309818,0.752300024,1.607139806,0.105045509,0.754400015,1.632733849,0.101843532,0.751600027,1.645888035,0.098226052,0.730199993,1.600526996,0.099402321,0.746800005,1.636283423,0.103117896,0.762399971,1.670962545,0.095479327,0.750100017,1.579906615,0.101378253,0.746900022,1.606213076,0.109354322,0.732200027,1.612849363,0.099656649,0.758599997,1.623170949,0.095937431,0.738099992,1.629249407,0.099240445,0.744899988,1.635619808,0.094972398,0.730000019,1.66657203,0.11033618,0.761399984,1.636463594,0.096311661,0.737399995,1.649606694,0.105119203,0.727299988,1.619319117,0.092546502,0.725000024,1.599804264,0.094355627,0.722299993,1.595655018,0.10745654,0.717800021,1.608537913,0.096669888,0.764699996,1.592678292,0.106398725,0.74849999,1.597296398,0.098012642,0.742699981,1.60448674,0.094803778,0.75150001,1.624790517,0.106869976,0.757099986,1.618700989,0.102912002,0.736400008,1.628399443,0.096204692,0.713100016,1.723567835,0.118595087,0.755699992,3.381961876,0.098084677,0.742900014,1.616378624,0.135564625,0.734000027,1.637558982,0.108300101,0.744300008,1.599604507,0.092057693,0.731299996,1.602254046,0.099211262,0.728600025,1.610663995,0.097673734,0.734799981,1.596760924,0.097207456,0.756299973,1.659490449,0.121013355,0.750800014,1.602218503,0.102334173,0.727100015,1.616768491,0.103377191,0.726400018,1.618849449,0.099062081,0.757399976,1.604498323,0.113241945,0.74879998,1.615497797,0.095139254,0.757700026,1.60039364,0.097803461,0.762399971,1.629946897,0.100225037,0.739199996,1.624701062,0.10820273,0.738900006,3.516689255,0.106118706,0.751800001,1.627616867,0.107401958,0.750400007,3.588717628,0.100252894,0.733399987,1.592350914,0.10696674,0.726599991,1.649296532,0.104512111,0.711300015,1.630648384,0.102960197
3,0.734700024,1.587455974,0.098293503,0.743900001,1.698399392,0.097310291,0.760399997,1.6217946,0.095998742,0.760699987,1.64608467,0.104333976,0.772599995,1.630860377,0.105513558,0.765200019,1.627627738,0.095191294,0.746500015,1.581896775,0.093869389,0.7676,1.619210842,0.093651162,0.773000002,1.621908224,0.102730486,0.771700025,1.596958297,0.102238364,0.766900003,1.604796144,0.105114465,0.755699992,1.600631813,0.09447583,0.777899981,1.590110589,0.093574254,0.767499983,1.626482618,0.096201657,0.763400018,1.628486414,0.097687549,0.746999979,1.624214848,0.107494243,0.777999997,1.653428876,0.09522649,0.757200003,1.618127059,0.095451714,0.743900001,1.683418773,0.095994002,0.748899996,1.629268077,0.092211334,0.735499978,1.650149023,0.103076063,0.742900014,1.674453105,0.099660349,0.772599995,1.60031758,0.103282456,0.756299973,1.731788975,0.097418378,0.761900008,1.629767011,0.10715714,0.762899995,1.597699581,0.102695,0.766900003,1.557534092,0.097177443,0.760900021,1.626139677,0.095042931,0.722500026,1.617349291,0.098060699,0.769699991,1.602048761,0.089618816,0.746999979,1.619074642,0.099592912,0.74119997,1.598526687,0.098194576,0.760599971,1.63081553,0.095625274,0.760100007,3.197586722,0.091487457,0.734799981,1.59737801,0.091216409,0.75940001,1.607332159,0.104810911,0.767799973,1.604489956,0.101700817,0.762000024,1.590991484,0.091284294,0.759800017,1.598790932,0.106116793,0.762899995,1.605818335,0.10929091,0.769200027,1.602047223,0.094481901,0.765399992,1.606755925,0.101031487,0.770099998,1.603979004,0.097821706,0.774699986,1.630625745,0.103112525,0.748600006,1.630382187,0.107783838,0.764100015,1.646017367,0.103082009,0.761799991,1.600461436,0.101646704,0.754899979,1.671968888,0.093589763,0.74849999,3.373245336,0.095169825,0.747600019,1.594394293,0.094574352,0.734700024,1.587455974,0.098293503
4,0.756900012,1.581331095,0.103795657,0.755699992,1.649263318,0.100036049,0.777999997,1.628617061,0.101757083,0.770699978,1.621425734,0.097021954,0.776600003,1.668231934,0.093216007,0.775900006,1.62137561,0.091706773,0.750800014,1.605984091,0.098409412,0.775900006,1.637706969,0.101244401,0.792800009,1.643991276,0.094055418,0.783100009,1.620965974,0.097735419,0.778299987,1.622795437,0.090788715,0.763800025,1.609890061,0.093484791,0.788900018,1.60949834,0.103466997,0.780099988,1.603952948,0.101342213,0.772800028,1.644439033,0.102286676,0.761500001,1.654743478,0.092024584,0.788399994,1.616042073,0.094686169,0.76880002,1.62275527,0.094825898,0.760800004,1.605625508,0.099318346,0.764599979,1.620031167,0.103084348,0.746900022,1.630827259,0.096025528,0.757799983,1.644752029,0.096517004,0.784500003,1.581293882,0.099938439,0.768700004,1.697655501,0.09424555,0.776600003,1.640400505,0.102154032,0.773199975,1.665709119,0.096682645,0.787299991,1.647533098,0.099571981,0.771700025,1.652676951,0.095741312,0.745299995,1.648310928,0.097057827,0.778599977,1.66434571,0.100845183,0.764599979,1.625895012,0.091433256,0.74849999,1.667077587,0.108846782,0.767799973,1.593331668,0.092444816,0.768100023,1.69864653,0.095969009,0.754999995,1.599836291,0.095809372,0.763400018,1.594256903,0.092728414,0.780399978,1.59151417,0.098344125,0.769299984,1.601879338,0.105144094,0.766099989,1.627066888,0.093546265,0.777999997,1.661568433,0.09617462,0.779699981,1.637228451,0.102466086,0.780900002,1.592046433,0.102671024,0.785399973,1.601625031,0.093269109,0.786899984,1.600251176,0.095270076,0.771600008,1.64076193,0.095586672,0.774299979,1.621523169,0.095227452,0.771600008,3.433474332,0.100079955,0.763300002,1.655356194,0.103421361,0.755200028,3.584032994,0.097096928,0.751800001,1.583502895,0.098661175,0.756900012,1.581331095,0.103795657
5,0.771000028,1.597780999,0.102697645,0.763599992,1.625066939,0.090911391,0.789699972,1.608727221,0.104175609,0.784600019,1.613660486,0.097531296,0.782000005,1.653698771,0.096834596,0.789499998,1.607894497,0.095277369,0.773500025,1.596490404,0.096655857,0.79460001,1.613516245,0.101683852,0.800599992,1.635181954,0.096475696,0.787400007,1.6222277,0.093580744,0.783500016,1.604405941,0.096861748,0.778199971,1.597646378,0.103335089,0.797500014,1.617734153,0.095385348,0.792400002,1.620024993,0.093610989,0.781899989,1.601303005,0.099179766,0.77670002,1.618674307,0.096537047,0.797200024,1.616454169,0.097247015,0.779399991,1.666315492,0.101368241,0.770699978,1.638567865,0.093992768,0.775300026,1.590005591,0.100577218,0.756299973,1.619436711,0.095942426,0.765399992,1.634311683,0.102540125,0.792200029,1.593072849,0.103311178,0.778199971,1.640700041,0.097298305,0.784200013,1.616247663,0.094307584,0.780799985,1.619396788,0.095681504,0.794499993,1.668045906,0.09623085,0.78579998,1.629905554,0.093089683,0.760299981,1.635535802,0.103763463,0.786899984,1.637667062,0.096481392,0.774900019,1.647375581,0.095009164,0.771200001,1.613139697,0.090210396,0.785300016,1.605646715,0.092131523,0.778400004,1.706907299,0.097124242,0.765399992,1.586397385,0.099230033,0.781199992,1.600329245,0.096865098,0.789900005,1.613375262,0.107933011,0.779299974,1.592833835,0.093420425,0.78609997,1.603007063,0.094312481,0.780700028,1.601289523,0.099570431,0.792299986,1.629920925,0.104177813,0.791400015,1.612150182,0.093648721,0.794799984,1.618002223,0.098392624,0.797800004,1.634727702,0.105221384,0.768100023,1.68397234,0.093511029,0.778400004,1.627925243,0.095388638,0.780499995,3.515558654,0.097399785,0.775399983,1.634490678,0.104629603,0.765799999,3.39174867,0.098782148,0.761500001,1.630587919,0.102211498,0.771000028,1.597780999,0.102697645
6,0.789300025,1.644533836,0.095501238,0.77759999,1.663975744,0.118178804,0.795700014,1.597532184,0.090131073,0.791800022,1.589107012,0.094639617,0.788699985,1.6538364,0.097411259,0.79549998,1.61918049,0.102829063,0.782599986,1.590313302,0.094937759,0.800800025,1.670575222,0.093166734,0.806699991,1.666134761,0.093862838,0.799700022,1.590784384,0.10125325,0.797800004,1.625603386,0.093171773,0.790099978,1.605186841,0.096159638,0.807200015,1.631215629,0.095221235,0.796000004,1.622163908,0.099132936,0.790300012,1.631644266,0.098445926,0.783500016,1.620869388,0.09284625,0.805400014,1.632487842,0.095620484,0.787400007,1.644099882,0.108222841,0.779299974,1.62489573,0.09847075,0.788699985,1.615029565,0.094118751,0.763400018,1.600484584,0.097246149,0.781700015,1.656943822,0.095492648,0.791199982,1.612352805,0.098863011,0.783699989,3.551177216,0.101336188,0.797900021,1.636496311,0.090795217,0.783999979,1.647848927,0.09586055,0.805299997,1.655942191,0.093569802,0.798500001,1.644169713,0.093602309,0.771899998,1.697266916,0.10253839,0.791700006,1.652962985,0.095009383,0.781599998,1.663644676,0.09725825,0.775699973,1.67721497,0.098603939,0.794700027,1.606998341,0.09875393,0.788100004,3.81921228,0.097214504,0.781899989,1.58643792,0.091453102,0.778100014,1.597427552,0.095720125,0.796700001,1.589835205,0.104280731,0.790099978,1.588713811,0.100571692,0.799499989,1.599317883,0.09601478,0.793299973,1.6169524,0.103835606,0.796199977,1.601830318,0.095137743,0.802699983,1.598602315,0.09773716,0.800800025,1.625119608,0.095271378,0.804199994,1.596842146,0.098953537,0.782500029,1.701387277,0.095357925,0.785899997,1.652522063,0.092248306,0.791599989,1.576881313,0.096822062,0.785300016,1.677129011,0.093304869,0.765799999,1.582980073,0.106987145,0.773599982,1.584457857,0.104875136,0.789300025,1.644533836,0.095501238
7,0.797399998,1.660806338,0.092202797,0.777999997,1.664700302,0.094885817,0.805700004,1.602080557,0.091864708,0.797500014,1.639193547,0.090110261,0.797599971,1.654411389,0.087636166,0.802999973,1.644461874,0.089356409,0.793600023,1.594695289,0.090136363,0.809800029,1.619303991,0.094854944,0.813399971,1.60862809,0.089769547,0.8028,1.582693604,0.098404834,0.798699975,1.616077566,0.09985361,0.800300002,1.615232755,0.085749372,0.811500013,1.606121696,0.091904035,0.800999999,1.633914953,0.0926709,0.796500027,1.634813736,0.095651845,0.802200019,1.650053882,0.096712329,0.809400022,1.676637264,0.09123501,0.788699985,1.619822321,0.092954205,0.794499993,1.652500837,0.103757409,0.796500027,1.640983589,0.092446631,0.796700001,1.623168945,0.096429879,0.793299973,1.642011887,0.08953928,0.796800017,1.600294563,0.090808654,0.793799996,1.579162172,0.091547574,0.7949,1.703606265,0.101729756,0.793299973,1.617773416,0.089407511,0.808099985,1.611542317,0.097068946,0.809199989,1.586888721,0.099301927,0.782899976,1.672167111,0.10016827,0.802200019,3.557392922,0.084866148,0.788600028,1.687109265,0.09378175,0.787599981,1.626735027,0.090932263,0.802699983,1.617881733,0.092133012,0.794399977,1.592964408,0.086992927,0.79460001,1.603586264,0.09888623,0.77579999,1.608424366,0.092234218,0.806699991,1.613694102,0.105917057,0.797399998,1.587749776,0.085303927,0.804700017,1.605999532,0.096948638,0.788100004,1.607915064,0.091455086,0.801999986,1.597682104,0.101854997,0.808300018,1.594892151,0.090600604,0.808600008,1.591923823,0.091876023,0.814400017,1.618799344,0.092196383,0.779600024,1.586940766,0.092509184,0.787800014,1.669858462,0.090890356,0.801900029,1.565030095,0.091605456,0.790799975,1.581195332,0.089418106,0.778500021,1.57553849,0.092308957,0.783200026,1.609769262,0.098915936,0.797399998,1.660806338,0.092202797
8,0.805899978,1.677959604,0.096428395,0.777899981,1.599310695,0.095872045,0.809700012,1.615820354,0.095413635,0.809000015,1.615553575,0.095119399,0.804700017,1.575101349,0.097781458,0.804700017,1.600660105,0.097392765,0.797900021,1.61445406,0.099505083,0.808700025,1.650673548,0.097862706,0.817099988,1.650520687,0.095254173,0.808099985,1.659874368,0.091487192,0.805700004,1.638109044,0.095666587,0.806100011,1.659460178,0.0946175,0.815599978,1.632936374,0.098973585,0.806699991,1.650711469,0.101332685,0.806500018,1.655296133,0.091441418,0.805700004,1.695568697,0.094561158,0.814300001,1.629810581,0.095227741,0.794700027,1.649003034,0.093354084,0.799199998,1.640651082,0.095507531,0.805000007,1.651307619,0.096340199,0.803300023,1.681872396,0.105760986,0.799099982,1.598326534,0.095797658,0.804799974,1.600949861,0.095716911,0.791999996,1.620426832,0.095387724,0.807500005,1.570333016,0.101540386,0.801500022,1.661526269,0.104621599,0.808000028,1.639258218,0.095765183,0.816999972,1.594171067,0.095244001,0.793500006,1.609885088,0.104563858,0.810899973,1.619703831,0.098131041,0.78609997,1.776777409,0.104160801,0.799199998,1.701775012,0.096285706,0.81370002,1.629198379,0.102176723,0.799600005,1.659569305,0.097871357,0.803200006,1.590536607,0.097905775,0.788600028,1.629390834,0.096441587,0.813799977,1.614634664,0.099614334,0.806500018,1.598255014,0.093413006,0.805899978,1.618559634,0.090540146,0.784099996,1.66711262,0.090579143,0.810000002,1.61245599,0.10264591,0.815400004,1.600892536,0.100891363,0.813899994,1.620289519,0.094514067,0.817700028,1.621417205,0.099739314,0.793500006,1.604888602,0.094930953,0.790400028,1.577847018,0.095317659,0.803799987,1.642367173,0.101474804,0.806100011,1.590733688,0.0970059,0.782100022,1.599994544,0.0945591,0.798099995,1.607909184,0.097882404,0.805899978,1.677959604,0.096428395
9,0.810100019,1.596335906,0.096931488,0.788999975,1.600319693,0.116118182,0.815500021,1.636280972,0.104314915,0.818899989,1.642828473,0.094076558,0.8125,1.630559889,0.109635915,0.810100019,1.591633725,0.097043732,0.804799974,1.632196594,0.100980942,0.81400001,1.598667044,0.097810075,0.818799973,3.709873198,0.103105951,0.808200002,1.617926074,0.093742223,0.812600017,1.663142965,0.09560575,0.812699974,1.637840975,0.096553131,0.821099997,1.64578163,0.098681314,0.816200018,1.727928327,0.102883333,0.813000023,1.691535135,0.096178356,0.81099999,3.817706575,0.096381258,0.816999972,1.714519737,0.102144021,0.79400003,1.683834198,0.09458825,0.801599979,3.702936529,0.097389539,0.812099993,1.700976254,0.096331493,0.819000006,1.601710047,0.10549978,0.802200019,1.597468705,0.102469381,0.806900024,1.616933066,0.105869872,0.808000028,1.643744584,0.100197835,0.807799995,1.582979625,0.102610127,0.802999973,1.709058791,0.09814018,0.813000023,1.838323364,0.106602145,0.819299996,1.613076538,0.096086591,0.800999999,1.586886597,0.099595125,0.813899994,1.588110144,0.100766599,0.785399973,1.582899036,0.10227788,0.806200027,3.977203567,0.10351375,0.818499982,1.647485097,0.102145281,0.803499997,1.588418296,0.100428343,0.811399996,1.617247816,0.107003895,0.79610002,1.65250492,0.102907441,0.816299975,1.617204525,0.111985881,0.810299993,1.617547127,0.095545529,0.810800016,1.649638591,0.097844345,0.796500027,1.646753659,0.09730076,0.816100001,1.618676973,0.101473076,0.826200008,1.608956826,0.092442716,0.817399979,1.63398817,0.098024894,0.823000014,1.620079648,0.10220225,0.813799977,1.622867087,0.100711025,0.797299981,1.607047783,0.102450101,0.818400025,1.61241319,0.099974528,0.808399975,1.609035959,0.096332212,0.792299986,1.619345554,0.094124869,0.802200019,1.616882704,0.097395116,0.810100019,1.596335906,0.096931488
