Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.847599983,1.621043797,0.09970979,0.872099996,1.614517645,0.097356519,0.873600006,1.630472593,0.099096427,0.888899982,2.259651348,0.105950647,0.848100007,1.607854289,0.099834485,0.86650002,2.254052856,0.097488645,0.84859997,1.627049125,0.094989968,0.837199986,1.605506768,0.096309555,0.875800014,1.613570488,0.107370348,0.887099981,1.604475346,0.098363984,0.894800007,1.613522482,0.102200896,0.889100015,1.600729681,0.100082962,0.891700029,1.620383395,0.109273772,0.896700025,1.630423523,0.099270769,0.897700012,1.608998293,0.097054405,0.900699973,1.639007718,0.111297079,0.887499988,1.648729325,0.100315863,0.866400003,1.607365876,0.095903424,0.895600021,1.609527227,0.100023476,0.883300006,1.594553288,0.101328925,0.867600024,1.617013678,0.101175053,0.897099972,1.636919266,0.101368245,0.885299981,2.481193059,0.101226989,0.894599974,1.602971018,0.099520042,0.9023,1.604673863,0.109886852,0.895299971,5.230169333,0.100169152,0.878199995,1.704730562,0.103382393,0.829999983,1.610894181,0.099202461,0.875899971,1.706119545,0.10285231,0.862600029,1.713713949,0.101184594,0.848100007,1.710460242,0.103687603,0.898699999,1.684570372,0.112770009,0.899500012,1.608071537,0.109935891,0.892099977,1.679913867,0.111177986,0.872500002,1.663122076,0.09181833,0.885599971,1.595643163,0.102728777,0.851100028,1.688726505,0.112695004,0.862699986,1.680565699,0.092762675,0.884199977,1.602743468,0.097432823,0.894299984,1.673629133,0.099909745,0.865400016,1.651862137,0.101520282,0.889999986,1.60694383,0.106584101,0.881399989,1.701885905,0.100644717,0.89349997,1.69877315,0.100659203,0.894299984,1.640508305,0.109609987,0.856999993,1.695902916,0.100731891,0.883000016,1.637592068,0.099432407,0.870899975,1.626912608,0.105084265,0.885399997,1.60515284,0.093327051,0.887399971,1.686303349,0.097938016,0.847599983,1.621043797,0.09970979
1,0.895699978,1.697603871,0.088478459,0.912899971,1.607003016,0.095250682,0.914399981,1.643684188,0.089218352,0.924700022,3.571950045,0.091538819,0.913200021,1.678637876,0.089161136,0.917299986,1.68527166,0.115330361,0.908599973,1.63959828,0.090891022,0.911300004,1.667228474,0.090565705,0.925899982,1.631619514,0.085191754,0.925400019,1.646205556,0.091734183,0.926199973,1.599060388,0.096741847,0.924300015,3.8832163,0.09123985,0.925599992,1.608025199,0.088194576,0.911800027,1.61164421,0.090388397,0.914300025,1.640154607,0.094131373,0.91900003,1.650525334,0.091256215,0.923799992,1.696581216,0.089478906,0.91869998,1.620276921,0.090925213,0.925599992,1.590303106,0.089025214,0.914499998,1.603259813,0.086677543,0.90109998,1.654571113,0.085924699,0.930499971,1.640124187,0.096111768,0.913900018,1.633286423,0.104675122,0.936399996,1.660847646,0.089710386,0.918600023,1.615325083,0.09025284,0.928900003,1.608159253,0.091663116,0.909799993,1.597905399,0.08870859,0.892799973,1.670681066,0.088625784,0.897300005,1.607843244,0.089606983,0.914099991,1.592859054,0.09159377,0.900200009,1.620112353,0.088187068,0.935899973,1.59415012,0.09703127,0.926100016,1.634148802,0.088976763,0.926100016,1.590710866,0.096978165,0.916199982,1.587693172,0.08580705,0.906400025,1.61227045,0.094942938,0.891799986,2.861002728,0.105960815,0.914300025,1.59633157,0.083366587,0.914399981,1.615780383,0.089467188,0.917400002,1.617177733,0.093594475,0.916800022,1.640246344,0.089330097,0.926199973,1.610466843,0.090908069,0.928499997,1.789292518,0.089340024,0.915700018,3.700760594,0.099475965,0.927900016,1.771362708,0.089754849,0.899800003,1.687259988,0.093125513,0.907100022,1.703298367,0.093398218,0.920000017,1.687412695,0.08427029,0.920700014,1.72094429,0.099601073,0.925999999,1.714480263,0.089837318,0.895699978,1.697603871,0.088478459
2,0.930800021,1.618716713,0.095252735,0.935500026,1.719769048,0.09504934,0.931299984,1.731554254,0.096479875,0.943400025,1.612219743,0.101068781,0.930899978,1.713381402,0.091291944,0.931999981,1.634542205,0.106402475,0.925100029,1.758785687,0.104331736,0.933399975,1.613437499,0.098359927,0.941999972,1.642159256,0.101445696,0.939599991,1.733246379,0.093721013,0.937399983,1.600437281,0.102905656,0.939800024,1.59724289,0.095417085,0.93900001,1.597754711,0.103462496,0.934800029,1.617154495,0.095065708,0.923799992,1.624617526,0.091880096,0.937600017,1.614445796,0.105205863,0.943400025,1.620487272,0.096638109,0.935599983,1.595232134,0.09412032,0.93629998,1.744936254,0.093347005,0.93870002,1.626517209,0.103673672,0.91839999,2.661039968,0.104574484,0.939199984,1.613064889,0.096120616,0.925000012,1.661919145,0.101734668,0.944100022,1.676377564,0.183740701,0.930400014,1.662702717,0.096153735,0.942600012,1.65479948,0.09993217,0.931699991,1.616676157,0.093818856,0.916199982,1.65767486,0.099559914,0.916599989,1.613612188,0.094598264,0.931699991,1.60900868,0.095577875,0.929400027,1.660691708,0.095656504,0.942600012,1.65057879,0.095295648,0.939599991,1.59890824,0.095268069,0.939999998,1.593009251,0.098389534,0.92809999,1.632490623,0.087808897,0.933600008,1.668385799,0.094690798,0.919499993,1.659302609,0.09556975,0.920700014,1.607856807,0.088843508,0.921599984,1.922782307,0.101026834,0.932600021,1.608558163,0.093852309,0.935899973,1.640961753,0.095000098,0.941500008,1.683419741,0.095700086,0.937900007,1.64539749,0.103496422,0.934700012,1.661508434,0.09550772,0.942399979,1.66816429,0.090154799,0.927299976,1.612214189,0.09664543,0.91839999,1.59765924,0.098462282,0.930999994,1.741043793,0.10402019,0.941500008,1.668705507,0.105627406,0.940599978,1.636814969,0.095396407,0.930800021,1.618716713,0.095252735
3,0.943799973,1.613021645,0.101942748,0.943300009,1.603362181,0.093280073,0.942200005,1.600957194,0.098656526,0.948899984,1.642442485,0.104832228,0.944400012,1.657840015,0.101345032,0.940299988,1.601554468,0.095905636,0.938199997,1.662902199,0.096318829,0.940999985,1.604440154,0.095117335,0.948700011,1.598272083,0.096513365,0.944999993,1.625897292,0.096247603,0.943000019,1.589576765,0.097892157,0.949000001,1.587383635,0.094453776,0.947300017,1.584991815,0.094563185,0.942700028,1.612402666,0.095088652,0.93720001,1.599856395,0.103938753,0.942399979,1.574802142,0.094901618,0.950800002,1.61429386,0.095782558,0.941799998,1.628113434,0.094871379,0.944000006,1.658289813,0.091806432,0.943799973,1.628393265,0.094357056,0.931999981,1.671539353,0.104105001,0.944899976,1.64381117,0.0977749,0.936200023,1.734221433,0.102517024,0.944700003,1.779349013,0.095519175,0.945299983,1.658489115,0.095841011,0.948700011,1.60373458,0.09476683,0.943400025,1.623271697,0.095453021,0.92049998,1.665745903,0.09380223,0.940599978,1.63156519,0.096254946,0.938000023,1.674365968,0.092818884,0.942900002,1.614548063,0.100038573,0.946099997,1.628005477,0.099962285,0.950699985,1.573466621,0.096873626,0.949599981,1.72321318,0.108078724,0.938600004,1.652875774,0.099522168,0.942399979,1.624870584,0.094132828,0.931699991,5.320406937,0.110040188,0.93870002,1.649072816,0.091212848,0.931100011,1.591191137,0.095367493,0.943000019,1.846023919,0.108309668,0.948000014,1.605844529,0.094871998,0.949100018,1.716718627,0.094900706,0.941900015,3.507177834,0.098710033,0.938300014,1.604453783,0.09453922,0.953000009,1.609564533,0.091958389,0.937099993,1.606015469,0.090239395,0.941200018,1.677640129,0.094549358,0.939100027,1.585385747,0.098561506,0.948599994,1.586623886,0.093448289,0.946699977,1.707694787,0.104038893,0.943799973,1.613021645,0.101942748
4,0.954200029,1.617122077,0.093333527,0.948499978,1.585478023,0.094225364,0.946099997,1.59504179,0.101253855,0.955799997,1.597863521,0.093012077,0.949100018,1.614187189,0.096989761,0.956399977,1.619378474,0.089418305,0.9472,1.589545343,0.095044608,0.944599986,1.650909299,0.088233887,0.952799976,1.597594519,0.095850768,0.95389998,3.558294191,0.095258266,0.949500024,1.624419793,0.094450428,0.949400008,1.603198824,0.094139726,0.954999983,1.690118772,0.092040193,0.948400021,1.625549577,0.093849493,0.943799973,1.604970603,0.100627737,0.949999988,1.616033088,0.094255666,0.955799997,1.609616775,0.102555636,0.948099971,1.607992965,0.094462567,0.948199987,1.603722325,0.097615998,0.950800002,1.597364453,0.092673349,0.938600004,1.613799189,0.091293073,0.952199996,1.59509661,0.095057562,0.923500001,3.644434534,0.094860065,0.955299973,1.657893716,0.095172118,0.952300012,1.612052407,0.101044002,0.953499973,1.638021254,0.094574326,0.953700006,1.617395568,0.096864095,0.912500024,1.641112297,0.097467195,0.947700024,1.690860187,0.089645847,0.946099997,1.626804618,0.102600478,0.9472,1.654748151,0.095198859,0.950299978,1.645882493,0.095349991,0.957199991,1.598442778,0.093293241,0.953599989,1.63828575,0.094767348,0.945900023,1.632964456,0.08905634,0.953499973,1.600831596,0.099378783,0.945299983,1.59918753,0.106613625,0.956499994,3.78102258,0.092593686,0.945800006,1.588756042,0.133119731,0.949400008,1.642726453,0.099898363,0.950900018,1.613597654,0.092765434,0.949800014,1.585743871,0.09194767,0.943199992,1.584125626,0.093509256,0.945500016,1.593615629,0.091761874,0.954100013,1.654665631,0.09913197,0.940999985,1.629041333,0.0926924,0.950600028,1.617270562,0.096776262,0.944899976,1.609174587,0.101338942,0.95539999,1.621673461,0.094678815,0.950600028,3.512812266,0.096156319,0.954200029,1.617122077,0.093333527
5,0.958199978,1.62242003,0.089665915,0.950399995,1.653554984,0.097099059,0.952899992,1.610709966,0.102047898,0.961000025,1.617188616,0.095377381,0.955600023,1.734419191,0.099614753,0.965799987,1.6228007,0.093049402,0.949599981,1.600668938,0.099687108,0.9472,1.625354021,0.097047062,0.956499994,1.64469154,0.092865717,0.954999983,1.601081454,0.097356164,0.95389998,1.637082886,0.096888261,0.954200029,1.611502964,0.094015235,0.95630002,1.648606278,0.096997402,0.953499973,1.636964762,0.094037218,0.954699993,1.607582941,0.105564591,0.955200016,1.632318947,0.104269666,0.959100008,1.659390984,0.0975464,0.955299973,1.659021466,0.097561531,0.954900026,1.637907694,0.098172343,0.959900022,1.596348099,0.096182546,0.947099984,1.632629467,0.106871845,0.955299973,1.637635384,0.098598574,0.938899994,1.584562145,0.095532846,0.957300007,1.601748052,0.097020148,0.960300028,1.656869349,0.100110834,0.953700006,1.698063698,0.099957387,0.951799989,1.635544288,0.105450064,0.917299986,1.677700151,0.097486994,0.952099979,1.692791283,0.103601894,0.95660001,1.750409305,0.091334532,0.954100013,1.696417875,0.091706316,0.957099974,1.661636978,0.096648598,0.961099982,1.609194401,0.096570836,0.957300007,3.717844544,0.093727508,0.954100013,1.592385642,0.091312533,0.954999983,1.612226357,0.103244063,0.948800027,1.603833201,0.100974074,0.959399998,1.593878264,0.096106434,0.951900005,1.623506676,0.095713906,0.951600015,1.651223693,0.095986979,0.957799971,1.696286696,0.097440839,0.95389998,1.58607212,0.108077501,0.944800019,1.606658336,0.099362961,0.950699985,1.607779642,0.098876425,0.958999991,3.7415421,0.095447526,0.947000027,1.655647786,0.096583073,0.958000004,1.588282627,0.101545428,0.951799989,3.78665833,0.10382648,0.960799992,1.592126392,0.104423454,0.955500007,1.58730774,0.097668644,0.958199978,1.62242003,0.089665915
6,0.963699996,1.65047113,0.091904716,0.952000022,1.685217724,0.101885499,0.958199978,1.6394546,0.094710568,0.965900004,1.668827658,0.093990286,0.954599977,1.579026862,0.097143236,0.968999982,1.67468787,0.095768018,0.953400016,1.60455814,0.101704788,0.953199983,1.724952679,0.09591424,0.958400011,1.649958574,0.093700457,0.960399985,1.663092565,0.095814515,0.96359998,1.627015513,0.103150403,0.954599977,1.647547049,0.095608981,0.957400024,1.667348194,0.093837435,0.959699988,1.616313776,0.095655899,0.961799979,1.657127209,0.090358718,0.95539999,1.644442547,0.09046809,0.956499994,1.64707598,0.095273451,0.958299994,1.633748794,0.103287773,0.959999979,1.631643002,0.097606307,0.962300003,1.63495623,0.094261527,0.95389998,1.655913526,0.099623014,0.958599985,1.719574759,0.095524789,0.936600029,1.592825985,0.095397367,0.958500028,1.60657778,0.090898482,0.964600027,1.601688371,0.101855204,0.95660001,1.607602827,0.096086483,0.952600002,1.633801139,0.095599001,0.929400027,1.590072983,0.092707525,0.954400003,1.676679906,0.095547999,0.963500023,1.584033756,0.091759664,0.957300007,1.648119927,0.095873652,0.960399985,1.656177557,0.09740143,0.966799974,1.621577019,0.089348136,0.957899988,1.595216783,0.104985419,0.957300007,1.59496071,0.095486167,0.959200025,1.599854548,0.102709733,0.951900005,1.6081704,0.093397779,0.962400019,1.610492878,0.090748482,0.955500007,1.630386545,0.091032949,0.958400011,1.653331212,0.094274299,0.959500015,1.61422564,0.094539419,0.956799984,1.61040854,0.099815663,0.952400029,1.631925248,0.095490842,0.957400024,1.594526818,0.106725512,0.961899996,1.582296882,0.095219817,0.956099987,1.577756838,0.100930648,0.964100003,1.59459187,0.095275318,0.95599997,1.611404363,0.094988161,0.962199986,1.600402402,0.096670154,0.959599972,1.627837943,0.095695168,0.963699996,1.65047113,0.091904716
7,0.966099977,3.799498767,0.082075561,0.957599998,1.575095453,0.08436007,0.958199978,1.596554912,0.081424652,0.967999995,1.641024816,0.082882564,0.960699975,1.602792433,0.081609589,0.971499979,1.586463462,0.08222224,0.955799997,1.612514593,0.082553709,0.954999983,1.587061329,0.082462291,0.960099995,3.93631504,0.087001576,0.962800026,1.603129542,0.084961703,0.96420002,1.604523005,0.083646024,0.95630002,1.738521296,0.089548223,0.956700027,1.646658867,0.088080618,0.962100029,1.626750682,0.085190137,0.961300015,1.647748464,0.084985788,0.960500002,1.67995829,0.084295481,0.958000004,1.667326654,0.079626005,0.96450001,1.655089748,0.079589277,0.963999987,3.712136769,0.092887683,0.962199986,1.712687654,0.085845757,0.9551,1.599541663,0.082691339,0.957700014,1.599718811,0.084014736,0.941200018,1.648403125,0.084383485,0.961799979,1.667382002,0.090959934,0.967499971,1.636495425,0.08219104,0.957700014,1.644964446,0.08419346,0.948599994,1.678886943,0.080086926,0.936100006,1.623200965,0.083362148,0.95599997,1.581341271,0.080896469,0.965900004,1.593351875,0.085652379,0.962599993,4.136081413,0.082619384,0.960600019,1.655472902,0.084311523,0.966000021,1.616478681,0.082912212,0.962800026,1.599150094,0.084482132,0.962300003,1.570511794,0.083862251,0.961700022,1.641882341,0.083876456,0.95450002,1.626890978,0.094485692,0.966499984,1.611813625,0.083865095,0.959200025,1.669879241,0.085154772,0.959500015,1.619874331,0.084002825,0.961099982,1.614339355,0.084905043,0.960099995,1.654437836,0.0812698,0.953400016,1.606846916,0.083946839,0.955200016,1.636356532,0.085211919,0.961899996,1.600547945,0.090518372,0.962000012,1.6001443,0.084430468,0.964699984,1.602711601,0.083690966,0.958899975,1.602877275,0.081234479,0.965200007,1.606875565,0.083325267,0.963400006,1.608148359,0.082742501,0.966099977,3.799498767,0.082075561
8,0.964999974,1.596175789,0.089848129,0.958599985,1.63613786,0.08877351,0.961300015,1.653084892,0.091494692,0.966600001,1.677515998,0.090642415,0.967199981,1.609951107,0.089253411,0.972199976,1.669062967,0.088933446,0.961799979,1.626293216,0.087360355,0.961399972,1.608506234,0.088444137,0.965300024,1.598957165,0.091017787,0.96359998,1.638842863,0.088193563,0.965600014,1.674217134,0.085963067,0.959900022,1.647770502,0.086537589,0.960600019,1.686003627,0.088046027,0.963500023,3.607401055,0.085104239,0.967199981,1.580521209,0.087814697,0.96359998,1.592156827,0.086049821,0.960900009,1.595883633,0.088424866,0.964100003,1.589159552,0.090263284,0.96450001,1.585828642,0.086345448,0.96420002,1.572049272,0.088015549,0.955600023,1.592605187,0.08710122,0.960799992,1.59373771,0.091708874,0.933499992,1.616023115,0.089577335,0.963800013,1.588787289,0.084158355,0.966099977,1.600537596,0.088019837,0.964100003,3.858083125,0.090380108,0.950999975,1.592554093,0.09068364,0.940800011,1.593992865,0.088482536,0.959999979,1.623994981,0.087242269,0.970399976,1.652976425,0.091027397,0.964299977,1.605424952,0.083977127,0.964600027,1.629690205,0.085325174,0.966600001,3.848529496,0.090043894,0.966600001,1.61851058,0.100625411,0.966799974,1.620698343,0.081175685,0.9648,1.571919004,0.089800095,0.954299986,1.610345387,0.093194301,0.968800008,1.617562825,0.080819525,0.9648,1.648622642,0.088884257,0.960399985,1.673385685,0.083940118,0.96509999,1.645358275,0.087496884,0.960900009,1.611537519,0.087840448,0.954400003,1.602620134,0.088345216,0.962400019,1.629510039,0.089051444,0.96329999,1.625630011,0.087737088,0.964600027,1.61781641,0.087067245,0.968100011,1.641998942,0.088617856,0.95630002,1.620696359,0.088019975,0.967499971,1.599550665,0.091939616,0.961799979,1.60638337,0.092261144,0.964999974,1.596175789,0.089848129
9,0.967599988,1.621584801,0.092357573,0.963199973,1.656367037,0.094605115,0.96450001,1.578976344,0.09282928,0.966799974,1.578865683,0.089236674,0.970600009,1.632894203,0.096029951,0.972100019,1.630808995,0.092225524,0.963699996,1.67979449,0.102509058,0.961899996,1.611048765,0.098475648,0.967999995,1.629687304,0.094428439,0.969200015,1.760976246,0.092357418,0.963800013,1.595891729,0.086778557,0.964399993,1.58859017,0.096130693,0.967199981,1.572935834,0.095121354,0.966700017,1.596140614,0.092487053,0.971599996,1.600655596,0.092690847,0.961000025,1.61731175,0.100008031,0.958100021,1.611365443,0.092974152,0.966000021,1.606129727,0.091708691,0.966400027,1.603057688,0.090921915,0.969399989,1.620940611,0.095435853,0.957400024,1.634926535,0.092040159,0.96420002,1.622756547,0.090518235,0.939300001,1.644709509,0.094244332,0.969200015,1.635120378,0.096181477,0.968200028,1.675679304,0.097207074,0.962800026,1.597383264,0.098806864,0.960099995,1.619675062,0.099172732,0.950999975,1.644454718,0.090314409,0.960900009,1.660515541,0.095528426,0.970899999,1.652528327,0.09723367,0.963999987,1.641610786,0.094963235,0.966700017,1.613681579,0.095973891,0.967299998,1.59457693,0.092403017,0.968800008,1.640979226,0.087825677,0.966600001,1.658055501,0.087447208,0.965399981,1.619659756,0.098354669,0.958299994,1.674002634,0.098376942,0.970300019,1.639583634,0.087031153,0.964299977,1.619128937,0.089466135,0.96420002,1.584722077,0.093102327,0.967299998,1.594220916,0.088335167,0.961300015,3.696406346,0.095388158,0.960399985,1.697735558,0.099038166,0.96390003,3.76356324,0.095225133,0.964999974,1.695785475,0.093292682,0.966300011,1.633244313,0.092906839,0.969799995,1.646695529,0.101578662,0.963999987,1.637953232,0.092552099,0.969399989,1.630272113,0.091846894,0.96390003,1.691182137,0.092851156,0.967599988,1.621584801,0.092357573
