Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.271281511,1.993487487,0.139867516,0.253726184,1.895003762,0.125166339,0.273701608,1.872973338,0.137043649,0.205208972,1.890788959,0.121617222,0.195874304,1.891224398,0.128793639,0.195874304,1.927094079,0.14144671,0.257529199,1.900187601,0.134981869,0.195874304,1.937960927,0.121722804,0.266057163,1.877444856,0.139024152,0.195874304,1.879581173,0.131649828,0.195874304,1.940521466,0.139748346,0.195874304,1.896851824,0.135005096,0.265711427,2.083116934,0.134591483,0.239205599,2.838592164,0.136210852,0.234211743,1.950064958,0.124251616,0.249500617,1.959832984,0.130213805,0.196911499,1.91637456,0.125245745,0.283996612,1.821482267,0.131596064,0.219960049,1.899450608,0.136842597,0.199331596,1.877218596,0.126438003,0.19802551,1.871856241,0.133152438,0.19230178,1.885792775,0.133587973,0.231253847,1.885005699,0.130637699,0.202673629,1.851883005,0.12205529,0.167486176,1.862571815,0.132717505,0.195874304,2.039419941,0.137105092,0.195874304,1.849335066,0.156160168,0.205401048,1.873865364,0.133496198,0.201751694,1.937443249,0.132876956,0.203902885,1.911961546,0.133325939,0.197257221,1.918443524,0.132032307,0.244429931,1.886250208,0.133955093,0.216886908,1.897775977,0.126908356,0.279271662,1.944894223,0.11943378,0.195874304,4.839120141,0.124095266,0.247618318,1.86387969,0.126772328,0.195874304,2.324744738,0.146108311,0.195874304,1.96494792,0.128561788,0.195874304,3.125565362,0.132096398,0.195874304,1.961316692,0.139824366,0.272933304,2.160347451,0.127741172,0.195874304,1.88408732,0.125281128,0.223609403,1.992073883,0.154544074,0.196335286,1.96632601,0.130735954,0.211854637,1.947383563,0.135978219,0.199408427,1.920290457,0.128306904,0.159496009,1.925323243,0.151959121,0.227604493,3.078739989,0.154016664,0.263214499,1.848243582,0.12763369,0.324754149,1.933744292,0.133450258,0.271281511,1.993487487,0.139867516
1,0.499577433,1.840662362,0.132961712,0.482214212,1.846030824,0.126952865,0.501075625,1.955750652,0.119163402,0.463583291,1.934627192,0.133975388,0.511024892,1.926179539,0.128227929,0.47311002,2.095746617,0.126088873,0.498540252,2.133926922,0.126988017,0.478372782,1.915555503,0.129605872,0.459549785,1.878295498,0.121803999,0.510756016,1.931459201,0.126200058,0.49143362,2.129020825,0.134063878,0.465235084,2.103479567,0.133898972,0.481023341,1.827631213,0.127593386,0.48567149,1.912791185,0.13861917,0.446988314,1.893911055,0.126983394,0.497618318,1.876621812,0.131992074,0.489013523,1.882152363,0.119025336,0.489090353,1.908064891,0.130577068,0.511216938,1.90094792,0.131143558,0.48751536,1.962479543,0.138259967,0.467693597,2.059078245,0.150605144,0.443569452,1.988950825,0.130830827,0.487476945,1.899950593,0.127975519,0.480984956,1.873818203,0.131808245,0.447602957,1.893126671,0.131384128,0.496619552,4.896212259,0.1269552,0.473955125,2.12712398,0.135924672,0.410686851,1.841145795,0.131334518,0.539912403,1.876722335,0.134518915,0.48071605,1.842864524,0.132174002,0.494429946,1.859213023,0.129145467,0.515596211,1.844435531,0.13127191,0.468807608,1.945969602,0.135447638,0.455554694,1.868898441,0.129583033,0.486247689,1.898051982,0.134028296,0.439804852,1.94317192,0.135124327,0.503918231,1.877330182,0.142355646,0.463007063,1.925727226,0.128022957,0.465465575,1.921266207,0.130676713,0.4539029,2.014640894,0.146561552,0.46727106,2.078633905,0.127471341,0.451405972,1.869638018,0.133451111,0.490358025,2.081249452,0.126843617,0.479217887,2.016527402,0.130493053,0.438153028,1.97825898,0.130871726,0.445605397,1.910289726,0.125911152,0.490626931,1.900172537,0.126299324,0.483212978,1.878046495,0.120956471,0.494583577,1.903597238,0.124410446,0.491164714,1.964298718,0.12623155,0.499577433,1.840662362,0.132961712
2,0.637599885,1.890151171,0.118640796,0.631299913,1.930577492,0.121218129,0.654041171,1.932752592,0.127473515,0.637100518,1.952965432,0.118791511,0.634987712,1.963822781,0.112311088,0.588775337,1.850436106,0.119818611,0.637715101,2.006029158,0.122531404,0.607790411,1.922818683,0.117831201,0.644744933,1.855243765,0.119287059,0.643746138,1.923958547,0.120324141,0.645436406,1.879212657,0.123036069,0.611094058,2.021412374,0.112647868,0.642824233,4.497086432,0.123517598,0.640212059,1.899615329,0.117931578,0.619468331,1.874541563,0.132744067,0.616932988,1.876725917,0.126491199,0.645628452,2.032862836,0.127413677,0.633451164,1.894074775,0.118307382,0.635218203,1.880858116,0.120280012,0.639751077,1.941614408,0.119932133,0.630032241,1.951268843,0.118687758,0.622656703,1.858788854,0.118740564,0.626498163,1.962722792,0.121908955,0.651621103,2.006477511,0.110649417,0.646742463,1.958947892,0.115572813,0.653349698,1.900107928,0.126201066,0.632529199,1.847351776,0.124542086,0.601682544,2.053596487,0.119591108,0.637791932,1.904198748,0.119187301,0.607675195,1.828983657,0.122038896,0.628073156,1.841485127,0.119737036,0.631223083,1.895459188,0.12274568,0.59907037,1.849062334,0.111900116,0.621043324,1.940966831,0.117467292,0.640634596,2.028557905,0.120954362,0.616087914,1.858083157,0.123024893,0.630877376,1.894697381,0.125232717,0.601144731,1.89313274,0.111837636,0.63548708,1.933530728,0.123716727,0.628188372,5.005621799,0.129467972,0.629571319,1.94553359,0.129869005,0.610325754,2.031690896,0.117466921,0.637945592,1.946355308,0.117509985,0.633796871,1.96892653,0.133525136,0.587891817,1.815764806,0.111852709,0.598878324,1.846357491,0.119419629,0.628380477,1.906617316,0.127198494,0.633758426,1.892441995,0.115629744,0.615357995,2.016320085,0.116486052,0.615511656,1.896554181,0.11678944,0.637599885,1.890151171,0.118640796
3,0.710971117,1.972195676,0.125642308,0.713890612,1.889713539,0.119309491,0.711393654,1.870359605,0.132297112,0.712661326,1.909973418,0.133453979,0.714082658,1.899782307,0.12843843,0.656077147,1.904668736,0.131421766,0.701444387,4.510542364,0.126231599,0.675783634,1.892991003,0.129629805,0.705016911,1.909794733,0.129340916,0.699638903,2.069495695,0.133723307,0.706246138,1.870885641,0.125232183,0.662761211,2.08344373,0.13106333,0.717232645,1.813072359,0.129472118,0.714543641,1.836533205,0.135779681,0.686424375,1.867018331,0.124123109,0.69998461,1.883904617,0.128456974,0.706130922,1.887103281,0.130771138,0.714428425,1.858621143,0.1261144,0.709972322,1.892135061,0.126703976,0.709011972,1.885679261,0.123941109,0.678395808,1.97809071,0.116843181,0.692071319,1.99522653,0.131066265,0.696988344,2.072155782,0.142659331,0.718884468,1.988443367,0.134851291,0.719960034,2.010835883,0.129171363,0.709204078,1.873325374,0.145968994,0.698409677,1.875673645,0.125280828,0.678434253,2.070458555,0.129718483,0.707091272,1.89242147,0.132613579,0.686155498,2.064169444,0.135436474,0.704747975,1.890643351,0.138673835,0.698332846,1.887421374,0.132541112,0.642862618,1.873281495,0.127799534,0.674515963,1.903918575,0.12690364,0.722188056,1.920167922,0.123121461,0.686078668,1.902555766,0.130616013,0.690842032,1.95104318,0.15930315,0.674323916,1.927069223,0.129883692,0.726567328,1.94741568,0.121175319,0.706937611,1.865568923,0.158381619,0.708397329,1.889199025,0.138222153,0.677051306,4.868498769,0.128366954,0.690918863,2.062972313,0.127080611,0.70006144,1.916920739,0.136547242,0.687192678,1.877998075,0.133731733,0.65381068,1.902790337,0.121530497,0.703019381,1.929815743,0.12618745,0.72118932,1.915175093,0.123697021,0.682352483,1.982868945,0.134111515,0.689228654,2.046523229,0.140320007,0.710971117,1.972195676,0.125642308
4,0.751574993,1.940862516,0.126231252,0.742662847,1.982530051,0.126499524,0.756837726,1.991172044,0.125653505,0.759104192,1.897079445,0.134368061,0.752573729,2.209535686,0.132441431,0.703595579,1.954635712,0.133653998,0.74143362,1.821591402,0.141730674,0.731637955,1.922300762,0.126694281,0.752535343,1.887969208,0.126975707,0.739051938,1.805920052,0.128038197,0.739628136,1.939839928,0.129875775,0.701598048,1.852381601,0.132490516,0.750768304,2.152029312,0.123809848,0.741625667,1.861208947,0.139869029,0.724031985,1.937864227,0.119208728,0.737553775,1.901530406,0.138610787,0.753918231,1.991633186,0.127735671,0.749692678,1.866673715,0.136724816,0.749462187,1.886255479,0.120907262,0.749462187,1.896255692,0.126462985,0.720651507,1.856230066,0.126013975,0.74815613,2.272333131,0.119181042,0.731868446,1.789063691,0.12484448,0.746619523,1.895033881,0.124651155,0.741472006,1.993568059,0.130376443,0.739051938,2.14060234,0.135853001,0.733750761,1.932127934,0.12598454,0.743853748,1.821114266,0.130153789,0.742586076,1.878315514,0.127169843,0.743354321,1.982224124,0.119287102,0.742470801,1.94108219,0.124742657,0.74135679,1.910832784,0.132068946,0.724723399,1.848479174,0.127336113,0.717616796,1.939255575,0.124856791,0.753303647,4.392080816,0.125342809,0.718039334,1.831036464,0.123346129,0.73847574,1.890569126,0.142680505,0.729525208,1.880170006,0.121941191,0.757029831,1.869560828,0.125231846,0.737937927,1.90790775,0.130390407,0.738859892,1.949044344,0.127977504,0.718461871,1.961576753,0.131212394,0.72599107,1.856150632,0.125674854,0.726413667,1.847453756,0.135184227,0.727873385,2.014241598,0.150376071,0.711893082,2.092197351,0.129200072,0.742893338,1.868952533,0.126412026,0.759834051,4.701098998,0.142898722,0.736862302,1.920738427,0.12575333,0.717655182,1.832106666,0.136533407,0.751574993,1.940862516,0.126231252
5,0.77696681,1.933891001,0.126374159,0.77105099,1.858600365,0.138889053,0.768438816,1.961861186,0.121452952,0.772779644,1.918760389,0.11999768,0.769322395,1.852217986,0.11613633,0.714159489,1.93402744,0.126744393,0.764520586,1.937367212,0.122319295,0.744391501,1.871776496,0.1299528,0.774277806,4.733126989,0.135028379,0.770397961,1.930519812,0.125024553,0.768746138,2.059647312,0.125600253,0.751075625,1.987999504,0.127894011,0.769552886,1.964692261,0.140770773,0.758451164,1.957701797,0.122434,0.759949267,2.235000777,0.125958519,0.761063278,2.03540374,0.122732311,0.773970485,1.921299891,0.123874977,0.772126615,2.026015067,0.129891859,0.77688998,1.830676225,0.129573902,0.776928425,2.011749719,0.123507509,0.752727389,1.846043993,0.124412701,0.771473587,1.918473094,0.124123147,0.761370599,1.88920836,0.129975845,0.764597416,1.975371971,0.125462413,0.767632127,1.889508585,0.124135762,0.759872437,2.034917118,0.120657468,0.76144743,2.099097478,0.125490795,0.765634596,2.022808365,0.137352571,0.766902268,1.816385462,0.124174084,0.760525525,1.840529596,0.12588314,0.763099253,4.738249262,0.124028524,0.764904737,2.234092258,0.122775039,0.760064542,1.995730695,0.12388528,0.731215417,1.818940137,0.136184837,0.770013809,1.9694789,0.124786669,0.747426271,2.06792357,0.130160132,0.76240778,1.923700119,0.139035509,0.757260323,1.875642991,0.124564886,0.772395492,1.878242273,0.142435829,0.753803015,2.07096086,0.128481274,0.761793196,2.034029148,0.123350248,0.749615848,1.997837086,0.129424645,0.754379213,1.951686572,0.127386602,0.757951736,1.943388886,0.126667507,0.748693943,1.868818878,0.122825531,0.740665317,1.871587785,0.131450822,0.75672251,2.148673509,0.13036853,0.774738789,1.9296493,0.127837074,0.759065747,1.821825332,0.121728519,0.750268877,1.921353994,0.122546798,0.77696681,1.933891001,0.126374159
6,0.791487396,1.858783054,0.124931023,0.775507092,1.959627945,0.122619475,0.782498479,1.962700711,0.121846302,0.78184545,2.048323383,0.13398822,0.776659489,1.894018205,0.134197894,0.72022897,1.849599402,0.127913238,0.771742463,1.883763374,0.120914306,0.756376743,1.877460999,0.129401898,0.792716682,1.79930613,0.129508372,0.783535659,1.992421271,0.128845217,0.785225868,1.858460497,0.125268655,0.76928395,4.76521292,0.128477685,0.776428998,1.839025159,0.12807687,0.762907207,1.820854359,0.128333928,0.771972954,1.888023006,0.13304606,0.77496928,1.811828911,0.128681628,0.78745389,1.863798845,0.12818361,0.786224663,1.823561179,0.124521594,0.788183749,1.835708319,0.126501631,0.790872753,1.833577079,0.130879688,0.77320224,1.813217404,0.130039497,0.77888751,1.849124323,0.12326601,0.775007665,1.89575131,0.133391909,0.777888775,1.891461965,0.123814991,0.782767355,1.896254535,0.123243375,0.77888751,1.862997506,0.130431589,0.76736325,1.828020321,0.130356228,0.77881068,1.884923037,0.128027382,0.77873385,2.005742457,0.125772635,0.768938243,1.863535025,0.126592313,0.772510767,1.83219393,0.129941889,0.781653345,1.920773461,0.119353578,0.781422853,1.822126632,0.126754006,0.746734798,1.844536057,0.125065216,0.771089435,1.925759821,0.122163842,0.769898593,1.851779527,0.119308056,0.782344818,1.878351823,0.143146649,0.777350962,1.896651372,0.134128895,0.788452685,2.111349971,0.129863206,0.763483405,5.36036244,0.125808856,0.772779644,1.958292867,0.156603872,0.766556561,1.943053237,0.129630681,0.767055929,1.86611753,0.127754331,0.766594946,1.956618881,0.123197718,0.769744933,1.878190144,0.129136429,0.746542692,1.835976989,0.126768218,0.766441286,1.845036556,0.126377837,0.78657037,2.098070465,0.130627838,0.774124146,1.926357787,0.12866195,0.775276601,1.976753898,0.129818478,0.791487396,1.858783054,0.124931023
7,0.795789778,2.022876399,0.131818313,0.785033822,2.025237984,0.135328429,0.794829428,1.862509818,0.128362354,0.791564226,1.835681048,0.125075244,0.786608815,2.269226655,0.128702633,0.735978782,1.913418725,0.128195387,0.782037497,1.845540063,0.147368969,0.77112782,1.930488837,0.126348391,0.80105257,1.931840088,0.125669862,0.788760006,1.818050303,0.117919898,0.792908728,1.909650319,0.12942921,0.787223399,1.839684505,0.120839416,0.779386938,1.921799235,0.118340499,0.776467443,1.831762494,0.119312852,0.78272897,1.960981042,0.1288089,0.779233277,1.874343046,0.121043445,0.796404421,1.906326128,0.131163488,0.797172725,1.853853439,0.129924213,0.793331265,2.030219752,0.129621299,0.798594058,1.92085647,0.120535053,0.784496009,1.883993476,0.126649628,0.793945909,1.98613895,0.127975675,0.790219724,1.803790658,0.112993405,0.780155182,4.711662328,0.130061586,0.796366036,1.915713007,0.119896739,0.785225868,1.853446535,0.129624854,0.78368932,1.839065641,0.124652053,0.791333735,2.257626211,0.129834626,0.790373385,1.895695025,0.120708102,0.784880161,1.905563902,0.13052085,0.782344818,1.853217587,0.131115141,0.782959461,1.907400274,0.124206722,0.793523371,1.927790308,0.118247016,0.764559031,1.911911441,0.125309833,0.777274132,2.03893652,0.129923556,0.782037497,1.885304868,0.119687265,0.792063594,4.584510232,0.142218937,0.78464967,1.977384107,0.125725187,0.799093425,1.861758005,0.117417878,0.779118001,1.872808706,0.133213608,0.784073472,2.060050276,0.12296509,0.780270457,1.789911794,0.129975596,0.77496928,1.869019079,0.123027533,0.774354637,1.8602402,0.129551874,0.779348493,1.959991064,0.11976954,0.756376743,1.946885454,0.131694377,0.785072207,1.961353543,0.125622555,0.798555613,1.956832724,0.127768424,0.781883836,1.991827745,0.126160681,0.783996642,4.706229765,0.128494602,0.795789778,2.022876399,0.131818313
8,0.804471433,4.858203883,0.127946285,0.793677032,1.84483259,0.129186081,0.80089891,1.868659055,0.126098297,0.792639852,1.86771023,0.126211812,0.789681911,1.843338197,0.120038695,0.7480793,1.868820572,0.13031658,0.796481252,1.93116449,0.126805523,0.780232012,1.823202004,0.133810282,0.807237267,1.997260104,0.135211709,0.791833103,1.83157584,0.129480419,0.80201292,1.879930681,0.126180941,0.795059919,2.144347952,0.128250676,0.785802066,1.966729332,0.132302916,0.787300229,1.875584045,0.126684696,0.787953317,1.961926106,0.129223881,0.784073472,1.954685468,0.126175486,0.803318977,1.979459166,0.132055966,0.802128136,1.977057004,0.124271183,0.798325121,4.770648833,0.132204849,0.804356158,2.271814132,0.133027136,0.787953317,1.88622597,0.124188276,0.803050101,1.808138467,0.121580067,0.795252025,1.904948665,0.129105482,0.788567901,1.843083371,0.139333257,0.804548264,1.909238322,0.127988013,0.784227133,1.94223848,0.128098078,0.795597732,1.954416453,0.130673952,0.803280592,1.945183597,0.13075081,0.802281797,4.816027639,0.13397889,0.792102039,2.072981745,0.128346279,0.792486191,2.188400665,0.12124275,0.784073472,2.080104406,0.130899082,0.801820815,1.954995707,0.133957223,0.773163795,1.89277141,0.124466595,0.77888751,1.880072994,0.118367755,0.788836837,2.021348079,0.118939839,0.801513493,1.841151782,0.141927267,0.797748923,1.860428772,0.12643575,0.806776285,1.884814859,0.123380809,0.788721561,1.989729638,0.138753281,0.790527046,1.914764126,0.157447568,0.789105713,1.914352062,0.124394185,0.781499684,1.89318369,0.128190436,0.781883836,1.980242226,0.137716757,0.785149038,1.825104444,0.14289822,0.763214529,1.857786248,0.127354866,0.795021534,1.86738681,0.130470429,0.805201292,1.898555199,0.126755898,0.78649354,1.883047413,0.125482123,0.794598937,1.972027845,0.136275886,0.804471433,1.858203883,0.127946285
9,0.809887826,1.847505346,0.164560018,0.795405626,1.873775487,0.138037057,0.803357422,2.082486401,0.14178426,0.80377996,2.014098053,0.137422774,0.797518432,1.892534555,0.134735339,0.765673041,1.904902197,0.136412512,0.799746454,1.928014515,0.138237306,0.782306373,1.924780287,0.140146649,0.810425639,2.037819837,0.141833592,0.800706804,2.040589935,0.155373731,0.805969596,1.838047318,0.14392714,0.802627563,5.169415426,0.144750475,0.791026413,1.914992607,0.146314571,0.795098364,1.881893994,0.135511382,0.794637382,1.845311166,0.160721385,0.793408096,1.919585451,0.137601138,0.808236003,2.004582133,0.141261917,0.806084812,1.862261438,0.130496253,0.802934825,2.096118131,0.187756351,0.800053775,1.884260413,0.136594197,0.788606346,1.887438424,0.128441291,0.8105793,1.919564269,0.133193391,0.803664744,2.055615112,0.128382892,0.792947114,1.927917073,0.135605415,0.812077463,1.87543593,0.134662484,0.793907523,1.850646689,0.137309873,0.79713428,1.871059446,0.137393842,0.804932415,1.93866677,0.133943969,0.806353748,1.821679957,0.132831259,0.800322652,1.915749981,0.137079652,0.793830693,1.86212959,0.144096338,0.793331265,1.867968262,0.1367669,0.807045162,1.860290906,0.136829762,0.773547947,1.968470593,0.136920268,0.78753072,1.921982247,0.143162985,0.800361097,2.076332283,0.139719776,0.805316508,1.879126349,0.159349176,0.80385679,2.094894268,0.160289285,0.815611541,2.084006154,0.143160396,0.795674562,2.043725705,0.127900062,0.802512288,2.022046157,0.142627124,0.794368446,2.041061669,0.190133793,0.792639852,1.95776864,0.140935137,0.782690525,2.033149361,0.138422528,0.790066063,1.979941924,0.131578593,0.768285215,1.866911911,0.147825814,0.80385679,1.894018418,0.146140106,0.808773816,1.937327289,0.140059665,0.79336971,2.079835545,0.134805727,0.794291615,1.923833035,0.131965642,0.809887826,1.847505346,0.164560018
