Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.807699978,1.314556536,0.015346006,0.819199979,1.233566877,0.014351903,0.792800009,1.261664704,0.015249793,0.80400002,1.294884369,0.014264221,0.841499984,1.188463294,0.015007149,0.822700024,1.338395992,0.015426643,0.758300006,1.361201544,0.015484339,0.836600006,1.242847352,0.015746617,0.853500009,1.229473806,0.015842499,0.822300017,1.290413942,0.014414833,0.825500011,2.647946232,0.015630152,0.769400001,1.234867578,0.015633918,0.807099998,1.238813836,0.015668267,0.7773,1.26304037,0.01569972,0.837000012,1.21649265,0.01715958,0.828100026,1.442297881,0.016030066,0.830799997,1.313032855,0.015668288,0.838,2.628867891,0.015342299,0.83130002,1.17735514,0.014225791,0.805400014,1.172149642,0.014128497,0.821699977,1.235274463,0.014843163,0.83920002,1.216668616,0.014427076,0.859399974,1.176238608,0.015590847,0.821200013,1.190670426,0.014986699,0.77700001,1.197007231,0.015753305,0.833100021,1.34219293,0.015760065,0.835500002,1.25184009,0.014095054,0.838400006,1.177232047,0.016366633,0.847000003,1.290833058,0.015698293,0.819700003,1.419801553,0.015197843,0.780799985,1.290618681,0.014615875,0.832199991,1.27030141,0.015365768,0.850099981,2.804453314,0.014413636,0.84859997,1.623737564,0.01476736,0.828499973,1.270578619,0.015489217,0.830799997,1.168530074,0.014038605,0.824299991,1.274012634,0.019999067,0.821500003,1.245124277,0.015923322,0.832799971,1.22156261,0.015039573,0.832300007,5.280206546,0.015976722,0.814199984,1.256562276,0.015562059,0.857299984,1.195163113,0.015157305,0.793299973,1.740921761,0.015666664,0.840499997,1.308635624,0.014173185,0.827899992,1.276413959,0.015226539,0.836600006,1.503051533,0.015297755,0.834599972,1.403743501,0.01536768,0.81400001,1.23554101,0.015725106,0.818000019,1.254529054,0.014582308,0.844699979,1.650812454,0.015059117,0.807699978,1.314556536,0.015346006
1,0.870899975,1.263892906,0.015148432,0.87379998,1.240867312,0.013968756,0.887399971,1.239951408,0.013601866,0.863799989,1.267150702,0.015088923,0.878600001,1.399268512,0.01567187,0.889199972,1.279059192,0.01538121,0.850899994,1.25481529,0.015193759,0.872200012,1.183789426,0.015187198,0.893100023,1.278871297,0.014514664,0.888899982,1.259287614,0.014804955,0.881399989,1.318795267,0.015075706,0.855199993,1.251009595,0.015232548,0.873899996,1.258898681,0.015538932,0.870100021,1.371882372,0.015190334,0.892700016,1.328997883,0.01523378,0.891799986,1.396498767,0.015704026,0.882799983,1.33730644,0.015348559,0.886099994,1.265102476,0.014895005,0.87559998,1.249698167,0.014480134,0.854300022,1.202329485,0.014696206,0.867399991,1.202397115,0.013884572,0.870000005,1.199945282,0.015095579,0.885299981,1.297741442,0.014772946,0.878899992,1.303105458,0.015652393,0.86500001,1.20459695,0.015174149,0.906799972,1.159028651,0.013879639,0.874100029,1.143848371,0.015071146,0.874300003,1.240892239,0.014801272,0.902899981,1.183334479,0.014919262,0.878300011,1.160477811,0.01420925,0.890100002,1.156610145,0.015380276,0.904900014,1.166895204,0.014177438,0.884599984,3.841502758,0.013557772,0.894400001,1.169234238,0.014989617,0.857200027,1.16673123,0.015476254,0.886699975,1.194787792,0.013948962,0.877799988,1.24869646,0.021581416,0.882300019,1.201579244,0.014994517,0.898400009,1.243310064,0.013722829,0.870199978,1.154706079,0.015704978,0.882399976,1.205527549,0.015436401,0.893100023,1.243562479,0.015186181,0.851700008,1.164562918,0.014225378,0.880100012,1.166288773,0.015421509,0.89410001,4.968969986,0.015291784,0.880900025,1.342273271,0.014229341,0.882099986,1.14547895,0.014872952,0.868600011,1.250847686,0.014093153,0.85650003,1.24533326,0.013543695,0.873700023,1.142090919,0.015407858,0.870899975,1.263892906,0.015148432
2,0.884800017,1.188221595,0.015012111,0.896600008,4.551583432,0.014914608,0.906599998,1.166867143,0.015105095,0.89319998,1.176363721,0.014994743,0.898599982,1.157209032,0.015053067,0.919499993,1.200047346,0.01354117,0.873600006,1.18469995,0.013582873,0.889299989,1.245085627,0.01388809,0.894999981,1.246120079,0.015214324,0.911000013,1.192786361,0.01479585,0.91140002,1.214721671,0.015029226,0.891499996,1.26335989,0.013682091,0.909799993,1.396219739,0.014666149,0.901499987,1.197682118,0.01509805,0.918600023,1.241302172,0.015071403,0.914499998,1.192294388,0.015614342,0.904299974,1.186565621,0.015085162,0.9005,1.33331209,0.015174328,0.883099973,1.151727334,0.013980621,0.888800025,4.0815363,0.017435209,0.904999971,1.182667654,0.014879056,0.903900027,1.221016406,0.014867502,0.901899993,1.27706787,0.013956176,0.916400015,1.506437281,0.014458761,0.90109998,1.240210933,0.015823285,0.925700009,1.198793069,0.014918972,0.898800015,1.206448461,0.013924655,0.892199993,1.264410114,0.014928448,0.916400015,1.234496032,0.014162144,0.915099978,1.261927594,0.014526373,0.920799971,1.20148933,0.014541192,0.914799988,1.190946698,0.0150984,0.908399999,1.325176831,0.013959017,0.916599989,1.234401648,0.014982631,0.890399992,1.181861116,0.014458927,0.911000013,1.504897023,0.014956549,0.911300004,1.189851205,0.017590478,0.912599981,1.191839783,0.015380193,0.914600015,1.297108171,0.014439756,0.908999979,1.173823281,0.014478739,0.91109997,1.196438953,0.015147163,0.921199977,1.260940207,0.017788118,0.874300003,1.218321269,0.015172415,0.901199996,1.252860924,0.014979308,0.91930002,1.162941388,0.014528725,0.902199984,1.181750346,0.015163528,0.902100027,1.199079918,0.015207658,0.910300016,1.165886346,0.013807289,0.909600019,1.159371188,0.01463317,0.876600027,1.195522373,0.013935919,0.884800017,1.188221595,0.015012111
3,0.900300026,1.200530149,0.013882843,0.908800006,1.17698987,0.014029865,0.92110002,1.16493245,0.014973393,0.912500024,1.188902198,0.01507772,0.914699972,1.174827443,0.013797214,0.925700009,1.212545874,0.015125693,0.910700023,1.201062555,0.01496255,0.910300016,1.176659055,0.01396405,0.917100012,1.169729386,0.014938837,0.928600013,1.182323455,0.013470179,0.929700017,1.235810893,0.014901688,0.910700023,1.205619523,0.014771442,0.919200003,1.202153732,0.014991883,0.917699993,1.184729237,0.014821567,0.923799992,1.15696533,0.015129022,0.926800013,1.197970395,0.01510092,0.925199986,1.185586567,0.015198098,0.923399985,1.15663574,0.014302074,0.91140002,1.391856736,0.014630892,0.915899992,1.389945465,0.014825284,0.922399998,5.260116733,0.015138427,0.926900029,1.164883819,0.015079361,0.908699989,1.202610935,0.014252688,0.92930001,1.185018123,0.014157218,0.917500019,1.219371582,0.015185018,0.932900012,1.211406874,0.014027996,0.908500016,1.190879663,0.01515522,0.910300016,1.175987441,0.013746789,0.928900003,1.319360294,0.014697345,0.925300002,1.271744592,0.014768942,0.934700012,1.277443047,0.015204357,0.928300023,1.217206644,0.014870357,0.923300028,1.262377669,0.014460545,0.923699975,1.237728141,0.014827004,0.907800019,1.244573598,0.01446101,0.927100003,1.302127807,0.014208417,0.91960001,1.245497371,0.019152945,0.925300002,1.243116418,0.015462084,0.926100016,1.191588695,0.013557547,0.924300015,1.187770485,0.015248992,0.925300002,1.178925378,0.013342246,0.930400014,1.198692798,0.014278204,0.893400013,3.980583755,0.014078895,0.92049998,1.179793412,0.015228787,0.928600013,1.260633699,0.015129116,0.919200003,1.270039271,0.013719363,0.91839999,1.202629067,0.015149851,0.920799971,3.900497644,0.014741134,0.929899991,1.155486161,0.015017273,0.890399992,1.211920749,0.015167321,0.900300026,1.200530149,0.013882843
4,0.904999971,1.26634329,0.015555672,0.918900013,1.26688066,0.015249173,0.928300023,1.161938613,0.015538375,0.921899974,1.188505952,0.015351527,0.930800021,1.237588482,0.014992525,0.925499976,1.240667186,0.014092262,0.927900016,1.159909268,0.015304669,0.921299994,1.242682165,0.014258622,0.932299972,1.213634709,0.01427816,0.934599996,1.152816303,0.015348951,0.941600025,1.208083849,0.015474821,0.921599984,1.191573885,0.015594269,0.929899991,1.18088522,0.014259272,0.923300028,1.289850161,0.015490046,0.9296,1.181272511,0.015488127,0.932500005,1.260636839,0.01544547,0.932299972,1.337486933,0.015605479,0.931299984,1.19313118,0.015481074,0.930100024,1.269071696,0.014172594,0.92809999,1.241880608,0.014034633,0.927999973,1.253453805,0.019025024,0.935299993,3.988842782,0.015424421,0.916000009,1.18361215,0.015555364,0.937900007,1.214315804,0.015239373,0.929499984,1.154902343,0.014337483,0.939499974,1.203657007,0.016072965,0.914300025,1.18483245,0.015549337,0.924000025,1.168583692,0.015170803,0.936800003,1.245755163,0.015590127,0.930299997,1.301873287,0.015678626,0.937399983,1.229429022,0.015825934,0.935299993,1.223908117,0.015749734,0.931699991,1.180488511,0.013820042,0.932500005,1.293943029,0.016282105,0.928499997,1.433491839,0.01616337,0.932900012,1.196790657,0.014627536,0.927600026,1.253817384,0.01916149,0.934099972,1.487173814,0.015906149,0.932699978,1.291945374,0.015083214,0.931999981,1.162114915,0.014612956,0.934499979,4.66975491,0.015080668,0.936100006,1.217244459,0.013991898,0.903800011,1.237362294,0.015481737,0.924899995,1.236414469,0.013891602,0.93779999,1.573688112,0.015529561,0.929199994,1.298403243,0.015437446,0.925700009,1.289932278,0.015533866,0.926199973,1.209243252,0.0155515,0.938499987,1.249583249,0.013795735,0.907100022,1.24383303,0.014533431,0.904999971,1.26634329,0.015555672
5,0.916999996,1.479483943,0.013987676,0.923500001,1.224992381,0.014506171,0.928900003,1.148825972,0.014931677,0.924000025,1.156654105,0.014874893,0.941799998,1.247815211,0.013932914,0.935400009,1.271563931,0.015195276,0.939100027,4.656493561,0.015087966,0.927999973,1.277395596,0.014825173,0.941399992,1.461264412,0.014166479,0.936800003,1.349172421,0.015074394,0.945599973,1.269121126,0.014856165,0.930199981,1.177104533,0.015151873,0.935899973,1.21065219,0.015250966,0.933300018,1.181881924,0.014940276,0.936200023,1.281189577,0.014013469,0.937099993,1.285890472,0.01673933,0.938000023,1.219218737,0.013761627,0.941799998,1.262588025,0.014676762,0.939199984,1.177981013,0.014062815,0.934800029,1.175274075,0.014549918,0.930700004,1.217482377,0.014625343,0.942499995,1.264342885,0.01363359,0.930800021,1.167724012,0.014048653,0.944599986,1.15216001,0.014339413,0.941900015,1.245217607,0.016431154,0.94749999,1.178188088,0.014848704,0.928300023,1.159471889,0.015146525,0.932399988,1.151002698,0.014375521,0.944199979,1.172953469,0.014839705,0.936399996,1.166328638,0.015416932,0.940699995,1.218443422,0.014791415,0.943700016,1.232768853,0.01487402,0.9375,1.200438217,0.013967687,0.938799977,1.186207551,0.015410837,0.933600008,1.239735374,0.014602025,0.940999985,1.172706978,0.013022865,0.930899978,1.222712164,0.018599183,0.936999977,1.225558693,0.014607171,0.938899994,1.190540626,0.014865077,0.933200002,1.236006911,0.014333115,0.940900028,1.229220108,0.014008715,0.941900015,1.218855971,0.014711011,0.917800009,1.535272002,0.013820635,0.933799982,1.303622062,0.01472775,0.944199979,1.277310148,0.015180146,0.933099985,1.256236668,0.014965776,0.927200019,1.270640496,0.01406881,0.930999994,1.254122784,0.013520388,0.942600012,1.322288735,0.01501624,0.914399981,1.330413526,0.014788518,0.916999996,1.479483943,0.013987676
6,0.923200011,1.207486707,0.015948295,0.930299997,1.293402314,0.015896508,0.935500026,1.171960681,0.023214899,0.934000015,1.182328429,0.016418836,0.946200013,1.324959119,0.016104495,0.93809998,1.220415207,0.014711812,0.944899976,1.265941377,0.016719155,0.926800013,1.273615341,0.015643613,0.947000027,1.526685254,0.015785201,0.941900015,1.555063289,0.016462335,0.948700011,1.180709801,0.015485802,0.936999977,1.170422928,0.016031088,0.941900015,1.222251761,0.014639128,0.936699986,1.20120269,0.015193738,0.944700003,1.307919447,0.015859485,0.940299988,1.181973645,0.015312752,0.947600007,1.161345127,0.016442521,0.948499978,1.256335441,0.014558709,0.942700028,1.429983414,0.014553291,0.942799985,1.353886135,0.015345741,0.936100006,1.355038902,0.014231827,0.950100005,1.312690168,0.015937122,0.938799977,1.174514409,0.014893689,0.949000001,1.16812224,0.014513819,0.945800006,1.232303096,0.01544807,0.949199975,4.12111985,0.016379256,0.932500005,1.155156152,0.015521059,0.93809998,4.577003716,0.015289702,0.947300017,1.164576677,0.016469989,0.942399979,1.181567841,0.015048312,0.943499982,1.142770261,0.016080126,0.945900023,1.208783527,0.016540654,0.941299975,1.433050077,0.014213127,0.942499995,1.198413076,0.016311407,0.937399983,1.19457117,0.020080008,0.946799994,1.295450327,0.031741737,0.93690002,1.195402066,0.02088642,0.940299988,1.205119884,0.01657699,0.941100001,1.242535614,0.01595696,0.936699986,1.222222246,0.016165186,0.948899984,1.186713414,0.016046361,0.946799994,1.17258146,0.015942337,0.926299989,1.276899123,0.015659818,0.939999998,1.252542136,0.015968021,0.944000006,1.265678334,0.016003533,0.940400004,1.178378641,0.016038711,0.931599975,1.290111597,0.014855854,0.934899986,1.323421937,0.016495943,0.947799981,1.376470747,0.016483336,0.92839998,1.242668675,0.014129031,0.923200011,1.207486707,0.015948295
7,0.925499976,1.22269218,0.014153498,0.938399971,1.271579838,0.013668254,0.932500005,4.131719711,0.014989537,0.93870002,1.179957073,0.014057768,0.949500024,1.206767257,0.015953504,0.941799998,1.273903637,0.015022989,0.950399995,1.257131314,0.015416048,0.92900002,1.263202718,0.014868812,0.953599989,1.185422494,0.014635044,0.944599986,1.209798135,0.015272431,0.950399995,1.153054793,0.013944178,0.944299996,1.168341141,0.01409761,0.944199979,1.190892908,0.014216122,0.939400017,1.200082497,0.015212367,0.948899984,1.222024062,0.015701396,0.944100022,1.1901485,0.013994675,0.951600015,1.160419664,0.015045587,0.951300025,1.224454284,0.015185962,0.943899989,1.259168786,0.013864352,0.944999993,1.252959747,0.013985487,0.939100027,1.281668394,0.015226031,0.953800023,1.365152694,0.014682094,0.945200026,1.162775774,0.015767623,0.953599989,1.148437989,0.014790789,0.952000022,1.4419686,0.014221193,0.949100018,1.263693957,0.015046386,0.939199984,1.168016912,0.015578383,0.9375,4.431063469,0.013989743,0.952300012,1.219029344,0.01470273,0.948199987,1.160915696,0.015158179,0.949100018,1.185958615,0.015616729,0.949599981,1.190863114,0.015130882,0.94749999,1.482262888,0.013888394,0.945800006,1.229272887,0.015527045,0.941799998,1.421825314,0.01527962,0.948099971,1.25746186,0.014284195,0.940800011,1.303213749,0.02034118,0.944800019,1.21896445,0.014557156,0.944500029,1.209929277,0.015373513,0.935599983,1.326437387,0.01593159,0.953700006,1.250100378,0.014711681,0.952400029,1.169035949,0.014795601,0.935500026,1.324810765,0.015316678,0.942200005,1.218710357,0.015119759,0.945200026,1.196992373,0.014007788,0.9454,1.226358437,0.015055188,0.935100019,1.223076035,0.014234383,0.940400004,1.271976466,0.015316554,0.950800002,1.291824974,0.015153216,0.934700012,1.277109193,0.014688204,0.925499976,1.22269218,0.014153498
8,0.929700017,1.17517593,0.015257426,0.942099988,1.230100226,0.015554689,0.932299972,4.500987253,0.014662031,0.943300009,1.13972222,0.019772976,0.953400016,1.285576593,0.016440883,0.946399987,1.179968978,0.014348124,0.952000022,1.490844868,0.014598225,0.930999994,1.257854922,0.013810613,0.957400024,1.268657222,0.014774561,0.949999988,1.309868958,0.015216027,0.954100013,1.190962856,0.016933524,0.950200021,1.168797197,0.015470834,0.947600007,1.231399116,0.015131297,0.943799973,1.160969105,0.015345602,0.952499986,1.181799694,0.014903898,0.94749999,1.174408785,0.014602516,0.954100013,1.170712055,0.014700333,0.95450002,1.233271346,0.014689871,0.946799994,1.188810933,0.01479449,0.948000014,1.179392018,0.014594251,0.942700028,1.221317791,0.013748575,0.955799997,1.233201811,0.014400229,0.950999975,1.171321356,0.014118394,0.957099974,1.158989271,0.015043192,0.954100013,1.212409559,0.014849093,0.950100005,1.246273206,0.0154758,0.942799985,1.146882827,0.015108111,0.943400025,4.467702399,0.01462108,0.952400029,1.184747534,0.015880999,0.950399995,1.165277442,0.015040221,0.950900018,1.15468369,0.014825888,0.952300012,1.15881598,0.015302498,0.949899971,1.225323732,0.013509645,0.948300004,1.177121935,0.014683709,0.943599999,1.193890368,0.014887908,0.950900018,1.236370812,0.013976072,0.945500016,1.268842029,0.0229947,0.946500003,1.239715867,0.015444004,0.948800027,1.15656643,0.01407803,0.937900007,1.234941624,0.015878082,0.958599985,1.420551184,0.015161442,0.955799997,1.189889154,0.015292047,0.943000019,1.235919216,0.015111554,0.948599994,1.316564727,0.014846693,0.948499978,1.311180042,0.014781789,0.948800027,1.208764725,0.014561474,0.942499995,1.338311219,0.014754612,0.945100009,1.301884116,0.015436828,0.950399995,1.243766896,0.015415565,0.941200018,1.2363017,0.015229529,0.929700017,1.17517593,0.015257426
9,0.933099985,1.205182928,0.014225499,0.944000006,1.233455074,0.015218144,0.936200023,1.165901348,0.015133807,0.952000022,1.166765223,0.014195754,0.956799984,1.229102231,0.01563685,0.949500024,1.256476531,0.015076073,0.951900005,4.757445384,0.015040232,0.940800011,1.301740123,0.015063632,0.959399998,1.278258874,0.013656599,0.948099971,1.245989813,0.014245815,0.956700027,1.175524646,0.014966873,0.953400016,1.175527171,0.015027969,0.950800002,1.18386916,0.014733245,0.944000006,1.229408802,0.015065712,0.9551,1.249619759,0.014281825,0.950399995,1.184052336,0.014417171,0.95599997,1.174563711,0.015115408,0.957599998,1.224419408,0.014430767,0.949999988,1.322767649,0.013594152,0.952799976,1.263160107,0.013777247,0.944299996,1.229744831,0.015063973,0.959500015,1.245831049,0.014756338,0.9551,1.164355343,0.015984363,0.958999991,1.162552341,0.014013344,0.953999996,4.521894322,0.014574129,0.950900018,4.658801386,0.014916202,0.946699977,1.148262819,0.014644175,0.94599998,1.14185209,0.014052541,0.957499981,1.176870162,0.014355313,0.952899992,1.191819892,0.014474241,0.953000009,1.165319158,0.014587224,0.954699993,1.165676055,0.015234475,0.952799976,1.173523487,0.014868886,0.951099992,1.161569891,0.015645926,0.946099997,1.170195242,0.014129698,0.950299978,1.199916991,0.014490519,0.946799994,1.196737022,0.021215687,0.947600007,1.168654979,0.014983755,0.950399995,1.171312616,0.01528168,0.942499995,1.241616474,0.014411017,0.961600006,1.459397888,0.014626744,0.957599998,1.180910272,0.014910378,0.947000027,1.271786357,0.014651534,0.953299999,1.276029682,0.014733579,0.950600028,1.25945648,0.014702585,0.952799976,1.387306614,0.014700826,0.949000001,1.237096865,0.014966468,0.949199975,1.23624871,0.015251647,0.952199996,1.242285852,0.014068138,0.942399979,1.255965776,0.014849305,0.933099985,1.205182928,0.014225499
