Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.130199999,1.035259515,0.006984802,0.170900002,1.055906645,0.006896562,0.190200001,1.015746331,0.006833603,0.204999998,1.05771048,0.007772753,0.195199996,1.01953226,0.007732006,0.214699998,1.018594259,0.007842354,0.237200007,1.06778703,0.007827791,0.100699998,1.026970492,0.007848136,0.2042,1.031578921,0.007195476,0.149800003,1.039798845,0.00725648,0.144400001,1.05017875,0.006698476,0.183500007,1.026707824,0.006872676,0.204099998,1.02804729,0.007728597,0.213499993,1.029235189,0.006754848,0.102399997,1.042312096,0.00767013,0.192300007,1.035530835,0.007966343,0.207800001,1.019710119,0.007065361,0.226400003,1.758630241,0.0069295,0.187199995,1.02621799,0.007977466,0.168099999,1.042219568,0.006613038,0.183799997,1.036763747,0.007203291,0.200900003,1.041733797,0.008028858,0.1875,1.021079339,0.007662825,0.154699996,1.048101056,0.006884476,0.172800004,2.059324649,0.006996551,0.172800004,1.042910173,0.007290128,0.157499999,1.014210714,0.007704161,0.209099993,1.025818543,0.007749116,0.152999997,1.03675007,0.006705815,0.153400004,1.090507282,0.007047749,0.198300004,1.068233293,0.007831922,0.152500004,1.057566775,0.006981785,0.207499996,1.0496139,0.006494317,0.131799996,1.071093874,0.008275151,0.155000001,1.019988053,0.008187451,0.194800004,1.044434636,0.007542485,0.204799995,1.831775919,0.008048285,0.206599995,1.031070415,0.007271964,0.221300006,1.063495461,0.007992845,0.174700007,1.023334638,0.007704111,0.170599997,1.055097403,0.006996687,0.194800004,1.023808255,0.007393963,0.171599999,1.045096035,0.006908926,0.126100004,1.030005598,0.008022775,0.154300004,1.411329061,0.006851746,0.2227,1.023396352,0.00713679,0.208399996,1.025898879,0.0080845,0.153699994,1.01815803,0.006847705,0.147599995,1.059188411,0.007841919,0.212599993,1.034391405,0.007114803,0.130199999,1.035259515,0.006984802
1,0.2227,1.032728683,0.007568391,0.280699998,1.073713982,0.007527224,0.226799995,2.661490404,0.007408094,0.270099998,1.056545628,0.007618114,0.250699997,1.02338037,0.007636786,0.2236,1.033194494,0.007679495,0.207100004,1.050339469,0.007560933,0.125300005,1.031117505,0.00753525,0.238299996,1.030291926,0.007658478,0.1734,1.048830768,0.007631046,0.217999995,1.03681603,0.007612711,0.255400002,2.493844558,0.007370132,0.254200011,1.058618237,0.00761264,0.242400005,1.045467097,0.007600344,0.244299993,1.030367081,0.007467008,0.238600001,1.049305618,0.007467604,0.265700012,1.031184695,0.007718094,0.269600004,1.080034701,0.007434744,0.269800007,1.047692543,0.007386755,0.257600009,1.060914028,0.007343073,0.272899985,1.028824196,0.007407599,0.221000001,1.040587134,0.007495843,0.271400005,1.040526139,0.007549564,0.263700008,1.024617259,0.007583008,0.229200006,1.044057787,0.007472881,0.231999993,1.031443648,0.00763204,0.245100006,1.021203782,0.007515348,0.2403,1.0546126,0.007584356,0.250999987,1.028666036,0.007882811,0.2245,1.033925819,0.007775717,0.238399997,1.04731017,0.007755704,0.282099992,1.030102307,0.007610089,0.272199988,2.862101477,0.008651176,0.253199995,1.048922373,0.008196349,0.200900003,2.320708424,0.00798835,0.260500014,1.043264366,0.006674242,0.204799995,1.831775919,0.008622689,0.230000004,1.038180917,0.008112411,0.262300014,1.047369311,0.007556636,0.215499997,1.058719346,0.007580938,0.255699992,1.026126394,0.007386075,0.252299994,1.07449811,0.007743826,0.236100003,1.008317289,0.007538833,0.186900005,1.022950134,0.007696663,0.204400003,1.036142267,0.007509696,0.284000009,1.053721919,0.007526725,0.257099986,1.026496936,0.007738566,0.201499999,1.057632001,0.007562723,0.252700001,1.027801455,0.007593409,0.254700005,1.029560105,0.007565661,0.2227,1.032728683,0.007568391
2,0.305700004,1.052054527,0.007553918,0.277099997,1.039389916,0.007496904,0.305999994,1.043512746,0.007986654,0.303299993,1.058728386,0.00783725,0.299800009,1.04667543,0.007695191,0.273299992,1.035921868,0.007711784,0.232199997,1.038866746,0.007573826,0.214900002,1.039106292,0.007537908,0.282999992,1.067223384,0.007557248,0.261999995,1.029282705,0.018886417,0.261200011,1.093107324,0.007638339,0.286500007,1.071864781,0.007454789,0.282299995,1.117468091,0.007548715,0.288800001,2.913753758,0.007423075,0.271499991,2.852474815,0.007583873,0.275599986,1.062733703,0.007608885,0.278699994,1.044617519,0.008216384,0.32159999,1.062884622,0.007523504,0.293199986,2.621812091,0.008538881,0.275900006,1.052099024,0.008829203,0.270900011,1.040358628,0.007961531,0.2676,1.043521168,0.007541801,0.307300001,1.038524665,0.007666963,0.2861,1.036549779,0.007525765,0.294999987,1.077681403,0.0074278,0.246999994,1.04135239,0.007635537,0.282299995,1.070830238,0.007685611,0.307599992,1.058217027,0.007617472,0.272500008,1.044823342,0.007821281,0.2667,1.093868787,0.007794055,0.30219999,1.072749661,0.007792689,0.308699995,1.033481026,0.008349901,0.31279999,1.065773462,0.007807798,0.30340001,1.105578992,0.008930077,0.269800007,1.059309977,0.007678801,0.287200004,1.046179082,0.008456502,0.232800007,1.022830896,0.014161958,0.267800003,1.038650546,0.007943817,0.299800009,1.051521514,0.007481229,0.226600006,1.07763782,0.007812902,0.2861,1.107063535,0.007532642,0.305700004,1.052323004,0.007834632,0.269499987,1.035295412,0.00757183,0.194999993,1.065836436,0.007914697,0.231999993,1.042183599,0.007632986,0.314099997,1.053479093,0.007686127,0.282900006,1.051467835,0.007699006,0.231600001,1.063032716,0.007449872,0.289400011,1.058053065,0.007555354,0.280800015,1.084538502,0.007579889,0.305700004,1.052054527,0.007553918
3,0.299800009,1.041885235,0.007333948,0.309500009,1.044237281,0.007302098,0.312999994,1.046038616,0.007320477,0.318699986,1.064350169,0.007479711,0.304399997,1.04082926,0.007485286,0.311100006,1.027504952,0.007535384,0.274199992,1.062387427,0.007378998,0.213100001,1.078082596,0.007445193,0.313699991,1.06197826,0.00734991,0.285400003,1.058895965,0.00743588,0.291500002,1.059333822,0.007375662,0.318199992,1.062278628,0.007369782,0.294400007,1.036375484,0.007505703,0.298700005,1.04352369,0.007442023,0.279399991,1.076579008,0.007401073,0.288399994,1.080570867,0.007378656,0.296099991,1.046775382,0.007455401,0.333900005,1.064061991,0.007434635,0.304399997,1.060324815,0.00729163,0.290300012,1.033423667,0.007691022,0.294,1.063549924,0.007451453,0.3125,1.082646062,0.007351267,0.31400001,1.049740773,0.007352064,0.262699991,1.037162515,0.007243176,0.306300014,1.039207708,0.007314441,0.284000009,1.04794097,0.007548007,0.314599991,1.072537364,0.007462887,0.301800013,1.036593078,0.007494412,0.28459999,1.041321273,0.007424301,0.27700001,1.037180225,0.007421232,0.308800012,1.066382586,0.007511359,0.343199998,1.040006821,0.007538381,0.331,1.076053574,0.007436915,0.32069999,1.041266759,0.008132971,0.277500004,1.067677315,0.007940757,0.298299998,1.054398209,0.007676069,0.232800007,1.022830896,0.007985209,0.274599999,1.039921416,0.008106986,0.316199988,1.03114871,0.00736729,0.292400002,1.039746617,0.007427343,0.298799992,1.059457897,0.00751509,0.32159999,1.04594915,0.007466038,0.313199997,1.049463667,0.007373474,0.253600001,1.036011882,0.007543609,0.271600008,1.053119606,0.007388232,0.334699988,1.040847208,0.007398073,0.308099985,1.060553899,0.007514731,0.252700001,1.055496597,0.007361088,0.316799998,1.061441101,0.007252374,0.299199998,1.031709756,0.007448839,0.299800009,1.041885235,0.007333948
4,0.332100004,1.06793337,0.007874609,0.344700009,1.059304088,0.007547151,0.311300009,1.041750203,0.007660004,0.304800004,1.055357775,0.007954953,0.302899987,1.10135498,0.007802819,0.320499986,1.111945315,0.007929093,0.2773,1.066089929,0.007648831,0.202000007,1.089264076,0.007605086,0.326000005,1.066051957,0.007791723,0.298099995,1.035076674,0.007455235,0.288700014,1.066686024,0.007690033,0.328000009,1.058544003,0.007623285,0.30309999,1.031464289,0.007625848,0.321799994,1.039759636,0.007773131,0.269899994,1.065493515,0.007501786,0.290499985,1.084856151,0.007943463,0.296499997,1.075846154,0.007968364,0.33919999,1.049352341,0.007486622,0.284799993,1.067289808,0.007897609,0.308800012,1.043908841,0.007449942,0.304500014,1.052614978,0.007578239,0.325100005,1.054789751,0.00754033,0.324600011,1.039820357,0.007733105,0.274599999,1.0419545,0.007701359,0.31220001,1.067387725,0.007633646,0.298700005,1.053260036,0.008012055,0.307300001,1.125157016,0.008077876,0.30430001,1.088364021,0.007636013,0.289299995,1.094776059,0.008010386,0.282299995,1.094396031,0.00813446,0.331400007,1.140209479,0.008070942,0.341600001,1.086704554,0.008007834,0.341899991,1.045013006,0.007311205,0.324099988,1.04741645,0.008492403,0.296499997,1.054557243,0.008252246,0.316199988,1.041787672,0.008271893,0.280200005,1.061789988,0.011640039,0.292499989,1.034335444,0.00847147,0.323500007,1.053005654,0.007412336,0.296799988,1.103885408,0.007915557,0.311699986,1.044194385,0.007966714,0.332800001,1.040897833,0.007542589,0.327800006,1.049102376,0.008006212,0.252600014,1.085877085,0.008017074,0.28459999,1.081169689,0.007827246,0.337099999,3.087697727,0.007857367,0.322100013,1.030752658,0.008050849,0.260600001,3.070442584,0.007778895,0.323799998,1.044467694,0.007673974,0.300599992,1.072532646,0.008012697,0.332100004,1.06793337,0.007874609
5,0.317000002,1.049181089,0.007730055,0.341199994,1.059552443,0.007828292,0.334300011,1.027760508,0.007755144,0.330599993,1.035377712,0.007819927,0.307900012,1.071121395,0.007908753,0.324200004,1.06242542,0.008003275,0.26699999,1.054841149,0.007646675,0.221499994,1.069451332,0.00784195,0.319000006,1.086757747,0.0079247,0.309500009,1.048640619,0.007756918,0.303000003,1.051716851,0.007734583,0.338,1.038941914,0.007939664,0.31189999,1.030742033,0.007911202,0.322600007,1.049977669,0.007789397,0.271800011,1.064636182,0.007663614,0.314399987,1.047365343,0.007755698,0.31099999,1.070927557,0.007827217,0.349400014,1.034983861,0.007785801,0.292100012,1.055835144,0.008569503,0.323199987,1.072433705,0.008096284,0.306400001,1.073689761,0.009741994,0.338999987,1.077550101,0.007694652,0.323599994,1.043374338,0.007809876,0.282900006,1.107909231,0.007717809,0.315200001,1.05927839,0.00765911,0.308400005,1.03685298,0.00778129,0.281500012,1.064456111,0.008011273,0.314599991,1.07045756,0.007909057,0.312599987,1.095195452,0.007804472,0.288500011,1.08610687,0.007887818,0.327899992,1.059728008,0.008082433,0.357800007,1.051241561,0.008048935,0.339399993,1.064933219,0.007507264,0.317799985,1.025728847,0.008145563,0.319200009,1.045934611,0.008072831,0.326400012,1.083580727,0.00727849,0.280200005,1.061789988,0.007668825,0.312400013,1.036221861,0.008396757,0.322899997,1.037248455,0.007686668,0.333200008,1.049227388,0.007848129,0.315800011,1.053807003,0.007719479,0.332500011,1.047788306,0.00785858,0.327800006,1.033833491,0.007705669,0.293099999,1.05588116,0.007686285,0.290800005,2.793176835,0.007759882,0.343800008,1.08308417,0.00779585,0.333000004,1.032756892,0.00784032,0.248799995,1.116026206,0.007621839,0.337599993,1.031852238,0.007784176,0.302399993,1.043626454,0.007771714,0.317000002,1.049181089,0.007730055
6,0.325100005,1.055153464,0.007401188,0.341699988,1.069350293,0.007290891,0.331400007,1.034809305,0.007427199,0.296499997,1.031433342,0.007534781,0.317799985,1.140818071,0.007621815,0.333999991,1.059969598,0.007538554,0.266200006,1.041079047,0.007430147,0.219099998,1.114151452,0.00756421,0.334500015,1.055204889,0.007676115,0.312000006,3.032094129,0.007703608,0.314099997,1.037343085,0.007729993,0.341800004,1.037622433,0.007471169,0.320300013,1.075922517,0.007720905,0.333700001,1.050432437,0.007511228,0.272300005,1.0923914,0.007504143,0.337099999,1.042776433,0.007460849,0.309799999,1.048160828,0.007642875,0.3495,1.032736924,0.007539063,0.29550001,1.057400089,0.007453666,0.332300007,1.073394279,0.007425412,0.309100002,1.043432695,0.009003414,0.336199999,1.056539115,0.007932168,0.333700001,1.106822538,0.007512012,0.291999996,1.081682963,0.007605942,0.332700014,1.082897104,0.007579716,0.309500009,1.045000923,0.007656113,0.291299999,1.057917966,0.007537451,0.335799992,1.087809758,0.007618437,0.328799993,1.111643382,0.007605246,0.297899991,1.073450995,0.007617022,0.335999995,1.08173052,0.007640098,0.363000005,1.064760197,0.007482759,0.345800012,1.041671906,0.006787131,0.33039999,2.959641392,0.008020649,0.333000004,1.049943023,0.007749448,0.320300013,1.043892468,0.006418784,0.304399997,1.051126405,0.011335315,0.330000013,1.035881669,0.007965816,0.326900005,1.050118405,0.00746033,0.344599992,1.03816224,0.007538886,0.316799998,1.047874265,0.007534265,0.338099986,1.0570005,0.007458138,0.335099995,1.051167111,0.00753232,0.292199999,1.053927213,0.007563268,0.280699998,1.116568452,0.007538854,0.353100002,1.091019101,0.007498443,0.338,2.906225358,0.007465674,0.244800001,1.109718668,0.007559057,0.337300003,1.161733421,0.007525011,0.302399993,1.046490108,0.007485942,0.325100005,1.055153464,0.007401188
7,0.316599995,1.060104616,0.007457204,0.342000008,1.061294266,0.007618489,0.340999991,1.051984002,0.007633544,0.344799995,1.041000978,0.007515323,0.310200006,1.065950695,0.007613473,0.327899992,1.096103755,0.007620902,0.262300014,3.416288576,0.007392042,0.211600006,1.043622605,0.007365672,0.307799995,1.045098746,0.007493052,0.311199993,1.076245833,0.007503597,0.303900003,1.049240758,0.007479279,0.340999991,1.038116854,0.007361433,0.317400008,1.044838474,0.007545595,0.331099987,1.045107034,0.007336709,0.283600003,1.047436801,0.007349133,0.330900013,1.063381924,0.007456583,0.296900004,1.077388407,0.00751573,0.349400014,1.042990442,0.00725026,0.287499994,1.041896756,0.007909671,0.326099992,1.039320139,0.007557369,0.305000007,1.052415068,0.008568802,0.336400002,1.059002479,0.007577112,0.343100011,1.084618739,0.007440369,0.291599989,1.059848433,0.007390228,0.326999992,1.10003506,0.007892725,0.291700006,1.038145949,0.007792593,0.293599993,1.040593217,0.007631241,0.34040001,1.093801588,0.007548121,0.324499995,1.076433576,0.007482752,0.297199994,1.092268077,0.007485535,0.335599989,1.055242815,0.00759629,0.347000003,1.074768425,0.007638803,0.351599991,1.051124326,0.006983515,0.298500001,1.074641874,0.008165752,0.306899995,1.116589624,0.007705758,0.327399999,1.034952682,0.006572191,0.304399997,1.051126405,0.00728874,0.330500007,1.046381625,0.007869917,0.342400014,1.039942137,0.00732749,0.338,1.054050083,0.007656579,0.319700003,1.086469075,0.00755406,0.331699997,1.102026167,0.007438414,0.329899997,1.068255363,0.007365269,0.253100008,1.02344403,0.007643912,0.262400001,1.143366284,0.007526876,0.338,1.067629192,0.007407014,0.338999987,1.128312376,0.007712284,0.231700003,1.082126038,0.007588192,0.336600006,1.127730684,0.007474636,0.307500005,3.043779036,0.007363534,0.316599995,1.060104616,0.007457204
8,0.304800004,1.052364589,0.007298097,0.332100004,1.054765477,0.007336498,0.335099995,1.042376601,0.007235972,0.326299995,1.051627545,0.007398356,0.314399987,1.063026177,0.007462757,0.328700006,1.080696984,0.007630398,0.255899996,3.27834322,0.007308113,0.199200004,1.054153639,0.007606789,0.298400015,1.037441125,0.007402939,0.30430001,1.096827633,0.007462961,0.294999987,1.065054644,0.00736982,0.343600005,1.0402771,0.007328368,0.314900011,1.11677521,0.007353951,0.329899997,1.038472109,0.007363515,0.286500007,1.097436927,0.007222172,0.320199996,1.06763502,0.0073837,0.284200013,1.053915955,0.007488549,0.345800012,1.04560221,0.00732183,0.277500004,1.104123761,0.007893165,0.328700006,1.102551883,0.007848539,0.300999999,1.062616271,0.008067893,0.337000012,1.074352308,0.007963742,0.338699996,1.115181526,0.00730984,0.287400007,1.090315137,0.007193701,0.322899997,1.092842951,0.00809945,0.28490001,1.084172916,0.007466777,0.300599992,1.042323945,0.007474263,0.345699996,1.083546952,0.011182575,0.325800002,1.05452556,0.007496818,0.298200011,1.069296691,0.007627924,0.32949999,1.038817316,0.008770843,0.344599992,1.055846937,0.007578251,0.351999998,1.045334749,0.007226564,0.289600015,1.095809874,0.007954925,0.290699989,1.08151792,0.007801102,0.308899999,1.04313314,0.006679768,0.333299994,1.034911831,0.012769604,0.321200013,2.945520337,0.00802787,0.336299986,1.076895656,0.007236728,0.330799997,1.091301505,0.00737152,0.320899993,1.03210471,0.007457287,0.329100013,3.136697931,0.007411991,0.324900001,1.049601149,0.007421951,0.247899994,1.036258226,0.007440085,0.252299994,1.079560493,0.007439576,0.338,1.057707659,0.007492897,0.325700015,1.08771978,0.007584331,0.221499994,1.098241746,0.007308249,0.332500011,1.150797581,0.007386293,0.306899995,1.10162191,0.007537115,0.304800004,1.052364589,0.007298097
9,0.29429999,1.048138194,0.007404931,0.325199991,1.05332201,0.007533626,0.345699996,1.043276084,0.007401101,0.338699996,1.041590511,0.007571922,0.315100014,1.077235266,0.007550406,0.326599985,1.060698037,0.007484002,0.239700004,1.034337386,0.007333234,0.219899997,1.055667975,0.007398217,0.314799994,1.047104935,0.00739179,0.303600013,1.095305907,0.007462876,0.297199994,1.039819466,0.007365877,0.338800013,1.035093161,0.007378749,0.308800012,1.045642464,0.007577628,0.326799989,1.05761193,0.007412356,0.286000013,1.046033564,0.007395723,0.316199988,1.057146576,0.007383442,0.277399987,1.049024246,0.007495051,0.344199985,1.047730287,0.007379008,0.268900007,1.049248929,0.007385441,0.323900014,1.044027178,0.007314661,0.300700009,1.055409978,0.007465442,0.333700001,1.073761243,0.007585924,0.337199986,1.11647863,0.007366189,0.287999988,1.097669494,0.007714753,0.317900002,1.117442897,0.007921691,0.278200001,1.097039404,0.007408344,0.319000006,1.067930408,0.007374614,0.344099998,1.154395442,0.008625798,0.325800002,1.073131992,0.007334143,0.283100009,1.133660423,0.007180116,0.32190001,1.101728946,0.007880504,0.333600014,1.078692973,0.007073759,0.338099986,1.046537367,0.006978692,0.283399999,1.116688264,0.008341848,0.291900009,1.142764165,0.007726519,0.285699993,1.048438816,0.006554045,0.333299994,1.034911831,0.006942237,0.315200001,3.07752003,0.008128703,0.331499994,1.041179918,0.007311862,0.3292,1.053910554,0.007428107,0.319200009,1.105916781,0.007394955,0.324600011,1.053777235,0.00745469,0.326799989,1.029879334,0.007444792,0.247400001,1.039965842,0.007481245,0.249200001,1.123028487,0.007372265,0.330199987,1.106741853,0.0074694,0.324099988,1.105705742,0.007515456,0.220300004,1.112748985,0.007443184,0.331999987,1.094324318,0.00735016,0.305999994,3.120561646,0.007403708,0.29429999,1.048138194,0.007404931
