Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.62379998,1.260253935,0.009083412,0.636200011,1.215628594,0.009098854,0.611400008,1.320109873,0.009388548,0.578100026,1.314640123,0.009123528,0.624599993,1.2240918,0.009068632,0.657700002,1.4228624,0.00913535,0.630200028,1.22882327,0.008524091,0.670300007,1.33099998,0.008395602,0.658299983,1.212657322,0.008317938,0.662100017,1.21985176,0.009281951,0.589299977,1.214851484,0.009288639,0.636900008,1.194126368,0.009009763,0.618799984,1.227737192,0.009236494,0.649500012,2.282457591,0.009644469,0.619199991,1.202615123,0.008706264,0.640500009,1.2349327,0.00887015,0.581099987,1.310480314,0.009237885,0.652700007,1.173505713,0.0094291,0.573599994,1.182577883,0.00823719,0.656700015,1.169402765,0.008364104,0.629100025,1.185238971,0.008466448,0.597199976,1.177271255,0.009141271,0.655600011,1.191834631,0.008254979,0.620199978,2.583747168,0.008485708,0.658800006,1.18968813,0.012431347,0.592499971,1.236055948,0.009062966,0.647700012,1.283250696,0.00891069,0.616299987,1.203146892,0.008860979,0.619799972,1.322964958,0.009090814,0.591700017,1.415575483,0.009472617,0.604600012,1.246613754,0.009229546,0.6329,1.549747454,0.009140355,0.665099978,1.209301441,0.007659765,0.616599977,1.243365995,0.009571386,0.645799994,1.248624069,0.009702147,0.627399981,1.173509902,0.008206584,0.610599995,1.257521422,0.014316858,0.653800011,1.257039212,0.009916761,0.653299987,1.18473756,0.008713501,0.610199988,1.379645431,0.009167322,0.625999987,5.038616608,0.009125162,0.614600003,1.185423911,0.008752341,0.624899983,1.267002857,0.008933363,0.65140003,1.239498652,0.009305723,0.687399983,1.277274421,0.009342392,0.675499976,1.379903272,0.00918186,0.628799975,1.399704409,0.009289493,0.63499999,1.220846262,0.009014414,0.681800008,1.293368509,0.008728335,0.636300027,1.236716154,0.008979675,0.62379998,1.260253935,0.009083412
1,0.694800019,1.24194237,0.009445793,0.661000013,3.781143927,0.009251194,0.690199971,1.190479118,0.009442983,0.624899983,1.213387105,0.009671533,0.6972,1.151036744,0.009043809,0.698300004,1.243097433,0.009523653,0.656499982,1.218986655,0.008959375,0.707499981,1.200173449,0.009120786,0.670899987,1.173944119,0.008701747,0.707000017,1.182597668,0.008771941,0.68870002,1.226328291,0.009384355,0.700100005,1.176620935,0.009419141,0.658200026,1.174322049,0.009311703,0.672299981,1.431061024,0.009474144,0.665799975,1.193895824,0.008975358,0.669099987,1.229134112,0.009509834,0.646499991,1.242388882,0.009463538,0.686100006,1.179170312,0.009398322,0.693499982,1.173187108,0.008136292,0.703199983,1.153070694,0.008388561,0.663100004,1.190207545,0.010347975,0.648599982,1.203570501,0.0089497,0.70630002,1.281925159,0.009329247,0.650600016,1.192214935,0.009203442,0.675000012,1.18939622,0.009119175,0.648100019,1.199257453,0.009331262,0.676900029,1.171775681,0.00956333,0.654799998,1.183266754,0.00875011,0.704999983,1.258151742,0.009871871,0.642700016,1.24464985,0.009935381,0.659200013,1.356043804,0.009582713,0.67900002,1.242133162,0.009495212,0.710099995,1.232775151,0.008768586,0.657500029,3.960388808,0.009931794,0.700600028,1.171674434,0.010055637,0.639999986,1.156978338,0.008821339,0.680400014,1.178462745,0.015230053,0.681599975,1.1691869,0.010335973,0.718800008,1.156180887,0.009504047,0.680100024,1.172075006,0.009389236,0.647199988,1.149797825,0.00960081,0.682799995,1.159501784,0.00904869,0.670700014,1.17682147,0.008776317,0.70480001,1.150284194,0.008902672,0.71450001,1.153408882,0.009520773,0.69690001,1.248930304,0.009315659,0.645600021,1.157699073,0.009453141,0.682500005,1.140500391,0.009121328,0.669099987,1.160454011,0.009539045,0.686399996,1.165746318,0.009298676,0.694800019,1.24194237,0.009445793
2,0.712400019,1.176122116,0.009000548,0.715699971,1.16384553,0.00883551,0.717899978,1.260520753,0.008831704,0.650099993,1.39702043,0.008987966,0.695100009,1.163546573,0.008464267,0.700800002,1.176264873,0.009065852,0.704900026,1.23320071,0.009011143,0.731100023,1.158964326,0.008915479,0.689100027,1.166833204,0.008924048,0.722100019,1.233654602,0.008396155,0.731899977,1.481855756,0.008954434,0.715300024,1.254046209,0.008971882,0.670400023,3.927239196,0.008249918,0.690400004,3.730536101,0.00892588,0.690699995,1.148880572,0.008279947,0.680800021,1.152309695,0.009075867,0.703800023,1.166188623,0.008726296,0.699299991,1.180621765,0.008901584,0.729600012,1.198038863,0.009233897,0.717499971,1.184265664,0.008222552,0.701499999,1.305830427,0.008912013,0.665400028,1.195323904,0.008944814,0.7245,1.211718318,0.009051327,0.667400002,1.418143387,0.008926901,0.708800018,1.244011061,0.008894313,0.695100009,1.277825987,0.00900793,0.708899975,3.975594508,0.009042924,0.698599994,1.275297859,0.008965089,0.730099976,1.205033712,0.009232246,0.674499989,1.187503008,0.009279756,0.712899983,1.170858763,0.009039548,0.706799984,1.164234054,0.00908062,0.733099997,1.165262415,0.008415517,0.696699977,1.163713672,0.009332558,0.703800023,1.210450046,0.009301098,0.708999991,1.169133743,0.008143878,0.7148,1.192600679,0.012392088,0.699500024,1.18235265,0.009586006,0.730499983,1.307321836,0.00898895,0.704200029,1.263178232,0.008961673,0.668900013,1.499061369,0.008932405,0.69630003,1.279271467,0.008327605,0.681299984,1.197135428,0.008948524,0.694400012,1.237105109,0.009110682,0.721099973,1.189818853,0.008670366,0.724600017,1.190825296,0.010175101,0.67900002,1.184316584,0.008848217,0.7148,1.154781623,0.008951725,0.732599974,1.17285251,0.008158402,0.72240001,1.165819317,0.008392303,0.712400019,1.176122116,0.009000548
3,0.729499996,1.222711278,0.008976941,0.735499978,1.310853436,0.00901483,0.730799973,1.175000144,0.009204826,0.712499976,1.192284916,0.008911759,0.69599998,1.253935648,0.008513859,0.712700009,1.183691263,0.008972144,0.7245,1.147492508,0.008976225,0.744099975,1.293046389,0.00895357,0.716700017,1.192369224,0.009029004,0.731299996,1.159949221,0.008849155,0.745700002,1.176993534,0.008919717,0.740800023,1.162584675,0.008333817,0.692099988,1.160336253,0.008262963,0.692099988,1.18966984,0.008923238,0.725499988,1.163445874,0.008869283,0.709399998,1.228303311,0.009162468,0.708400011,1.205331218,0.00897011,0.722899973,1.160103488,0.008329485,0.745199978,1.214994697,0.008450194,0.724099994,1.230254053,0.008552422,0.715399981,1.207321673,0.00900613,0.67019999,1.23227571,0.009489354,0.722000003,1.15452084,0.00929522,0.691200018,1.161294327,0.009067696,0.732500017,1.245595622,0.008703367,0.713500023,1.192016631,0.009305599,0.727999985,1.25967834,0.009131623,0.717199981,4.21479418,0.00893415,0.743200004,1.196877402,0.00939297,0.697300017,1.245996233,0.009720108,0.747200012,1.178238048,0.008436247,0.742200017,1.226346604,0.009077957,0.74940002,1.168499637,0.007942912,0.734200001,1.290268571,0.0093425,0.719200015,1.178320523,0.009999171,0.726599991,1.201554202,0.007893111,0.721899986,3.936357014,0.012367796,0.718400002,1.186760186,0.009585438,0.742200017,1.161956316,0.008967078,0.70569998,1.235469864,0.00859751,0.687600017,1.201169469,0.008764845,0.720799983,1.159827674,0.008980644,0.712199986,1.162448081,0.009196791,0.708500028,1.178234653,0.008869271,0.729900002,1.224948314,0.008842018,0.750400007,1.228286056,0.008698226,0.713100016,1.246857965,0.009172312,0.74119997,1.234985791,0.008059449,0.743200004,3.841869587,0.008324944,0.736199975,4.091947801,0.008284801,0.729499996,1.222711278,0.008976941
4,0.74119997,1.147899333,0.008874516,0.746299982,1.234453191,0.008909938,0.741100013,1.306576763,0.008121805,0.740199983,1.213901676,0.008935895,0.741100013,1.294939004,0.008855815,0.709900022,1.164074538,0.008580361,0.737900019,1.236745983,0.008820508,0.745700002,1.170469363,0.008717286,0.724900007,1.200340308,0.008838043,0.732299984,1.319894825,0.008912673,0.754299998,1.295085491,0.008570609,0.754100025,1.272961216,0.008233767,0.698199987,1.398297931,0.008136492,0.699699998,1.522356994,0.008575925,0.7403,3.89857315,0.008673015,0.715200007,3.64095609,0.008939913,0.724300027,1.240507749,0.008958305,0.742900014,1.278843395,0.008875197,0.754100025,1.164049579,0.008324261,0.739600003,1.158985456,0.0085518,0.72420001,1.17017794,0.008265863,0.697799981,1.2013159,0.00875128,0.737999976,1.224978749,0.008722798,0.708299994,1.186580555,0.008255961,0.74849999,1.204608605,0.008726459,0.73180002,1.186570418,0.008898649,0.745199978,1.181647682,0.008863031,0.730799973,1.195286505,0.008743225,0.748399973,1.143641497,0.009612021,0.73150003,1.144727761,0.008942361,0.749599993,3.997413176,0.009101816,0.746299982,1.19243818,0.00890407,0.756200016,3.763514285,0.007742881,0.753899992,1.161532526,0.008938181,0.737999976,1.169443359,0.009922349,0.735300004,1.168541817,0.008747508,0.73210001,1.175491828,0.01262255,0.728399992,1.167876699,0.009177511,0.755800009,1.256216463,0.008278377,0.739300013,1.191762882,0.008391759,0.71390003,1.184123057,0.008879428,0.727500021,1.271032922,0.008752478,0.726700008,1.184447531,0.008727329,0.709500015,1.176148227,0.008713974,0.74150002,1.19583986,0.008296074,0.75819999,1.170567062,0.008652402,0.725099981,1.198053218,0.009033098,0.74940002,1.194704846,0.00822088,0.750999987,1.246025966,0.008848905,0.746500015,1.27456296,0.008719181,0.74119997,1.147899333,0.008874516
5,0.757700026,1.245155772,0.008732669,0.757499993,1.174945064,0.008130856,0.744099975,1.155790438,0.008393491,0.75029999,1.139215287,0.008717386,0.750699997,1.207580552,0.008994746,0.714100003,1.170467138,0.008741086,0.74180001,1.140677865,0.008915358,0.754400015,1.165522882,0.009141929,0.737299979,1.270400635,0.008874855,0.743600011,3.701922696,0.008781042,0.760299981,1.147755693,0.008683134,0.758400023,1.170213225,0.00831311,0.736500025,1.179006818,0.008880659,0.713100016,1.153048606,0.008855571,0.746800005,1.221533559,0.008907773,0.739300013,1.178542623,0.009067144,0.752200007,1.163579232,0.008932719,0.751600027,1.190938613,0.009006867,0.75999999,1.261040552,0.008858284,0.736800015,1.213774014,0.008994021,0.737800002,1.402204975,0.008231671,0.716000021,1.277332634,0.008937649,0.745999992,1.137629349,0.008971573,0.7324,4.023562093,0.008905767,0.75880003,1.550776637,0.008995644,0.748399973,1.168631396,0.009045284,0.751600027,1.188816223,0.008995366,0.745899975,1.263603003,0.008433661,0.762700021,1.219767983,0.009263855,0.751800001,1.174991967,0.009101553,0.758099973,1.172459943,0.008994908,0.756500006,1.164911734,0.009029137,0.762799978,1.271584362,0.008577379,0.764100015,1.200016564,0.009440077,0.741900027,1.22922309,0.009164037,0.743099988,1.249886551,0.008460438,0.745899975,1.447187414,0.012520404,0.743499994,1.228366933,0.009338228,0.761399984,1.161736013,0.010749228,0.736999989,1.14545384,0.009175275,0.731100023,1.147322637,0.008958932,0.737800002,1.152420493,0.008455943,0.737600029,3.589521332,0.008819726,0.728999972,1.153475461,0.012222289,0.748899996,1.181398002,0.008362069,0.762000024,1.184736726,0.008367246,0.736500025,1.190371138,0.008920276,0.751800001,1.224671691,0.008951463,0.755999982,1.220477144,0.008895325,0.755599976,1.198608825,0.00885507,0.757700026,1.245155772,0.008732669
6,0.762399971,1.151912938,0.008280464,0.761600018,1.150116366,0.007945072,0.756500006,1.239829895,0.008625575,0.769599974,1.282378682,0.008295992,0.762600005,1.168363928,0.008669519,0.72420001,1.138044361,0.008022124,0.751999974,1.189022439,0.008620073,0.75999999,1.165224651,0.007687793,0.736500025,1.145288624,0.008540757,0.754999995,1.195963565,0.008504942,0.76639998,1.184117562,0.008531758,0.766300023,1.245503574,0.008403295,0.747399986,1.453456887,0.008527516,0.726700008,1.1978323,0.008548943,0.752600014,3.829755845,0.008396074,0.752600014,1.221944242,0.008386347,0.762099981,1.21455964,0.008607053,0.763599992,1.249570334,0.008049016,0.76639998,1.158530068,0.008418279,0.742299974,1.144476687,0.008250636,0.746699989,1.156406074,0.008672156,0.736000001,1.170019289,0.008492404,0.754800022,1.164199949,0.008600683,0.750400007,1.191855492,0.008473389,0.768000007,1.174937068,0.007942092,0.763999999,1.231790577,0.008603184,0.757399976,1.258436359,0.008490199,0.757000029,1.178739968,0.00847729,0.767199993,4.040475252,0.008865159,0.760299981,1.164951761,0.009867806,0.766900003,1.236804651,0.008693499,0.764500022,1.315092616,0.008584524,0.765699983,3.801719937,0.008191399,0.768299997,1.165601128,0.008733074,0.750899971,1.153489384,0.008663911,0.743700027,1.144985823,0.008482682,0.747600019,1.29407114,0.010732144,0.749899983,1.211079284,0.008562562,0.766700029,1.221006241,0.007954543,0.736599982,1.315818032,0.008665263,0.747600019,1.198668272,0.008607641,0.753099978,1.202637175,0.00795874,0.7597,1.17417046,0.008482803,0.735499978,1.244053162,0.008625554,0.757499993,1.162788567,0.008635615,0.772400022,1.163446444,0.007970063,0.744899988,1.176742267,0.008468911,0.755299985,1.153471385,0.008573787,0.760699987,1.179593114,0.008613131,0.765500009,1.180977531,0.008332075,0.762399971,1.151912938,0.008280464
7,0.774100006,1.185158875,0.008399748,0.769900024,1.34456166,0.00897959,0.766700029,1.13648536,0.009026075,0.772199988,1.146989157,0.009024334,0.765699983,1.194302994,0.009096667,0.734000027,1.197842572,0.008921651,0.755599976,1.14450828,0.008876765,0.763400018,1.252068748,0.008478408,0.750699997,1.205350536,0.008211143,0.764599979,1.146274642,0.009028841,0.772000015,1.196188298,0.008880339,0.770299971,1.182322577,0.008924002,0.752799988,1.170796962,0.009015753,0.744099975,1.176135994,0.00910526,0.763300002,1.176830172,0.008995527,0.761799991,1.187315332,0.008923797,0.769599974,1.190712919,0.008918988,0.768899977,1.187211792,0.008455667,0.769999981,1.2497521,0.008835458,0.752900004,1.213882192,0.008707616,0.759500027,1.262980411,0.008741678,0.758599997,1.246176226,0.008261606,0.772800028,1.139268934,0.008917336,0.766799986,1.141811401,0.008324356,0.769299984,1.244933057,0.008900629,0.773800015,1.15671136,0.009099921,0.765600026,1.175167286,0.009016762,0.771899998,1.139253635,0.008943717,0.774200022,1.181987849,0.009473362,0.765399992,1.20090771,0.009197436,0.764400005,1.196305235,0.009240941,0.772199988,1.194257314,0.009041457,0.773100019,1.206820588,0.008626032,0.777400017,1.391647106,0.009017543,0.75819999,1.257199817,0.011385555,0.751399994,1.195977238,0.008648367,0.754000008,1.253092702,0.014484489,0.756600022,1.239766863,0.008737163,0.775300026,1.172844802,0.008870634,0.728100002,1.184702248,0.0089424,0.756099999,1.160198937,0.008988806,0.763300002,1.135187122,0.00825936,0.765299976,3.769215343,0.009126427,0.749300003,1.137295144,0.009027893,0.766799986,1.237642623,0.00902067,0.778699994,1.27930226,0.009020777,0.753000021,1.217759208,0.008769708,0.765299976,1.229792361,0.0088923,0.764800012,1.245948614,0.008951289,0.770600021,1.242104957,0.009081711,0.774100006,1.185158875,0.008399748
8,0.776300013,1.156402928,0.00888367,0.779799998,1.225557634,0.008938895,0.776300013,1.219209779,0.009016441,0.779200017,1.267070448,0.008916208,0.777700007,1.193894024,0.009028541,0.744099975,1.158283491,0.008761761,0.760299981,1.202637196,0.008785753,0.770500004,1.183029472,0.008939301,0.754499972,1.159589215,0.008281933,0.769599974,1.195842814,0.008658257,0.774699986,1.297152825,0.008904125,0.773500025,1.311980153,0.008860418,0.761200011,1.159173415,0.008723142,0.757799983,3.83129442,0.008571664,0.772000015,1.181711383,0.007916207,0.769900024,1.149382983,0.008944047,0.776000023,1.156879314,0.008453805,0.773599982,1.134125723,0.008322285,0.771099985,1.186088126,0.008853839,0.76700002,1.173764125,0.008602018,0.769500017,1.251270304,0.008951416,0.766499996,1.179969907,0.008844182,0.775099993,1.219640085,0.008434021,0.771799982,1.329440824,0.008131296,0.776499987,1.190538859,0.008878051,0.78609997,1.303090932,0.009053267,0.772300005,1.239128762,0.008887788,0.777400017,1.226377394,0.008196803,0.779699981,1.149653752,0.00912604,0.77700001,1.147963593,0.008936312,0.769800007,1.140865482,0.008915685,0.781599998,3.80712857,0.008850235,0.779200017,1.151749517,0.008392108,0.782500029,1.173418121,0.00933729,0.76639998,1.156088386,0.009118031,0.754000008,1.143158025,0.008524771,0.762399971,1.177856777,0.01334825,0.763700008,1.165541781,0.009302353,0.782800019,1.50802178,0.008925801,0.746299982,1.307610299,0.009093355,0.75910002,1.224742347,0.009011146,0.773599982,1.247109687,0.008913684,0.776499987,1.186726504,0.008990036,0.767499983,1.200348346,0.00894751,0.772099972,1.195141533,0.008656107,0.782400012,1.161877399,0.00896661,0.764599979,1.229933196,0.008446882,0.774500012,1.229413277,0.00886931,0.769900024,1.170310457,0.008948341,0.774500012,1.188029207,0.010040089,0.776300013,1.156402928,0.00888367
9,0.780300021,1.565182941,0.008841061,0.781799972,1.235055387,0.008773533,0.7755,1.193780765,0.008861529,0.783800006,1.197698845,0.008788705,0.781199992,3.916237353,0.007919415,0.757700026,1.410104579,0.008874296,0.765500009,1.172650763,0.008723752,0.774500012,1.218412645,0.008884573,0.7579,1.355455887,0.008820991,0.775900006,1.174945055,0.00840876,0.781300008,1.23293606,0.00850892,0.779999971,1.27736308,0.008722768,0.77759999,1.195355157,0.008719219,0.768400013,1.304417072,0.008552005,0.771200001,1.245136552,0.008188809,0.781700015,1.317810352,0.00889499,0.783599973,1.218723141,0.00826302,0.775600016,1.207108745,0.008817707,0.781199992,1.247984408,0.008024507,0.774500012,1.194816039,0.008594873,0.775200009,3.832283793,0.00870165,0.772199988,1.155448939,0.008661825,0.781199992,1.171890761,0.00881472,0.7773,1.158530714,0.008026546,0.785000026,1.148773415,0.00799031,0.791899979,1.167910704,0.008911201,0.777400017,1.203558309,0.008872481,0.782299995,1.139024793,0.008111668,0.784600019,1.220106313,0.009229289,0.782899976,1.244416229,0.010096137,0.777499974,1.198152127,0.008952929,0.788699985,1.276070981,0.009094825,0.783500016,1.195668515,0.008432332,0.787699997,1.274883742,0.00891657,0.766300023,1.684296455,0.009457456,0.757499993,1.185016419,0.008615307,0.768000007,1.153161347,0.011978786,0.765200019,1.246076779,0.009812316,0.786199987,1.188624497,0.008699948,0.754299998,1.134436234,0.00885677,0.764500022,1.146844512,0.008825394,0.777999997,1.173295168,0.008661265,0.783399999,1.16807264,0.008715218,0.773699999,1.158031195,0.008746592,0.781599998,1.243510533,0.008825206,0.78640002,1.268003163,0.008621796,0.773400009,1.159725441,0.008742248,0.780499995,1.14687916,0.008603234,0.778299987,1.160326117,0.008567059,0.783800006,1.139093128,0.008752493,0.780300021,1.565182941,0.008841061
