Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.195912719,1.379118943,0.012520361,0.159380764,1.336307308,0.011021269,0.191725567,1.404987167,0.011450408,0.195874304,1.384822706,0.012829856,0.195874304,1.391749448,0.011123994,0.195874304,1.399825732,0.01277316,0.195874304,1.389797373,0.011212699,0.195874304,1.330023271,0.0110141,0.199293181,1.345308841,0.011149532,0.199216351,1.374791942,0.011114853,0.17977874,1.45492123,0.011471712,0.195874304,2.855405859,0.010889847,0.195720658,1.324921397,0.011171689,0.204709589,1.408634006,0.010920964,0.195874304,1.41947904,0.011012485,0.195874304,1.434972557,0.011537046,0.195874304,1.423664016,0.012786491,0.195874304,1.341349465,0.011160437,0.195874304,1.348736854,0.010012378,0.195874304,1.270582322,0.009919705,0.195874304,1.285779261,0.014565388,0.195874304,1.317706203,0.010776897,0.195874304,1.295764736,0.011273918,0.195874304,1.287748069,0.010909243,0.195951134,1.277682075,0.010803143,0.195835888,1.596582133,0.011111341,0.195874304,1.420099577,0.010853714,0.195874304,1.273788396,0.011364593,0.195874304,1.915983949,0.013014871,0.195874304,1.788494288,0.01069959,0.159380764,1.745858705,0.010500036,0.195874304,1.684946229,0.011327835,0.195874304,3.028262117,0.009950149,0.195874304,1.831504396,0.011573612,0.195912719,1.399297456,0.011465687,0.195874304,1.264817579,0.009960691,0.195874304,1.40876979,0.07140394,0.195874304,1.40413476,0.011994158,0.195874304,1.30405602,0.010953414,0.193108484,1.404596084,0.011561402,0.186232328,1.572951697,0.011290692,0.195874304,1.335262707,0.01084332,0.195874304,1.520933517,0.012794015,0.195874304,1.404799204,0.011256509,0.195874304,1.401714376,0.011426562,0.195874304,1.347125364,0.011548874,0.195874304,1.468771727,0.013035102,0.195874304,1.344112095,0.010817297,0.197141975,1.366108332,0.010923241,0.195874304,1.401196559,0.011410459,0.195912719,1.379118943,0.012520361
1,0.201060236,1.46563485,0.011413852,0.253380448,1.431186374,0.011237873,0.200752914,1.387857128,0.011220249,0.197833434,1.409286794,0.011352553,0.283919781,1.475386501,0.011319053,0.195874304,1.731751313,0.011192987,0.199677318,1.381129402,0.011194465,0.195874304,1.446469298,0.011319787,0.243047014,1.517188465,0.011218897,0.252151191,1.332218287,0.01101508,0.270359546,1.824524788,0.011049153,0.198870614,1.324610639,0.011113975,0.242125079,1.370911366,0.011040891,0.215004608,1.381050114,0.011547674,0.241933003,1.485814746,0.011077996,0.19606638,1.648219191,0.012842627,0.195874304,1.421214626,0.01135177,0.213583276,1.463201227,0.011323561,0.211086363,1.424530718,0.010322472,0.196873084,1.349912272,0.010350013,0.195989549,1.413184338,0.011218965,0.195912719,1.296333915,0.011252079,0.195874304,1.388074331,0.011024168,0.226720959,1.35007376,0.011146273,0.23843731,1.350423784,0.011181887,0.22695145,1.280231042,0.011160452,0.195874304,1.295934148,0.013365415,0.230523974,1.306812043,0.011053134,0.196527347,1.330891862,0.011070075,0.218500301,1.297182909,0.013662105,0.237899512,1.271402216,0.013359367,0.209549785,1.286886482,0.010795828,0.233059317,1.450866521,0.010045339,0.195874304,1.270236172,0.014212379,0.263214499,1.286061135,0.013776464,0.201521203,1.391930624,0.01018774,0.195874304,1.325579667,0.018034257,0.20298095,1.29288731,0.014441627,0.206322983,1.460773321,0.01114771,0.209088817,1.314112428,0.011542394,0.198947445,1.266918735,0.013017048,0.195874304,1.390258994,0.010924376,0.222956359,6.272383883,0.011348361,0.196027964,1.275838325,0.012064146,0.207360178,1.66399671,0.011204015,0.197795019,1.453636545,0.011435185,0.211355254,1.420343907,0.011311339,0.271780878,1.421648885,0.011150416,0.241587281,4.736851138,0.011156197,0.214005843,1.423476364,0.011575456,0.201060236,1.46563485,0.011413852
2,0.347802699,1.29007662,0.021631904,0.372579902,1.296491623,0.011091393,0.337507695,1.490230877,0.011455126,0.342962503,1.734175305,0.011327033,0.343077749,1.34563443,0.011241417,0.363053173,1.272208021,0.011328726,0.346381366,1.386080233,0.011043517,0.360863566,1.305878578,0.011014808,0.361862332,1.275800047,0.011038359,0.36251536,1.715506647,0.011299607,0.358635515,1.394843975,0.012627722,0.335433304,1.386577921,0.011132085,0.331207752,1.253016889,0.011058527,0.352988631,4.655915533,0.012659628,0.354525208,1.322855417,0.011009149,0.360248923,1.29282282,0.012859475,0.356369078,1.315775902,0.012744337,0.338698536,1.254227934,0.011097559,0.357751995,1.569185004,0.010955459,0.378995091,1.37833908,0.010314331,0.354294717,1.434974051,0.012778649,0.346535027,1.488038726,0.011198277,0.364935458,1.645939891,0.011178837,0.370928079,1.519548036,0.011211629,0.369967729,1.533565138,0.011115239,0.388905972,1.312661966,0.011364375,0.382951766,1.316943417,0.010428751,0.403964341,1.489170297,0.0110266,0.391479731,1.296874129,0.012012406,0.39413029,1.342963471,0.011635464,0.293408126,1.272841204,0.010216384,0.370044559,3.98669172,0.011346846,0.376728654,1.324756377,0.010011919,0.370428711,1.342159447,0.011990343,0.36643362,1.360528783,0.011988468,0.393746167,1.447108839,0.01002572,0.352066696,1.395526379,0.017388535,0.342117399,1.366078827,0.011937533,0.392209589,1.689471244,0.011070416,0.334741861,1.277317198,0.011497908,0.351528883,1.329451959,0.011893323,0.338468045,1.428819192,0.011169575,0.379993856,1.30282596,0.013462714,0.352988631,1.289024868,0.011406611,0.33643207,1.311474806,0.011417027,0.328134596,1.276165692,0.011428725,0.338583291,1.27646435,0.013097532,0.31338352,1.474059703,0.011034994,0.362015992,1.420596709,0.01118929,0.394744933,1.273771226,0.012738966,0.347802699,1.29007662,0.021631904
3,0.507567585,1.351494896,0.011245289,0.470689923,1.680445057,0.011554746,0.4337354,1.30657488,0.011238168,0.45182851,1.289770711,0.011425421,0.492125064,6.361624401,0.011224794,0.481637985,1.479143281,0.011509244,0.497887224,1.457699721,0.011492073,0.509181023,1.405368165,0.011434957,0.480984956,1.456060067,0.011462256,0.510064542,1.290938582,0.011715962,0.454171777,1.36691659,0.011491781,0.420674562,1.328254253,0.011363324,0.485364169,1.400282646,0.011477109,0.482751995,1.318655942,0.011426187,0.485825151,1.540841523,0.011424044,0.469998449,1.341908049,0.011480179,0.484595895,1.312061906,0.011415807,0.460394889,1.370056101,0.011514225,0.50184387,1.591657453,0.011725075,0.489935458,1.475145079,0.01172355,0.449523658,4.806921996,0.010865474,0.496734798,1.273462364,0.011573948,0.450330377,1.274563807,0.01145704,0.505608499,1.31821023,0.01141127,0.47399354,1.284086713,0.011275094,0.497618318,1.409330921,0.010247662,0.471957594,1.388645093,0.011165693,0.487361699,1.304434582,0.011401317,0.507145047,1.414124854,0.011801348,0.496888459,1.490031677,0.01167248,0.45478642,1.418202487,0.011193008,0.519245565,1.366150385,0.010565132,0.470382601,1.601453251,0.025313613,0.490665346,1.445153226,0.011519534,0.493354321,1.476905741,0.011794482,0.475760609,1.545646546,0.010599888,0.494391531,1.298310298,0.017684962,0.472111255,1.355321927,0.01198942,0.503073156,1.329082077,0.011437479,0.457398593,1.347597778,0.011589216,0.485364169,1.34383743,0.010408209,0.461662561,1.333594063,0.011418034,0.500307322,1.312387056,0.011125176,0.49423787,1.330808822,0.010997018,0.471535027,1.40337971,0.01156174,0.455477864,1.316944121,0.01148678,0.455208987,1.280495308,0.011405048,0.446527362,1.308298651,0.011531947,0.481330663,1.270631966,0.011481431,0.48455748,1.316485069,0.011384219,0.507567585,1.351494896,0.011245289
4,0.596458197,1.315579259,0.010970774,0.571949899,1.349725761,0.010872349,0.536608815,1.403368364,0.010910475,0.544637382,4.291168282,0.010861858,0.593615532,1.368943431,0.01108334,0.572449267,1.40301529,0.01093853,0.582475424,1.356949511,0.010952756,0.577097416,1.303772021,0.010913447,0.564574361,1.361534367,0.010862665,0.599108815,1.364031933,0.010998759,0.557544589,1.28595792,0.010854184,0.527888775,1.263083957,0.010948243,0.57978642,1.304459013,0.011276186,0.565227389,1.32645361,0.010936843,0.585663795,1.288907924,0.010998638,0.552358627,1.358571106,0.011178619,0.559350014,1.325786995,0.011099764,0.546250761,1.325355271,0.011185312,0.591118634,1.403874816,0.010838786,0.585202813,1.318630276,0.010884466,0.542063594,1.459909914,0.01009816,0.578211427,1.567877727,0.010765253,0.537799656,1.640274255,0.011059014,0.59515214,1.58677864,0.010985146,0.573716938,1.705510348,0.010888559,0.581745565,5.371826787,0.01100848,0.548363566,1.293872222,0.009966946,0.587776601,1.766016643,0.011003581,0.568799913,1.28589632,0.01047746,0.584857106,1.292908858,0.011506496,0.521166265,1.318999136,0.011024159,0.598647833,1.271357938,0.01096442,0.57210356,1.299587967,0.009735787,0.596842349,1.348617342,0.011189781,0.575676084,1.40157209,0.011004732,0.564728022,1.310541339,0.010808564,0.576290727,1.507915544,0.047139065,0.55089891,1.410781583,0.010512761,0.59227103,1.306592739,0.010729902,0.587968647,1.837118808,0.01103572,0.570605397,1.409296463,0.011291343,0.553088486,4.663481201,0.010907791,0.585164428,1.534076789,0.010576461,0.567724347,1.420278083,0.010260862,0.573678553,1.412861257,0.010993062,0.551398277,1.36448859,0.010801461,0.576329112,1.426185323,0.010977373,0.55001539,1.299777338,0.011117551,0.573448062,1.36409537,0.010853759,0.556430519,1.460628478,0.010526115,0.596458197,1.315579259,0.010970774
5,0.651198506,1.474219434,0.011514325,0.61739397,1.255361321,0.011305609,0.628726184,1.376289689,0.011620495,0.60683006,1.457941858,0.011486254,0.659841716,1.27614321,0.011153251,0.635794401,1.278791692,0.012294564,0.639789462,1.411317694,0.011433324,0.63083899,1.274628694,0.01118107,0.611324549,1.262058666,0.010138067,0.648471117,1.356036347,0.011052407,0.602950215,1.475157075,0.01164563,0.615780592,1.385076366,0.010752824,0.646704078,1.419191091,0.01071796,0.619199455,1.411382445,0.011853369,0.64820224,1.35691804,0.010333281,0.609519064,1.475523426,0.011449653,0.624308527,1.584657812,0.011896101,0.594076514,1.309478406,0.011281033,0.647625983,1.278712515,0.011111036,0.634219408,1.418567828,0.010999498,0.61243856,1.274511307,0.010493057,0.627573729,1.538295494,0.01132316,0.607905626,1.338579319,0.010726493,0.649277806,1.374825345,0.011222351,0.633489549,1.406837673,0.011172347,0.644821763,1.427171991,0.010199033,0.624577463,1.406714244,0.015021417,0.653695464,1.331580773,0.011199834,0.622080505,1.621086608,0.013069408,0.646012604,1.806142187,0.011502167,0.581976056,1.488410638,0.01322653,0.646665633,1.60470253,0.013004989,0.634449899,1.372678052,0.011547426,0.647856474,5.469108128,0.011302759,0.636639535,1.33101446,0.011573673,0.625845134,1.272097182,0.010903588,0.628034711,1.275775549,0.018161087,0.609134912,1.270403648,0.01076166,0.641018748,1.342226951,0.010932873,0.645782113,1.407329092,0.011043164,0.609058082,1.33083915,0.010477711,0.601682544,1.409911904,0.011154091,0.650430262,1.292328373,0.010528883,0.630416393,1.295605502,0.013130514,0.626421332,1.307907267,0.011125417,0.61435926,1.253862972,0.011489706,0.63460356,1.279783948,0.01143375,0.613206804,1.289104841,0.011031616,0.617662847,1.302643009,0.01118422,0.626306057,1.29628011,0.010991546,0.651198506,1.474219434,0.011514325
6,0.685310364,1.422607405,0.011020414,0.65580821,1.321583583,0.010901436,0.678472638,1.261284501,0.011091853,0.654963136,1.263847351,0.010944666,0.69230181,1.375076016,0.010357075,0.681891501,1.413785554,0.010698665,0.668638587,1.267217614,0.010983774,0.669906259,1.404745391,0.010952938,0.652811944,1.420528625,0.010875927,0.681968331,1.245980938,0.010906556,0.646166265,1.287706469,0.011016165,0.669022739,1.313197501,0.010255396,0.685925007,1.304538092,0.010794207,0.649200976,1.301761176,0.011016472,0.690534711,1.339556949,0.009933866,0.670559287,1.312251262,0.011088043,0.681046426,1.378398803,0.010828066,0.617970169,1.349431068,0.011025107,0.69326216,1.358171228,0.010739699,0.672287941,1.395782127,0.010992651,0.655923486,1.490857557,0.011183782,0.655846655,1.592816696,0.010833615,0.662415504,1.241136767,0.01107669,0.685156703,1.268329426,0.010838306,0.66933006,1.262879967,0.011045191,0.676129401,1.291579788,0.010859033,0.65957284,1.326113638,0.011042799,0.695298076,1.238444014,0.010979063,0.657690525,1.368441937,0.010244643,0.682314098,1.464948713,0.010992864,0.639635861,1.382892639,0.011100284,0.679317772,1.337859968,0.010888785,0.679279327,1.423519876,0.01064186,0.686693311,1.379372932,0.01105513,0.673786104,1.525187039,0.010169978,0.679240942,1.370062285,0.010871975,0.675668418,1.574455977,0.015297062,0.668638587,1.414642094,0.010995002,0.684503675,1.313533236,0.010634168,0.681392133,1.300797684,0.010541176,0.670021534,1.256649922,0.010988612,0.643131554,1.27282673,0.01007329,0.686232328,4.74031663,0.010887216,0.662031353,1.284863543,0.012258317,0.66349107,1.585640326,0.010671421,0.663567901,1.458197378,0.010839933,0.686385989,1.381713564,0.01106961,0.655923486,1.54054932,0.010933059,0.664566696,1.263823492,0.010694513,0.666064858,1.650236289,0.01009009,0.685310364,1.422607405,0.011020414
7,0.713083923,1.333086642,0.010683729,0.677435458,1.383860917,0.011052911,0.709434569,1.475216885,0.010911567,0.693723083,1.472971566,0.011094361,0.714082658,1.321805373,0.010182833,0.71535033,1.311624067,0.011088829,0.692186534,1.481476155,0.01107317,0.695682228,1.330849844,0.01072936,0.693146884,1.328433976,0.011084511,0.707859576,1.413009067,0.010769059,0.676782429,5.003654276,0.010990137,0.70094502,1.265203638,0.010897744,0.713468015,1.341506304,0.010369816,0.673939764,1.27269631,0.011062662,0.709088802,1.32358125,0.011173244,0.701751709,1.267478853,0.013408594,0.710164428,1.270207475,0.011085559,0.645397961,1.286622258,0.01025995,0.723878324,1.389331898,0.011113449,0.701943755,1.314749443,0.010952384,0.699139535,1.430544115,0.011104337,0.689382315,1.461723514,0.01123245,0.694952369,1.392388653,0.011150618,0.707513809,1.441106252,0.010893091,0.69429934,1.44543772,0.011028877,0.702135861,1.408331596,0.011034326,0.685464025,4.890575887,0.010820759,0.716579616,1.404863624,0.01099392,0.689612806,1.474381637,0.011075998,0.703288257,1.29534095,0.011122567,0.679010451,1.275575675,0.01092906,0.708090067,1.302118334,0.010824643,0.70855099,1.280027467,0.01059773,0.716925323,1.27976947,0.010372881,0.697871864,1.331843983,0.010372605,0.718999684,1.307414273,0.010747587,0.703441918,1.335376071,0.016720349,0.699562073,1.402776613,0.010758038,0.71254611,4.677316218,0.010402987,0.713391185,1.637673599,0.010388114,0.702251077,1.518174201,0.009871281,0.689535975,1.569367789,0.010528261,0.707283318,1.457912355,0.010286062,0.694990754,1.721459777,0.011001476,0.693070054,1.344236941,0.010440509,0.6875,1.380541741,0.010381465,0.712661326,1.382525486,0.011165192,0.690265834,1.421414709,0.011291242,0.696181595,1.535668533,0.010951171,0.698102355,1.506189784,0.011104657,0.713083923,1.333086642,0.010683729
8,0.736094058,1.750933083,0.011206884,0.695490181,1.332100406,0.011084444,0.726836205,1.303863953,0.01148374,0.716541171,1.409680617,0.011379371,0.732828856,1.316617099,0.011279797,0.735786736,5.652163777,0.010725647,0.713813782,1.399320729,0.011319254,0.716118634,1.270098731,0.011254927,0.720459461,5.363036059,0.011163041,0.724685013,1.343117446,0.011338912,0.703787625,1.448437728,0.011364819,0.727105081,1.516463457,0.010252838,0.7355178,1.673455012,0.010430608,0.689228654,1.42440929,0.011290192,0.724915504,1.80060351,0.011438434,0.720805168,1.451078915,0.011391575,0.732867241,1.686779289,0.011074147,0.67509222,1.457495314,0.010949803,0.740127563,1.318599653,0.011139429,0.725606918,1.275008067,0.011035023,0.720613062,1.334735636,0.011261155,0.714197934,1.309718068,0.011019089,0.72214967,1.37495201,0.011053936,0.725491703,1.368769358,0.010144687,0.71734786,1.393545718,0.011082747,0.716464341,1.354164497,0.011361706,0.702020586,1.338893982,0.011395426,0.735325754,1.297244342,0.011114321,0.716963708,1.432610278,0.011482627,0.722341716,1.341415027,0.012038385,0.71246928,1.367345229,0.011400108,0.726605713,1.43311933,0.011274698,0.733289778,5.592777391,0.010728156,0.735248923,1.383521793,0.012133793,0.724685013,1.51417811,0.011492884,0.742547631,1.29613367,0.010938961,0.728756905,1.258812305,0.017078062,0.724108815,1.271396011,0.012611731,0.732060552,1.55052064,0.010909042,0.728103876,1.327101055,0.011336126,0.724262476,1.281704578,0.011400026,0.718615532,1.465712927,0.010311828,0.727988601,1.306092642,0.011234066,0.712238789,1.285028371,0.010250594,0.712776601,1.308547181,0.010197266,0.711316824,1.24542688,0.010468675,0.722994804,1.263523878,0.011408359,0.716694832,1.372787093,0.011202849,0.719652712,1.341942848,0.011249901,0.720497847,1.258847082,0.01052455,0.736094058,1.750933083,0.011206884
9,0.741702497,1.334377654,0.010673222,0.721611857,1.479166425,0.011028797,0.742701292,1.2929763,0.010921537,0.732521534,1.277907016,0.011101389,0.749500632,1.611898675,0.011261592,0.740511656,1.412452518,0.010414091,0.73455745,1.248934625,0.011003706,0.732214212,1.480668839,0.010885799,0.734711111,1.438894284,0.01104553,0.738437295,1.255599789,0.011046911,0.726682544,1.321502687,0.010932095,0.745044589,1.330264222,0.012599573,0.746350646,1.313265789,0.010896412,0.70574677,1.336296822,0.010767612,0.738168418,1.410927,0.010972073,0.73839891,1.365855591,0.011138195,0.747080505,1.354989643,0.010987642,0.713275969,1.407965136,0.010330874,0.756376743,1.40404152,0.011067159,0.741587281,1.935867403,0.010948099,0.739128768,4.826420916,0.011112554,0.737822652,1.248592955,0.011016468,0.742201924,1.297488334,0.011024458,0.739666581,1.300352968,0.010659077,0.737015963,1.255725128,0.010918397,0.737400115,1.293851997,0.011142424,0.727297187,1.343365335,0.010871721,0.743661642,1.257045586,0.010123686,0.737630606,1.329648069,0.011691186,0.745351851,1.373071017,0.010260157,0.723609388,1.469464078,0.011057397,0.738975108,1.303477395,0.011118919,0.744391501,1.622464732,0.010786788,0.749846339,1.441144658,0.010608112,0.741856158,1.439192517,0.0110525,0.759565175,1.443875248,0.010813682,0.747771978,1.520627563,0.01527941,0.743162274,1.539214994,0.010879929,0.739858627,1.296931107,0.010063215,0.743815303,1.287819242,0.010304723,0.741932988,1.263130996,0.010765477,0.733904421,1.405612726,0.010635239,0.733942866,1.257933357,0.009961697,0.732752025,1.254229825,0.010890917,0.734403789,1.399872483,0.011020543,0.731177032,1.345350674,0.010071004,0.739128768,1.435660452,0.010861853,0.725299656,4.747189949,0.011254659,0.742009819,1.34305584,0.010949124,0.734326959,4.601292367,0.010662146,0.741702497,1.334377654,0.010673222
