Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.662800014,1.128743484,0.025238935,0.698700011,1.024687793,0.025016015,0.624800026,1.037719848,0.02497583,0.591099977,1.018990138,0.024819364,0.640299976,1.017893622,0.025177879,0.589399993,1.010801389,0.025346748,0.611999989,1.007210903,0.024993222,0.635800004,1.007280644,0.025293047,0.657400012,1.377195706,0.025274091,0.638899982,0.999689681,0.024951994,0.670099974,0.990171457,0.025044578,0.66140002,1.004922471,0.025461113,0.620299995,1.009645309,0.024710249,0.622399986,0.996880679,0.025182758,0.633700013,0.984191951,0.025382695,0.63499999,0.989915024,0.025567454,0.624899983,1.46698097,0.276979953,0.57130003,0.95770824,0.025802726,0.628000021,0.979214903,0.025444933,0.61650002,0.992856266,0.026234029,0.655900002,0.994984596,0.025383077,0.657500029,0.988196326,0.025567002,0.581799984,0.961138634,0.02530532,0.592199981,0.996346883,0.02549112,0.617900014,0.98117673,0.132055318,0.629400015,0.995888499,0.025311512,0.634500027,0.984190758,0.025469751,0.676900029,0.976638018,0.025524213,0.616400003,0.949987964,0.025833987,0.654600024,0.969631546,0.025789262,0.60619998,0.995165036,0.025411169,0.672800004,0.984266942,0.025588915,0.675599992,0.973970922,1.901393515,0.650099993,0.959585518,0.09569046,0.62650001,0.992145607,0.025078503,0.644900024,0.982501595,0.024898985,0.616100013,1.579511399,0.024708106,0.572899997,0.980372464,0.028013032,0.662500024,0.986194424,0.024648613,0.628700018,0.971033067,0.025230441,0.656599998,0.985984608,0.025530093,0.650600016,0.976258793,0.025451156,0.649500012,0.981806586,0.025203188,0.563000023,0.967423656,0.025413273,0.672599971,0.982465648,0.025563607,0.61589998,1.014563517,0.025828086,0.631799996,0.987068471,0.025601227,0.654600024,0.978430655,0.025187879,0.664300025,0.98108714,0.025487162,0.600199997,1.002007779,0.025349342,0.662800014,1.128743484,0.025238935
1,0.690999985,1.106769858,0.025769404,0.697899997,1.01146211,0.025424886,0.676100016,1.960320833,0.025391511,0.660099983,1.039510098,0.02492897,0.672900021,1.015200744,0.025404746,0.665099978,1.00349579,0.025041692,0.681599975,1.00223819,0.025482432,0.657700002,1.014734866,0.02470031,0.682399988,1.015933495,0.025329866,0.689499974,0.998858553,0.025272077,0.673699975,1.000055628,0.153446872,0.688399971,0.991491361,0.02512017,0.667100012,0.995429702,0.025683723,0.666700006,0.998865626,0.025229348,0.683600008,1.907658868,0.02505082,0.671500027,1.000267197,0.024971653,0.65079999,1.001938105,0.025158422,0.689400017,0.995821731,0.025832484,0.670000017,0.991743786,0.02527916,0.666899979,0.99007915,0.094305991,0.702000022,0.988151268,0.025185214,0.686999977,0.98938855,0.025004013,0.643400013,0.996063105,0.025490019,0.675599992,0.984501762,0.025958841,0.677299976,0.9886297,0.025435616,0.687399983,0.975769619,0.306051901,0.708000004,0.97517092,0.025125381,0.692200005,0.987941092,0.025890403,0.659300029,0.97393959,0.025616186,0.688300014,0.970024824,0.025750178,0.678200006,0.992524007,0.02553901,0.710399985,0.974151039,0.025565561,0.707499981,0.981148844,2.574242185,0.684800029,0.985949008,0.025535904,0.667599976,0.985077496,0.026119183,0.688899994,0.994564712,0.025229938,0.632300019,0.966631891,0.025275875,0.676500022,0.984542909,0.025345556,0.695100009,0.974733807,0.02606951,0.628300011,0.996543901,0.025526867,0.689999998,0.986953912,0.025696948,0.698700011,0.974967828,0.025430175,0.68629998,0.978097454,0.025310931,0.686800003,0.97255407,0.027415657,0.714100003,0.953783452,0.025304279,0.698000014,0.977067133,0.025498023,0.683499992,0.994353404,0.025425426,0.701600015,0.961814915,0.025363931,0.681100011,0.961913771,0.026108092,0.685000002,0.967398064,0.025850818,0.690999985,1.106769858,0.025769404
2,0.718400002,1.101623094,0.024966923,0.703800023,3.672661913,0.025367718,0.654399991,0.985648976,0.025429123,0.684300005,0.982407227,0.025264864,0.690800011,1.898624018,0.026692804,0.687699974,1.023057029,0.025535444,0.709699988,1.006118164,0.09432202,0.69660002,0.980425243,0.025699794,0.701499999,0.979999822,0.025808126,0.725300014,0.980621754,0.025502611,0.684300005,0.980281792,0.025610916,0.711399972,0.976369952,0.025739148,0.704400003,0.973309716,0.02627099,0.688899994,0.973116311,0.025532458,0.685400009,0.973844273,0.026146665,0.674300015,0.991550084,0.026786712,0.699299991,0.966649757,0.025790303,0.70569998,0.995353391,0.02586757,0.712800026,1.030929763,0.025777961,0.717499971,1.017763355,0.025904439,0.721899986,1.016750276,0.025860567,0.72420001,0.998980114,0.025665739,0.690400004,0.996636608,0.0259795,0.69660002,0.969916752,0.025204961,0.697799981,0.992811922,0.025258512,0.708500028,0.987499261,0.025588563,0.720099986,0.990288617,0.025780765,0.681999981,0.999167938,0.025330757,0.686200023,0.977531511,0.025291453,0.693400025,1.023223142,0.025714832,0.65990001,0.988260827,0.025928054,0.727699995,0.993244196,0.025563908,0.72390002,1.003483279,2.326239669,0.697600007,0.998201247,0.099648157,0.697600007,0.979187941,0.025471092,0.708500028,0.994146727,0.024891941,0.666199982,0.993982638,0.025289049,0.705900013,0.981585178,0.025460802,0.696099997,0.991899884,0.025305841,0.635900021,0.969689034,0.025843033,0.69690001,0.983060799,0.068275112,0.727400005,1.859274377,0.025623681,0.718400002,1.006478923,0.025244073,0.709299982,0.985961855,0.025229436,0.726800025,0.995043196,0.025833174,0.723399997,0.99112896,0.026263375,0.679199994,0.979533312,0.128241753,0.717000008,0.974427451,0.025573285,0.700699985,0.976287186,0.025693382,0.698199987,0.982256584,0.026318349,0.718400002,1.101623094,0.024966923
3,0.729499996,1.020996668,0.025786647,0.712199986,0.987358639,0.025144777,0.676599979,0.971724711,0.024708555,0.698300004,1.002019081,0.024520271,0.68629998,0.987360221,0.025020974,0.720899999,0.981373792,0.024936284,0.727299988,1.933739849,0.024847647,0.71390003,1.016675386,0.024819924,0.724900007,1.016919417,0.025391742,0.722000003,0.968053304,0.024638543,0.690299988,0.962252945,0.024610379,0.714900017,0.958614539,0.024731107,0.702000022,1.006278568,0.118912591,0.689100027,0.966924807,0.02486991,0.700500011,0.969474672,0.025026103,0.68690002,0.95783452,0.025570039,0.724600017,0.967667427,0.025475711,0.728399992,0.97082701,0.025166468,0.726000011,1.910426622,0.024977892,0.725199997,1.009286755,0.025649357,0.734799981,0.969794605,0.025114419,0.736899972,0.990852261,0.024803153,0.719200015,0.989627583,0.025256436,0.729799986,1.007439915,0.025465851,0.712599993,1.000881238,0.024958996,0.719699979,0.993719554,0.025211753,0.733900011,0.982878928,0.025060518,0.694500029,0.992524292,0.07642666,0.703599989,0.974280968,0.025176586,0.71509999,0.969668638,0.025272407,0.671599984,0.988711517,0.025356566,0.736500025,1.003358425,0.025509525,0.734099984,1.019254977,1.519466344,0.703499973,1.011924225,0.025763002,0.70599997,0.995868603,0.02573009,0.722500026,0.993925883,0.025448429,0.685699999,0.983348173,0.071822587,0.724900007,0.987553395,0.025857491,0.710099995,1.002551174,0.02545427,0.651300013,0.986872583,0.025413122,0.714699984,0.973946528,0.02619215,0.737399995,0.98498173,0.025954012,0.731000006,0.982488132,0.02557619,0.72359997,0.994808174,0.025870755,0.746999979,0.989316147,0.026030525,0.741900027,1.001186623,0.025408775,0.716300011,1.002671941,0.025737554,0.719200015,0.997341007,0.025162931,0.722299993,0.983420549,0.025085515,0.709900022,0.982612065,0.025226661,0.729499996,1.020996668,0.025786647
4,0.734600008,1.048145984,0.02592043,0.725199997,0.989907813,0.026426943,0.686699986,0.992284993,0.025545131,0.708199978,0.989363608,0.026343115,0.703199983,0.986722252,0.026308951,0.725099981,0.984154563,0.026028673,0.737800002,0.979573602,0.025852451,0.72299999,0.996060155,0.025908566,0.73150003,0.972032874,0.025943161,0.752600014,0.979992181,0.025947259,0.698199987,1.027119287,0.025987585,0.737900019,1.007188403,0.025723958,0.71420002,0.995224351,0.02730631,0.712800026,0.985540084,0.025360052,0.720099986,0.967314043,0.076619351,0.714600027,0.967273928,0.0248763,0.741100013,0.963092589,0.026171932,0.743300021,0.974742089,0.025190904,0.733799994,0.967504783,0.025140608,0.73119998,0.969267474,0.025590577,0.739499986,0.99974587,0.025511126,0.745500028,0.970538398,0.025324235,0.736100018,1.876688247,0.121955893,0.74150002,0.997746533,0.025778812,0.73269999,0.994888177,0.025518602,0.734099984,0.98995374,0.02536448,0.745199978,0.986452553,0.025930267,0.732200027,0.984417078,0.025889881,0.708800018,0.95865604,0.025731883,0.73150003,0.975982856,0.026087622,0.698499978,0.976145613,0.025844435,0.747799993,0.954099485,0.025689272,0.740700006,0.978830733,1.745653675,0.725600004,0.961045432,0.025995901,0.722500026,0.993915696,0.02603243,0.752699971,1.922568464,0.025543706,0.683499992,0.993151525,0.025408441,0.740700006,1.015651479,0.025816109,0.719799995,1.028120442,0.025713296,0.680299997,0.983984072,0.025889178,0.725399971,0.974878656,0.025511736,0.741999984,0.995870418,0.025400006,0.738099992,1.007969756,0.025598951,0.739400029,0.974228201,0.027902451,0.757000029,0.99411991,0.025966423,0.747399986,0.977978216,0.025764835,0.739199996,2.437602485,0.026095379,0.73360002,1.000136305,0.026041046,0.729200006,0.997829409,0.026343325,0.725799978,0.977780423,0.026075892,0.734600008,1.048145984,0.02592043
5,0.741999984,1.061086496,0.0697245,0.734300017,1.008066179,0.025806223,0.687600017,0.997033792,0.024572799,0.725600004,1.014165891,0.024693886,0.725799978,0.992910863,0.025137111,0.736599982,0.990941272,0.025156027,0.747500002,1.016478268,0.025785933,0.728600025,0.991753122,0.024789106,0.747500002,0.971030809,0.025044366,0.754599988,0.991045789,0.0251524,0.701799989,0.979531856,0.02522626,0.738900006,0.993638955,0.025142451,0.724600017,0.981794128,0.026245931,0.721899986,0.985031738,0.024807,0.736999989,0.976849612,0.025382834,0.713400006,1.940811622,0.025420826,0.744799972,1.013875333,0.025249163,0.762099981,0.996886895,0.025249123,0.74150002,0.991851458,0.025304767,0.741100013,0.981171395,0.025354402,0.747300029,0.986009782,0.025581068,0.749599993,0.981140827,0.025302654,0.748300016,0.990278173,0.025904418,0.743900001,0.988766075,0.025584494,0.748300016,0.988737119,0.025173701,0.747500002,0.984849634,0.245492238,0.753499985,0.999603694,0.025240125,0.734700024,0.99400195,0.025248381,0.728900015,1.018196315,0.025115411,0.746399999,1.015905067,0.025356264,0.720099986,1.024554895,0.02515223,0.756799996,1.019406545,0.025287606,0.750899971,0.981825497,2.642615209,0.737399995,0.983278826,0.114847547,0.740199983,0.987842625,0.026237284,0.759500027,0.964739826,0.024834222,0.703499973,0.991649096,0.02459493,0.755599976,0.987951729,0.025197004,0.728500009,0.978219764,0.025158703,0.685899973,0.982653637,0.02558179,0.729799986,1.937065774,0.025403314,0.745400012,0.987773054,0.024973453,0.745899975,0.995329832,0.025089091,0.747500002,0.995126318,0.025317351,0.764999986,0.978071625,0.025284789,0.752399981,0.981745166,0.024944207,0.749100029,0.981404774,0.025288046,0.743399978,1.003102506,0.025038756,0.74119997,0.987491743,0.025459609,0.732500017,0.987126956,0.024981799,0.741999984,1.061086496,0.0697245
6,0.745800018,1.092276414,0.025218405,0.737699986,0.983846857,0.026160691,0.699299991,0.982222907,0.025130912,0.736400008,0.982132346,0.025555142,0.737699986,0.964681718,0.025562986,0.746200025,0.989704093,0.026161052,0.756699979,1.902553171,0.025712929,0.737900019,1.000619379,0.025891095,0.748099983,1.01366565,0.025724731,0.755800009,0.997532573,0.025771599,0.713199973,0.987412846,0.025794942,0.742799997,0.982015437,0.041296481,0.729600012,0.990191491,0.025117946,0.728500009,0.966801762,0.024762276,0.742399991,1.00943539,0.024723443,0.722599983,1.010088971,0.02549595,0.752300024,0.98046749,0.026118712,0.771600008,0.988810148,0.025388888,0.748099983,0.98500581,0.025932802,0.742699981,1.021104596,0.110777886,0.748899996,1.016942143,0.094408324,0.753199995,0.995492869,0.025279039,0.753300011,1.001197438,0.025643948,0.753799975,3.983214222,0.02613376,0.758599997,0.976676036,0.024897912,0.757200003,0.989444985,0.02495471,0.753300011,0.986786837,0.025040411,0.75849998,0.983494093,0.025426298,0.739499986,0.975721077,0.02522098,0.754599988,0.98690013,0.02549633,0.726700008,0.982701569,0.025240789,0.764599979,0.987824121,0.025171178,0.757099986,1.029951695,2.039473238,0.738200009,1.015300791,0.025536324,0.739799976,1.005997652,0.02543885,0.767099977,1.014664132,0.024954491,0.733299971,1.004523615,0.024918122,0.761900008,0.994588737,0.025023561,0.739300013,1.000457765,0.027908376,0.732500017,0.9947926,0.025073024,0.744400024,0.99261097,0.02559652,0.751600027,0.987533062,0.025785958,0.750800014,0.958517402,0.025381384,0.753700018,0.957494716,0.025568668,0.769599974,1.011365055,0.025794022,0.763400018,1.005534029,0.025823485,0.760800004,1.003189681,0.025822533,0.745999992,0.986665077,0.025649648,0.748099983,0.974292014,0.025939614,0.755100012,0.970486684,0.026206196,0.745800018,1.092276414,0.025218405
7,0.748899996,1.098873777,0.025146251,0.744599998,0.971297306,0.025027597,0.718999982,0.988966189,0.02527764,0.74119997,0.975063933,0.025870056,0.767099977,0.964172452,0.025533952,0.760599971,0.987235328,0.025090186,0.763400018,0.969850831,0.083271183,0.75819999,1.000553391,0.071951403,0.753199995,1.013355092,0.025618121,0.764599979,1.983036744,0.025424016,0.734499991,0.998016702,0.025421341,0.752799988,0.987712776,0.025533602,0.744099975,1.002450746,0.025532217,0.742299974,0.988960177,0.024628958,0.753199995,0.985429584,0.025053406,0.727299988,0.997710344,0.025024663,0.763599992,0.969890717,0.025391854,0.778199971,0.973987746,0.025567064,0.756699979,0.960723073,0.025006228,0.741699994,0.976630816,0.025051853,0.757399976,0.957267992,0.025313167,0.751399994,1.914874513,0.025354976,0.761300027,1.018215591,0.025421571,0.763800025,0.989945504,0.025642895,0.75880003,1.011207275,0.025392584,0.763300002,0.974544345,0.024662409,0.760599971,0.980953471,0.024920737,0.763000011,0.99535699,0.024938089,0.750800014,0.963639718,0.025178531,0.758400023,0.984856826,0.024807513,0.752300024,0.96754675,0.025660992,0.76789999,0.960247056,0.0252728,0.760800004,0.973592311,2.373107758,0.750100017,0.987520635,0.137874891,0.754599988,0.953494412,0.025962067,0.774900019,1.013202154,0.024403763,0.750800014,1.007631368,0.024897692,0.766600013,0.994322902,0.0247529,0.750199974,1.010723273,0.024585926,0.744000018,0.991115378,0.0244928,0.755500019,0.994820649,0.025247833,0.762700021,0.979695792,0.081602009,0.75059998,0.982289087,0.025133185,0.756299973,0.98393018,0.027116845,0.778800011,0.969128921,0.025202035,0.767099977,0.97790135,0.025864244,0.760299981,1.020532226,0.025442338,0.754299998,0.997830981,0.029489414,0.761099994,0.991200167,0.025286895,0.76700002,0.978089574,0.025661671,0.748899996,1.098873777,0.025146251
8,0.755299985,1.058803416,0.0244032,0.752399981,1.003009649,0.024618215,0.712000012,1.011875844,0.02443497,0.750800014,1.011642375,0.024834434,0.770200014,1.018174192,0.025228526,0.771099985,1.013397001,0.025433512,0.769299984,0.994891462,0.025212766,0.760500014,0.993116588,0.025210872,0.756299973,0.979963314,0.025436167,0.769999981,0.980658625,0.025191334,0.744000018,0.986934761,0.024902762,0.758300006,0.988337704,0.025333924,0.75029999,0.994936918,0.129679883,0.752499998,0.967087053,0.024943588,0.764999986,1.952357798,0.024881903,0.734200001,1.03490176,0.026132749,0.767499983,1.011015113,0.025393527,0.781099975,1.014900343,0.025246299,0.764299989,1.004875344,0.02555494,0.750800014,1.000375796,0.02538451,0.765900016,0.979778216,0.025641804,0.763599992,0.977505354,0.025558878,0.76849997,0.987532106,0.025311461,0.771099985,0.991720457,0.096813145,0.771799982,0.986141276,0.025001838,0.772700012,0.991021931,0.026167253,0.765999973,0.978396522,0.025497763,0.765600026,1.937375068,0.025218406,0.758400023,1.03483244,0.065839194,0.767199993,0.999132905,0.025425225,0.764100015,0.978870556,0.025105974,0.76910001,0.983420088,0.025367858,0.766499996,1.002781229,2.882339584,0.749800026,0.981553741,0.096280921,0.761300027,0.984442324,0.02519431,0.783500016,0.964997787,0.024833841,0.756699979,0.990703281,0.108947457,0.776199996,0.98537995,0.108854933,0.762799978,0.976152144,0.02499218,0.749300003,1.917917445,0.025176207,0.753099978,1.028687872,0.025191966,0.771799982,1.014184866,0.025048006,0.750100017,1.009884944,0.025241079,0.760200024,1.003866533,0.025386232,0.782800019,0.988290325,0.025577572,0.776499987,0.988470253,0.025185875,0.765900016,0.961849305,0.024711832,0.767099977,0.976663387,0.025149296,0.770399988,0.993073988,0.025208357,0.7755,0.965075413,0.025296744,0.755299985,1.058803416,0.0244032
9,0.759899974,1.036170657,0.025120632,0.756099999,0.965831845,0.025359141,0.721300006,0.977593878,0.024883616,0.755400002,0.96976719,0.025054418,0.789200008,0.973481599,0.025077831,0.779500008,0.968961373,0.025239467,0.772700012,0.997755977,0.025785876,0.76730001,0.978159654,0.025786467,0.762099981,1.00780466,0.025643999,0.781899989,0.98874632,0.025486502,0.747799993,0.977149891,0.025737946,0.765600026,0.985691214,0.025354493,0.755900025,3.685232827,0.025318926,0.755500019,0.970473321,0.024831828,0.776300013,0.98329552,0.025206664,0.752900004,0.969673174,0.028984784,0.774399996,0.970989534,0.026044193,0.785399973,0.965847716,0.025728067,0.768599987,1.968184443,0.025098982,0.760999978,0.999693096,0.02538414,0.771499991,1.01556895,0.02634467,0.767499983,0.991327755,0.025163594,0.780900002,1.007191265,0.112190531,0.775699973,0.972529986,0.024960541,0.780799985,1.009670436,0.081868576,0.776300013,0.990070285,0.024778328,0.774999976,0.985591316,0.024738762,0.769599974,0.96911424,0.025394177,0.769699991,0.948063516,0.025660709,0.767499983,0.962810061,0.02571943,0.766099989,0.966776405,0.02607971,0.772800028,1.960479355,0.025222194,0.774399996,1.014192146,2.571111217,0.764400005,1.015268013,0.096071579,0.760800004,0.995554268,0.025426158,0.788600028,0.999805909,0.024825016,0.767499983,0.978241698,0.02489684,0.776499987,0.983995439,0.024946695,0.770299971,0.973702104,0.026837867,0.761600018,0.988773813,0.025598331,0.762199998,0.968730006,0.025061551,0.780499995,1.004654485,0.024686104,0.7579,0.974533782,0.025122846,0.758700013,1.930015425,0.02505552,0.783800006,1.000724149,0.025358911,0.779100001,0.99216963,0.02541072,0.764699996,0.97373714,0.025264282,0.770799994,0.982084759,0.025211815,0.783699989,0.978498362,0.025817174,0.783599973,0.987849721,0.025674136,0.759899974,1.036170657,0.025120632
