Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.195912719,1.12237204,0.025734068,0.229448378,1.033751478,0.011854842,0.195874304,1.024551808,0.011070758,0.195874304,0.997156268,0.011927549,0.195874304,0.98081241,0.011583853,0.195874304,0.978802251,0.011135058,0.195912719,0.975732932,0.011976181,0.195989549,0.978715118,0.012088901,0.196412101,0.978415826,0.011212183,0.195874304,0.979136429,0.011888796,0.195874304,0.971444383,0.01186966,0.198448062,0.972720601,0.011037235,0.195912719,1.03173059,0.012494314,0.195874304,0.964874424,0.011871905,0.195874304,0.972735509,0.011752099,0.23263675,0.986540015,0.0110074,0.231791645,0.972570759,0.011641292,0.195874304,0.971465973,0.011847028,0.209626615,0.963745973,0.010963697,0.199024275,1.360397096,0.011818423,0.195874304,0.960654924,0.036168922,0.265019983,0.9765989,0.053322714,0.195874304,0.957129788,0.011575026,0.195874304,1.023956429,0.011998662,0.214197904,0.97621539,0.011503431,0.227796555,0.95457147,0.010585787,0.195874304,0.972387064,0.01122599,0.195989549,1.42254368,0.012007744,0.195874304,0.949977757,0.011160102,0.198678553,0.959041451,0.011873418,0.217616782,0.968355167,0.01143107,0.234250158,0.974399967,0.012322678,0.195874304,0.971995548,0.011263826,0.195874304,0.960496957,0.011641165,0.195874304,1.005677634,0.011163833,0.195874304,0.972062334,0.01058141,0.195874304,1.516798592,0.011586094,0.252228022,0.972184103,0.011730628,0.232098952,0.962372803,0.01098122,0.195874304,0.969161152,0.011694472,0.196104795,0.960664131,0.011833519,0.260102957,0.966135765,0.010925753,0.195874304,0.969296125,0.011914163,0.195989549,0.959948656,0.011810388,0.196450517,0.962856,0.011049309,0.195874304,1.003612322,0.011812642,0.231177017,0.988820541,0.011671808,0.195874304,0.989386345,0.011272828,0.195874304,0.986156614,0.011647933,0.230639219,1.023430961,0.011978354,0.195912719,1.12237204,0.025734068
1,0.195912719,1.12237204,0.012230947,0.32106638,2.425484415,0.012253573,0.2701675,0.972774719,0.011406271,0.320605397,0.960014385,0.012047526,0.328211427,1.026125022,0.011480221,0.356599569,1.023147318,0.010974221,0.33163029,1.015201219,0.011308849,0.329171777,0.992265007,0.011634039,0.282306403,0.993956976,0.011140091,0.3181853,0.994495859,0.011294342,0.313498765,0.99020458,0.011531587,0.33938998,0.969345379,0.010909238,0.374500602,1.014772454,0.012394819,0.313729256,0.962516249,0.011226164,0.354333133,0.957480898,0.011269305,0.330554694,0.957246848,0.010602542,0.354563624,1.8705806,0.011315682,0.321027964,0.980154368,0.011771949,0.297019064,0.98307762,0.011001062,0.335126013,0.968442744,0.011552828,0.315726787,0.977234742,0.012977474,0.326598018,0.98109181,0.010722768,0.333781511,0.97243783,0.011366148,0.324562073,0.993274103,0.012269914,0.320797473,0.965544197,0.011424736,0.378034741,0.970493226,0.010824599,0.333090037,0.961449394,0.011433272,0.342501551,1.837832642,0.011553889,0.330785185,0.98421145,0.010759737,0.351605713,0.973164064,0.011460634,0.342962503,0.969821624,0.011301626,0.291103244,0.95690681,0.010820932,0.363552541,0.959207491,0.011553228,0.320374936,0.958998038,0.011218489,0.385871232,0.959297739,0.011190446,0.367662877,0.952741934,0.010584538,0.329018146,0.957494542,0.011213078,0.384757221,0.952218138,0.011768732,0.340772897,0.954463928,0.011250898,0.345497847,0.963002782,0.011494467,0.361670256,0.965787885,0.011625091,0.344652742,0.957318381,0.010907723,0.364397675,0.959943173,0.011671167,0.371043324,0.951584067,0.011142273,0.318761528,0.981285093,0.011140199,0.341157049,0.966505591,0.012096469,0.278003991,0.955031935,0.011758432,0.36051783,0.939017487,0.011307775,0.372464657,0.951737215,0.012772388,0.345651507,0.95783995,0.012502412,0.195912719,1.12237204,0.012230947
2,0.299592823,0.97449984,0.011488577,0.455093741,0.952211531,0.011531713,0.475799024,0.977278213,0.010817884,0.442762762,0.960204527,0.011566199,0.461777806,0.952589962,0.011779332,0.468116164,0.974175343,0.011169345,0.471842349,0.959408612,0.01209286,0.455593109,0.955972837,0.011978846,0.457475424,0.952935588,0.010918383,0.462430865,0.948617487,0.011972835,0.457283348,1.005663833,0.011911219,0.4779118,1.003412925,0.011669906,0.487630606,0.958632465,0.01141233,0.460279644,0.994743829,0.011804779,0.415719122,0.988946659,0.011452036,0.499270141,0.972976638,0.010996009,0.470805168,0.955839083,0.011631364,0.45966503,0.952946619,0.012210212,0.37987861,1.026803206,0.011079567,0.468116164,0.958024719,0.011832572,0.449869394,0.974547098,0.011749438,0.455247402,0.948896661,0.011355437,0.451866925,1.925913559,0.011857351,0.500806689,1.015684475,0.011402783,0.483289808,1.040450303,0.011979539,0.494545162,0.99774069,0.011234129,0.479947746,0.99366897,0.012048089,0.441034108,0.987917866,0.011810451,0.481791645,0.982562897,0.011079357,0.418907493,0.974470434,0.011902976,0.444645047,0.981821784,0.01216545,0.394706517,0.973113245,0.011637047,0.477758139,0.967173436,0.011220736,0.463660121,1.855250772,0.01203117,0.493469566,0.958671267,0.01107134,0.437615246,0.988124875,0.042976675,0.493469566,0.977952726,0.057337282,0.495543957,0.990287898,0.011933847,0.458090037,0.971715077,0.011052129,0.50768286,0.966546699,0.01198896,0.453518748,0.990549591,0.012081194,0.480255067,0.987088678,0.011143763,0.489935458,0.977456383,0.012009049,0.483405054,0.970276034,0.011518496,0.437039018,0.966635615,0.011199898,0.478411198,1.013254921,0.01137408,0.427089721,1.03838433,0.114527958,0.492009848,0.988495005,0.015012375,0.504148722,0.9651559,0.015696561,0.464313149,0.957758312,0.156146559,0.299592823,0.97449984,0.011488577
3,0.299592823,0.97449984,0.011370151,0.557083607,0.973771844,0.011877139,0.570720673,0.947076486,0.011343447,0.551897645,2.024117592,0.011699567,0.581322968,1.026247721,0.011537602,0.562999368,0.998809006,0.011031342,0.538068533,0.964600678,0.011761333,0.567609072,0.966790975,0.012040969,0.520858943,0.971622955,0.011284557,0.556430519,0.974641528,0.011848146,0.540373385,0.966573366,0.011803553,0.553395808,0.965744468,0.011201051,0.578057766,0.958591766,0.012327756,0.564382315,0.95269294,0.012198697,0.555393338,0.964165741,0.011883245,0.569030404,1.963900096,0.013169492,0.563421965,1.010381955,0.011920947,0.543945909,1.022632327,0.011904215,0.53376615,0.995441688,0.011049678,0.58458817,0.974116752,0.01193304,0.554855585,0.966210694,0.012088322,0.558120787,0.953161501,0.011191565,0.540296555,0.954093052,0.011699961,0.585010767,0.956110223,0.011962959,0.577712059,0.944701502,0.011701845,0.581860781,0.973034278,0.010945564,0.552204967,0.957260213,0.011837299,0.521396756,1.913938516,0.011952204,0.574216366,0.985032598,0.011582129,0.514021218,0.975061691,0.011616304,0.542831898,0.962886232,0.011903583,0.497695148,0.965254112,0.010903223,0.561309159,0.987379568,0.011626452,0.55474031,0.974388076,0.011319747,0.566571891,0.982223937,0.011474882,0.527235687,0.957682714,0.010786094,0.580016911,0.967699236,0.011302926,0.603641689,0.966858537,0.011715,0.575023055,0.965475087,0.010801082,0.587008297,0.983424938,0.011398696,0.545674562,0.972920938,0.011545962,0.579171777,0.980218312,0.010829215,0.569913924,0.967587096,0.01198169,0.571258426,0.966369207,0.01100202,0.557352483,0.964283959,0.010919304,0.553088486,0.969642964,0.011844857,0.533804536,0.982957356,0.011911373,0.585049152,0.96205241,0.011591032,0.583243728,0.96511236,0.011777482,0.559196353,0.973378835,0.393055092,0.299592823,0.97449984,0.011370151
4,0.467847258,0.948716335,0.011133828,0.614128768,0.953746272,0.011031273,0.628610969,0.960498854,0.010877467,0.610978782,0.951067667,0.011320238,0.642632127,0.956821632,0.011250626,0.622349441,0.946963783,0.010449031,0.620082974,0.961509213,0.011059308,0.634142578,0.935568685,0.011139768,0.576175451,0.940576347,0.010517598,0.608481884,0.941584763,0.01126818,0.596611857,1.009796804,0.011202428,0.605908096,0.98618857,0.010899578,0.632529199,0.944383012,0.01090149,0.618392766,0.959468106,0.011276876,0.608558714,0.963073484,0.011648815,0.593039334,0.957484027,0.092917793,0.631492019,0.949022613,0.01083203,0.596919179,0.932328505,0.011336659,0.592655182,0.948710947,0.010790632,0.637599885,0.949117882,0.011712485,0.625998795,0.961798597,0.011355955,0.62684387,0.955105687,0.011020555,0.594499052,2.00213285,0.011067703,0.641057134,0.951322396,0.011327291,0.637023687,1.008239999,0.010947988,0.641133964,0.992129677,0.010620172,0.591771662,0.977873191,0.010890881,0.592040539,0.967215338,0.011445414,0.621773183,0.941980086,0.010680746,0.580785215,0.948138902,0.011591629,0.618815303,0.955302096,0.011054649,0.549631238,0.953857851,0.010832852,0.617778122,0.939430564,0.010881503,0.616395235,1.938100995,0.010841257,0.619429946,0.965252078,0.010865844,0.590196669,0.975474813,0.010541034,0.641210794,0.968648602,0.010783118,0.656115532,0.97392533,0.011217045,0.621773183,0.965228794,0.010617046,0.629724979,0.959776516,0.011842851,0.601067901,0.958015236,0.011125182,0.650775969,0.941893303,0.0113266,0.626882315,0.936905598,0.010393356,0.633489549,0.949320604,0.015789218,0.625230491,0.937821239,0.011884037,0.608097732,0.983577342,0.011120924,0.586124778,0.97310625,0.011535302,0.636101723,0.961527787,0.010482314,0.628918231,0.968771593,0.01142711,0.624846339,0.95242069,0.011195343,0.467847258,0.948716335,0.011133828
5,0.467847258,0.948716335,0.011893712,0.649508297,0.979353741,0.011207316,0.650007665,0.94484652,0.010393076,0.66829288,0.955713216,0.011272979,0.685925007,0.951529492,0.0114487,0.653464973,0.970147508,0.010687017,0.658074677,0.965486146,0.01152906,0.665488601,0.974417203,0.01172036,0.62876457,0.971992064,0.010910427,0.653541803,0.965348297,0.012222984,0.627343297,0.96515293,0.011561821,0.658996642,0.960998761,0.010749776,0.668792248,0.972048881,0.010715691,0.657267988,0.942610728,0.011413774,0.641133964,0.959424693,0.011766407,0.628956676,0.943651365,0.011088653,0.673286736,0.940357544,0.01149133,0.629148722,0.951488023,0.011453729,0.631299913,1.016553682,0.010680134,0.673862934,0.980977853,0.011285133,0.652888775,0.965459044,0.011544319,0.658650875,0.961426042,0.011013972,0.647664428,0.948812654,0.011773118,0.680815935,0.968687193,0.011481511,0.674016595,0.953360493,0.011522608,0.681699455,0.958315957,0.01082686,0.634642005,0.95423193,0.01144402,0.625499368,0.950139488,0.011506358,0.665872753,0.944488407,0.010753812,0.638214529,1.943641111,0.011544419,0.650391817,1.005910898,0.011406761,0.605831265,1.000503143,0.01101807,0.66429776,0.978307523,0.01133259,0.652466178,0.972696958,0.011593191,0.660072207,0.967921013,0.010792897,0.641748607,0.964838367,0.010649447,0.676129401,0.955818833,0.011730899,0.679240942,0.937132149,0.011319805,0.644668102,0.951813565,0.010753692,0.651774764,0.937717209,0.01139082,0.65876615,0.957157269,0.011694141,0.692685902,0.953043357,0.01136907,0.667140424,1.000239398,0.011743033,0.682967126,0.968293551,0.011622606,0.670905054,0.953919363,0.010885391,0.62492317,0.966192674,0.014341037,0.624231696,0.959191805,0.011103931,0.667601407,0.970305194,0.010472694,0.670943439,0.950507411,0.018316317,0.666986763,0.946135804,0.011186096,0.467847258,0.948716335,0.011893712
6,0.555470169,0.984622084,0.01138797,0.672211111,0.966131395,0.011565399,0.678395808,0.97360903,0.010876303,0.695643842,0.956904443,0.011285882,0.709665,0.967938322,0.012022818,0.672672093,0.95575353,0.01126378,0.690073729,0.951854231,0.012055018,0.679932415,0.952161909,0.011550279,0.680393338,0.940602562,0.010946824,0.681123257,0.927230108,0.011447966,0.663452685,0.935149223,0.011774499,0.705285788,0.927516376,0.010860031,0.696373701,0.946701535,0.012149144,0.680662274,0.941694475,0.011955109,0.676743984,0.97097563,0.011727699,0.661647201,0.972866435,0.01108421,0.696450531,0.965060783,0.01172163,0.668254435,0.96829405,0.011516232,0.673478782,0.957313101,0.011919581,0.705362618,0.954729725,0.011502176,0.696104765,0.957958013,0.011687376,0.679240942,0.960031,0.011214306,0.684273183,0.943828055,0.011406467,0.695528567,0.950732983,0.011877364,0.69806391,0.936567278,0.01112702,0.695490181,0.987634442,0.010941894,0.664413035,0.985786248,0.011370901,0.669099569,0.966294552,0.01133466,0.695374906,0.963206859,0.010810768,0.670943439,0.945440226,0.045106367,0.692417026,0.968388999,0.011733711,0.644591272,0.962424819,0.011252916,0.680585444,0.946372377,0.011888221,0.686962187,0.959790818,0.011822647,0.696296871,0.946247933,0.011104992,0.679932415,0.953495045,0.011010812,0.695144415,0.955663039,0.011340813,0.700176716,1.00329102,0.01140295,0.652120471,1.02097576,0.010883113,0.674631238,0.98876202,0.011907427,0.683236003,0.975852005,0.011414982,0.722418547,0.963481103,0.010998469,0.688575625,0.942685076,0.011523406,0.709396124,0.970013813,0.011648201,0.700445592,0.947085847,0.010863064,0.679010451,0.94140996,0.011596816,0.652005196,0.949315629,0.011428661,0.703019381,0.945321913,0.011036423,0.661954522,0.942082745,0.06561179,0.694990754,2.111306056,0.011986128,0.555470169,0.984622084,0.01138797
7,0.555470169,0.984622084,0.011026015,0.677627563,0.957908424,0.012183616,0.686962187,0.942183894,0.098598901,0.702596784,0.946735117,0.011424408,0.721381366,0.962875378,0.011677492,0.677550733,0.949999282,0.011353824,0.689843297,1.992555357,0.011971995,0.683620155,0.982189224,0.011763626,0.698640108,0.974839471,0.011129394,0.69038105,0.9783717,0.011865218,0.676398277,0.970165387,0.011961828,0.717693627,0.966962048,0.011124424,0.704978466,0.944121415,0.011673937,0.688921332,0.953923896,0.012977557,0.671826959,0.954119684,0.011809652,0.67589891,0.956649729,0.011386327,0.708243728,0.943460724,0.011820712,0.680047631,0.93787151,0.011960436,0.682275653,1.963869972,0.011354637,0.717962503,0.971695664,0.01201577,0.706361413,0.974114339,0.01203259,0.684887826,0.964711689,0.010983148,0.699293196,0.974398202,0.011725674,0.714005828,3.70776506,0.011762964,0.712392449,0.972740537,0.012140734,0.695720673,0.959343631,0.012298971,0.667447746,0.953401535,0.011634092,0.692609072,0.957906621,0.011865427,0.710279644,0.946812292,0.010960847,0.681161642,0.951241365,0.01160655,0.707475424,1.008839145,0.012011131,0.642132759,0.988092727,0.011381248,0.703672409,0.98713127,0.011719704,0.700791359,0.959551793,0.011950527,0.708781481,0.988971048,0.011277042,0.680815935,0.958687318,0.010873693,0.707014441,0.963605891,0.011733078,0.701367557,0.953993097,0.011936872,0.657383204,0.949946442,0.011562078,0.678088486,0.957435075,0.011397068,0.698793769,0.950329923,0.011639322,0.736939132,0.95321814,0.011346883,0.68077749,2.055115492,0.011639433,0.725722194,1.009385472,0.012214974,0.700983405,1.01491913,0.011185299,0.688882887,0.972609721,0.011714082,0.656960666,0.970125092,0.011912035,0.71062541,0.967461246,0.011301016,0.664950848,0.955769395,0.018352518,0.699830949,0.964144924,0.045273816,0.555470169,0.984622084,0.011026015
8,0.605101407,1.031786676,0.010600515,0.682775021,0.966283375,0.012053981,0.696757853,1.00285016,0.011125486,0.704824805,0.992454465,0.011992917,0.729141057,0.992274997,0.011751985,0.685348809,0.976192596,0.010992588,0.709204078,0.963575877,0.011644212,0.69902426,0.95514295,0.011698283,0.701828539,0.956155844,0.011024277,0.706668735,0.953625228,0.011468232,0.683312833,0.947736432,0.01169129,0.736478209,0.94594219,0.011009459,0.712085128,0.958362661,0.015395321,0.701252282,0.941465317,0.014136215,0.682275653,0.99166467,0.011786649,0.680431783,0.976018438,0.011015462,0.724147201,0.970988837,0.011361561,0.689920127,0.980385064,0.011485363,0.684388459,0.965193747,0.011171464,0.72695142,0.959237655,0.011352104,0.709818661,0.962848601,0.011748419,0.6875,0.960305772,0.010942904,0.708243728,0.961462285,0.011540948,0.725491703,0.943689367,0.012288773,0.720036864,0.95918206,0.01161149,0.705132127,1.003393401,0.011049945,0.671058714,0.979619004,0.011904782,0.712008297,0.966934379,0.01161096,0.717693627,0.965147711,0.010939378,0.69030422,0.975080587,0.01129199,0.71438998,0.968453062,0.011811455,0.650622308,0.952947404,0.011142308,0.702481568,0.962712895,0.011478249,0.718846023,0.937293558,0.012250159,0.716195464,0.964267817,0.011322257,0.692647517,0.945706859,0.010949055,0.711047947,0.934049953,0.011583187,0.702596784,2.062378127,0.01103712,0.647395492,0.992068029,0.010931302,0.683043957,0.979626509,0.011763335,0.709933937,0.979894102,0.011675479,0.743853748,0.974434703,0.011057308,0.686501205,0.970680408,0.030336937,0.737899482,0.960712226,0.011798211,0.706515074,0.949960642,0.010989391,0.70094502,0.94413809,0.011439277,0.673978209,0.944931812,0.011358716,0.717386305,0.936893417,0.011124476,0.663145363,0.952627623,0.019000947,0.709818661,2.05837294,0.011985965,0.605101407,1.031786676,0.010600515
9,0.605101407,1.031786676,0.01235421,0.684503675,0.943397247,0.011778813,0.69902426,0.9459555,0.011260511,0.709549785,0.944111834,0.011554942,0.728756905,0.932309818,0.011917144,0.6913414,0.941048378,0.011317977,0.710318089,1.953059002,0.011577306,0.706937611,0.994458232,0.011971926,0.710586965,0.987093132,0.011281338,0.718538702,0.961470504,0.011611098,0.698870599,0.962136926,0.011954955,0.74800247,0.956756656,0.011517963,0.717002153,0.934690646,0.0117402,0.70670712,0.947461629,0.011435157,0.679701924,0.943830556,0.043217529,0.684772611,0.944759061,0.10012353,0.734058082,0.952919265,0.011806606,0.701290727,0.947347736,0.011695678,0.691149354,0.938593305,0.010972439,0.73455745,1.992478486,0.011888419,0.715849698,0.998145039,0.011774644,0.692801178,0.986546123,0.011123051,0.712430835,0.967146379,0.011677723,0.731868446,2.065799505,0.01183003,0.725338042,0.975735248,0.012528263,0.719422221,0.972162545,0.011111911,0.674669623,0.957031823,0.011681802,0.717232645,0.952899398,0.011544783,0.728718519,0.945341546,0.011209403,0.692609072,0.942299099,0.0115484,0.717539966,1.972200371,0.011669487,0.664758742,0.997739056,0.011065483,0.712238789,0.96461352,0.011536238,0.717501521,0.976343572,0.011747334,0.722226501,1.001363778,0.011480994,0.697756588,0.97224491,0.011090329,0.71727103,0.968195401,0.012168697,0.710817456,0.964979468,0.011744758,0.667793512,0.967949919,0.011272301,0.690649986,0.949041739,0.012074829,0.700676084,0.945973222,0.012215584,0.745812833,0.950866908,0.011130464,0.689036548,1.957843193,0.011746733,0.747618318,1.002185832,0.011894,0.718192995,1.006299222,0.011360929,0.715273499,0.992746585,0.011752834,0.678434253,0.969503178,0.012737014,0.727604508,0.968554025,0.011063139,0.675476313,0.950859314,0.351099638,0.711893082,0.953004575,0.011692631,0.605101407,1.031786676,0.01235421
