Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.1655,1.341319405,0.01511333,0.158600003,0.75766444,0.016202313,0.173899993,0.789305178,0.015533063,0.163100004,0.963269499,0.014981823,0.155699998,0.791196493,0.015081141,0.144199997,0.771984346,0.015333797,0.111100003,0.780441494,0.015477578,0.119099997,0.778469037,0.015508345,0.155699998,0.770442851,0.01460374,0.186499998,0.771103266,0.015136465,0.181700006,0.77875732,0.014910439,0.212699994,0.764483451,0.015159348,0.115800001,0.752818548,0.015079446,0.147200003,0.781525066,0.015430129,0.177900001,0.772000707,0.014798178,0.121699996,0.78799001,0.01480465,0.1149,0.775193144,0.014591208,0.139200002,0.773865862,0.015194356,0.100000001,0.775457291,0.014974259,0.228599995,0.765317693,0.01484225,0.175899997,0.780712384,0.014873249,0.133100003,0.786020468,0.014973427,0.104699999,0.769700061,0.016366393,0.100100003,0.752348782,0.01486847,0.203099996,0.777009667,0.015454174,0.123899996,0.771817022,0.015399551,0.100199997,0.775651237,0.01496343,0.174899995,0.760639808,0.014639779,0.141000003,1.147909689,0.015697033,0.194100007,0.771011934,0.015271499,0.140900001,0.772757173,0.015477909,0.160799995,0.773124915,0.015219291,0.131200001,0.77095135,0.015495782,0.166299999,0.77491519,0.01526595,0.168400005,0.878155569,0.015429146,0.134200007,0.770581082,0.015166392,0.115500003,0.779116437,0.015318367,0.132200003,1.231585158,0.015222958,0.171399996,0.767701696,0.015542962,0.157499999,0.779598365,0.015386525,0.189899996,0.780128715,0.015394963,0.228599995,0.771611935,0.015131224,0.105400003,0.769756108,0.015428626,0.130500004,0.75569058,0.015423326,0.209000006,0.768502986,0.015204644,0.212300003,0.767775394,0.015559613,0.134299994,0.757183023,0.015215935,0.169200003,0.910304735,0.014932672,0.205599993,0.763008421,0.015231434,0.163499996,0.768159609,0.015141334,0.1655,1.341319405,0.01511333
1,0.243799999,0.775147549,0.015114123,0.237599999,0.784700502,0.016047572,0.221799999,0.763244377,0.044392179,0.226699993,0.771591438,0.015940351,0.2245,0.77842724,0.015332355,0.231999993,0.764204406,0.015301136,0.220699996,0.765847713,0.015676142,0.230900005,0.762898705,0.015173876,0.129800007,0.770146885,0.015390845,0.230599999,0.76229092,0.014928804,0.206900001,0.761588817,0.014825138,0.211099997,0.753741068,0.015014385,0.166500002,0.765896084,0.015216767,0.245399997,0.752090206,0.015381476,0.270200014,0.760665757,0.015066354,0.269800007,0.75934611,0.015913301,0.237499997,1.512922647,0.015002683,0.216299996,0.764547372,0.015251533,0.252499998,0.773930365,0.015503737,0.252400011,0.760159393,0.01509131,0.206100002,0.755137819,0.014893608,0.212599993,0.759297148,0.014920439,0.206100002,0.762714168,0.015615589,0.2456,0.759216256,0.015082503,0.249699995,0.763586211,0.015492055,0.230399996,0.76056109,0.014959831,0.195199996,0.766310575,0.015193212,0.25029999,0.769835989,0.014999948,0.201100007,1.502607938,0.014999076,0.241099998,0.769867799,0.015162005,0.230700001,0.782817965,0.015055513,0.259900004,0.772711148,0.015519478,0.253500015,0.770657718,0.015097153,0.243499994,0.764579062,0.015379184,0.216700003,0.764913963,0.015407165,0.227500007,0.775135747,0.015514469,0.262499988,0.793666008,0.015291167,0.243499994,0.782491529,0.015116288,0.211300001,0.761788172,0.015617973,0.202199996,0.77042059,0.015391136,0.269699991,1.514014094,0.016726992,0.223499998,0.778228695,0.015475786,0.182899997,0.760880913,0.01497457,0.269499987,0.7641486,0.015221004,0.264400005,0.762615,0.014805511,0.251199991,0.759088385,0.019949075,0.190699995,0.766402518,0.016219296,0.215800002,0.763067594,2.517965919,0.209700003,0.759826275,0.016558405,0.152400002,0.757178685,0.237813162,0.243799999,0.775147549,0.015114123
2,0.320100009,1.565648293,0.016081656,0.316300005,0.766358981,0.016175955,0.269899994,0.770465951,0.015438195,0.282999992,0.762516089,0.015583507,0.250499994,0.763555267,0.015982611,0.333499998,0.768458468,0.014991091,0.298999995,0.767163388,0.015582115,0.30250001,0.761525592,0.015400574,0.264999986,1.549578898,0.015513506,0.304500014,0.7708952,0.015426471,0.274300009,0.757339755,0.015828239,0.307000011,0.755682511,0.015438946,0.293099999,0.768526426,0.016197184,0.246700004,0.763172396,0.022256955,0.308999985,0.770307533,0.016961515,0.289499998,0.765340032,0.015669821,0.296400011,0.769836495,0.015178675,0.277200013,0.763437596,0.015437643,0.262300014,0.758300836,0.015453655,0.284200013,0.767672897,0.015363614,0.268400013,0.779404577,0.015257435,0.283699989,0.770206382,0.01516962,0.263799995,0.772059224,0.015628764,0.325599998,0.766857541,0.016034177,0.286799997,0.765074992,0.015666674,0.335799992,0.750007566,0.015452652,0.210500002,0.75522018,0.015859037,0.311199993,0.762963433,0.015806528,0.274699986,0.766954353,0.015841023,0.294800013,0.755646183,0.01577545,0.323900014,0.761018737,0.015765391,0.289900005,0.755552295,0.015345389,0.314500004,1.557564567,0.015652758,0.317000002,0.778974356,0.015390103,0.290100008,0.760227306,0.015981627,0.317799985,0.767349969,0.015853998,0.307300001,0.754550658,0.0154302,0.280400008,0.757007939,0.015806589,0.258399993,0.755923665,0.015702332,0.305200011,0.749380033,0.015438686,0.26699999,0.750267997,0.015357162,0.263599992,0.758696962,0.015624315,0.264499992,0.748755116,0.01556827,0.306899995,0.75306063,0.015155673,0.32949999,0.748401048,0.015821306,0.298400015,0.771697242,0.015568349,0.301400006,0.758300114,0.015966139,0.316500008,0.7665916,0.015793903,0.294400007,0.769761944,0.015223019,0.293500006,0.778798705,0.015381808,0.320100009,1.565648293,0.016081656
3,0.3292,0.775976948,0.015689889,0.345200002,0.772318504,0.016936037,0.315200001,0.784002413,0.260883754,0.303799987,0.775203992,0.015507284,0.294099987,0.754556399,0.015320203,0.355800003,0.762523063,0.015274536,0.30250001,0.761976033,0.015286718,0.335399985,0.75700816,0.015801659,0.305500001,0.752713726,0.015182913,0.34920001,0.751282099,0.015189816,0.323199987,0.759802607,0.015328959,0.354099989,0.756818432,0.015430199,0.321099997,0.76569987,0.021336731,0.296099991,1.544421561,0.015300245,0.326099992,0.77798926,0.0149472,0.343499988,0.769124113,0.015453894,0.316900015,0.76422477,0.015437454,0.255199999,0.767029526,0.01501123,0.277999997,0.759177047,0.015033502,0.326599985,0.761760577,0.015251773,0.308600008,0.763548887,0.014969622,0.323500007,0.757493354,0.014876977,0.29370001,0.758428747,0.014981525,0.335599989,0.768910451,0.016304869,0.31310001,0.758410774,0.015145824,0.353199989,1.562954087,0.021443612,0.301699996,0.784975897,0.033518189,0.344300002,0.774477412,0.014964353,0.285299987,0.75808039,0.014882428,0.319599986,0.757096907,0.014905732,0.356000006,0.77110687,0.014808869,0.344900012,0.753303548,0.014812096,0.344799995,0.760856823,0.014733747,0.342200011,0.755499376,0.014859153,0.313800007,0.755534533,0.016594444,0.32949999,0.762867221,0.014892105,0.313600004,0.754481198,0.014806743,0.298400015,0.755829028,0.01468247,0.295100003,0.777991635,0.015068778,0.347299993,0.784459073,0.015658589,0.311100006,0.776741248,0.014796034,0.308400005,0.769898443,0.014448378,0.342400014,0.765485816,0.014657282,0.337000012,0.766582874,0.01469839,0.365500003,0.76372052,0.014845877,0.328599989,0.759787868,0.020117793,0.355800003,0.754893946,0.016398705,0.360900015,0.761811853,0.017196398,0.329600006,0.756166604,0.016391391,0.322100013,1.572474699,0.01650792,0.3292,0.775976948,0.015689889
4,0.34889999,0.752717455,0.015363624,0.356400013,0.768169345,0.016184552,0.330300003,0.752020261,2.986205144,0.308200002,0.767849331,0.015110056,0.32949999,0.75290071,0.015475665,0.369399995,0.762241072,0.060304968,0.332500011,0.783853532,0.015689087,0.356099993,0.76947221,0.015559412,0.330799997,0.769046338,0.015181059,0.364800006,0.763585066,0.015285296,0.337700009,0.758094317,0.015241605,0.371499985,0.764098022,0.016193868,0.342700005,2.042249351,0.015399942,0.323199987,0.769148139,0.015423015,0.352999985,0.761636703,0.015550396,0.360300004,0.750086316,0.015635686,0.356400013,0.760830123,0.015086071,0.322699994,0.768064898,0.016007256,0.322699994,1.616025124,0.015400343,0.373199999,0.784685571,0.015360086,0.348199993,0.77133489,0.015314942,0.343699992,0.770561212,0.015522853,0.333299994,0.766628942,0.01585029,0.361999989,0.778002285,0.015624055,0.341199994,0.763592379,0.015323618,0.363200009,0.757440275,0.015259006,0.345400006,0.756256965,0.01558501,0.360399991,0.75818068,0.015711399,0.315200001,0.75099047,0.015964135,0.346599996,0.759032777,0.015673898,0.370999992,0.751219432,0.015785628,0.356599987,0.782026449,0.015663989,0.363499999,0.779021446,0.015500431,0.361099988,0.771231816,0.015742246,0.323700011,0.764114413,0.016171217,0.327800006,0.771892551,0.015516342,0.322299987,0.762837145,0.015174127,0.358099997,0.762194635,0.022776655,0.308899999,0.769225384,0.017773516,0.364499986,0.758530139,0.015785408,0.346599996,0.767037381,0.01542012,0.306600004,0.762863756,0.0152502,0.349599987,0.752554267,0.015612533,0.355599999,1.613394325,0.015439056,0.373100013,0.777191858,0.015428846,0.353700012,0.766994821,0.017038018,0.373800009,0.765972685,0.015570022,0.376700014,0.757689845,0.015403689,0.337700009,0.756372062,0.015848046,0.344900012,0.762146845,0.016347577,0.34889999,0.752717455,0.015363624
5,0.352600008,1.613361548,0.015580442,0.368299991,0.769978586,0.015983641,0.345299989,0.765418784,0.241059154,0.316599995,0.766513396,0.015452752,0.361299992,0.760855404,0.015707271,0.378199995,0.768481055,0.01600894,0.347200006,0.760091053,0.016276825,0.375400007,0.772455224,0.015511062,0.338499993,0.753169679,0.0151977,0.369300008,0.767872508,0.015380814,0.358700007,0.762951634,0.015965466,0.387499988,0.775649864,0.015814462,0.355399996,0.771822081,0.015476708,0.349700004,0.782956034,0.015275887,0.376300007,0.777099507,0.015079236,0.375499994,0.76713608,0.015648379,0.366400003,0.771643074,0.015551526,0.317999989,0.768493097,0.016005793,0.348500013,0.759559171,0.015390663,0.369500011,0.7692369,0.015121396,0.371800005,0.761964573,0.015331993,0.361099988,0.778252239,0.01545221,0.345200002,0.752982787,0.0156488,0.379599988,0.773949691,0.015587215,0.3574,0.763630434,0.015360124,0.353899986,0.797558663,0.015272479,0.339599997,0.780680816,0.015291326,0.373400003,0.770094786,0.015286857,0.336400002,0.765806395,0.015717568,0.345400006,0.767691497,0.015167521,0.371800005,0.766913992,0.015468628,0.378699988,0.757012091,0.0151422,0.375099987,0.763248574,0.015435322,0.381900012,0.763880976,0.015618247,0.338200003,0.765607829,0.015526501,0.344599992,0.763385432,0.01533283,0.352499992,0.758893776,0.015033687,0.368999988,0.786297841,0.015695805,0.334199995,0.779059079,0.015556621,0.36649999,0.773477361,0.015816872,0.347600013,0.777323679,0.015411368,0.331099987,0.770454864,0.015161517,0.366899997,0.765005344,0.015546262,0.3741,0.764997821,0.01556101,0.389099985,0.755291739,0.015700995,0.372099996,0.776364141,0.020306879,0.392399997,0.758976653,0.016317131,0.386999995,0.761258734,0.016949743,0.352200001,0.787288358,0.016804369,0.346500009,0.779017,0.016549418,0.352600008,1.613361548,0.015580442
6,0.363000005,0.765843753,0.016012603,0.371699989,0.763122947,0.01713062,0.371800005,0.768885514,0.060624132,0.333600014,0.755732862,0.015482547,0.383100003,0.761108541,0.0157605,0.379799992,0.780825372,0.016161005,0.3583,0.776842868,0.015730954,0.390599996,0.769937527,0.015652367,0.337599993,0.758724959,0.015556515,0.37470001,0.751419635,0.01562262,0.37470001,0.752095388,0.015433703,0.386799991,0.758713398,0.015731365,0.363700002,0.796132323,0.052557391,0.370999992,0.763047505,0.015557977,0.38319999,0.755963286,0.015450475,0.38409999,0.747459533,0.015513023,0.384200007,0.75766875,0.015425428,0.304500014,1.612873238,0.015794193,0.359600008,0.780732577,0.015843646,0.385500014,0.762857206,0.0152456,0.391400009,0.759333606,0.015217126,0.376399994,0.766979403,0.015253195,0.370599985,0.765479306,0.015606209,0.388099998,0.783946372,0.018562861,0.368900001,0.760024398,0.01551152,0.366100013,0.765945515,0.015068686,0.353300005,0.758648095,0.015096949,0.391099989,0.766874304,0.015064819,0.349400014,0.765199719,0.015575201,0.363400012,0.765071558,0.01577053,0.390599996,0.794626787,0.01506546,0.383899987,0.775030504,0.01566508,0.390899986,0.769922929,0.01536217,0.389899999,0.767050276,0.015858304,0.345200002,0.77849973,0.015902718,0.357499987,0.763212866,0.015624193,0.37529999,0.755955622,0.015171821,0.37560001,0.760262527,0.015594676,0.346700013,0.757634936,0.015518754,0.376700014,0.752931122,0.015424267,0.366400003,0.758267117,0.015317504,0.343199998,0.760509061,0.015025825,0.386200011,1.683785443,0.015124551,0.384000003,0.796603832,0.015199032,0.396299988,0.776573059,0.015474231,0.373699993,0.783913781,0.016367253,0.400200009,0.768440335,0.015948122,0.389299989,0.75790256,0.015991615,0.344199985,0.761687862,0.015823458,0.367300004,0.756431779,0.016401568,0.363000005,0.765843753,0.016012603
7,0.347200006,0.777458479,0.015622589,0.374000013,0.769562971,0.01585713,0.376300007,0.775497544,2.588697925,0.34799999,0.773835933,0.016990489,0.390399992,0.776305507,0.016766676,0.391499996,0.754429493,0.024450377,0.372399986,0.756325164,0.019328344,0.396299988,0.749814205,0.01799974,0.345600009,0.763498222,0.016160183,0.375800014,0.757000308,0.030128195,0.38319999,0.753184501,0.016141077,0.381000012,0.784732279,0.016627094,0.37560001,0.764555945,0.015687621,0.376199991,0.770668878,0.016537554,0.393599987,0.761332264,0.015984622,0.393700004,0.768528434,0.016375679,0.394499987,0.758792318,0.016452233,0.311500013,0.766087625,0.017413675,0.371600002,0.766378904,0.016694561,0.386400014,0.760107506,0.015892158,0.396400005,0.763716727,0.016487651,0.381399989,0.762776635,0.016137551,0.383300006,0.764326366,0.016596385,0.401899993,0.774733434,0.015301543,0.376399994,0.762315787,0.016517797,0.374599993,0.791770432,0.016155915,0.36680001,0.77932521,0.016413491,0.399100006,0.776754525,0.016350381,0.367799997,0.769029849,0.016491767,0.370999992,0.766232919,0.016835165,0.402099997,0.763884503,0.016356644,0.39379999,0.759938217,0.016401378,0.395000011,0.759946703,0.016419943,0.39410001,0.761306906,0.017045121,0.352100015,0.758762418,0.015343794,0.379700005,0.767837973,0.016594261,0.385500014,0.758756971,0.016230967,0.378500015,1.696997613,0.01657239,0.36469999,0.788662886,0.016531835,0.38409999,0.780467703,0.016678621,0.376800001,0.77839115,0.016819736,0.354600012,0.766552671,0.016257306,0.395000011,0.768566065,0.016685473,0.391299993,0.767542046,0.016475989,0.407400012,0.76404725,0.01681693,0.382299989,0.758047059,0.02039928,0.405299991,0.759878701,0.016538315,0.396899998,1.706976435,0.01695992,0.359800011,0.79404769,0.016612294,0.364499986,0.779798919,0.01657794,0.347200006,0.777458479,0.015622589
8,0.345899999,1.529208718,0.017292998,0.369599998,0.777261145,0.017939417,0.381500006,0.776457371,0.084885551,0.357300013,0.780611469,0.017200783,0.399599999,0.766851228,0.01747487,0.394199997,0.77093846,0.016907601,0.377999991,0.804381111,0.017503133,0.400599986,0.801924843,0.017728109,0.351399988,0.802197026,0.01703349,0.380199999,0.779842821,0.017174205,0.393400013,0.78884822,0.017070348,0.388399988,0.780807278,0.017427462,0.38319999,4.029905403,0.017239737,0.380499989,0.768501839,0.017345286,0.395700008,0.78799885,0.017560042,0.404199988,0.78240045,0.017503044,0.408399999,0.785977972,0.017582554,0.313600004,0.781366832,0.025868839,0.380699992,1.691416991,0.045138,0.400000006,0.811716013,0.016970741,0.406699985,0.794870069,0.017548069,0.390399992,0.787105656,0.017266128,0.390500009,0.784497252,0.017279122,0.409799993,0.811423132,0.017670188,0.387400001,0.779467713,0.01694417,0.376800001,0.780659509,0.016826248,0.377700001,0.777856217,0.01720445,0.406500012,0.769262893,0.016925144,0.3759,0.767549334,0.017322363,0.386999995,0.774400274,0.017249326,0.400099993,0.77320414,0.016667158,0.4005,0.802716244,0.017041874,0.405499995,0.796161412,0.017041433,0.404399991,0.777008079,0.017192569,0.356400013,0.798102721,0.017710895,0.374900013,0.772846867,0.0175219,0.389499992,0.773956438,0.01698606,0.388200015,0.778440448,0.017024942,0.367000014,0.776061515,0.016980108,0.394699991,0.777290751,0.017186709,0.383100003,0.76843338,0.017477787,0.374000013,0.775388486,0.016819395,0.404300004,0.767045595,0.017239638,0.397700012,0.772337928,0.017073885,0.410899997,0.803809435,0.017380654,0.396499991,0.791132425,0.017938084,0.4111,0.785500943,0.017794061,0.396699995,0.777298456,0.017768224,0.354000002,0.78104203,0.017574448,0.366899997,0.772064483,0.018041418,0.345899999,1.529208718,0.017292998
9,0.341300011,0.795295489,0.01714523,0.386099994,0.794873694,0.017135731,0.3926,0.792152737,0.265105675,0.370900005,0.793551122,0.016556138,0.406800002,0.795738514,0.017048346,0.404900014,0.783097503,0.016562642,0.375200003,0.772875239,0.016935413,0.413500011,0.767659881,0.01702887,0.3653,0.775312181,0.01647189,0.382400006,0.770456442,0.016754903,0.399300009,0.77620822,0.016449657,0.3926,0.764372907,0.016798526,0.388200015,0.785822848,0.017340848,0.387499988,1.701238397,0.017217315,0.400299996,0.800374119,0.017067774,0.406300008,0.790545308,0.017224258,0.413599998,0.782611937,0.016942747,0.349099994,0.778838327,0.017191317,0.385100007,0.779202092,0.017162621,0.406399995,0.777210559,0.016602967,0.415199995,0.778373501,0.017019151,0.394499987,0.771688753,0.017002751,0.398499995,0.770913202,0.017079464,0.420100003,0.78289488,0.016574995,0.392100006,0.778929548,0.01683281,0.386900008,0.765609508,0.016494983,0.398200005,1.725290291,0.016961823,0.417299986,0.80250751,0.016663502,0.385600001,0.792052056,0.016839733,0.390100002,0.784376413,0.025292382,0.412600011,0.777069724,0.025446432,0.4023,0.779884197,0.017152203,0.405900002,0.775868099,0.016864561,0.414000005,0.778631888,0.017427381,0.371100008,0.780810142,0.017400519,0.385100007,0.775932961,0.016653885,0.397300005,0.769051824,0.016505926,0.403400004,0.766016694,0.016808115,0.383300006,1.673965723,0.016638675,0.4014,0.792269226,0.016909948,0.391099989,0.781715919,0.016763792,0.386099994,0.784696686,0.01664111,0.409500003,0.783993782,0.016759194,0.403899997,0.780953101,0.017079026,0.420599997,0.764961656,0.017353153,0.406300008,0.76949513,0.02153923,0.419699997,0.767868424,0.017676029,0.402200013,0.773638518,0.018068068,0.375400007,0.776691771,0.017522109,0.37439999,0.807231692,0.018149011,0.341300011,0.795295489,0.01714523
