Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.813499987,0.99064419,0.013586331,0.789900005,0.992892977,0.013462328,0.839900017,0.974602321,0.013756863,0.832000017,0.980655357,0.012965912,0.835500002,0.976112096,0.013387287,0.824999988,0.958942723,0.013335598,0.834900022,0.950919003,0.013301635,0.847199976,0.955338951,0.013535706,0.840799987,0.955234075,0.013371497,0.817900002,0.955150347,0.013127727,0.846099973,0.946424463,0.013280074,0.825200021,0.960660691,0.013259415,0.809499979,0.992466053,0.013590399,0.803900003,0.936551069,0.01343148,0.823499978,0.970363744,0.013305654,0.795599997,0.970790569,0.013340419,0.840799987,0.952052689,0.013462469,0.826900005,0.952917519,0.013818961,0.828100026,0.961296819,0.013243675,0.787500024,0.938204715,0.012993564,0.840300024,0.952897622,0.013330589,0.817600012,0.966358086,0.013232403,0.80250001,0.949233257,0.013182509,0.837199986,0.973933541,0.013297226,0.83950001,0.947744551,0.013525215,0.812900007,0.942970155,0.013104753,0.834999979,0.954897159,0.01309797,0.834599972,0.945425602,0.013332483,0.850099981,0.965539684,0.013443152,0.850600004,0.939899699,0.01366589,0.842700005,1.448436395,0.013096629,0.754400015,0.918233862,0.013243835,0.854200006,0.946345154,0.013514375,0.848500013,0.948442026,0.013537288,0.763700008,0.960472826,0.013556405,0.846099973,0.939829446,0.013704556,0.79519999,0.945661627,0.012988074,0.8398,0.909286663,0.013120814,0.834999979,0.906548643,0.0130972,0.833400011,0.961912429,0.013172752,0.828400016,1.546078828,0.01364393,0.808499992,0.965555394,0.013159467,0.837100029,0.968784999,0.013475282,0.838800013,0.919319518,0.013520587,0.865700006,0.947472289,0.013413405,0.829100013,0.989872155,0.01398341,0.779999971,0.96040599,0.013245379,0.824800014,0.966709358,0.012958418,0.82130003,0.955524912,0.013150049,0.815100014,3.082567585,0.013439094,0.813499987,0.99064419,0.013586331
1,0.903900027,0.927169843,0.013618611,0.880500019,0.937174415,0.013882069,0.879199982,0.973324013,0.013726526,0.885900021,0.969143025,0.013601009,0.86650002,0.969101076,0.013446827,0.868399978,0.958360107,0.014263909,0.866400003,0.922852839,0.013836093,0.904500008,0.907650933,0.013705336,0.89349997,0.929096805,0.013818028,0.886500001,1.869224855,0.016205726,0.897499979,0.981272391,0.037170142,0.881600022,0.941070206,0.013597453,0.871500015,0.946112287,0.014749754,0.882499993,0.949050154,0.013919109,0.89289999,0.961321507,0.013572676,0.867200017,0.958954306,0.013662395,0.902800024,0.973634358,0.013921123,0.879999995,0.962024932,0.014018426,0.878700018,0.955726955,0.013713752,0.855599999,0.943286112,0.01344209,0.894500017,0.953165077,0.013366347,0.885299981,0.943792987,0.013916664,0.884899974,0.961745155,0.013688574,0.896799982,0.941602449,0.014818042,0.887199998,0.961184017,0.01374444,0.887499988,0.941131853,0.013410339,0.871100008,0.938413651,0.013497955,0.886300027,0.941960594,0.013587083,0.900900006,0.95381416,0.283689611,0.894299984,0.94055235,0.013940549,0.881600022,0.942152545,0.013425449,0.871100008,0.938723314,0.01355363,0.891700029,0.92920635,0.013724532,0.907199979,0.930958693,0.013979793,0.882399976,0.944247143,0.01372922,0.885500014,0.950827573,0.013750221,0.871200025,0.951693143,0.01345788,0.885299981,0.961441182,0.013399471,0.90200001,0.93481488,0.013601902,0.87650001,0.951426992,0.013890635,0.890600026,0.950156879,0.01389351,0.884299994,0.948579145,0.013612701,0.886399984,0.933904744,0.013614826,0.900099993,0.94116789,0.013793913,0.897899985,0.950775193,0.013763155,0.888999999,0.952897683,0.01390425,0.87559998,1.930408015,0.013910202,0.884199977,1.006423595,0.01369659,0.879100025,1.018580181,0.014168198,0.898100019,1.000073278,0.013906414,0.903900027,0.927169843,0.013618611
2,0.925499976,3.42246909,0.013620027,0.916899979,0.960075826,0.014244444,0.91079998,0.959876921,0.013444055,0.908100009,1.924835638,0.013057125,0.903699994,0.994584664,0.013469412,0.876699984,0.978511466,0.0133246,0.889500022,0.983923154,0.013580181,0.920599997,0.98053578,0.013761002,0.924300015,0.980005221,0.013102291,0.911499977,0.936249167,0.013298921,0.922500014,0.950839752,0.01360104,0.888800025,0.942852881,0.013776402,0.890999973,0.952459313,0.013860309,0.907199979,0.943615328,0.013523143,0.914399981,0.948829123,0.013266299,0.905300021,0.958552235,0.01301766,0.926599979,0.989456781,0.013363632,0.911499977,0.989272083,0.013282209,0.900900006,0.951271505,0.013678865,0.892799973,0.950710347,0.013269906,0.918600023,0.95511599,0.013231874,0.913999975,0.959543012,0.013491053,0.914200008,0.934230172,0.01363296,0.917400002,0.941577438,0.013744651,0.911000013,0.929292087,0.013996294,0.912899971,0.928002326,0.013197409,0.895900011,0.931176969,0.013078935,0.891600013,0.945334778,0.013334877,0.924300015,0.952875357,1.879926789,0.915099978,0.950722791,0.013581965,0.914499998,0.942565189,0.013134461,0.899999976,0.940375092,0.013179635,0.91839999,0.935880722,0.013142576,0.924700022,0.946009429,0.013662285,0.911800027,0.940290212,0.014303574,0.917100012,0.930294776,0.033000886,0.918500006,0.941173586,0.013172082,0.901000023,0.94250721,0.013094856,0.925100029,0.942050729,0.013209723,0.907599986,0.949090405,0.013319981,0.905900002,1.80948372,0.013545294,0.89349997,0.942918164,0.013064969,0.907400012,0.973679861,0.013109392,0.922699988,0.956486271,0.013097859,0.916800022,0.952571916,0.013283089,0.919700027,0.942405698,0.013509637,0.914099991,0.953161176,0.013476736,0.913100004,0.942690155,0.013874486,0.903699994,0.950663199,0.013474932,0.913299978,0.945823649,0.013629915,0.925499976,3.42246909,0.013620027
3,0.935000002,1.747179941,0.048600967,0.931400001,0.947760432,0.076251979,0.930400014,0.929891251,0.013803617,0.925300002,0.933900856,0.013399406,0.922599971,0.934016164,0.013438227,0.900600016,0.942843296,0.013593131,0.90140003,0.937954835,0.013757801,0.931900024,0.940544064,0.013660007,0.938399971,0.928247013,0.013483085,0.926500022,0.965388096,0.047764785,0.934700012,0.996658347,0.013768512,0.899399996,0.999209384,0.014093867,0.894299984,0.948659214,0.013871457,0.903599977,0.984109733,0.014004808,0.931100011,0.980683056,0.013386253,0.927399993,0.937195595,0.013403325,0.935800016,0.932160838,0.013851761,0.92750001,0.945193905,0.013788992,0.92110002,0.949225662,0.014142027,0.925899982,0.937573376,0.013557895,0.929400027,0.942093233,0.013610704,0.934599996,1.906923197,0.013796926,0.932200015,0.989456256,0.013973478,0.924099982,0.938595753,0.014104276,0.930599988,0.963210343,0.014090559,0.930299997,0.981469428,0.013419425,0.920300007,0.952614438,0.013488135,0.924499989,0.954814423,0.343251416,0.935699999,0.94631107,0.013900893,0.930299997,0.941307291,0.013672532,0.932299972,0.970487134,0.013298438,0.92049998,0.925953412,0.013261938,0.92900002,0.953334695,0.0133951,0.939100027,1.913220983,0.013455513,0.919099987,0.937981776,0.014003106,0.927299976,0.962286031,0.013674397,0.930899978,0.92413765,0.013658527,0.904799998,0.966551077,0.013534121,0.934499979,0.961133169,0.013459121,0.929499984,0.954939819,0.01386733,0.92839998,0.937781238,0.013779393,0.907500029,0.952577718,0.01336951,0.921299994,0.941183419,0.013381194,0.931500018,0.946700484,0.013392014,0.928799987,0.988663403,0.013587903,0.938000023,0.927520103,0.014086852,0.932200015,0.961969154,0.0135506,0.937699974,0.947292049,0.014168234,0.920700014,0.927771597,0.013800992,0.924799979,0.933008855,0.01360836,0.935000002,1.747179941,0.048600967
4,0.941600025,3.406145667,0.013557166,0.93870002,0.972966859,0.013953512,0.936399996,0.929428039,0.014131008,0.931200027,1.897880111,0.013620144,0.935000002,0.958374213,0.013565623,0.909699976,0.953368159,0.013504216,0.906700015,0.945691515,0.013645362,0.939999998,0.942816617,0.013901013,0.943000019,0.950322781,0.013663676,0.933799982,0.934298367,0.013925009,0.93900001,0.944692052,0.013698242,0.915300012,0.942009537,0.013669939,0.916499972,0.949636447,0.013736193,0.910899997,0.924247959,0.01385639,0.940800011,0.947320845,0.013379111,0.941399992,1.930833876,0.013969612,0.940800011,0.989469234,0.014116609,0.938399971,0.989700139,0.013849756,0.932699978,0.977867604,0.013527059,0.941799998,0.966168079,0.013229769,0.935500026,0.952500415,0.012993564,0.941799998,0.949300645,0.013305672,0.938300014,0.953624402,0.013344033,0.933899999,0.959679462,0.014112082,0.939100027,0.942544254,0.013438282,0.931999981,0.94235634,0.013327583,0.926599979,0.933482529,0.013282999,0.935199976,0.938533537,0.013327613,0.940999985,1.001903554,0.059346155,0.941999972,0.976952069,1.476860643,0.941500008,0.973300588,0.047040367,0.92750001,0.946253523,0.034127505,0.939400017,0.958243626,0.013448101,0.94599998,0.948017577,0.013337812,0.931599975,0.939983519,0.01362252,0.940299988,0.926000892,0.013416851,0.937600017,0.933553423,0.013041003,0.917800009,0.932711387,0.013175626,0.942200005,0.92589426,0.013141783,0.942300022,0.924384736,0.013484438,0.936500013,1.918967747,0.013449532,0.936999977,0.969421699,0.013110003,0.923600018,0.946335899,0.013180254,0.943099976,0.955333533,0.013323966,0.935299993,0.943999136,0.013284842,0.943000019,0.955935748,0.01400613,0.941200018,0.935167083,0.013582544,0.948400021,0.953682943,0.01399981,0.925899982,0.941121894,0.014106771,0.929499984,0.933759682,0.014020779,0.941600025,3.406145667,0.013557166
5,0.946399987,1.848241354,0.031894058,0.945200026,0.9741123,0.013670801,0.943899989,0.953306506,0.013340558,0.937099993,0.976137616,0.013191909,0.942099988,0.952269271,0.013392386,0.918200016,0.915654409,0.013327063,0.911599994,0.931941007,0.013671752,0.944700003,0.935680704,0.013726824,0.94690001,0.937523697,0.013084233,0.942799985,0.952161148,0.01318335,0.944500029,0.945339634,0.013313716,0.928300023,0.964738006,0.01356084,0.92930001,0.949766225,0.01406301,0.928900003,0.964382426,0.013381684,0.948000014,0.951221788,0.013221671,0.943400025,0.949102514,0.013211082,0.947600007,0.938546063,0.013604372,0.942799985,0.939355438,0.013637165,0.940100014,0.930246664,0.013552866,0.943199992,0.924751831,0.013072281,0.943000019,0.927265498,0.013412512,0.9472,0.929539552,0.013367016,0.941200018,0.988700999,0.01353328,0.940400004,0.947734957,0.013330308,0.940800011,0.974313269,0.013476652,0.935299993,0.988931584,0.013077129,0.930499971,0.968077889,0.013399157,0.941699982,0.955450616,0.197773927,0.945599973,0.94509863,0.01342777,0.946099997,0.934921232,0.013743436,0.946699977,0.933010683,0.013519383,0.933200002,0.962080599,0.013504826,0.94569999,0.959076598,0.013552235,0.951499999,0.933715291,0.013685075,0.936200023,0.945279561,0.013645382,0.94599998,0.974637269,0.013582171,0.939700007,0.985139518,0.013233866,0.920599997,0.966823526,0.013223777,0.950699985,0.96715996,0.013487884,0.9472,0.9481612,0.013568125,0.943000019,0.950960956,0.013779995,0.942499995,0.939985715,0.013122917,0.931400001,0.948362399,0.013300811,0.947799981,0.928610582,0.013487043,0.938799977,0.952421939,0.013668205,0.94569999,0.929879482,0.013777912,0.94749999,0.980131982,0.013413615,0.952799976,0.949526733,0.013624052,0.927900016,0.951812561,0.013721095,0.939899981,0.943464561,0.013715375,0.946399987,1.848241354,0.031894058
6,0.949599981,3.243834263,0.013254474,0.951399982,0.964766513,0.013598182,0.945800006,0.943900486,0.01360278,0.945900023,0.936621501,0.01327314,0.947799981,0.964845642,0.013450124,0.922699988,0.98250741,0.013747484,0.912899971,0.959451368,0.01376666,0.948499978,0.966838968,0.013626106,0.947000027,0.950906217,0.013301884,0.948599994,0.935277629,0.013336711,0.949500024,0.952852043,0.048655961,0.932399988,0.955924532,0.047841837,0.939499974,0.966817036,0.013367956,0.93809998,0.9139215,0.032754247,0.951200008,0.936721891,0.013105193,0.946200013,0.92456803,0.013398537,0.950699985,2.144719641,0.013335478,0.94749999,0.954041584,0.013728277,0.945500016,0.976514288,0.013479289,0.949299991,0.9378736,0.013055892,0.948199987,0.942995311,0.013253143,0.950900018,0.944257859,0.013487644,0.945500016,0.963005043,0.013507932,0.944100022,0.973467207,0.013785314,0.94690001,0.940477506,0.014010729,0.941799998,0.934321017,0.013089674,0.931500018,0.929926656,0.013317955,0.9454,0.948762167,0.013624841,0.949000001,0.930210552,0.348765108,0.952300012,0.969861953,0.04495647,0.948899984,0.991414914,0.013374982,0.938300014,0.964088093,0.013404358,0.947700024,0.957414013,0.013670629,0.95480001,0.966754963,0.013743466,0.942099988,0.949357889,0.01375175,0.952899992,0.92474151,0.013735922,0.942900002,0.942934169,0.013352139,0.929400027,0.940402158,0.013497695,0.958000004,0.951198631,0.013438562,0.948499978,0.944052788,0.013618781,0.948000014,0.93155595,0.013732014,0.949699998,1.90919961,0.013284332,0.936699986,0.992669423,0.013590549,0.949000001,0.977093013,0.013620586,0.945900023,0.970666354,0.013838265,0.949699998,0.937949574,0.01354435,0.951900005,0.95450624,0.013185374,0.953199983,0.955924693,0.013571662,0.933399975,0.951772098,0.013408825,0.942099988,0.934015461,0.013612428,0.949599981,3.243834263,0.013254474
7,0.953700006,0.952653829,0.013154326,0.9551,0.963021855,0.013721656,0.950200021,0.960043935,0.01415879,0.951600015,0.952730895,0.013609134,0.956799984,0.965627776,0.013471696,0.926100016,0.943787493,0.013733388,0.927100003,0.945979343,0.013513884,0.952199996,0.924888312,0.013848625,0.949999988,0.956196865,0.013237311,0.949699998,0.915071223,0.013154677,0.952000022,0.923912923,0.01324141,0.9375,0.966046665,0.013441027,0.944199979,0.942889911,0.013481092,0.945200026,0.984437278,0.013695907,0.95480001,0.944494334,0.013126184,0.952499986,0.949964692,0.013255728,0.952799976,0.958252008,0.013361947,0.953299999,0.95669281,0.013507052,0.952199996,0.964697684,0.013579168,0.953700006,0.942312844,0.01311912,0.950800002,0.928812346,0.013081108,0.9551,0.938895365,0.013089626,0.949899971,0.941807432,0.013249447,0.945800006,0.936151705,0.013594466,0.94690001,2.291316835,0.013184062,0.944800019,0.950389382,0.013109401,0.933300018,0.961333785,0.012969527,0.951099992,0.947069667,0.013173091,0.953700006,0.943608716,0.266566065,0.95569998,0.932103897,0.0132729,0.953499973,0.929283875,0.013004825,0.946500003,0.921906362,0.01324111,0.948899984,0.924973923,0.013255457,0.957099974,0.919538912,0.013403486,0.943300009,0.925400898,0.01430256,0.957099974,0.923582522,0.013321161,0.944299996,0.911467834,0.013126664,0.929099977,2.065306941,0.013429976,0.960799992,0.975808088,0.013418083,0.950999975,0.958962948,0.013714291,0.949999988,0.956444943,0.013652377,0.952499986,0.957217448,0.013079858,0.942600012,0.957898011,0.013185196,0.950299978,0.921687561,0.013173293,0.949400008,0.942489988,0.013491603,0.956099987,0.935015184,0.013444904,0.954999983,0.940573917,0.012985618,0.954599977,2.058792897,0.01354913,0.937600017,0.966146703,0.013577553,0.943199992,0.961927102,0.013492964,0.953700006,0.952653829,0.013154326
8,0.9551,0.927889083,0.014076665,0.958599985,0.949266545,0.015622778,0.954299986,0.947882888,0.014069821,0.956700027,0.945627868,0.01332622,0.961199999,0.935016344,0.013758745,0.936699986,2.009753061,0.01372898,0.93779999,0.978997297,0.014127971,0.952899992,0.964862061,0.013748626,0.952700019,0.948933578,0.013475852,0.949999988,0.978613283,0.01433961,0.955600023,0.972620251,0.013965557,0.939300001,0.950880486,0.046678777,0.949999988,3.950860194,0.062315532,0.949999988,0.940003781,0.013865586,0.956700027,0.9607644,0.013239427,0.95539999,0.914284929,0.013472486,0.950999975,0.92333407,0.013748597,0.954100013,0.912584715,0.013841511,0.956499994,2.070203258,0.013762974,0.9551,0.972491839,0.013359042,0.950600028,0.909799066,0.013619472,0.955600023,0.922411432,0.013656172,0.953700006,0.913689266,0.01387304,0.951600015,0.98023072,0.060311035,0.951300025,0.938487534,0.014084859,0.947600007,0.945807307,0.013519654,0.933499992,0.922783863,0.013340868,0.955900013,0.938433271,1.367614232,0.953700006,0.919511104,0.014036307,0.956900001,0.936949774,0.013750069,0.95630002,0.926743472,0.013424635,0.949699998,1.981073706,0.013604044,0.950800002,0.946162774,0.013797557,0.960900009,0.953403889,0.01364963,0.949299991,0.973037096,0.037961813,0.959399998,0.953663587,0.032668756,0.950800002,0.939202919,0.013128176,0.932799995,0.921264498,0.013391523,0.964100003,0.911414598,0.013521409,0.9551,0.921121429,0.013803701,0.947799981,0.919926847,0.013455394,0.953499973,0.919957726,0.01321408,0.949199975,0.935953327,0.013127536,0.952899992,1.954595163,0.013103181,0.952799976,1.000555366,0.013343663,0.959500015,0.974905146,0.014172435,0.957799971,0.961933262,0.01399973,0.958299994,0.954033948,0.013721426,0.937900007,0.946430541,0.014012335,0.9472,0.946692324,0.013964884,0.9551,0.927889083,0.014076665
9,0.957300007,1.757733617,0.013934316,0.960099995,0.973949361,0.014915525,0.956499994,1.002042798,0.013686549,0.961399972,0.968750996,0.013052975,0.96450001,0.967359224,0.013386774,0.942099988,0.952830848,0.013495228,0.944700003,0.956478551,0.013438501,0.956099987,0.947336074,0.013419776,0.953199983,0.945453296,0.01323576,0.954400003,0.934481813,0.013553449,0.955799997,0.932313988,0.013398868,0.947799981,0.941904169,0.013448361,0.950999975,0.950930006,0.014742569,0.950600028,0.94852279,0.013067203,0.957899988,0.993835234,0.012822561,0.958299994,0.965147247,0.012899206,0.953599989,0.960079448,0.01316115,0.951699972,0.958855862,0.013210483,0.958299994,0.956778808,0.013116436,0.957799971,0.927718711,0.012769412,0.95599997,0.937874266,0.013042907,0.959800005,0.932837316,0.012850684,0.955200016,0.932086711,0.013159357,0.954599977,0.939955887,0.015051462,0.955799997,0.942767046,0.013467758,0.949800014,0.941448752,0.012811902,0.939300001,1.947148892,0.012725349,0.958800018,0.965231996,0.055967511,0.954599977,0.955847874,0.013205614,0.957499981,0.965631589,0.013243025,0.958500028,0.933449559,0.012883627,0.959100008,0.951087243,0.052137744,0.953800023,0.939632389,0.058903853,0.963100016,0.946448984,0.03445256,0.953000009,0.939008513,0.014433416,0.961499989,0.925301165,0.013320381,0.953499973,0.928162456,0.01283781,0.942099988,0.93206994,0.013005738,0.966700017,0.942258367,0.013088564,0.951600015,1.00225084,0.013441518,0.951300025,0.944857606,0.013625615,0.954999983,0.954133965,0.013505008,0.951799989,0.955848735,0.013417102,0.954100013,0.947008158,0.013502022,0.958700001,0.93963825,0.013544043,0.961199999,0.936965503,0.014162837,0.960200012,0.932002732,0.014079991,0.962400019,0.917212843,0.013536848,0.944500029,0.931915307,0.013792009,0.948899984,2.205609875,0.014207241,0.957300007,1.757733617,0.013934316
