Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.2271,1.433950069,0.043936273,0.200399995,1.418754269,0.040899707,0.256099999,1.448952326,0.041599405,0.217700005,1.421633364,0.039781304,0.247700006,1.445345104,0.04393264,0.27610001,1.40849327,0.037548143,0.237599999,1.37461162,0.042341325,0.237800002,1.499924646,0.046592829,0.267199993,1.390751536,0.038421991,0.214900002,1.976802092,0.04995265,0.234899998,1.384610156,0.041567017,0.253199995,1.395859388,0.051011926,0.2104,1.403582817,0.039212668,0.226600006,1.405612011,0.043166599,0.2042,2.087571809,0.04141326,0.276899993,1.390674294,0.041278422,0.264299989,1.844635107,0.043543051,0.28549999,1.399952608,0.042289436,0.222599998,1.387521623,0.042785564,0.225199997,1.388354724,0.038505028,0.252499998,1.397800547,0.042413999,0.291099995,1.37818585,0.037973977,0.216900006,1.40105752,0.042364045,0.225899994,1.416690178,0.039490206,0.213200003,1.386324613,0.046551466,0.25909999,1.43685797,0.038278523,0.286799997,1.356670859,0.037648715,0.270599991,2.172235182,0.037650512,0.238900006,1.360053438,0.038591923,0.290899992,1.631507438,0.037958107,0.260399997,1.359518113,0.03772203,0.281300008,1.376397581,0.037645495,0.229000002,1.380401656,0.038536262,0.241600007,1.384962623,0.038696873,0.189999998,1.587698035,0.039099364,0.251100004,1.381556681,0.036927164,0.265300006,2.213358507,0.042036172,0.201900005,1.384992089,0.041922526,0.278299987,1.424453605,0.03737482,0.258100003,1.401079841,0.040784975,0.289499998,1.740440239,0.038595519,0.246700004,1.384982254,0.038623042,0.2861,1.429393716,0.042202648,0.234300002,1.390407191,0.04083555,0.261500001,1.780302734,0.044586265,0.289799988,1.382931171,0.042509411,0.237299994,1.375000161,0.037858732,0.253199995,1.389169226,0.042151712,0.219600007,1.432188781,0.041750399,0.278200001,1.382578897,0.037355819,0.2271,1.433950069,0.043936273
1,0.323799998,1.391471141,0.054565662,0.322100013,1.385809979,0.056494417,0.301499993,1.411334223,0.05704688,0.293599993,1.414932553,0.056602921,0.326599985,1.41936127,0.055917879,0.351500005,1.430962689,0.053464871,0.309300005,1.400347821,0.054216966,0.304199994,1.426262076,0.05564381,0.280800015,1.387747128,0.063470106,0.321399987,1.407474224,0.054593593,0.312999994,1.395790516,0.0551013,0.310600013,1.400403827,0.061410272,0.28490001,1.405090467,0.05538349,0.322600007,1.394552946,0.060103983,0.306800008,1.444887442,0.053800747,0.308600008,1.406515453,0.058255547,0.312900007,1.446284594,0.054569615,0.323399991,1.397929231,0.051146012,0.289999992,1.46993081,0.05264545,0.261099994,1.429595544,0.056172589,0.323599994,1.403974694,0.055765784,0.295599997,1.468205681,0.053174965,0.298999995,1.416424567,0.052853188,0.283600003,1.442162435,0.056182526,0.327300012,1.451026081,0.062766878,0.333400011,1.437519971,0.055437191,0.292299986,1.394332562,0.057506122,0.296499997,1.398423709,0.060367935,0.317799985,1.405426293,0.057773618,0.32069999,1.403616856,0.056700766,0.324400008,1.391520103,0.059959898,0.333600014,1.402850366,0.054690413,0.337000012,1.428960498,0.058178197,0.285400003,1.393110293,0.056215518,0.275000006,2.389148582,0.056511316,0.303499997,3.093997383,0.053671298,0.284500003,1.395478854,0.065006918,0.326799989,1.385434314,0.050984301,0.32190001,1.421958733,0.054451358,0.325100005,1.398336226,0.056115608,0.33829999,1.418865144,0.053479108,0.267500013,1.408933026,0.053130933,0.3046,3.197048976,0.06006008,0.307000011,1.409023946,0.060411831,0.325100005,1.432124218,0.053565228,0.319599986,1.372869779,0.058725637,0.301899999,1.387055357,0.055422799,0.291500002,1.433581534,0.05373414,0.323000014,1.403653586,0.062009512,0.319099993,1.509309601,0.056749939,0.323799998,1.391471141,0.054565662
2,0.362300009,1.412286673,0.057111756,0.360900015,1.383949559,0.053900972,0.341699988,1.377161022,0.059976748,0.34920001,1.389606833,0.053664364,0.34709999,1.422979717,0.054341372,0.362300009,1.405973328,0.054211333,0.313300014,1.383515816,0.054328437,0.343699992,1.37784018,0.052157235,0.318599999,3.08515772,0.062357698,0.367799997,1.393357515,0.054627129,0.344999999,1.418190973,0.054474671,0.332599998,1.409135075,0.056322739,0.313699991,1.388014807,0.064399847,0.369399995,1.409925657,0.055087793,0.356700003,1.492374222,0.054099944,0.33129999,1.38661238,0.055627855,0.351799995,1.388715304,0.058341351,0.346100003,1.395153041,0.054067259,0.324699998,1.426885378,0.054262964,0.320899993,1.407605386,0.057376004,0.359699994,3.096216151,0.055083454,0.332300007,1.387305452,0.056021849,0.35769999,1.376567273,0.062563738,0.328500003,1.433719088,0.058157804,0.372000009,1.385838317,0.054466714,0.372200012,1.401535045,0.057094976,0.344799995,1.374015361,0.05854286,0.351799995,1.391790067,0.054285906,0.317400008,1.384663985,0.059228279,0.34830001,1.41683481,0.056557396,0.354600012,1.395230042,0.058913153,0.339399993,1.405288624,0.05397838,0.367399991,1.404273535,0.054867981,0.301800013,1.381611145,0.059375089,0.33950001,1.440983081,0.055535836,0.345299989,1.417799158,0.052570194,0.348199993,1.462216469,0.073246045,0.34740001,1.413066518,0.060379039,0.35620001,1.42941078,0.054570817,0.363400012,3.050099954,0.057237968,0.374199986,1.409867717,0.059119334,0.307099998,1.401445258,0.054577507,0.339100003,1.399069374,0.055600551,0.331499994,1.468963253,0.054215824,0.342900008,1.375235634,0.057193681,0.359800011,1.395439803,0.059602553,0.328599989,1.445324449,0.054541149,0.340200007,1.43316345,0.056671724,0.344300002,1.441281145,0.054858335,0.35589999,1.403831253,0.060493489,0.362300009,1.412286673,0.057111756
3,0.382600009,1.430674557,0.051429721,0.391200006,1.45891089,0.051337876,0.373699993,1.420184655,0.050994263,0.380600005,1.394276322,0.059444416,0.366899997,1.414773042,0.055998631,0.383899987,1.397625539,0.051978241,0.335900009,1.410057848,0.055164477,0.370799989,1.460220102,0.058218383,0.360599995,1.453162203,0.051501755,0.381599993,1.454852461,0.05124257,0.37560001,1.404135584,0.051336316,0.371600002,1.38220473,0.059411353,0.319799989,1.388709368,0.055399052,0.390899986,1.391449997,0.050966635,0.379299998,1.402291182,0.058492203,0.374599993,1.416756727,0.060688623,0.380899996,1.416533207,0.052928397,0.360799998,1.448056895,0.051108473,0.361900002,1.398560206,0.060932207,0.356599987,1.447552455,0.051649512,0.383899987,1.414037954,0.052183969,0.354799986,1.412122103,0.056194874,0.370999992,1.414686298,0.051765145,0.36469999,1.416411651,0.053354177,0.384299994,1.437003472,0.051179219,0.390899986,1.407717862,0.051784305,0.371800005,1.446301446,0.059608848,0.376199991,1.379115722,0.054716068,0.336199999,1.394809554,0.058780542,0.372000009,1.439534006,0.053007359,0.37470001,1.42035862,0.054002804,0.367700011,1.464096821,0.051697068,0.390799999,1.402917292,0.052473731,0.34040001,1.402872581,0.055234176,0.371399999,1.409517445,0.059612544,0.379200011,1.41664494,0.051320007,0.35800001,1.396983254,0.055254683,0.376800001,1.426412958,0.056287791,0.367900014,1.421336886,0.052010959,0.383899987,1.424900729,0.05973112,0.386400014,1.397181814,0.051455592,0.347499996,1.406191437,0.058196197,0.361000001,1.427497674,0.052486021,0.3574,1.404592431,0.05489462,0.368499994,1.360688014,0.055713884,0.385600001,1.412139414,0.049641918,0.363000005,1.4150015,0.051266766,0.367700011,1.403215566,0.051093554,0.360100001,1.414152389,0.054337191,0.384299994,1.385097495,0.053527352,0.382600009,1.430674557,0.051429721
4,0.391400009,1.418150409,0.054937786,0.407900006,1.419941036,0.056912659,0.397399992,1.439778468,0.052445685,0.394199997,1.403170283,0.05507511,0.391299993,1.44394589,0.053215043,0.391799986,1.450817327,0.054019839,0.353899986,1.402343528,0.055060751,0.3926,1.439106631,0.051959738,0.387800008,1.420437383,0.05333211,0.392500013,1.427237502,0.053088836,0.397500008,1.416012372,0.05133817,0.396699995,1.449172354,0.059989651,0.352699995,1.400923333,0.053912736,0.400299996,1.428381178,0.060427135,0.394199997,1.409571826,0.053233779,0.392699987,1.419226888,0.056372843,0.404300004,1.415044716,0.059137871,0.391400009,1.412451776,0.053240141,0.385100007,1.429524316,0.059359514,0.379799992,1.427589887,0.052308575,0.393599987,1.443737228,0.053227702,0.373400003,1.452706174,0.055778286,0.387300014,1.380508852,0.05206241,0.381900012,3.153772917,0.052798442,0.403200001,1.438849446,0.051915146,0.401600003,1.40222074,0.053350422,0.391600013,1.412216788,0.053069951,0.396499991,1.517311019,0.05630487,0.360799998,1.455076516,0.057433558,0.390599996,1.396363966,0.05573974,0.388900012,1.413834057,0.054023114,0.380400002,1.420596317,0.054070381,0.399500012,1.445276457,0.055532075,0.376399994,1.38106265,0.052413117,0.391299993,1.396018075,0.05266639,0.398200005,1.394511735,0.061666134,0.39289999,1.400876981,0.062288348,0.390100002,1.45777126,0.057496847,0.384900004,1.406059639,0.054321447,0.394499987,1.407540647,0.054669111,0.401800007,1.409956997,0.052316251,0.379000008,1.430115138,0.055422929,0.382200003,1.393000054,0.056137245,0.372200012,1.397450001,0.052794502,0.380299985,1.379303954,0.056493651,0.40169999,1.439759448,0.05431482,0.373600006,1.381863329,0.05174935,0.388399988,3.208638603,0.054858947,0.392100006,1.392774839,0.054991869,0.401600003,1.405477696,0.052646346,0.391400009,1.418150409,0.054937786
5,0.403299987,1.427155298,0.05296827,0.421700001,1.460621906,0.054543043,0.4111,1.437541886,0.055740515,0.408699989,1.416860059,0.055547813,0.411000013,1.465529663,0.059129066,0.398299992,1.440855948,0.055745957,0.374000013,1.425628264,0.056003854,0.406399995,1.425776813,0.056842843,0.401199996,1.475849963,0.052714333,0.400999993,1.436823245,0.058982254,0.405999988,1.434847421,0.06110808,0.41080001,1.400247348,0.055566951,0.365999997,1.429910953,0.052390419,0.408499986,1.416893607,0.054243919,0.406699985,1.399676988,0.055310756,0.410299987,1.402891038,0.052932603,0.414700001,1.429117262,0.056618506,0.394800007,1.397265512,0.056457378,0.393900007,1.398866149,0.052939291,0.394499987,1.396637215,0.053285028,0.409399986,1.41294085,0.052866622,0.395900011,1.468602267,0.052506466,0.389999986,3.469212278,0.054936961,0.395000011,1.454314555,0.056633454,0.406500012,1.425703845,0.058169699,0.409000009,1.416048475,0.056570657,0.406500012,1.398513315,0.053675157,0.403299987,1.462856432,0.054203558,0.379700005,1.426795851,0.055450674,0.403100014,1.460063627,0.056541676,0.403699994,1.398268973,0.052989161,0.393700004,1.443775686,0.053261663,0.405200005,1.389857743,0.052214067,0.387499988,3.091454588,0.053618175,0.411000013,1.371011959,0.053483921,0.417600006,1.392270559,0.052551972,0.406899989,1.394873847,0.061554899,0.399899989,1.440371752,0.052883906,0.388700008,1.395704157,0.057755474,0.414600015,1.393132161,0.052706508,0.415800005,1.410996083,0.053868683,0.388900012,1.385632615,0.051946586,0.393000007,1.386512925,0.05675457,0.387600005,1.404958545,0.053958842,0.398200005,1.434229668,0.057856346,0.415100008,1.439117881,0.053556093,0.388500005,3.15875177,0.053442253,0.399800003,1.441023474,0.053319863,0.405099988,1.488939498,0.055997817,0.415499985,1.390024664,0.053520917,0.403299987,1.427155298,0.05296827
6,0.41870001,1.401779543,0.054577057,0.432799995,1.449946365,0.056434114,0.424299985,1.408269758,0.057638794,0.420700014,1.412858002,0.061005423,0.424299985,1.424038365,0.057965497,0.416200012,1.414922906,0.05549957,0.395500004,1.452476554,0.054597291,0.411599994,1.488056112,0.0541548,0.408899993,1.417917358,0.057306707,0.418500006,3.419179914,0.058129154,0.424299985,1.408252693,0.054745999,0.426200002,1.417971268,0.054185001,0.373299986,1.432223666,0.055022397,0.420700014,1.398319689,0.054042968,0.411599994,1.437176899,0.06357793,0.419099987,1.390203275,0.054393723,0.417899996,1.396689559,0.05722329,0.409399986,1.400146279,0.057186609,0.404700011,1.458328619,0.05372507,0.391900003,1.392268451,0.05330379,0.421200007,1.400993894,0.057124441,0.401600003,1.42520074,0.057350181,0.397700012,1.440575063,0.053946843,0.408399999,1.416014519,0.060718494,0.415699989,1.432388789,0.054011791,0.419999987,1.391167457,0.054073722,0.411199987,1.394306721,0.055082036,0.420300007,1.453917493,0.0539819,0.400900006,1.424022773,0.056056198,0.413800001,1.40122278,0.056825686,0.411799997,1.431618588,0.054050634,0.403699994,1.400387185,0.054028247,0.411799997,1.382961144,0.056302466,0.393400013,1.407346727,0.053936177,0.423999995,1.460417939,0.052110132,0.418599993,1.383880566,0.053635222,0.415499985,1.384834024,0.061545028,0.413899988,1.426122836,0.053769551,0.393000007,1.389589509,0.053573183,0.423700005,1.381354276,0.059081104,0.426099986,1.386222806,0.053383727,0.408300012,3.321681536,0.054724019,0.402099997,1.384614095,0.052126532,0.398799986,1.398568918,0.053529493,0.417699993,1.465486377,0.055918636,0.428600013,1.431358771,0.055598749,0.39379999,1.552635245,0.059959901,0.412099987,1.487724071,0.055724928,0.414000005,1.481163918,0.057200914,0.423799992,1.382981806,0.053345018,0.41870001,1.401779543,0.054577057
7,0.432200015,1.416763608,0.057453674,0.442299992,1.41185194,0.059120143,0.4384,1.401158356,0.061246953,0.425199986,1.407455532,0.060456492,0.434199989,1.430360606,0.058303095,0.425099999,1.475006287,0.059879658,0.400400013,1.510871808,0.058627248,0.421799988,1.443883674,0.060710647,0.417899996,1.433097259,0.056855787,0.429899991,1.424302468,0.058234087,0.439399987,1.416572008,0.057859621,0.430999994,1.456645391,0.057631149,0.393299997,1.440834434,0.058640179,0.430099994,1.387784947,0.061447391,0.425900012,1.400235195,0.064933088,0.435099989,1.413647139,0.058318496,0.430700004,1.41234195,0.056509013,0.425900012,1.407746664,0.05701158,0.414499998,1.435847284,0.058103432,0.398600012,1.397715762,0.058561886,0.425999999,1.439817384,0.056245758,0.414099991,1.403557205,0.061591977,0.41170001,1.460117002,0.066235489,0.419999987,1.469714571,0.056686322,0.427700013,1.419116164,0.057159094,0.425300002,1.416826996,0.057959441,0.42019999,1.426758278,0.057968351,0.435200006,1.422397048,0.057077596,0.408600003,1.441430389,0.060889569,0.424199998,1.497794692,0.058362776,0.426200002,1.461678463,0.056531443,0.418500006,1.403556866,0.060328624,0.417499989,1.415263755,0.055210898,0.404599994,1.563592166,0.062631684,0.416099995,1.488573136,0.062596625,0.433400005,1.417584684,0.059067703,0.41929999,1.405306937,0.065158992,0.423099995,3.574044396,0.059874657,0.401600003,1.420015117,0.066163926,0.431699991,1.448513124,0.064325038,0.435699999,1.406843915,0.056416603,0.424299985,1.487097069,0.057102017,0.413100004,3.43485153,0.061767383,0.416500002,1.431703428,0.05883029,0.426099986,1.464378083,0.057348988,0.435799986,1.426589185,0.062399593,0.4005,1.421667008,0.060099653,0.415800005,1.464375117,0.058134062,0.426299989,1.421056056,0.058462295,0.434399992,1.476369006,0.057030482,0.432200015,1.416763608,0.057453674
8,0.432399988,1.43187584,0.053076713,0.449000001,1.405196132,0.06005121,0.452399999,1.405367828,0.049261248,0.430000007,1.437043068,0.053284194,0.443100005,1.404592098,0.053307674,0.433899999,1.445160004,0.05199001,0.41929999,3.580590024,0.056119667,0.435499996,1.417262511,0.05422442,0.425199986,1.417416757,0.053468759,0.444499999,1.470473991,0.052952875,0.451299995,1.417106519,0.051618548,0.442299992,1.403016749,0.052288708,0.408300012,1.407450545,0.051927981,0.444599986,1.404319627,0.054462916,0.431800008,1.414672294,0.054318038,0.443300009,1.413058456,0.053836673,0.43720001,1.405387911,0.052267091,0.436300009,1.404163306,0.054530764,0.417299986,1.412614013,0.0532424,0.398999989,1.391226927,0.05140923,0.434199989,1.414305503,0.055023091,0.423700005,1.400976966,0.056555244,0.414400011,1.435854115,0.055517065,0.428000003,1.465658175,0.05148931,0.432399988,1.401833471,0.053172865,0.427300006,1.43512567,0.052775503,0.434899986,1.41232539,0.063331194,0.4463,1.425017888,0.052372869,0.422100008,1.418768054,0.053739861,0.432500005,1.509600878,0.052633306,0.430799991,1.442120146,0.053308985,0.42719999,1.413430946,0.054301216,0.422899991,1.379943852,0.051821819,0.416500002,1.443854423,0.059823006,0.428799987,1.466845376,0.053168938,0.438800007,1.387914266,0.051474813,0.431300014,1.40068118,0.056884458,0.434100002,1.496693258,0.053887799,0.414900005,3.364575129,0.054280539,0.444200009,1.406896542,0.053303455,0.437999994,1.400053317,0.052558857,0.438499987,1.434517734,0.055550945,0.418000013,3.699399975,0.057872281,0.427399993,1.382095577,0.052608851,0.436399996,1.43688392,0.05567407,0.446399987,1.47126939,0.054766189,0.422899991,1.4634781,0.053316082,0.426200002,1.419503086,0.056401217,0.433099985,1.431969414,0.052779006,0.436300009,1.50369378,0.053403774,0.432399988,1.43187584,0.053076713
9,0.440899998,1.4171682,0.052398601,0.455900013,1.418243914,0.053508241,0.455000013,1.387354327,0.051562958,0.4366,1.397725172,0.050130848,0.453000009,1.397116406,0.052113043,0.434500009,1.408069415,0.053988482,0.425399989,1.452390113,0.053572966,0.440899998,1.394025948,0.051337088,0.430200011,1.420023814,0.050179814,0.450300008,1.4972997,0.055612974,0.455000013,1.386988771,0.051328962,0.446999997,1.397497138,0.057480504,0.416500002,1.377180855,0.05235129,0.449800014,1.394514099,0.050389174,0.435799986,1.406925113,0.05275891,0.444400012,1.455658938,0.050846355,0.443800002,1.404002969,0.052907487,0.442200005,1.392120777,0.050431578,0.425999999,1.412370621,0.051208226,0.406399995,1.425269265,0.050231098,0.44659999,1.405073652,0.05652156,0.437400013,1.455131887,0.051141758,0.423599988,1.432569405,0.050754301,0.439399987,1.418970754,0.050893771,0.444700003,1.449927181,0.052107176,0.434899986,1.390548773,0.050438062,0.437700003,1.411962046,0.053220242,0.454400003,1.434201033,0.05422871,0.4287,1.436212973,0.050683539,0.445300013,1.473826425,0.053347801,0.44690001,1.441866895,0.051661643,0.435299993,1.397042656,0.054944785,0.423099995,1.408249082,0.049997409,0.428299993,1.429548812,0.058356931,0.434799999,1.454448726,0.051511791,0.440800011,1.401814239,0.051340396,0.432000011,3.421297427,0.061694012,0.441700011,1.500869048,0.051258515,0.439999998,3.595257775,0.051822797,0.451900005,1.388077181,0.054345942,0.443500012,1.392887614,0.050223106,0.445100009,1.471076,0.050940412,0.416399986,3.516663975,0.054822304,0.427100003,1.388499493,0.059205406,0.443800002,1.444333553,0.05290765,0.451200008,1.426760395,0.051569703,0.433600008,1.530051654,0.053029883,0.432900012,1.414133051,0.058927119,0.449699998,1.491029204,0.050616597,0.451499999,1.473089593,0.054431325,0.440899998,1.4171682,0.052398601
