Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.638599992,1.641338535,0.045592977,0.716099977,1.611640958,0.046114337,0.693899989,1.675675336,0.050078362,0.656000018,2.384994374,0.047339659,0.660899997,1.597889058,0.051444062,0.701399982,1.61283664,0.049148039,0.689899981,1.609429444,0.044195744,0.658599973,1.60650146,0.045341868,0.701900005,1.605351265,0.049447529,0.655499995,1.61929146,0.044492629,0.718800008,1.606377961,0.046318368,0.653500021,1.618727334,0.044374773,0.688399971,1.605648298,0.049139409,0.695800006,1.613166592,0.044786656,0.692900002,1.624595105,0.043979944,0.681800008,1.635015286,0.051643457,0.689100027,1.626655221,0.044801245,0.693099976,1.608034931,0.044110239,0.670700014,1.633292329,0.050644422,0.667699993,1.600981242,0.055499738,0.644900024,1.595612291,0.049094764,0.657299995,1.654785867,0.046182209,0.71359998,1.612306827,0.049385999,0.690699995,1.606144543,0.045508835,0.691600025,1.59465074,0.047093776,0.655700028,1.637872567,0.04550848,0.688399971,1.643440346,0.049090727,0.676999986,1.614227489,0.04422788,0.682799995,1.645244725,0.051007499,0.695299983,1.68100214,0.044938494,0.67049998,1.680364745,0.047780088,0.665499985,1.661218503,0.049542142,0.714600027,1.60048065,0.045028287,0.611599982,1.700319599,0.048486997,0.677999973,1.636879955,0.05025105,0.638400018,1.632726525,0.046167742,0.669200003,1.722611988,0.050295284,0.675999999,1.658827229,0.045626246,0.662400007,1.628700484,0.044052901,0.66140002,1.634544967,0.045066947,0.720300019,1.617557182,0.050321232,0.675999999,2.412551437,0.04552487,0.687699974,1.627936704,0.045966809,0.713400006,1.638151496,0.045911431,0.683499992,1.636402134,0.044679346,0.674600005,1.622464236,0.044260008,0.695599973,1.635345224,0.047573647,0.630900025,1.616859554,0.047332991,0.67110002,1.605276648,0.044286715,0.695900023,1.629516431,0.049074519,0.638599992,1.641338535,0.045592977
1,0.680000007,1.618409258,0.057183282,0.698000014,1.658991735,0.054978614,0.732200027,1.63531592,0.055695903,0.727900028,1.607596531,0.054529462,0.744400024,1.634365296,0.058820094,0.731599987,1.643448811,0.053595569,0.722599983,1.666336345,0.059058291,0.718999982,1.621244915,0.059848982,0.738399982,1.645631812,0.05673421,0.719699979,1.665878202,0.053276074,0.735199988,1.642322304,0.052388088,0.707799971,1.643059083,0.052803445,0.737600029,1.621489185,0.056253819,0.702400029,1.621477008,0.060461855,0.723999977,1.663582648,0.054829698,0.701300025,1.633115574,0.052372472,0.7403,3.295621177,0.05378009,0.725899994,1.644195917,0.052638569,0.712800026,1.606472253,0.054950919,0.692399979,1.598285208,0.055258972,0.709599972,1.596970673,0.056758968,0.698400021,1.611904752,0.052482004,0.745299995,1.614558053,0.05268338,0.735400021,1.6018725,0.056405525,0.736699998,1.610092693,0.051618728,0.719500005,3.575935215,0.057333122,0.738399982,1.602474469,0.054724675,0.708299994,1.615303177,0.052695862,0.700600028,1.618773561,0.054722266,0.732900023,1.621707507,0.057890872,0.726899981,1.610390034,0.062007436,0.705299973,1.628079,0.055254634,0.723800004,1.617077551,0.062606382,0.708500028,1.642566862,0.054969434,0.714600027,1.626907891,0.058059746,0.694599986,1.576440867,0.059121407,0.731100023,1.638382596,0.062671731,0.727100015,1.600066296,0.056049602,0.673699975,1.618627532,0.056872464,0.681900024,1.678789864,0.061345414,0.744499981,1.823634743,0.058684901,0.704699993,1.633451613,0.052383498,0.736100018,1.720026781,0.05449259,0.747099996,1.687138713,0.057158792,0.703100026,1.652969537,0.053459965,0.701600015,1.6672357,0.057311402,0.731999993,1.717962937,0.055714867,0.73210001,1.650527675,0.052764264,0.71420002,1.70163128,0.063835222,0.709100008,1.658058831,0.057847875,0.680000007,1.618409258,0.057183282
2,0.713400006,1.60549461,0.044395289,0.712599993,1.609958535,0.044942159,0.747900009,1.651465862,0.04512512,0.747600019,1.639337781,0.049214092,0.753400028,1.604065881,0.045996799,0.758899987,1.607912042,0.050572833,0.725600004,1.686944513,0.045522104,0.748099983,3.723257756,0.046071992,0.757399976,1.618144292,0.045380541,0.753899992,1.621264905,0.050941536,0.745400012,1.637731599,0.048656928,0.731899977,1.622282225,0.051509654,0.7597,1.642815546,0.04716449,0.741599977,1.653604499,0.046145685,0.742999971,1.619346392,0.049905404,0.726999998,3.994670762,0.046732153,0.763000011,1.668985258,0.045190238,0.745999992,1.667183518,0.049890807,0.728500009,1.624467417,0.052531197,0.720399976,1.651206354,0.045401437,0.721800029,1.658643014,0.049659817,0.720499992,1.610499034,0.049596054,0.762399971,1.649275742,0.04467843,0.751600027,1.619167998,0.046481954,0.745599985,1.609533464,0.045650399,0.751800001,1.655263788,0.045397431,0.756099999,1.62774507,0.046092704,0.737299979,1.633606366,0.047988173,0.714299977,1.580061083,0.048536641,0.754700005,1.598222802,0.051205577,0.74119997,1.600692844,0.049776916,0.739300013,1.615717519,0.050218297,0.74150002,1.599280402,0.042938468,0.736699998,1.632928233,0.046888807,0.720600009,1.608027599,0.049049593,0.734600008,1.633336836,0.0441186,0.755299985,1.617216791,0.049360334,0.754000008,1.606623276,0.050917091,0.726100028,1.619614406,0.049298632,0.739799976,1.607460825,0.048659714,0.758899987,1.611979054,0.051567871,0.746800005,1.636217333,0.044548109,0.755999982,1.60982495,0.04589389,0.763000011,1.613306236,0.046185627,0.736199975,1.614815567,0.045865552,0.747600019,1.614774991,0.047475342,0.750199974,1.632009255,0.051757517,0.74849999,1.61492463,0.047156881,0.741299987,1.632598223,0.045525761,0.719600022,1.606679199,0.047748895,0.713400006,1.60549461,0.044395289
3,0.73360002,1.661506745,0.04687439,0.752200007,3.855573311,0.045876212,0.762899995,1.605271384,0.049485782,0.757300019,1.642528033,0.044331338,0.768700004,1.613886614,0.05053402,0.767099977,3.700969432,0.04725213,0.743799984,1.628011381,0.044847454,0.763999999,1.70823897,0.04899975,0.776899993,1.68093155,0.046563427,0.772300005,1.612963929,0.049983565,0.763700008,1.633143751,0.049289579,0.754700005,1.656280521,0.051679898,0.774100006,1.677970532,0.046115436,0.764699996,1.605346827,0.045254857,0.763400018,1.659752136,0.050613483,0.750699997,1.635819487,0.052571969,0.778100014,1.635300347,0.044509523,0.757600009,1.705276344,0.046953449,0.750100017,1.647053759,0.047681022,0.749800026,1.587040872,0.050597708,0.745999992,1.709658966,0.048562649,0.743600011,1.645473555,0.049784504,0.775600016,1.615398215,0.045049954,0.752900004,1.610012123,0.047132324,0.768700004,1.591533863,0.046793772,0.761399984,1.566204086,0.051003922,0.769800007,1.653824084,0.046427185,0.7579,1.610789277,0.045974996,0.728999972,1.616254823,0.049855105,0.770299971,1.614225994,0.052326419,0.747200012,3.673809978,0.04629935,0.741900027,1.619077354,0.049164558,0.754999995,1.651634136,0.044991174,0.75940001,1.64434338,0.050176411,0.738499999,1.615676272,0.047990761,0.741599977,1.638861982,0.047711245,0.764999986,1.647610678,0.054104067,0.75940001,1.649285867,0.044873116,0.752099991,1.648583733,0.044250514,0.759800017,1.639228869,0.046605133,0.76730001,1.612086857,0.047004649,0.766499996,1.630654591,0.047587573,0.768599987,1.637472241,0.045134052,0.772499979,1.624430383,0.04941026,0.760200024,1.620416278,0.0452093,0.764199972,1.600370165,0.04934791,0.763300002,1.614114378,0.047421593,0.745100021,1.595189361,0.045479822,0.750999987,1.653274259,0.045205872,0.743499994,1.622256042,0.050483623,0.73360002,1.661506745,0.04687439
4,0.760800004,1.666980664,0.042092023,0.754899979,3.5556939,0.044359325,0.774200022,1.618054698,0.042765202,0.771099985,1.605259045,0.041485723,0.774800003,1.595636475,0.045703251,0.772099972,1.608155403,0.04320208,0.753700018,1.626683688,0.04744764,0.781799972,1.68454681,0.042589907,0.786300004,1.646222613,0.043873408,0.782000005,1.612692436,0.040401262,0.777899981,1.627982796,0.042519864,0.765799999,1.599971959,0.043544596,0.788500011,1.625783133,0.040703389,0.781300008,1.661326397,0.043738089,0.772700012,1.666041538,0.043318034,0.765999973,1.612353984,0.047867385,0.787899971,1.635795051,0.043551001,0.770699978,1.622252381,0.044519599,0.761699975,1.636347333,0.043024226,0.762300014,1.638152929,0.045225387,0.744599998,1.67496042,0.042426183,0.7597,1.667591868,0.042126477,0.783399999,1.629223744,0.045051132,0.766900003,1.663204665,0.041676682,0.777700007,1.609260325,0.044133747,0.772700012,1.62806075,0.043493532,0.787899971,1.63462022,0.048689963,0.779699981,1.618970221,0.04608645,0.746200025,1.600413801,0.044931652,0.780300021,1.608344062,0.042156911,0.764999986,3.596799843,0.042627839,0.756200016,1.649268268,0.042563941,0.768899977,1.64907665,0.041427867,0.769699991,1.606112928,0.044729182,0.757000029,1.64518717,0.042029496,0.768599987,1.67451986,0.040603628,0.779299974,1.62047382,0.04441731,0.770900011,1.617855635,0.047634442,0.770399988,1.616772871,0.042198627,0.774699986,1.633742034,0.044333481,0.781499982,1.623722143,0.042463793,0.779399991,1.6315326,0.04315153,0.787500024,1.651095665,0.044598603,0.787400007,1.615791463,0.044883587,0.76639998,1.607071304,0.042532876,0.77670002,1.610822787,0.043877347,0.771499991,1.623504506,0.046099395,0.76730001,1.614619051,0.040470123,0.755699992,1.583543716,0.040909285,0.754100025,1.625872614,0.042255605,0.760800004,1.666980664,0.042092023
5,0.775300026,3.676636161,0.050682595,0.768899977,3.47691058,0.046018185,0.787,1.620756341,0.047526168,0.783599973,1.620878534,0.045079708,0.781199992,1.618219588,0.043317235,0.784600019,1.597278507,0.042797226,0.76639998,1.608260931,0.044356039,0.792999983,1.637888954,0.045064213,0.798799992,1.641436504,0.048458061,0.789099991,1.611254499,0.044309788,0.78640002,1.659533587,0.045592042,0.778299987,1.620762912,0.050088427,0.7949,1.602885356,0.044687083,0.789300025,1.661805791,0.048052813,0.784399986,1.620270057,0.047107554,0.773599982,1.711341556,0.045821638,0.797500014,1.65047715,0.04583157,0.780099988,1.618198804,0.04277498,0.769900024,1.623365547,0.047781071,0.77670002,1.626722689,0.042842605,0.751999974,1.624894099,0.044371012,0.773000002,1.648306852,0.043901762,0.792400002,1.572874701,0.043756088,0.774500012,1.588900094,0.042775012,0.786800027,1.613729117,0.044450794,0.781099975,1.648914061,0.053997066,0.79610002,1.677018009,0.045626665,0.787400007,1.589098962,0.050719539,0.762700021,1.612006943,0.051754688,0.786800027,1.631820813,0.045955857,0.770699978,3.807354926,0.046929743,0.752799988,1.680444769,0.050221708,0.787400007,1.60212903,0.043947846,0.782599986,1.586393434,0.048007546,0.76819998,1.620489633,0.043578558,0.775600016,1.624817714,0.044655557,0.791100025,1.664693922,0.051242146,0.780399978,1.627880882,0.043763112,0.786199987,1.626819525,0.044956806,0.782999992,1.6741636,0.045676466,0.789900005,1.620367638,0.048627333,0.793200016,1.608675577,0.04254229,0.791700006,1.621784416,0.047180479,0.797299981,1.675755283,0.048191436,0.771200001,1.603651862,0.050755596,0.779699981,1.6101672,0.044842123,0.77579999,1.622849421,0.044962786,0.772099972,1.601369721,0.049107368,0.767499983,1.609228361,0.044408076,0.761600018,1.653374952,0.049735487,0.775300026,1.676636161,0.050682595
6,0.787599981,3.740658488,0.051391056,0.773000002,1.616098634,0.050388438,0.797100008,1.623842806,0.052211255,0.793200016,1.670020149,0.049136146,0.788399994,1.611385113,0.052145407,0.795700014,1.595766393,0.0507212,0.784099996,1.636344746,0.05033785,0.801800013,1.667707202,0.052000359,0.808700025,1.679414388,0.049985189,0.79460001,1.647723385,0.051221152,0.788999975,1.636109642,0.05294417,0.793500006,1.619640765,0.058734877,0.802900016,1.667262568,0.04853848,0.79339999,1.666681714,0.050069605,0.796700001,1.624419703,0.05106958,0.790000021,1.646913158,0.04910386,0.803300023,1.650852988,0.05440532,0.787899971,1.624576387,0.053559197,0.781300008,1.627880141,0.050763106,0.788800001,1.641146844,0.055594817,0.769900024,1.669812295,0.04824062,0.781700015,1.596411383,0.055281847,0.796599984,1.628510626,0.049987236,0.782199979,1.598784632,0.051339793,0.797900021,1.595098677,0.049121748,0.787699997,1.641763854,0.054711538,0.802200019,1.670915687,0.053131496,0.798399985,1.618331971,0.050625855,0.772099972,1.58995831,0.050885612,0.791100025,1.593436481,0.049415856,0.783699989,3.84834606,0.056282466,0.774600029,1.741009326,0.050141873,0.795899987,1.623335172,0.048130632,0.790400028,1.593849997,0.051863222,0.781899989,1.628024659,0.048750187,0.776600003,1.637774285,0.048356231,0.800499976,1.606498702,0.061496095,0.790199995,1.621296443,0.049416446,0.799499989,1.66525296,0.048531803,0.789699972,1.738519931,0.051626293,0.796999991,1.664492981,0.050085301,0.80250001,1.614785554,0.054227127,0.797900021,1.621117389,0.054536088,0.804700017,1.633419349,0.051114067,0.774699986,1.607279328,0.052903216,0.782000005,1.626961853,0.050611149,0.787800014,1.634794485,0.050934656,0.779699981,1.603618838,0.051073807,0.76910001,1.634445765,0.049991864,0.765200019,1.63244465,0.051158421,0.787599981,1.740658488,0.051391056
7,0.799199998,1.596474601,0.044377903,0.77700001,1.599671248,0.040449912,0.805100024,1.642359413,0.052831737,0.797399998,1.652065035,0.046553849,0.794499993,1.629258644,0.043926435,0.804700017,1.612725512,0.042730602,0.79430002,1.672427848,0.04270279,0.804499984,1.590894893,0.043578482,0.813600004,1.663988206,0.048359171,0.803799987,1.619789288,0.042621022,0.800499976,1.698589321,0.048581053,0.800199986,1.62056859,0.048068855,0.81190002,1.622460219,0.041023217,0.803900003,1.623446172,0.04298169,0.797699988,1.659588276,0.042630914,0.793900013,3.667850957,0.040752877,0.809499979,1.65698117,0.0412394,0.791400015,1.633287237,0.042615829,0.792699993,1.715495987,0.046310984,0.795000017,1.658940753,0.043174382,0.790099978,3.398663901,0.04362758,0.794200003,1.586683546,0.04085802,0.800300002,1.611255144,0.042992937,0.792100012,1.605184378,0.045079559,0.80369997,1.588190154,0.040544799,0.791199982,1.707322683,0.045290294,0.805199981,1.64983904,0.046231556,0.805499971,1.588467659,0.042431818,0.784200013,1.627768996,0.046167708,0.805700004,1.588017587,0.048086365,0.792100012,1.634128338,0.044075287,0.788399994,3.760834607,0.043005019,0.805100024,1.629842798,0.04225969,0.795000017,1.620887464,0.04199324,0.791100025,1.606252892,0.045115776,0.770900011,1.625165239,0.042971038,0.801800013,1.661135703,0.050115698,0.800999999,1.60594874,0.041963848,0.801800013,1.614448205,0.041428118,0.787899971,1.639802442,0.041930064,0.80430001,1.614633131,0.045727018,0.808700025,1.613918686,0.043600918,0.806400001,1.606545265,0.042445302,0.815299988,1.619939341,0.046357653,0.789900005,1.614618962,0.042704714,0.792599976,1.592770806,0.044880315,0.804400027,1.628920805,0.043738424,0.792100012,1.598611281,0.043935646,0.776199996,1.606760146,0.042196426,0.779699981,1.611682233,0.045710997,0.799199998,1.596474601,0.044377903
8,0.8046,1.578998408,0.040506786,0.782599986,1.602512431,0.03876638,0.810699999,1.618029827,0.043271544,0.804700017,1.627647243,0.042949155,0.801199973,1.587548757,0.038499159,0.805400014,1.584887467,0.038449272,0.798399985,1.607002107,0.042018425,0.8125,1.588291496,0.037370506,0.818400025,1.587045002,0.040135686,0.804700017,1.596794039,0.039141674,0.805400014,1.63734995,0.038800414,0.804899991,1.666915247,0.038470062,0.815999985,1.638283012,0.042880946,0.806699991,1.667739856,0.038868852,0.805999994,1.652818735,0.039882183,0.810100019,1.595904296,0.041033972,0.814599991,4.102965087,0.039061533,0.794799984,1.660791781,0.0379932,0.799399972,1.598467465,0.041700103,0.80309999,1.633768631,0.037239442,0.807600021,1.568204493,0.039056717,0.797399998,1.644903664,0.038859078,0.80430001,1.66116221,0.04103515,0.796199977,1.611442662,0.045268477,0.804099977,1.578423612,0.044790719,0.801299989,1.65862561,0.040687735,0.810400009,3.470206034,0.041226464,0.814100027,1.640150555,0.039953559,0.794700027,1.60837405,0.039570577,0.814800024,1.600695006,0.042031353,0.78609997,1.60295895,0.039507122,0.794099987,1.588912415,0.040969684,0.811999977,1.684199238,0.040477472,0.800599992,1.598340709,0.036731558,0.800499976,1.621685017,0.037845345,0.785300016,1.617970709,0.040098739,0.813499987,1.603875832,0.042135565,0.807699978,1.597939956,0.037530077,0.809800029,1.647121665,0.039208687,0.787299991,1.632217143,0.038576675,0.810000002,1.612208241,0.042754391,0.816200018,1.637269536,0.042993647,0.814400017,1.573011428,0.041007951,0.819899976,1.622888717,0.038650185,0.8028,1.584148004,0.03863953,0.789499998,1.60039459,0.039975619,0.806500018,1.588726134,0.044133456,0.801999986,1.588457683,0.041131362,0.784699976,1.599550456,0.038706583,0.791100025,1.605951471,0.042078665,0.8046,1.578998408,0.040506786
9,0.809800029,1.581605077,0.043385961,0.788399994,1.605666791,0.038847528,0.813399971,1.646590752,0.039235272,0.818199992,1.642042598,0.040878989,0.810800016,1.611460542,0.038850405,0.809800029,1.592361461,0.038392946,0.804700017,1.63623669,0.039238027,0.813600004,1.609735818,0.038943512,0.819000006,1.590160603,0.039865382,0.811200023,1.61040177,0.039041049,0.809800029,1.654500457,0.038997623,0.813600004,1.627720323,0.040622069,0.821399987,1.677680243,0.039056412,0.817200005,3.51632322,0.041170037,0.809400022,1.595386772,0.038086691,0.813499987,1.594315256,0.040641322,0.820599973,1.588930442,0.039273293,0.794700027,4.018679708,0.039335311,0.804899991,1.591011125,0.041865921,0.810500026,1.618481096,0.03858698,0.818400025,1.613825733,0.039327122,0.804099977,1.615099304,0.044076147,0.812900007,1.642069283,0.038630803,0.805599988,1.595925511,0.042058894,0.807900012,1.602252157,0.041276627,0.811399996,3.405632173,0.039526246,0.817499995,1.574648781,0.038827429,0.819500029,1.638160526,0.039015725,0.8028,1.606442742,0.040549898,0.817300022,1.602303021,0.042460719,0.790099978,1.607478062,0.040929817,0.802100003,1.589167071,0.044720438,0.816500008,1.728474621,0.038741346,0.806900024,1.627098563,0.040338505,0.806800008,1.614353924,0.039206019,0.790499985,3.913227352,0.043271989,0.817799985,1.651715512,0.042581423,0.805299997,1.622291272,0.042412595,0.811500013,1.663512553,0.039287619,0.790499985,1.669562191,0.040216659,0.815999985,1.612603208,0.040749859,0.824899971,1.632909606,0.039195927,0.813499987,1.657899121,0.040477578,0.825299978,1.715900388,0.039008159,0.804899991,1.607478587,0.038574392,0.790400028,1.596798926,0.038779139,0.818199992,1.62522559,0.039464162,0.81129998,1.60442037,0.042218152,0.788699985,1.586977399,0.039140197,0.800199986,1.619363815,0.043656246,0.809800029,1.581605077,0.043385961
