Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.847599983,1.637680956,0.047906252,0.872099996,1.615095161,0.047196602,0.873600006,1.625158281,0.047284664,0.888899982,1.595110754,0.05127455,0.848100007,1.612239732,0.050708945,0.86650002,1.640545953,0.047346041,0.84859997,1.600927402,0.04736653,0.837199986,1.59296068,0.047262865,0.875800014,1.602657794,0.048646771,0.887099981,1.607199767,0.046055207,0.894800007,1.634540781,0.047246997,0.889100015,1.614718999,0.050809477,0.891700029,1.604054039,0.046432346,0.896700025,1.619733221,0.047112601,0.897700012,2.402989856,0.050704388,0.900699973,2.238033599,0.051720311,0.887499988,1.635787451,0.046638367,0.866400003,1.606801966,0.047854104,0.895600021,1.607479175,0.046748465,0.883300006,1.604373981,0.050296234,0.867600024,1.609112652,0.04859883,0.897099972,1.573014224,0.046004865,0.885299981,1.648559388,0.05013498,0.894599974,1.602892375,0.047207817,0.9023,1.597589796,0.050400149,0.895299971,1.72233438,0.047498087,0.878199995,1.651976047,0.050235555,0.829999983,1.609524797,0.047318083,0.875899971,1.715635538,0.05113472,0.862600029,1.708043751,0.048403899,0.848100007,1.73567944,0.053112019,0.898699999,1.693592226,0.047612804,0.899500012,1.619733757,0.046565879,0.892099977,1.68765275,0.05031611,0.872500002,1.679388759,0.048442041,0.885599971,1.614153599,0.052923017,0.851100028,1.874498949,0.055524394,0.862699986,1.728651119,0.04861805,0.884199977,1.60643398,0.047476495,0.894299984,1.659006744,0.047105178,0.865400016,4.658527796,0.050599469,0.889999986,1.619523429,0.0496994,0.881399989,1.663821834,0.048658609,0.89349997,1.700197289,0.047524774,0.894299984,1.634744067,0.047004672,0.856999993,1.613602438,0.051906572,0.883000016,1.684785811,0.047406272,0.870899975,1.596576534,0.047440819,0.885399997,1.608618846,0.048474343,0.887399971,1.647923353,0.051173193,0.847599983,1.637680956,0.047906252
1,0.895699978,1.642665844,0.044402844,0.912899971,1.683968239,0.046924505,0.914399981,1.65568473,0.04871402,0.924700022,1.636543424,0.04913717,0.913200021,1.642773752,0.044773084,0.917299986,1.659663507,0.044709398,0.908599973,1.620803788,0.044625117,0.911300004,1.648567945,0.043913029,0.925899982,1.639258267,0.057671144,0.925400019,1.6104305,0.046792331,0.926199973,1.66054386,0.044363085,0.924300015,1.662121453,0.044172414,0.925599992,1.620954793,0.046794602,0.911800027,1.644061139,0.047001417,0.914300025,1.662068625,0.045602805,0.91900003,1.657206987,0.048917831,0.923799992,1.637084035,0.044785006,0.91869998,1.64822336,0.04448054,0.925599992,1.615436523,0.044102147,0.914499998,1.606821806,0.043976848,0.90109998,1.612981395,0.046303578,0.930499971,1.621937933,0.043781006,0.913900018,1.633979816,0.045300534,0.936399996,1.613882449,0.0442822,0.918600023,1.621352476,0.044076241,0.928900003,1.585846073,0.045363234,0.909799993,1.630678352,0.047836152,0.892799973,1.615531256,0.04611358,0.897300005,1.673623557,0.050352173,0.914099991,3.242572126,0.047630316,0.900200009,1.677338757,0.043023869,0.935899973,1.648080993,0.045085417,0.926100016,1.640330617,0.046213349,0.926100016,1.615605738,0.04567504,0.916199982,1.627791204,0.043718541,0.906400025,1.574733566,0.046167737,0.891799986,1.628802987,0.047891539,0.914300025,1.58367978,0.061482083,0.91900003,1.618677868,0.044868826,0.917400002,1.599324842,0.05014792,0.916700006,1.593533158,0.048385882,0.926199973,1.617539693,0.05211176,0.928499997,1.595618143,0.043971341,0.915700018,1.613332847,0.043276853,0.927999973,3.554676896,0.044738892,0.899800003,1.705366365,0.04712214,0.907100022,1.61905255,0.044502393,0.920000017,3.412225438,0.0471806,0.920700014,1.610105291,0.04303469,0.925999999,1.59310868,0.046937387,0.895699978,1.642665844,0.044402844
2,0.92900002,1.681823373,0.042586751,0.935000002,1.718246966,0.045321508,0.934300005,1.607757855,0.045524807,0.942900002,1.594831997,0.042984311,0.928600013,1.650553336,0.042979406,0.932500005,1.673631708,0.045507676,0.927299976,1.626312944,0.04610467,0.930700004,1.621482874,0.042679144,0.942200005,1.641981325,0.047649674,0.940299988,1.598850154,0.048935479,0.9375,1.637030106,0.042790315,0.939999998,1.613439491,0.047002347,0.938199997,1.632255268,0.045340915,0.933499992,1.606493075,0.04750009,0.921299994,1.690705492,0.04621134,0.940100014,1.647894834,0.045046282,0.943599999,1.646385375,0.04359905,0.935299993,1.651900144,0.043130179,0.936500013,1.654732036,0.045935225,0.939800024,1.627758286,0.043523717,0.92019999,1.676280628,0.044549336,0.93870002,1.643533427,0.042420411,0.921400011,1.61248136,0.045256581,0.943400025,1.5961518,0.12775875,0.930499971,1.633925144,0.04780978,0.942300022,1.611530017,0.043506937,0.933000028,1.625211722,0.042958206,0.912800014,1.651196342,0.044111577,0.919799984,1.608398946,0.047581735,0.92900002,3.353677618,0.043451153,0.932500005,1.599931742,0.043754107,0.942499995,1.593397276,0.040715314,0.942900002,3.817603819,0.04248669,0.940199971,1.613308943,0.048327771,0.926800013,1.591785706,0.045541325,0.931100011,1.590124835,0.046345997,0.915099978,1.612031502,0.044449497,0.91900003,1.603673269,0.041883667,0.922299981,1.647222598,0.042129033,0.931500018,1.59647507,0.046495399,0.932900012,1.611883321,0.043336417,0.942200005,1.622817624,0.049701475,0.934700012,1.6097238,0.044865354,0.933399975,1.604307597,0.043516838,0.941699982,1.618799632,0.042837663,0.927100003,1.66266766,0.043925601,0.918299973,1.604753648,0.042028385,0.929400027,3.785213466,0.041571198,0.942099988,1.599723099,0.042626006,0.940999985,1.594224455,0.043700072,0.92900002,1.681823373,0.042586751
3,0.944899976,1.623067257,0.044547916,0.94569999,1.751975389,0.043972734,0.940800011,1.656749852,0.044971266,0.948800027,1.597292102,0.043290839,0.943599999,1.697484876,0.053305827,0.943400025,1.736066144,0.043989057,0.940299988,1.620617725,0.04444618,0.943000019,1.661686609,0.043225819,0.946099997,1.6381928,0.047187125,0.945900023,1.606392085,0.048345757,0.945200026,1.636433328,0.043215717,0.947099984,1.625090821,0.048526723,0.94660002,1.612743135,0.044948085,0.940699995,1.60656149,0.046181226,0.935500026,1.646148605,0.043063672,0.945900023,1.724209637,0.046976574,0.951099992,1.623810367,0.042921542,0.943899989,1.604193713,0.043960592,0.942499995,1.649795143,0.043889405,0.944800019,1.702646753,0.049853457,0.932200015,1.662601177,0.043050578,0.944199979,1.716565093,0.043389502,0.929499984,1.589803156,0.046565573,0.94599998,1.583278644,0.043074913,0.943799973,1.706453665,0.04714923,0.949199975,1.669832175,0.043412783,0.943799973,1.598982492,0.050481854,0.927699983,1.596301909,0.044453575,0.941399992,1.706896423,0.045656796,0.940400004,5.012180883,0.049232135,0.941900015,1.602148815,0.046525343,0.94690001,1.735653277,0.046360016,0.950600028,1.666252729,0.043015693,0.948899984,1.599605521,0.043492289,0.938899994,1.617120086,0.042309731,0.943400025,1.678629036,0.043609185,0.931999981,1.643676355,0.047896534,0.941999972,1.611753753,0.046644627,0.934000015,1.622106565,0.043452954,0.943799973,1.666279723,0.044960937,0.94660002,1.788340238,0.048614607,0.949100018,1.578573333,0.042844839,0.942499995,1.617012914,0.04427046,0.93779999,1.639239926,0.045674805,0.953199983,1.619028811,0.046435114,0.935100019,3.706304023,0.044572045,0.940999985,1.609505059,0.043637337,0.935400009,1.598987321,0.044268361,0.950500011,1.619205727,0.043542611,0.946699977,1.647791099,0.048278311,0.944899976,1.623067257,0.044547916
4,0.948300004,1.685466326,0.047715059,0.94630003,3.86962303,0.048016194,0.944299996,1.608836129,0.043562776,0.957099974,1.60504279,0.043192812,0.952799976,1.606363915,0.044240851,0.956499994,1.589311204,0.047098902,0.94660002,1.617179489,0.043152522,0.943300009,1.775246033,0.043600646,0.952799976,1.630504887,0.043095977,0.952899992,1.608325745,0.043990804,0.948300004,1.605057702,0.047742034,0.950299978,1.605003077,0.047588177,0.953800023,1.598226481,0.043530561,0.949599981,1.626094041,0.043372283,0.947000027,1.591446025,0.043696021,0.948599994,1.636463164,0.043390001,0.954699993,1.628847416,0.043583086,0.949699998,1.60005317,0.04571733,0.945100009,1.631599339,0.041868245,0.952000022,1.636316414,0.043431489,0.938300014,1.716605341,0.043261036,0.952400029,3.707846527,0.05068438,0.933499992,1.607426572,0.045850374,0.953999996,1.618229375,0.043168779,0.954900026,1.587774928,0.043281476,0.953299999,1.622188468,0.049510402,0.952000022,1.66710585,0.044566304,0.914399981,1.595098739,0.043148602,0.94749999,1.607844737,0.044351662,0.949500024,1.610571657,0.045859524,0.944100022,1.66799533,0.048598776,0.947899997,1.699486112,0.049766191,0.957199991,1.615128151,0.042830453,0.954100013,1.597790476,0.044184647,0.94630003,1.637174107,0.047987332,0.952300012,1.613458939,0.045522864,0.948899984,1.635567493,0.049256962,0.95480001,1.634466107,0.045021025,0.947600007,1.611432824,0.044392462,0.948800027,1.658094565,0.043634265,0.952199996,1.63922603,0.043656345,0.950699985,1.620102428,0.043988195,0.943300009,1.62259704,0.048180944,0.944500029,1.629432516,0.047717843,0.956700027,1.612569031,0.044093671,0.943899989,1.599667504,0.043921374,0.951300025,1.614003822,0.044439698,0.945299983,1.603143228,0.043807193,0.954999983,1.627897976,0.044377339,0.950500011,1.632526726,0.044000685,0.948300004,1.685466326,0.047715059
5,0.959900022,1.618937857,0.046670089,0.948000014,1.601140724,0.04457881,0.953100026,1.626192017,0.045062218,0.962899983,1.630038375,0.045642819,0.95450002,1.601837365,0.047682745,0.96420002,1.597778951,0.046733382,0.950500011,1.63628996,0.044851517,0.952600002,1.58425885,0.043072742,0.958599985,1.678555727,0.045304395,0.955500007,1.624510537,0.046258939,0.957499981,1.660195199,0.044322836,0.953100026,1.619130466,0.044007965,0.956099987,1.696826606,0.047444403,0.953100026,1.596516914,0.04718599,0.956200004,1.656226218,0.044440527,0.950699985,1.658862433,0.043985186,0.956799984,1.61107631,0.042636963,0.951799989,1.615534992,0.049643746,0.955299973,3.56049344,0.044915368,0.958700001,1.645592888,0.04252814,0.949800014,1.584406324,0.043911643,0.954299986,1.591766048,0.043634894,0.94599998,1.606934775,0.043684017,0.956200004,1.60816772,0.043543173,0.959599972,1.595379364,0.04694074,0.954900026,1.6369811,0.047815857,0.954299986,1.655362385,0.047826014,0.916700006,1.61414953,0.043967408,0.951499999,1.600038226,0.044475349,0.95630002,1.610505293,0.046317268,0.953599989,1.587023772,0.046828627,0.95539999,3.636992089,0.04677659,0.961399972,1.623928731,0.048497728,0.95660001,1.612331917,0.048316458,0.954999983,1.588729577,0.050069917,0.95480001,1.62122934,0.044413656,0.949999988,1.611228446,0.047549495,0.959299982,1.600620948,0.044454823,0.951399982,1.607634917,0.044348653,0.953999996,1.730961718,0.043590153,0.957300007,1.659307187,0.044712986,0.951600015,1.6149693,0.046474333,0.945900023,1.659645676,0.045005073,0.953800023,1.659656932,0.047245007,0.957599998,1.625891879,0.045314024,0.949699998,1.651198782,0.067407723,0.957099974,1.635346347,0.049517318,0.950999975,1.593526555,0.045349414,0.960900009,1.61190268,0.043434846,0.957199991,1.62821451,0.045737447,0.959900022,1.618937857,0.046670089
6,0.961899996,1.59927187,0.040976693,0.954299986,1.62238442,0.041654521,0.959500015,1.641000987,0.038177243,0.965399981,1.738632274,0.037742552,0.959200025,1.616694405,0.040969481,0.969200015,1.606202033,0.043840942,0.953800023,1.62574439,0.040552051,0.950699985,1.63929932,0.03752272,0.960799992,1.589126385,0.03888413,0.957499981,1.639323273,0.038528295,0.961899996,1.640699133,0.040918148,0.95450002,1.657839311,0.043512468,0.956700027,1.666927629,0.038950834,0.960699975,4.142788616,0.038223114,0.959900022,1.634418444,0.037972775,0.95599997,1.607068643,0.041117015,0.956099987,1.587637381,0.041728997,0.958199978,3.890968977,0.038736103,0.959900022,1.59270816,0.039835789,0.960200012,1.607139228,0.04083091,0.952899992,1.604203796,0.037134052,0.958899975,1.617413258,0.037040566,0.93779999,1.610843057,0.037631163,0.959299982,1.61214774,0.038580245,0.964399993,1.593932117,0.03810157,0.956099987,3.641039884,0.037203904,0.949599981,1.577475635,0.037869139,0.923399985,1.641634384,0.040830818,0.954900026,1.605574305,0.037307265,0.961099982,1.616050696,0.038517996,0.959599972,1.598446802,0.040736134,0.959699988,1.594020342,0.037177197,0.966300011,1.692941704,0.038981844,0.958899975,1.636758032,0.041469756,0.955200016,1.604597259,0.047469073,0.958999991,1.602060816,0.036614703,0.953199983,1.669072791,0.03985094,0.961799979,1.609681597,0.036463359,0.953599989,1.632535828,0.037887696,0.957199991,1.649181923,0.03788496,0.961700022,1.649428923,0.043185888,0.957700014,1.632052129,0.037170242,0.948899984,1.643343739,0.041889745,0.956499994,1.623703009,0.038714976,0.961199999,1.596248914,0.038477274,0.953299999,1.609524972,0.038127298,0.961099982,1.603718456,0.037290235,0.953299999,1.614624768,0.040450285,0.962599993,1.621554803,0.037810501,0.958400011,1.644164251,0.042102267,0.961899996,1.59927187,0.040976693
7,0.966099977,1.603771986,0.050488463,0.955900013,1.632384784,0.051219969,0.961700022,1.826049928,0.052889939,0.967000008,4.154841456,0.050003252,0.959999979,1.624707752,0.049857564,0.971599996,1.631816457,0.047196131,0.957599998,1.659426221,0.052140674,0.954100013,1.59509108,0.050619103,0.960799992,1.610681274,0.047543001,0.962800026,1.752117908,0.049468575,0.9648,1.618252258,0.048816063,0.95569998,1.59251232,0.050029181,0.954999983,1.599237156,0.048022562,0.963100016,1.601610458,0.048995709,0.962000012,1.612083173,0.046683628,0.962199986,1.621850526,0.053430457,0.958199978,1.607099404,0.049889175,0.962300003,1.586912514,0.049398819,0.961499989,1.602463833,0.047117777,0.963699996,1.596032873,0.050320473,0.956399977,1.652020238,0.047116468,0.958000004,1.644055786,0.057216183,0.933499992,1.668155871,0.047768752,0.962700009,1.628686554,0.051165649,0.967700005,1.663230595,0.047943346,0.958100021,1.593669163,0.04670526,0.944800019,1.611246581,0.047841856,0.934099972,1.699142494,0.048063918,0.958299994,1.619504052,0.047815243,0.966199994,1.620170896,0.056004906,0.961399972,1.604407277,0.04955477,0.961600006,1.619099622,0.048317199,0.968299985,1.590607328,0.047114855,0.964100003,1.604721451,0.046484656,0.959999979,1.616128118,0.046171532,0.958800018,1.598428668,0.047803306,0.954900026,1.661777744,0.048675687,0.965699971,1.617281266,0.046128092,0.960300028,1.675440345,0.056062873,0.960200012,1.573471619,0.051715711,0.962899983,3.730883948,0.052219617,0.959200025,1.807975289,0.048968638,0.950100005,1.635525877,0.049884988,0.956499994,1.650824671,0.047940968,0.962800026,1.61742802,0.047708973,0.961600006,1.641096334,0.048171496,0.963500023,1.606494485,0.050580337,0.95569998,1.675696542,0.048005052,0.965399981,1.698147391,0.053702237,0.962199986,1.640390972,0.050867951,0.966099977,1.603771986,0.050488463
8,0.965600014,1.623566776,0.046168636,0.961300015,1.640669735,0.045788171,0.962000012,1.574892655,0.048393182,0.967899978,1.588802053,0.045789866,0.966300011,1.635537538,0.050690299,0.971700013,1.636767504,0.045690161,0.961499989,1.603970743,0.047098977,0.961199999,1.634415139,0.044278373,0.965900004,1.598656377,0.045025477,0.960699975,3.942780901,0.049291704,0.959399998,1.605344975,0.044925296,0.962800026,1.618519573,0.044503923,0.958500028,1.61744892,0.046386038,0.961000025,1.621531344,0.044983557,0.96450001,1.596520366,0.048025985,0.964100003,1.608080995,0.050222913,0.958299994,1.599620772,0.045424322,0.96390003,1.596322399,0.044878376,0.964399993,1.635398944,0.044750399,0.964900017,1.601196623,0.047969508,0.954999983,1.643403067,0.044601711,0.962899983,1.665285222,0.044425624,0.943300009,1.580808194,0.045187027,0.96450001,1.657653907,0.048188794,0.967899978,1.638908637,0.048903832,0.963,1.601024007,0.046555619,0.953000009,1.59184294,0.046500143,0.939599991,1.663269415,0.04576078,0.956499994,1.660871406,0.051133488,0.970799983,1.587740714,0.045704502,0.964699984,1.624686484,0.045395395,0.964600027,1.628351664,0.045442952,0.967400014,1.62490169,0.04753138,0.965900004,1.635543922,0.045751446,0.965499997,1.658938557,0.045902958,0.963999987,1.624407831,0.044307178,0.957000017,3.95189706,0.050915832,0.968699992,1.807890276,0.048122198,0.966000021,1.578031955,0.045729685,0.962400019,1.602724075,0.045805647,0.962899983,1.586258568,0.045398178,0.958899975,1.608853639,0.046838311,0.954900026,1.614666325,0.046703442,0.962000012,1.598010497,0.052321272,0.966499984,1.656208862,0.049050325,0.964699984,1.652364144,0.043825863,0.965900004,1.712492661,0.052352169,0.958199978,1.642390125,0.04533896,0.966899991,1.651413504,0.049304997,0.964100003,1.66115359,0.046014792,0.965600014,1.623566776,0.046168636
9,0.964600027,1.643071221,0.052218429,0.963,4.139386351,0.047622086,0.965699971,1.627786021,0.047737822,0.968200028,1.605781257,0.052257607,0.971000016,1.582917952,0.049171462,0.972500026,1.671454709,0.04686656,0.963199973,1.611763771,0.048365345,0.963100016,1.646008859,0.047606441,0.968999982,1.631710986,0.046840287,0.965699971,1.610167527,0.047036627,0.963800013,1.620080039,0.047096075,0.961399972,1.63411001,0.050627622,0.965499997,1.644626431,0.047139782,0.966400027,1.62185153,0.047033378,0.972000003,1.628576301,0.047389577,0.962700009,1.682909825,0.047214035,0.961099982,1.625592268,0.047350566,0.965799987,1.614928504,0.047936721,0.967100024,1.673913924,0.050577975,0.968599975,1.632439952,0.047907227,0.956099987,4.249131536,0.051328677,0.965499997,1.578886205,0.050503641,0.938899994,1.618480102,0.047729072,0.968100011,1.603641457,0.047438721,0.967400014,1.578899456,0.047113419,0.96509999,1.647359052,0.050985562,0.961099982,1.741037432,0.049287385,0.947600007,1.595558876,0.046907512,0.96450001,1.711654506,0.049090858,0.970300019,4.080133349,0.050770417,0.966000021,1.648034464,0.047508431,0.966000021,1.616672859,0.051013086,0.965900004,1.722659679,0.04918414,0.968200028,1.584280866,0.050678578,0.967499971,1.592944627,0.050199445,0.965799987,1.619447537,0.049136978,0.958100021,1.611877197,0.057527862,0.971599996,1.596273812,0.04700718,0.966600001,1.626450209,0.047118671,0.964399993,1.640182901,0.047339906,0.967000008,1.662664547,0.047426045,0.961799979,1.604556957,0.04670574,0.957000017,1.628170293,0.047829918,0.962899983,1.643739769,0.048512738,0.964100003,1.560555447,0.048251902,0.967599988,1.592785042,0.048421977,0.968699992,1.620779703,0.049295615,0.964699984,1.591044964,0.047796736,0.969399989,1.58208678,0.046875813,0.96359998,1.598928427,0.053081671,0.964600027,1.643071221,0.052218429
