Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.271281511,1.819273017,0.04839964,0.253726184,1.823980776,0.048016967,0.273701608,1.851118177,0.047109457,0.205208972,1.83599039,0.051415244,0.195874304,1.811753408,0.047008027,0.195874304,1.847638194,0.047433171,0.257529199,1.833025766,0.047708604,0.195874304,1.829398558,0.046779139,0.266057163,1.805393146,0.046754915,0.195874304,3.074569649,0.047267104,0.195874304,1.841925319,0.047777678,0.195874304,1.786223633,0.051726514,0.265711427,1.781811657,0.046405711,0.239205599,1.860299967,0.047996687,0.234211743,1.821670303,0.047447607,0.249500617,1.838956799,0.04842696,0.196911499,1.857594836,0.048449214,0.283996612,1.782697969,0.047045208,0.219960049,1.796393054,0.046685926,0.199331596,1.778343812,0.046132505,0.19802551,1.78990065,0.052325319,0.19230178,1.777614418,0.053015219,0.231253847,1.787806023,0.047915868,0.202673629,1.775177014,0.046268383,0.167486176,1.769778287,0.049007748,0.195874304,1.864290355,0.048343502,0.195874304,1.801803675,0.048551955,0.205401048,1.786235797,0.047981814,0.201751694,5.109483774,0.046131556,0.203902885,1.798869045,0.04694253,0.197257221,1.79918284,0.045785642,0.244429931,1.829807072,0.046158786,0.216886908,1.778153926,0.048713873,0.279271662,1.823403269,0.048827232,0.195874304,1.820902173,0.046083512,0.247618318,1.821175834,0.046638833,0.195874304,1.854122376,0.051065129,0.195874304,1.82534111,0.046401037,0.195874304,3.040983111,0.047449776,0.195874304,1.836998181,0.049496973,0.272933304,1.868373917,0.046645909,0.195874304,1.781912611,0.047468869,0.223609403,1.846992549,0.058898297,0.196335286,1.828853936,0.072062641,0.211854637,1.810247858,0.048698019,0.199408427,3.214191491,0.049108431,0.159496009,1.85695577,0.048076048,0.227604493,1.809351249,0.047512535,0.263214499,1.797741157,0.04715637,0.324754149,1.860551678,0.048129831,0.271281511,1.819273017,0.04839964
1,0.498578668,1.809200865,0.045191361,0.476106316,1.774854975,0.044414148,0.507529199,1.847708399,0.04480601,0.463083893,1.812371114,0.045494288,0.520282745,1.784777111,0.045389114,0.478526443,1.850936095,0.046208822,0.500691473,1.807637991,0.046605332,0.478372782,4.119448636,0.047750251,0.451866925,1.83941525,0.049295507,0.511754751,1.811018283,0.045968728,0.497157335,1.824142732,0.045878784,0.491011053,1.950255882,0.047677819,0.47022894,1.855367465,0.047198702,0.474531353,1.828038526,0.046492099,0.448870629,1.974368777,0.050700105,0.497464657,1.822459741,0.045553626,0.484173328,1.825548016,0.04685627,0.489090353,1.876749168,0.045000417,0.511216938,1.790875742,0.044314727,0.470843583,1.769856385,0.045669337,0.469729573,1.794417842,0.04470368,0.445989549,1.824051542,0.045314963,0.489013523,1.835687919,0.048191715,0.485901982,1.841448149,0.044330759,0.468077749,1.816362063,0.045951362,0.493162274,1.768917888,0.046105173,0.473955125,1.785407486,0.047415321,0.426359862,1.817710401,0.045117327,0.50768286,1.768838079,0.053589677,0.47887215,1.788157165,0.046889041,0.498040885,1.794911538,0.046437213,0.515596211,1.79697662,0.044869322,0.469806403,1.839687982,0.044411893,0.447833449,1.917848092,0.048660352,0.483136147,1.808503761,0.045694363,0.434350044,4.102638671,0.046000606,0.503918231,1.771857942,0.049589456,0.469422251,4.213915909,0.04808425,0.465465575,1.826760973,0.046808846,0.439766437,1.789769715,0.068463707,0.472341746,1.782660103,0.045984707,0.453134596,1.832698909,0.045848467,0.489858627,1.778114622,0.049064983,0.475414872,1.800405582,0.046271263,0.445067614,4.545372513,0.044329927,0.448755383,1.835271329,0.05074014,0.489743382,1.806894747,0.044882698,0.477335572,1.804056132,0.044032883,0.496542722,1.784963743,0.045668971,0.491164714,1.786075421,0.046980683,0.498578668,1.809200865,0.045191361
2,0.64804858,1.776659018,0.046299261,0.637945592,1.892286423,0.049814141,0.647126615,1.796380905,0.046177011,0.645129085,1.806138154,0.045333217,0.634296238,4.219027416,0.045533698,0.572218835,1.788704376,0.049604989,0.62876457,1.981807685,0.047565091,0.602950215,1.84584568,0.046450291,0.640288889,1.849466056,0.049745008,0.633604765,1.760634054,0.047320725,0.639904737,1.770344207,0.069225986,0.60771358,1.820414098,0.045237543,0.633988917,1.892132578,0.04494608,0.643054724,1.7762293,0.044980275,0.615780592,1.811106228,0.044449484,0.618815303,1.78405925,0.046449531,0.630646884,1.83665845,0.051327528,0.651390612,1.812629938,0.045846907,0.634872437,1.808778449,0.052518234,0.644975424,1.852359757,0.04457652,0.628879845,1.789402134,0.04590065,0.609787941,1.790492125,0.044474434,0.625192046,1.816124666,0.044052057,0.645474792,1.820016005,0.044407837,0.646780908,1.781705306,0.051856747,0.660225868,1.925293115,0.054270391,0.633220673,1.792314495,0.049065543,0.595421016,1.822372744,0.044455885,0.641057134,2.041022239,0.057081814,0.608174562,1.804255098,0.048939733,0.629379213,1.788682657,0.045552985,0.640596211,1.819613359,0.044823905,0.590811312,1.82256349,0.045833972,0.6066764,1.814377931,0.046230837,0.635794401,1.787931268,0.046586203,0.604794085,1.803389492,0.044812956,0.638252914,1.831364851,0.052106977,0.606983721,1.828095934,0.048038546,0.632260323,1.838608197,0.047772093,0.629532874,1.837206191,0.046370526,0.628610969,1.787642412,0.048070637,0.60867393,1.828905721,0.045074831,0.634373069,1.779580401,0.045954399,0.631991386,1.778984369,0.045074606,0.593346655,1.778958932,0.048352504,0.596381366,1.775541971,0.04497431,0.630301178,1.822714594,0.045645712,0.63564074,1.772876011,0.053963454,0.612707436,1.776976945,0.055163912,0.63076216,1.862324284,0.045554333,0.64804858,1.776659018,0.046299261
3,0.708858311,1.782565472,0.04704868,0.707897961,1.80891305,0.046385981,0.714351594,1.774079193,0.048271202,0.712891817,1.796752005,0.046258491,0.717578351,1.815808018,0.046633133,0.641902268,1.807920313,0.047891779,0.69902426,1.807870471,0.050829387,0.683312833,1.793913161,0.046606395,0.705401063,1.786911442,0.046580088,0.696873069,1.756245686,0.047566588,0.711278439,1.757779217,0.047876365,0.654617369,1.781614032,0.049872662,0.716349125,1.7701464,0.049184519,0.710202813,1.756636649,0.046428232,0.684004307,1.761393365,0.046232423,0.701521218,1.760327674,0.04735538,0.705477893,1.812369395,0.047013523,0.71054858,1.815267134,0.046580116,0.710740626,1.875443936,0.048984898,0.708166897,1.851593446,0.047418064,0.683965862,1.756298142,0.05017036,0.700099885,1.816897193,0.049322241,0.690573156,1.77826679,0.046538783,0.719422221,1.768030265,0.04735525,0.714313149,1.771783654,0.046767417,0.701405942,1.79845811,0.046551134,0.698755383,1.80513102,0.047382263,0.676513493,1.758409487,0.046383134,0.708205283,1.801231911,0.048311824,0.682890296,1.863984291,0.046609539,0.707052886,1.810243752,0.046578195,0.700676084,1.830091361,0.047035165,0.657536864,1.843904826,0.04759289,0.678318977,1.820859542,0.052484846,0.713583291,1.843529438,0.047574593,0.686501205,1.898297091,0.047898008,0.694952369,1.861092397,0.055596642,0.680969596,1.856139397,0.050146564,0.719883204,1.81868844,0.047580792,0.698256016,1.77050727,0.053968324,0.702596784,1.750629483,0.046615924,0.685041487,1.771447632,0.054296886,0.694337726,1.804918157,0.04649549,0.701943755,1.759628933,0.048736027,0.67885679,1.78025458,0.046857609,0.657767355,1.806733753,0.046127614,0.706399798,1.80063393,0.046119493,0.718692362,3.932298334,0.045847415,0.684887826,1.76789971,0.04725793,0.686309159,1.801026812,0.050011324,0.708858311,1.782565472,0.04704868
4,0.751805484,1.8607162,0.044721685,0.742278755,1.815739803,0.043816752,0.751306057,1.784189989,0.045799247,0.755493224,1.857382253,0.044964349,0.748693943,1.815440088,0.044771726,0.704325438,1.829420476,0.046230003,0.740281165,1.795105603,0.054021835,0.730562389,1.794317094,0.044826348,0.751306057,1.789123639,0.046746506,0.739781797,1.800155809,0.048521769,0.738014758,1.791991476,0.05049139,0.714274764,1.77394747,0.044994804,0.749961615,1.799159854,0.046257626,0.737861097,1.809131551,0.045276274,0.735825121,1.808057018,0.050930406,0.737976313,1.796233045,0.046601601,0.747157335,1.831239449,0.048028045,0.750268877,1.787967538,0.048625282,0.75288105,1.84621244,0.046228716,0.750729859,1.793516587,0.045477317,0.716579616,1.826739034,0.04847945,0.745620787,1.736355603,0.04460009,0.735709906,1.773705238,0.055874373,0.743738472,1.750315537,0.048188829,0.741625667,1.768936752,0.053687809,0.73367393,1.782399705,0.046486276,0.731599569,1.806085746,0.066319711,0.728641689,1.803032173,0.046256332,0.737745821,1.858373804,0.05519103,0.740550101,1.807415845,0.048006441,0.738821447,1.811741768,0.045569894,0.740242779,1.776541457,0.044567993,0.720113695,1.750218615,0.044582909,0.708474159,1.814298094,0.045434534,0.755109072,1.988946554,0.047130863,0.716080189,1.775612693,0.044558795,0.739474475,1.817177262,0.050146164,0.736132443,1.837102876,0.052295553,0.755109072,1.782300395,0.045270135,0.736862302,1.782859715,0.047753982,0.744775653,1.759269536,0.044652825,0.712776601,1.788861861,0.044898369,0.727143526,1.871791502,0.045017762,0.72791183,1.838433547,0.048080006,0.723148406,1.847604669,0.04651619,0.709242463,1.846436491,0.045449151,0.73935926,1.845844725,0.044969374,0.758028567,1.795893251,0.044655175,0.7316764,4.589604058,0.04619306,0.729563594,1.802880413,0.044403928,0.751805484,1.8607162,0.044721685
5,0.775199771,1.80482425,0.045927338,0.766710222,1.821004353,0.044478728,0.766172409,1.815204279,0.044780659,0.771857738,1.763685705,0.044380562,0.769668102,1.875000379,0.044066539,0.709780276,1.808706459,0.045218014,0.764366925,1.764736617,0.044072622,0.73943609,1.846052376,0.046337399,0.774277806,1.85264838,0.049793774,0.76928395,1.755760031,0.04459712,0.766863883,1.762427581,0.043732824,0.755070686,1.821704097,0.045822427,0.763675451,1.861867901,0.044447823,0.750230491,1.765764133,0.043891385,0.757990181,1.822442551,0.045520199,0.758451164,1.838560754,0.045297489,0.772779644,1.773813589,0.045621035,0.771704078,1.808285709,0.044682563,0.772702813,1.81974737,0.044057315,0.771319926,1.795561131,0.044384768,0.747272611,4.069140622,0.044196761,0.771511972,1.757769171,0.043944656,0.758220673,1.797663579,0.044968851,0.765673041,1.777951122,0.044378366,0.763944387,1.746425733,0.043905991,0.757298708,1.765844745,0.043954003,0.760295033,1.755831238,0.048393109,0.767401636,1.768987492,0.044412205,0.763944387,1.772181498,0.054594328,0.759219408,1.791651855,0.045004657,0.765135229,1.790262569,0.04468228,0.766133964,1.775035887,0.044462604,0.752727389,1.808658779,0.044799741,0.72791183,1.790009315,0.045339549,0.766287625,1.796668718,0.045013569,0.745928109,1.806629709,0.048364741,0.763829112,1.766217435,0.051516856,0.759065747,1.826630612,0.047107317,0.766479731,1.854555805,0.045390102,0.7461586,1.756248144,0.045227942,0.760256588,4.226698813,0.045659418,0.750768304,1.801910599,0.045780303,0.757221878,1.800494713,0.04622024,0.753495693,1.84619449,0.045505352,0.749154866,1.831057642,0.04544618,0.735287368,1.812877878,0.045400143,0.755109072,1.820174712,0.045848951,0.773893654,1.827566044,0.044517133,0.753073156,4.265609219,0.044142769,0.756453574,1.820514261,0.045367117,0.775199771,1.80482425,0.045927338
6,0.78945142,1.767024813,0.048468401,0.774854004,1.834777138,0.046781653,0.783458829,1.75904533,0.049405371,0.783650875,1.743891251,0.048781647,0.778196037,1.826074614,0.047778454,0.715081453,1.765188165,0.04921171,0.774815619,1.76817712,0.046394868,0.754263997,1.82227478,0.047418558,0.791064858,1.830890034,0.046577457,0.782690525,1.754140922,0.050401389,0.782460034,1.768964359,0.053312309,0.773279071,1.81169899,0.047302741,0.774431467,1.83855878,0.04651313,0.767055929,1.765315783,0.047074485,0.77600646,1.83638382,0.046837616,0.773317456,1.775514493,0.046895205,0.787761211,1.799627239,0.046637976,0.784995377,1.974652359,0.049628063,0.787185013,1.825838611,0.046817869,0.788337409,1.80021978,0.046671068,0.769629657,4.234707391,0.046509012,0.778311312,1.773583988,0.046432062,0.774316251,1.781789352,0.046904639,0.775161326,1.786933462,0.046411371,0.780769825,1.763138038,0.055422398,0.777773499,1.793319621,0.047278018,0.770628452,1.755572717,0.046896946,0.776275337,1.772235836,0.046230482,0.776275337,1.795878571,0.047032683,0.763406575,1.791000959,0.048663341,0.772587597,1.771284957,0.046550134,0.778464973,1.74377534,0.046777154,0.776697934,1.792857508,0.051617312,0.74800247,1.815443743,0.049955672,0.77208817,1.780542426,0.04667784,0.767516911,1.828272402,0.050864071,0.777888775,1.780800363,0.050898107,0.773970485,1.781426238,0.049115848,0.787953317,1.784409557,0.046756522,0.757298708,1.776619313,0.047445612,0.773970485,4.176962527,0.046599557,0.767440081,1.765093625,0.046578133,0.763637066,1.835381008,0.050297863,0.767670572,1.819935936,0.049356444,0.772741258,1.794404333,0.047461783,0.741126299,1.832487001,0.052788619,0.765212059,1.792431017,0.046813782,0.785033822,1.82874715,0.046633467,0.770321131,4.338098283,0.046980808,0.776774764,1.777101952,0.047009828,0.78945142,1.767024813,0.048468401
7,0.796289206,1.811205907,0.045728492,0.78841424,1.792490447,0.046081312,0.79713428,1.952550035,0.047303583,0.795175195,1.7715948,0.046698612,0.783842981,1.825904639,0.045481363,0.731484354,1.792280912,0.045889,0.785725236,1.762229808,0.045342996,0.764597416,1.774067772,0.04547361,0.800822079,1.77453987,0.045896221,0.786992908,1.755333077,0.047902904,0.794829428,1.834093496,0.049652877,0.781730175,1.785516191,0.047311788,0.782344818,1.755283462,0.051073398,0.778311312,1.763974414,0.046003054,0.783996642,1.826085768,0.045046302,0.783305168,1.779033345,0.047074725,0.796903789,1.788788603,0.045510313,0.796634912,1.76826982,0.049590908,0.794406891,1.817636201,0.045108049,0.799247086,1.888366329,0.045037693,0.776428998,1.828510785,0.045996285,0.794445276,1.738020356,0.046855493,0.787569165,1.792327112,0.044670836,0.780769825,1.773395414,0.049429528,0.793254435,1.773491061,0.046020005,0.786724031,1.766423301,0.049194916,0.783804536,1.786511771,0.045669856,0.791103244,1.761081344,0.046555499,0.790181339,1.879169099,0.048072028,0.781384468,1.848857968,0.046429111,0.778196037,1.80641576,0.045892445,0.786263049,1.766095362,0.045780727,0.789105713,1.799294118,0.04562617,0.758681595,1.813371941,0.047953851,0.779271662,1.873677347,0.046603702,0.785072207,1.840698505,0.044346719,0.793484926,1.836688437,0.05182144,0.786109388,1.815017429,0.052410129,0.793753862,1.759841591,0.047419699,0.781576514,1.785977122,0.049524742,0.782997847,4.372399075,0.046458527,0.779118001,1.781257268,0.04529235,0.774277806,1.80990376,0.045768428,0.770551622,1.828893697,0.045001022,0.777235687,1.850869242,0.046339055,0.754955411,1.800556216,0.045194497,0.780462503,1.846040181,0.047030656,0.796942234,1.812909021,0.04424981,0.778119266,1.841931181,0.051037881,0.785187483,1.8234178,0.046299089,0.796289206,1.811205907,0.045728492
8,0.803472638,1.822919616,0.045327717,0.792870343,1.828460938,0.044686077,0.796711743,1.759673851,0.046910258,0.800668418,1.78197007,0.046791345,0.792639852,1.81824189,0.044876321,0.742854953,1.803371207,0.045708247,0.798594058,1.754401634,0.045249625,0.778772295,1.808445789,0.045131394,0.805508614,1.875231326,0.045539098,0.794560552,1.753626359,0.05441408,0.801283062,1.788234251,0.046172591,0.791487396,1.799260903,0.046228226,0.786724031,1.773943999,0.045610018,0.785149038,1.813836506,0.047585984,0.786608815,1.797080182,0.04506758,0.786186218,1.820920748,0.050201271,0.803318977,1.784910637,0.049193337,0.798786104,1.759884646,0.045337621,0.797556877,1.815929454,0.045417861,0.803050101,1.802749582,0.044990567,0.788106918,1.862830759,0.046856176,0.802397072,1.759301312,0.044819974,0.794061184,1.755165774,0.044712604,0.79240936,1.764874725,0.044833864,0.803818405,1.769170443,0.050688922,0.786071002,1.768163192,0.045284119,0.791948378,1.767572705,0.05316946,0.800245821,1.752363612,0.045555791,0.79905498,1.764922369,0.06354816,0.790872753,1.897527978,0.046899663,0.788683176,1.799084734,0.046076299,0.785763681,1.902925117,0.045127019,0.803472638,1.778772711,0.045284769,0.77208817,1.792324201,0.046527892,0.77977103,1.798947488,0.047439069,0.796250761,1.782725112,0.048454682,0.795252025,1.821721015,0.052152272,0.795021534,1.801032888,0.047506049,0.808082342,1.795732834,0.054515893,0.785379529,1.748356513,0.046330994,0.790181339,4.72100981,0.04450056,0.787607551,1.755182769,0.044995902,0.779732645,1.853262942,0.047897519,0.779502153,1.842945558,0.046534648,0.784688056,1.825872973,0.049859618,0.754993856,1.837495789,0.045625965,0.793177605,1.864971363,0.048303207,0.802665949,1.821241288,0.044701966,0.786992908,4.357532179,0.045280868,0.788106918,1.864630206,0.04613297,0.803472638,1.822919616,0.045327717
9,0.808428109,1.80946742,0.048035206,0.797902584,1.805175721,0.046926642,0.801513493,1.747188804,0.048263638,0.801398277,1.773533029,0.046121864,0.79433006,1.81245432,0.046879988,0.757375538,1.86538663,0.048358715,0.805931151,1.73539385,0.045725929,0.78745389,1.838110021,0.045965789,0.811885357,1.797202398,0.048079361,0.80001539,1.765097524,0.047978903,0.806430519,1.759150459,0.051239276,0.801628768,1.803562836,0.046314871,0.791909933,1.802120395,0.046370504,0.799477577,1.805734022,0.045892792,0.793062389,1.872991238,0.046096197,0.787377059,1.83145503,0.047237557,0.804471433,1.786517934,0.046724096,0.804432988,1.820515454,0.046030778,0.805047631,1.828126119,0.047075471,0.806046426,1.880168964,0.046173315,0.792870343,1.750945415,0.047523682,0.809772611,1.750696119,0.052694992,0.801321447,1.810596065,0.048269995,0.791525841,1.806471122,0.048147978,0.811155498,1.783039872,0.046710157,0.792678237,1.775249704,0.045933973,0.793753862,1.760581914,0.045628154,0.803088486,1.781495022,0.048252961,0.803664744,1.775093701,0.048561355,0.795328856,1.759995304,0.048453534,0.798670888,1.790793409,0.047813781,0.792639852,1.755832535,0.045558528,0.810348809,1.822073394,0.049044746,0.775891185,1.770214097,0.046180693,0.788375854,1.78691833,0.04832537,0.797864139,1.825154402,0.049610503,0.800783634,1.781078635,0.051995498,0.804087281,1.763799953,0.048594319,0.809119523,1.809212033,0.047465071,0.796558082,1.742468362,0.045844801,0.799208641,4.304047262,0.048820104,0.791986763,1.791146455,0.04634727,0.788260579,1.839849047,0.045877897,0.785571575,1.823060494,0.047021614,0.794137955,1.821489665,0.046654105,0.759872437,1.813114419,0.048007594,0.801436722,1.822604744,0.047133426,0.807506144,1.810389359,0.04619881,0.789413035,4.399680384,0.046704987,0.79513675,1.830082068,0.046399429,0.808428109,1.80946742,0.048035206
