Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.130199999,1.193355438,0.013423792,0.170900002,1.091698413,0.014243474,0.190200001,2.408378865,0.013713134,0.204999998,1.218749641,0.012768976,0.195199996,1.156602374,0.014634109,0.214699998,1.345977879,0.013196598,0.237200007,1.202806615,0.013165877,0.100699998,1.149624375,0.013187501,0.2042,1.16130274,0.013182942,0.149800003,1.180173981,0.013457536,0.144400001,1.321478385,0.013129632,0.183500007,1.140921475,0.012430481,0.204099998,1.121880835,0.012688787,0.213499993,1.21109292,0.014360563,0.102399997,1.120948357,0.013579092,0.192300007,1.299584822,0.015025621,0.207800001,1.198627888,0.013792231,0.226400003,2.641090652,0.014112436,0.187199995,2.90883173,0.01271565,0.168099999,1.072621801,0.012699278,0.183799997,1.126551273,0.012196919,0.200900003,1.155702797,0.012449656,0.1875,1.163978141,0.014133952,0.154699996,1.109419057,0.013341662,0.172800004,1.182959972,0.013522479,0.172800004,1.596598579,0.012835215,0.157499999,1.132096487,0.01419681,0.209099993,1.085876238,0.014339339,0.152999997,1.304093144,0.012837372,0.153400004,1.13864318,0.013409887,0.198300004,1.160454151,0.011347876,0.152500004,1.135928021,0.011549904,0.207499996,1.131208199,0.01392089,0.131799996,1.134141765,0.011893428,0.155000001,1.154740209,0.011087359,0.194800004,1.089218937,0.013435511,0.204799995,1.547668656,0.013214862,0.206599995,1.225087596,0.014921772,0.221300006,1.133793802,0.014431763,0.174700007,1.238569395,0.013887288,0.170599997,1.169038987,0.013333239,0.194800004,1.207034392,0.01454655,0.171599999,1.240355355,0.013127866,0.126100004,1.389656566,0.01291718,0.154300004,1.612655633,0.013777544,0.2227,1.216618934,0.013770152,0.208399996,1.213523965,0.015817374,0.153699994,1.204252974,0.012985219,0.147599995,1.242030323,0.014494249,0.212599993,1.3456859,0.013311919,0.130199999,1.193355438,0.013423792
1,0.26730001,1.055831789,0.012146706,0.282599986,1.173734544,0.012882043,0.2465,1.393275281,0.012766918,0.265899986,4.213410358,0.011911822,0.252900004,1.186500948,0.013306497,0.245000005,1.070594221,0.01306353,0.2315,1.206681864,0.011258553,0.134399995,1.180835401,0.013393323,0.26910001,1.377418253,0.012920389,0.192100003,1.172912371,0.012044481,0.226099998,1.043457278,0.011974966,0.25060001,1.082322022,0.012465411,0.257600009,1.104565941,0.012410547,0.238299996,1.041847646,0.012505491,0.242899999,1.183344616,0.012679037,0.251599997,1.070867218,0.012739749,0.263399988,1.041239718,0.012572396,0.285100013,1.10534379,0.012567593,0.266200006,1.175118572,0.014523515,0.246600002,1.158320645,0.01441916,0.251100004,1.186849226,0.014382076,0.240099996,1.185661861,0.014535441,0.294400007,1.124867768,0.016444976,0.249799997,1.205397064,0.014628067,0.25940001,1.248980219,0.013919925,0.229200006,4.081348447,0.011780007,0.236499995,1.056638394,0.010561377,0.252700001,1.128213062,0.014911937,0.255499989,1.049229543,0.011759527,0.245299995,1.05472432,0.011288768,0.241500005,1.051495513,0.012271506,0.284999996,1.065269361,0.011089738,0.265500009,1.27092588,0.014977514,0.26030001,1.067084903,0.011036647,0.200800002,1.053554807,0.013129831,0.283600003,1.158034425,0.014287962,0.250099987,1.085648103,0.012689593,0.247199997,1.08109404,0.012068443,0.272199988,1.067868421,0.01225571,0.197400004,1.170713445,0.014402483,0.251599997,1.517802082,0.013687444,0.247199997,4.342334663,0.012757199,0.216700003,1.511691236,0.012524119,0.177300006,1.231192128,0.013940802,0.224900007,1.284282746,0.012991058,0.294099987,1.194639045,0.01265454,0.254999995,1.168870824,0.012019757,0.203500003,1.258226933,0.013207922,0.246999994,1.212127717,0.012716952,0.245499998,1.467972083,0.012890643,0.26730001,1.055831789,0.012146706
2,0.298299998,4.218765493,0.011476024,0.292499989,1.075751808,0.013952229,0.304899991,1.268133098,0.013314645,0.247199997,1.181517123,0.013138846,0.298599988,1.055991125,0.016619618,0.275299996,1.09416836,0.013209344,0.277799994,1.146008707,0.012220473,0.216999993,1.069947362,0.014083064,0.296299994,1.066753869,0.013274449,0.257299989,1.10975954,0.013029539,0.272300005,1.151855967,0.01324443,0.310000002,1.573255058,0.014023997,0.281100005,1.221431417,0.014382361,0.297899991,1.313931578,0.013098328,0.285699993,1.104055007,0.013070153,0.282599986,1.173603945,0.013603591,0.287400007,1.231303417,0.016077745,0.320800006,1.153894655,0.014149055,0.292199999,1.06222665,0.013634398,0.26789999,1.045031908,0.013026157,0.2958,1.082602669,0.013688814,0.282000005,1.131850851,0.015213758,0.304699987,1.321090874,0.01497008,0.257999986,1.202721896,0.013766475,0.294800013,1.151221652,0.014463926,0.257099986,1.107786067,0.011974774,0.292100012,1.158616528,0.012251124,0.2685,1.687357038,0.015722639,0.269300014,1.091956255,0.012744905,0.278899997,3.84416835,0.013099018,0.320600003,1.078543027,0.012687185,0.322699994,1.093588427,0.015632681,0.3213,1.061161067,0.012334602,0.305799991,1.098035487,0.012854137,0.265199989,1.111321657,0.012701846,0.29429999,1.061527209,0.013786685,0.28549999,1.127918198,0.012980779,0.274100006,1.112727121,0.013677585,0.315800011,1.334592323,0.012742755,0.245499998,1.179697864,0.013349009,0.285899997,1.145056928,0.012770657,0.295300007,1.153870118,0.013337034,0.292499989,1.1286931,0.012445896,0.2148,1.071745598,0.012781427,0.298000008,1.084394811,0.01114562,0.323900014,1.081551342,0.012603676,0.303200006,1.126722867,0.012036089,0.256199986,1.119176634,0.012570995,0.290800005,1.157972571,0.014575875,0.279300004,1.159280379,0.011724368,0.298299998,4.218765493,0.011476024
3,0.329299986,1.195212713,0.012149227,0.330000013,1.568614994,0.013898013,0.313800007,1.111741827,0.012966768,0.281100005,1.121198495,0.012864672,0.306499988,4.126002571,0.015640204,0.314799994,1.185578601,0.012422374,0.268599987,1.113599606,0.01301517,0.230199993,1.217074192,0.012576807,0.337099999,1.16455972,0.013788695,0.294800013,1.116699226,0.012622021,0.318699986,1.189207884,0.013387262,0.323199987,1.105728877,0.013825528,0.305700004,1.163138374,0.012327424,0.314700007,1.089025443,0.014866057,0.276199996,1.338418959,0.012969632,0.282599986,1.198572628,0.01566609,0.3037,1.208276576,0.012860727,0.34009999,1.197866203,0.012646327,0.316199988,1.188698641,0.012021562,0.310400009,1.165393077,0.013495261,0.312900007,1.050131084,0.012146923,0.330199987,1.061675228,0.014291295,0.314700007,1.095374169,0.01315799,0.282900006,1.07568926,0.01174394,0.302899987,1.069964765,0.014234432,0.309500009,1.125402073,0.01143842,0.317600012,1.203065648,0.014745691,0.284999996,1.066112859,0.012155577,0.293099999,1.240665615,0.014547233,0.302599996,1.211585381,0.013596064,0.341899991,1.180390219,0.013106934,0.345800012,1.203565212,0.014201056,0.335700005,1.206365878,0.0128945,0.338499993,1.25691852,0.013413053,0.29429999,1.124251242,0.01373868,0.324600011,1.43322846,0.011984512,0.319099993,1.155953926,0.015077673,0.28580001,1.141812118,0.012824504,0.332599998,1.131982014,0.012087425,0.296000004,1.150622581,0.01365845,0.297100008,1.179799012,0.013886131,0.323900014,1.077646622,0.011357542,0.321700007,1.055812158,0.013025495,0.300099999,1.153974499,0.012419352,0.305299997,1.120214337,0.011995253,0.349400014,1.069883126,0.01372658,0.328299999,4.409714855,0.013653296,0.279100001,1.06250358,0.011868627,0.328200012,1.08291123,0.011489986,0.29429999,1.072759518,0.012122282,0.329299986,1.195212713,0.012149227
4,0.347600013,1.092121734,0.011128163,0.343400002,1.064790182,0.01260297,0.331,1.103695981,0.013072076,0.319099993,1.045614433,0.012018249,0.336299986,1.056156662,0.01181884,0.344599992,1.106446776,0.010638225,0.297199994,1.116454764,0.011910929,0.297699988,1.133361083,0.013204611,0.345299989,1.153383429,0.013304092,0.307399988,1.076454258,0.011699548,0.333400011,1.045059881,0.012207983,0.334699988,1.071161278,0.011692021,0.331,1.075552545,0.011324709,0.326999992,1.067922638,0.01210708,0.291299999,1.074559169,0.012744272,0.326000005,1.099680454,0.013430458,0.326099992,1.065426876,0.011791938,0.349700004,1.077679601,0.011520494,0.308800012,1.207492016,0.0127247,0.336199999,1.144466283,0.013384845,0.326299995,1.578280022,0.013106672,0.350199997,1.142901659,0.013676546,0.328599989,1.086440312,0.013394581,0.292100012,4.387120791,0.011852275,0.332700014,1.221572605,0.01202555,0.331400007,1.044957526,0.011982922,0.318199992,1.042190975,0.011857593,0.315299988,1.438199762,0.012490569,0.305500001,1.083739681,0.01318146,0.315899998,1.286904836,0.013223717,0.348699987,1.066405291,0.011888734,0.366400003,1.048066622,0.01188151,0.356299996,1.174475621,0.012017766,0.363799989,1.148480489,0.013449778,0.32100001,1.146443962,0.013784695,0.344300002,1.208754454,0.012386241,0.330799997,1.148706981,0.0129447,0.319499999,1.153505153,0.013078239,0.346399993,1.056107465,0.011649796,0.313600004,1.030489812,0.013363048,0.298599988,1.231189456,0.011360706,0.33950001,1.065553254,0.011002642,0.328700006,1.100684344,0.011656763,0.278499991,1.144987406,0.011885026,0.315600008,1.09720499,0.013247168,0.343499988,1.220443524,0.011515844,0.349799991,1.117843626,0.011399236,0.278400004,1.066700993,0.010926269,0.345800012,1.09230532,0.011286593,0.305799991,1.09191997,0.011746777,0.347600013,1.092121734,0.011128163
5,0.356000006,1.06166751,0.011999324,0.3583,1.122733552,0.012341681,0.339700013,1.186339724,0.012848604,0.340499997,1.276185674,0.012897213,0.343699992,1.111184059,0.012165653,0.35710001,1.119970357,0.011638231,0.325899988,1.23675276,0.01392433,0.2958,1.085298126,0.011820261,0.366899997,1.067754699,0.011482491,0.32069999,1.245112505,0.015118765,0.350699991,1.139441394,0.013544253,0.342999995,4.029730353,0.011572787,0.344700009,1.037144513,0.011204314,0.359400004,1.159397622,0.01297767,0.332899988,1.071588934,0.011175052,0.340700001,1.054519193,0.012532696,0.344999999,1.041985239,0.014412103,0.370599985,1.040642451,0.011182553,0.317099988,1.08527561,0.011706358,0.357300013,1.065865955,0.012472759,0.336400002,1.076645911,0.011508655,0.341500014,1.11339046,0.011707822,0.347299993,1.068649543,0.012413977,0.305799991,1.068443122,0.011511561,0.34799999,1.125455747,0.012312261,0.346899986,1.158483109,0.011541232,0.321099997,1.173339261,0.011476254,0.336199999,1.060876509,0.011799862,0.3116,1.086565025,0.011811309,0.326900005,1.068462992,0.012059421,0.370700002,4.239741362,0.012266818,0.376300007,1.222106449,0.011740577,0.369899988,1.04725172,0.012120065,0.371800005,1.11423449,0.012010871,0.339100003,1.085369831,0.012640373,0.354499996,1.098502293,0.012456254,0.34799999,1.132056432,0.013242998,0.352999985,1.101212717,0.012432412,0.360900015,1.115746956,0.011206438,0.352800012,1.149957403,0.013233546,0.307700008,1.15433275,0.013820531,0.360000014,1.087394732,0.010979657,0.341699988,1.236026494,0.014682535,0.30399999,1.453755274,0.01188561,0.327399999,1.063954034,0.0127753,0.340200007,1.193536492,0.013288868,0.357300013,1.110161404,0.011619512,0.303200006,1.171481025,0.011979635,0.362100005,1.122483297,0.012049273,0.309100002,1.145576566,0.01209631,0.356000006,1.06166751,0.011999324
6,0.362500012,1.209852168,0.011255486,0.368400007,1.067116484,0.01067203,0.360599995,1.264975185,0.013218687,0.346899986,1.123619101,0.012730724,0.362300009,1.059764408,0.011869683,0.372399986,4.491279998,0.010937677,0.332300007,1.130773948,0.012049804,0.346399993,1.049581449,0.010986777,0.380100012,1.028150624,0.011247171,0.339700013,1.09143474,0.011720083,0.363999993,1.203890632,0.012251574,0.356900007,1.110189654,0.010920033,0.35589999,1.13206223,0.011010397,0.363200009,1.486275921,0.012777339,0.326299995,4.199837779,0.012143853,0.341300011,1.291534167,0.012240965,0.3583,1.175547181,0.012684321,0.380499989,1.136178819,0.01199054,0.330300003,1.047677891,0.010358836,0.373199999,1.038516274,0.01062506,0.339300007,1.063861375,0.010409288,0.356999993,1.064597537,0.009975616,0.361900002,1.065425001,0.011061137,0.310200006,1.077783259,0.011128129,0.363700002,1.079136346,0.010116188,0.36649999,1.068380586,0.011329377,0.351700008,1.111482311,0.010963254,0.327399999,1.172351561,0.010497261,0.320499986,1.253394725,0.011981161,0.337900013,1.230527086,0.0123802,0.378800005,1.153430067,0.01244106,0.380499989,1.134430179,0.01205663,0.378100008,1.019855139,0.010531052,0.383300006,1.134355021,0.01186112,0.358900011,1.034349329,0.012311929,0.370499998,1.032024251,0.010715273,0.352200001,1.04294626,0.012558033,0.368900001,1.031968269,0.01178689,0.368999988,1.068571474,0.01081443,0.360399991,1.080662435,0.011334242,0.318100005,1.044673904,0.013017519,0.372399986,1.077127508,0.01058851,0.357199997,1.087710104,0.010965512,0.325399995,1.127607046,0.011840776,0.3389,1.057510853,0.010394908,0.377799988,1.024611784,0.010966262,0.375400007,1.059740882,0.011104553,0.319499999,1.103901308,0.011245193,0.369599998,1.054755983,0.012182886,0.3222,1.069161058,0.011171199,0.362500012,1.209852168,0.011255486
7,0.377099991,1.124033432,0.010553248,0.376700014,4.939400786,0.019233024,0.366299987,1.069111622,0.012015774,0.360500008,1.073792635,0.011821218,0.371499985,1.033354297,0.014079681,0.382499993,1.1155177,0.010854363,0.352800012,1.063721318,0.011599937,0.352400005,1.162674267,0.012371413,0.3917,1.20642193,0.01413478,0.362300009,1.039646984,0.011728212,0.365099996,1.075267066,0.012497362,0.367500007,1.16571292,0.012859007,0.378500015,1.130977445,0.013932087,0.381799996,1.143772829,0.012281833,0.341100007,1.542978591,0.012978635,0.363200009,1.114648542,0.012155943,0.372700006,1.096923143,0.012346822,0.3926,1.152402646,0.012691161,0.343100011,1.072317085,0.011809387,0.370299995,4.778306808,0.013796712,0.353899986,1.05838713,0.013010389,0.367599994,1.050120566,0.011983351,0.36680001,1.141153067,0.01424847,0.335500002,1.069908924,0.011930935,0.366600007,1.077837045,0.011552201,0.368600011,1.076401061,0.011867751,0.34889999,1.071374686,0.011530929,0.339399993,1.059354506,0.011963872,0.328599989,1.088496822,0.011717109,0.359899998,1.106440414,0.011889356,0.39379999,1.074981995,0.012177466,0.381599993,1.090582669,0.011710057,0.38350001,1.183021267,0.01443754,0.391600013,1.153859112,0.01225102,0.367799997,1.081788703,0.013093923,0.379400015,1.26233671,0.013208243,0.348199993,1.141235159,0.012624157,0.368999988,1.10246831,0.012182035,0.387499988,1.132142801,0.012930605,0.357600003,1.096289815,0.01219598,0.327399999,1.06495355,0.011629421,0.391099989,1.089726752,0.014262205,0.367300004,1.052868372,0.010491614,0.343899995,1.045756989,0.011113221,0.335999995,1.348788138,0.010907694,0.3838,1.166437519,0.010664433,0.393000007,1.133188489,0.011900323,0.350800008,1.037706,0.011612311,0.388099998,1.053500864,0.012155225,0.337399989,1.030735322,0.010901575,0.377099991,1.124033432,0.010553248
8,0.388900012,1.143358617,0.013743723,0.378800005,1.191547374,0.012854533,0.367500007,1.037526079,0.010939638,0.372399986,1.057261465,0.011684895,0.376399994,1.241078836,0.013540451,0.384200007,1.091013899,0.012607526,0.365399987,1.070556148,0.012296812,0.371699989,1.148387842,0.012601797,0.39379999,1.150293991,0.012542749,0.3653,1.072337057,0.011361145,0.380899996,1.053056327,0.011426989,0.3759,1.133186415,0.012433005,0.381700009,1.06129841,0.012602787,0.389800012,1.084919657,0.01143754,0.347499996,1.104379335,0.012598114,0.368800014,1.113894416,0.012014543,0.383300006,1.088352197,0.011608399,0.396699995,1.076529049,0.012237313,0.356099993,1.131604543,0.011240123,0.378800005,1.133709372,0.011365185,0.353899986,1.153859483,0.011295972,0.380600005,4.500319318,0.011383991,0.379799992,1.075906773,0.012673148,0.360300004,1.057127227,0.011574589,0.381300002,1.030857427,0.011325207,0.380800009,1.072549894,0.011822548,0.361400008,1.110720237,0.013314637,0.346899986,1.034806163,0.011163483,0.346399993,1.165008898,0.013174208,0.368499994,1.143874611,0.012874201,0.402700007,1.119817456,0.013046102,0.393299997,1.067336378,0.013612646,0.395999998,1.128454914,0.01263952,0.395799994,1.303331931,0.013508072,0.378600001,1.166167772,0.015402019,0.392399997,1.129442579,0.011477832,0.350800008,1.333727157,0.014033523,0.382800013,1.238034372,0.013238473,0.403699994,1.094059054,0.012391185,0.383899987,1.107929993,0.013128695,0.336100012,1.052129969,0.015552933,0.397399992,1.07776481,0.011784784,0.385699987,1.143891972,0.01390321,0.357899994,1.051969021,0.013329418,0.332800001,1.141033537,0.012414513,0.378199995,1.101005791,0.01269685,0.382800013,1.206302322,0.012768139,0.374599993,1.312081848,0.012282598,0.390500009,4.804869139,0.010890534,0.345099986,1.118162063,0.013133813,0.388900012,1.143358617,0.013743723
9,0.395399988,1.105613165,0.010780346,0.385500014,1.170856783,0.012510608,0.375,1.076530352,0.011388052,0.372099996,1.045008664,0.012129493,0.381999999,1.159680436,0.014434658,0.394899994,1.097232645,0.010773695,0.369500011,4.261492054,0.012579713,0.378300011,1.106248353,0.012764494,0.399399996,1.202093651,0.013813039,0.374500006,1.205819751,0.014715224,0.382999986,1.05174729,0.011488003,0.375800014,1.092227434,0.011841185,0.385800004,1.067947398,0.012523222,0.397100002,1.117699897,0.011370156,0.360100001,1.139088272,0.011486845,0.378699988,1.055777825,0.012193839,0.387300014,1.054608853,0.012032058,0.404300004,1.096840424,0.011937502,0.375499994,1.114092812,0.011416523,0.392100006,1.180231261,0.011930707,0.371800005,1.151986142,0.010916148,0.382299989,1.132731357,0.010773205,0.386200011,1.065710169,0.012509791,0.3741,1.03637725,0.011564464,0.376599997,1.156142036,0.011255816,0.369300008,1.029615189,0.01097775,0.375400007,1.030910978,0.011302776,0.348500013,4.203909399,0.011017141,0.34040001,1.081787549,0.013363066,0.379400015,1.069482005,0.012987294,0.409099996,1.047306959,0.01150372,0.392100006,1.058451408,0.011414402,0.397399992,1.095777985,0.01184377,0.405800015,1.088213247,0.012140235,0.38350001,1.139467367,0.013479433,0.398900002,1.206655286,0.01129347,0.358700007,1.134665834,0.013147898,0.375800014,1.229903024,0.014069043,0.405800015,1.07777068,0.012225361,0.378399998,1.151776601,0.013297175,0.347799987,1.143230985,0.01178827,0.404799998,1.061243391,0.011194332,0.395900011,1.11627391,0.012291492,0.359499991,1.122326017,0.012071524,0.341399997,1.101898922,0.011032438,0.367300004,1.085012522,0.011549495,0.396600008,1.155519592,0.011389203,0.378100008,1.16228573,0.011112004,0.40079999,1.279013288,0.012487014,0.35769999,1.152897258,0.012467704,0.395399988,1.105613165,0.010780346
