Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.807699978,1.232206421,0.00744711,0.819199979,1.176381329,0.006495119,0.792800009,1.18204266,0.007428996,0.80400002,1.140859021,0.007710633,0.841499984,1.163444488,0.006999422,0.822700024,1.197948131,0.009125513,0.758300006,1.180334057,0.006786144,0.836600006,1.153573272,0.00620599,0.853500009,1.164106575,0.009468134,0.822300017,1.900623415,0.007163832,0.825500011,1.195078328,0.00638419,0.769400001,1.166008353,0.008510549,0.807099998,1.159881572,0.00710392,0.7773,1.192952605,0.0070326,0.837000012,1.167818143,0.006843806,0.828100026,1.197529685,0.006845656,0.830799997,1.968804436,0.009320036,0.838,1.979132896,0.006660271,0.83130002,1.160850139,0.006678714,0.805400014,1.158719635,0.006503712,0.821699977,1.195291851,0.008713092,0.83920002,1.181584985,0.006267519,0.859399974,1.157078773,0.007199738,0.821200013,1.161032311,0.007079785,0.77700001,1.174282414,0.006428054,0.833100021,1.206683344,0.007627422,0.835500002,1.260941429,0.007057572,0.838400006,1.183932182,0.007753331,0.847000003,1.346663438,0.007505637,0.819700003,1.248758437,0.008801915,0.780799985,1.257817528,0.007940739,0.832199991,1.264315736,0.00909258,0.850099981,1.185943013,0.007059446,0.84859997,1.458454906,0.009235098,0.828499973,1.228985932,0.010049813,0.830799997,1.165535346,0.006977264,0.824299991,1.464984928,0.009465548,0.821500003,1.311686318,0.007715983,0.832799971,1.16163306,0.006868666,0.832300007,1.248492118,0.008304561,0.814199984,1.228836881,0.006859241,0.857299984,1.160687708,0.006945843,0.793299973,1.212291713,0.009858964,0.840499997,1.249348813,0.008267703,0.827899992,1.268615709,0.007296457,0.836600006,1.213540601,0.006577977,0.834599972,1.215225403,0.009116693,0.81400001,1.185322426,0.006693108,0.818000019,1.172134479,0.008667048,0.844699979,1.30980417,0.007265436,0.807699978,1.232206421,0.00744711
1,0.871599972,1.214577705,0.007612771,0.867999971,1.17221639,0.006861057,0.888800025,1.204744084,0.006865597,0.865499973,1.20396842,0.008234637,0.875100017,3.070409616,0.006795931,0.897199988,1.361240367,0.006932157,0.851100028,1.175774586,0.006622829,0.870400012,1.203336366,0.005969618,0.890500009,1.163887725,0.006567602,0.882700026,1.171554677,0.006743411,0.878600001,1.241307586,0.006599722,0.850300014,1.187943589,0.00661392,0.88349998,1.161092615,0.009352921,0.872200012,1.182050301,0.008005893,0.890799999,1.142489752,0.006403025,0.888499975,1.217517979,0.006301993,0.887099981,1.218513113,0.006800983,0.887799978,1.14911043,0.006367632,0.873600006,1.141807396,0.00941286,0.854600012,1.163749255,0.00670972,0.871399999,1.153172373,0.007167022,0.867999971,1.159637028,0.006485778,0.889100015,1.177443225,0.006763466,0.88410002,1.166311174,0.006229201,0.861500025,1.183101696,0.007371765,0.903900027,1.167869914,0.008613934,0.879199982,1.274279289,0.006277303,0.878000021,1.144299247,0.007812516,0.903299987,1.231109499,0.006893578,0.878099978,1.162807033,0.007252051,0.890200019,1.218442554,0.007097768,0.903299987,1.199936308,0.007445023,0.880900025,1.209101189,0.007246845,0.89410001,1.156372082,0.007314789,0.85799998,1.15229717,0.008190548,0.886300027,1.149747596,0.007118652,0.824299991,1.173889995,0.007175006,0.879999995,1.149388468,0.007656381,0.897700012,1.168716296,0.006605885,0.872699976,1.174109122,0.00679272,0.883899987,1.152756694,0.006434105,0.895099998,1.17638886,0.006815776,0.858500004,1.164077083,0.006834474,0.878300011,1.188109718,0.009582492,0.893400013,1.149595785,0.006361058,0.881600022,3.227275158,0.006588018,0.878400028,1.16662715,0.006639187,0.870700002,1.156863142,0.00614604,0.863600016,1.166162818,0.008565394,0.872300029,1.194971523,0.006117542,0.871599972,1.214577705,0.007612771
2,0.883599997,1.245349285,0.007042764,0.894699991,1.2023311,0.006726792,0.904900014,1.178943568,0.007473208,0.895500004,1.16477622,0.008075023,0.900200009,1.215310823,0.006969702,0.91869998,1.395385139,0.00853658,0.882700026,1.193311647,0.006853369,0.890399992,1.182812258,0.007359861,0.900699973,1.292514799,0.008167769,0.91140002,1.150034454,0.006609633,0.910899997,1.196045906,0.007221724,0.890399992,1.213908812,0.007004967,0.912,1.184679858,0.007671478,0.898500025,1.17775204,0.007161168,0.915799975,1.205261041,0.007101281,0.91140002,1.196537983,0.009296663,0.9102,1.193356064,0.007351481,0.904299974,1.255512826,0.006414475,0.883300006,1.182952467,0.0068958,0.889400005,1.198346465,0.008605209,0.897499979,1.176607602,0.007242749,0.909600019,1.272706094,0.006556892,0.897599995,1.160288217,0.006795769,0.914900005,1.155205362,0.006361476,0.905399978,1.226958176,0.009510134,0.926699996,1.188370734,0.008347175,0.899699986,1.174300015,0.007210014,0.894900024,1.13883141,0.007340439,0.916100025,1.149206863,0.006244191,0.916199982,2.859014774,0.006441769,0.918200016,1.134588838,0.010135503,0.915600002,1.160213082,0.007348909,0.911800027,1.210982994,0.007093001,0.915700018,1.145842585,0.006666368,0.887199998,1.15355862,0.006176041,0.915000021,1.184080272,0.007197799,0.875699997,1.141311366,0.007334652,0.913500011,1.164332265,0.008404316,0.916299999,1.183648457,0.00836891,0.91109997,1.186302884,0.008050755,0.911599994,1.172760706,0.007273998,0.919099987,1.191001865,0.00782669,0.880100012,1.176219136,0.006946136,0.907299995,1.17248563,0.009674134,0.918900013,1.174373379,0.006738442,0.904399991,1.239864144,0.007727956,0.9023,1.167462841,0.008124345,0.912,1.164242247,0.006722328,0.90990001,1.147191105,0.011871118,0.885500014,1.148824644,0.006484878,0.883599997,1.245349285,0.007042764
3,0.896899998,1.149160439,0.007374923,0.905700028,1.220157911,0.007184631,0.91900003,1.157563229,0.007310481,0.912500024,1.182670215,0.007729101,0.915600002,3.212850899,0.00751776,0.924199998,1.170181881,0.007285753,0.917100012,1.155455613,0.008762664,0.909699976,1.245518437,0.009477744,0.917900026,1.247642437,0.006585749,0.926599979,1.164997422,0.006667834,0.9296,1.174011178,0.006157911,0.909500003,1.193520993,0.006913907,0.918799996,1.149497494,0.007463979,0.91960001,1.157403173,0.006355494,0.923399985,1.168104657,0.006664252,0.926400006,1.13599702,0.008120168,0.925999999,1.181046474,0.006780933,0.92110002,1.163940943,0.006019651,0.915000021,1.207041216,0.00780785,0.916700006,1.251216989,0.008993802,0.921599984,1.234001372,0.007520512,0.926100016,1.297451522,0.007481374,0.906899989,1.153025267,0.006947196,0.930100024,1.192909562,0.006194509,0.917800009,3.23811488,0.008289578,0.932500005,1.177768733,0.007470056,0.908200026,1.181021741,0.00618312,0.912500024,1.149774419,0.00729343,0.929799974,1.202503747,0.007360454,0.925599992,3.09970269,0.007156488,0.934000015,1.164893501,0.008167586,0.926299989,1.207657187,0.007371948,0.923699975,1.222995982,0.006865249,0.923500001,1.175465711,0.007576043,0.915000021,1.168160296,0.008136995,0.925599992,1.235241621,0.00711389,0.875699997,1.169127029,0.006419986,0.925999999,1.168876414,0.00696118,0.926400006,1.150671582,0.008692082,0.925300002,1.167485063,0.007094123,0.925899982,1.152731176,0.009385126,0.931500018,1.154109949,0.006626353,0.893599987,1.171767222,0.006741476,0.917800009,1.19884428,0.007175291,0.930499971,1.144747925,0.007138396,0.91930002,3.089125123,0.006559121,0.916800022,1.152243813,0.008065829,0.923099995,1.149222375,0.005933743,0.92809999,1.181306223,0.006359698,0.893299997,1.161538843,0.006459911,0.896899998,1.149160439,0.007374923
4,0.905700028,1.190730806,0.007463176,0.919099987,1.209420209,0.007791129,0.929499984,1.165707531,0.006371381,0.922299981,1.209860298,0.006551585,0.931200027,3.165638657,0.00799582,0.92869997,1.207372225,0.007821682,0.930899978,1.156625831,0.005976435,0.922299981,1.172477278,0.008393809,0.934000015,1.236309406,0.008044101,0.934400022,1.16118109,0.008448781,0.940999985,1.160461844,0.006981177,0.922800004,1.159627564,0.006831745,0.931299984,1.172880208,0.007305975,0.92809999,1.178011397,0.006951889,0.931400001,1.176070773,0.007196154,0.932200015,1.166928727,0.008916157,0.934499979,1.214055985,0.007658478,0.931800008,1.15255078,0.009635938,0.931500018,1.18755848,0.0108083,0.929400027,1.2680952,0.007341382,0.92809999,1.254974785,0.008024287,0.935299993,1.290099731,0.007573662,0.918900013,1.164458918,0.006916664,0.93779999,1.156079695,0.008088264,0.931599975,3.933413825,0.007571592,0.939899981,1.204160227,0.007316585,0.916199982,1.196899221,0.00663774,0.929799974,1.182782857,0.007961731,0.93779999,1.172568987,0.006169872,0.931500018,3.145116052,0.006292329,0.938799977,1.171611566,0.009501381,0.934599996,1.222729864,0.006446994,0.932900012,1.189512177,0.00690079,0.930299997,1.152376888,0.007004798,0.928600013,1.14526194,0.007263816,0.93629998,1.175255239,0.009529882,0.909699976,1.152993955,0.006925178,0.933300018,1.156537146,0.006654699,0.934800029,1.158386252,0.008737341,0.933499992,1.195157642,0.006830865,0.935400009,1.155699066,0.007899655,0.936999977,1.171126201,0.007114084,0.901899993,1.164839629,0.006856555,0.924300015,1.184828068,0.007796245,0.937600017,1.146158947,0.008213739,0.928799987,3.102941071,0.00646005,0.923500001,1.167398427,0.006611652,0.92750001,1.137858611,0.007076569,0.939599991,1.148381025,0.006422461,0.911199987,1.155390085,0.006882051,0.905700028,1.190730806,0.007463176
5,0.916000009,1.23456386,0.011666704,0.924499989,1.140980277,0.006829762,0.92900002,1.174318209,0.007146569,0.927299976,1.195145123,0.007753963,0.940800011,1.169764267,0.007151314,0.934099972,3.674406994,0.007532357,0.941100001,1.175652908,0.006846073,0.926699996,1.230160216,0.009400713,0.944000006,1.235512725,0.007441942,0.936699986,1.183790095,0.009549183,0.946500003,1.24734488,0.007465735,0.93599999,1.15196514,0.009023157,0.935000002,1.159881092,0.00733495,0.934099972,1.204096004,0.0079109,0.936800003,1.189739168,0.007163686,0.938300014,1.296770494,0.006766731,0.940199971,1.213677664,0.007707641,0.941500008,1.187120874,0.007073802,0.93900001,1.175522271,0.009541694,0.93779999,1.215472344,0.006565422,0.933300018,1.204485865,0.007184504,0.943899989,1.154008224,0.00638322,0.928600013,1.16816635,0.006523362,0.945900023,1.173187847,0.00619365,0.941999972,1.151932706,0.006555507,0.94569999,1.275413156,0.008288742,0.926500022,1.196740215,0.006514814,0.929400027,1.149940461,0.008728345,0.943400025,3.641218355,0.007759563,0.934599996,1.154335526,0.006688538,0.940900028,1.425001101,0.008013216,0.940699995,1.225786675,0.006817149,0.937099993,1.176617341,0.007201793,0.937300026,1.190177857,0.008080944,0.933899999,1.161282991,0.00682076,0.944299996,1.178284655,0.006970178,0.909699976,1.184818657,0.006365727,0.93690002,1.170310467,0.006863716,0.937600017,1.197500032,0.007558538,0.933899999,1.226703396,0.006841714,0.943700016,1.199635911,0.00630974,0.944100022,1.171397386,0.006796132,0.915199995,1.215623477,0.006998871,0.936200023,1.215673496,0.00862252,0.940299988,1.188621569,0.007533362,0.933700025,1.161619157,0.00685504,0.92750001,1.166990686,0.010023632,0.931500018,1.193376084,0.006081285,0.943799973,1.142521826,0.006507772,0.91960001,1.177101604,0.006496165,0.916000009,1.23456386,0.011666704
6,0.921700001,1.15324111,0.006428775,0.932600021,1.146491942,0.008091629,0.933000028,1.198364875,0.008549732,0.93599999,1.238219032,0.007542528,0.945900023,1.309892324,0.007302938,0.93809998,1.177756508,0.007179653,0.946399987,1.218093902,0.006755041,0.929199994,1.152688002,0.00643152,0.948700011,6.008048439,0.007598853,0.944299996,1.209173657,0.007374773,0.948599994,1.391036141,0.007772181,0.941399992,1.220934729,0.006449038,0.940299988,1.218792067,0.007123308,0.936800003,1.216380619,0.007551677,0.944800019,1.212662217,0.006967489,0.939300001,1.354028962,0.007049363,0.947099984,1.264289221,0.162852438,0.946399987,1.459507844,0.007463208,0.942700028,3.476773495,0.008508486,0.943199992,1.396472121,0.00700702,0.936500013,1.157627366,0.006899261,0.949899971,1.189652686,0.007549756,0.941500008,1.21119636,0.007070326,0.948800027,1.191661444,0.00679047,0.9472,1.16636626,0.006843443,0.94690001,1.730566311,0.008124064,0.934700012,1.236003097,0.006720027,0.934300005,1.161377435,0.00849699,0.948899984,1.137857869,0.006975386,0.943199992,1.153486377,0.00652802,0.94569999,3.68801504,0.007747236,0.945299983,1.239188483,0.008239968,0.942499995,1.240267674,0.007498422,0.941100001,1.173812704,0.007203604,0.939499974,1.167330972,0.006803922,0.946099997,1.256204205,0.008931477,0.922699988,1.1916066,0.007737698,0.941299975,1.169039271,0.007078754,0.940699995,1.18827506,0.006644704,0.936200023,1.188934405,0.009577555,0.950200021,1.240449598,0.008649897,0.947600007,1.218433675,0.009684125,0.930899978,1.192083574,0.007552667,0.940900028,1.188770915,0.008637977,0.942300022,1.171484605,0.006885151,0.940400004,1.154232352,0.021708493,0.929899991,1.175137625,0.008230892,0.937300026,2.172177899,0.006547329,0.949699998,1.181492704,0.008372983,0.932099998,1.171205277,0.007419983,0.921700001,1.15324111,0.006428775
7,0.92900002,1.145792538,0.006231606,0.935100019,1.16489323,0.006980048,0.933499992,1.267370296,0.007368557,0.9375,1.191543552,0.008200719,0.949000001,1.170230696,0.007588118,0.941399992,1.153123154,0.006866403,0.951099992,1.239265383,0.006649888,0.930400014,1.153398516,0.006999495,0.952000022,1.136355588,0.006274089,0.945100009,1.179059282,0.007290047,0.950999975,1.233888013,0.006846961,0.944199979,1.189892316,0.006844549,0.944400012,1.201708396,0.006815698,0.939400017,1.211959596,0.007103924,0.94749999,1.147767597,0.006781975,0.943499982,1.133563873,0.005771472,0.950900018,1.137797008,0.007426376,0.948700011,3.488463996,0.005981172,0.947600007,1.155382287,0.006660718,0.945100009,1.138944041,0.006249689,0.941299975,1.142677117,0.008974605,0.953599989,1.168377294,0.006430981,0.944500029,1.165629332,0.006425595,0.952300012,1.186825381,0.008314813,0.950200021,1.166342214,0.007092866,0.950800002,1.240887011,0.007711288,0.938799977,3.502263705,0.00650275,0.932600021,1.202077022,0.006922955,0.950800002,1.18331403,0.007797216,0.944400012,1.182248141,0.007167025,0.949599981,1.175027573,0.006643282,0.948800027,1.142814348,0.00730205,0.947600007,1.227804787,0.008609061,0.944400012,1.191402287,0.008138164,0.939800024,1.178730476,0.01089495,0.949699998,1.150591741,0.006468426,0.922699988,1.165075784,0.006339144,0.946399987,1.198901904,0.007422748,0.944899976,1.192745068,0.006378723,0.936200023,1.182829084,0.008452227,0.951600015,1.245552148,0.00686166,0.952700019,1.191695197,0.006822519,0.935299993,1.163854729,0.006864172,0.943899989,1.202128276,0.007130233,0.948099971,1.17944684,0.006527347,0.943300009,1.157527211,0.007361122,0.943199992,1.183600448,0.007114243,0.941299975,1.194062923,0.006923305,0.950999975,1.165201544,0.007840067,0.931100011,1.195223973,0.008817427,0.92900002,1.145792538,0.006231606
8,0.927200019,1.179550293,0.008262074,0.936699986,1.171424741,0.006915933,0.937600017,1.229528034,0.007773953,0.944500029,1.165601987,0.006808987,0.951099992,1.207498275,0.007302654,0.942700028,1.226753872,0.007407147,0.950200021,1.25387123,0.006303061,0.934099972,1.174000923,0.008645752,0.95450002,1.171574099,0.007211861,0.949800014,1.215072279,0.007371737,0.952400029,1.15613253,0.006281252,0.944999993,1.157312548,0.006345913,0.944800019,1.140143,0.006809931,0.942799985,1.166695714,0.010536528,0.949800014,1.185177271,0.00659743,0.947799981,1.191601449,0.006948738,0.952199996,1.184170271,0.007387081,0.952799976,1.152008556,0.00620226,0.949699998,1.158788404,0.007173218,0.946500003,1.165138193,0.007183173,0.944299996,1.154468373,0.00701898,0.955500007,1.165711044,0.006793125,0.949000001,1.20473961,0.006724804,0.953299999,1.189409074,0.007321757,0.954100013,1.179483936,0.006883685,0.951900005,1.161530415,0.006635962,0.939300001,1.167365904,0.007487727,0.935100019,1.198462408,0.007277709,0.952600002,1.174421055,0.006884271,0.94690001,1.165892515,0.007889162,0.950999975,1.18784474,0.007400099,0.950900018,1.153533295,0.006658037,0.949500024,1.159317238,0.006717601,0.947700024,1.175768972,0.006946237,0.942700028,1.186136383,0.006615218,0.952000022,1.149143821,0.006946331,0.929799974,1.158403262,0.00768242,0.946399987,1.198996296,0.006545188,0.9472,3.778572011,0.006313112,0.93900001,1.13226824,0.007104851,0.953400016,4.432563366,0.006515457,0.953299999,1.216313442,0.006663561,0.932299972,1.315964274,0.007094908,0.94599998,1.260004415,0.009201646,0.950100005,1.204941443,0.007946785,0.949199975,1.247343989,0.00930114,0.947000027,1.26275942,0.008443849,0.940400004,1.226309515,0.00691573,0.95539999,1.178661582,0.009386149,0.931599975,1.211734238,0.008743411,0.927200019,1.179550293,0.008262074
9,0.930400014,1.207238638,0.006348015,0.937699974,1.213015514,0.006285211,0.939499974,1.155877758,0.006587059,0.9454,1.151320227,0.00930625,0.954400003,1.258822429,0.008431921,0.944000006,1.19267293,0.007680655,0.948300004,1.151338149,0.006422485,0.936500013,1.18208488,0.006495075,0.952000022,1.180199233,0.006769893,0.950699985,1.163259906,0.006612143,0.9551,1.156039963,0.006227783,0.942300022,1.162476422,0.008369715,0.945299983,1.154947775,0.006887906,0.946799994,1.189656597,0.006474094,0.950500011,1.176657391,0.006403521,0.951200008,1.20847478,0.006061873,0.952400029,1.191774943,0.007054666,0.951499999,1.152936677,0.006119239,0.951799989,1.194669579,0.00657437,0.948000014,1.168196637,0.006051445,0.942300022,1.191028718,0.006391786,0.953800023,1.188061,0.007554095,0.952300012,1.145389315,0.005867921,0.952799976,3.872810274,0.008203773,0.950200021,1.332277023,0.006591456,0.949800014,1.154477495,0.007025906,0.936999977,1.182005284,0.005934939,0.936399996,1.218951624,0.007816231,0.953100026,1.172719542,0.00699996,0.9472,1.257271091,0.006855142,0.951799989,1.21483909,0.008913067,0.951499999,1.20041365,0.006411803,0.949199975,1.167847506,0.006900519,0.944100022,1.226247724,0.007335831,0.943000019,1.229178755,0.006892534,0.950399995,1.16093946,0.006562287,0.929799974,1.160498268,0.006417206,0.945100009,1.226060198,0.009228478,0.946799994,1.211055767,0.005859219,0.940599978,1.148461174,0.0069388,0.952400029,1.151787057,0.006374517,0.953800023,1.139248762,0.007700793,0.925199986,1.14030716,0.006219652,0.948700011,1.157474163,0.006430944,0.954299986,1.202169465,0.006134263,0.950299978,1.180813237,0.006142436,0.948000014,1.246211263,0.007025403,0.939999998,1.233077332,0.006983703,0.955600023,3.749620022,0.006645065,0.927999973,3.862535864,0.005993155,0.930400014,1.207238638,0.006348015
