Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.195912719,1.354155616,0.010105241,0.159380764,1.322086265,0.009167998,0.191725567,1.329212378,0.012795678,0.195874304,2.459132295,0.009133478,0.195874304,1.358159854,0.008401107,0.195874304,1.32668364,0.009066245,0.195874304,1.397826516,0.01057491,0.195874304,2.636139786,0.009803223,0.199293181,1.351605709,0.010035319,0.199216351,1.360479635,0.008761433,0.17977874,1.369385236,0.010831352,0.195874304,1.320453382,0.010653002,0.195720658,1.295031141,0.008278153,0.204709589,1.361425715,0.008498212,0.195874304,1.310316862,0.009039336,0.195874304,1.394735342,0.0100165,0.195874304,1.345793072,0.010433429,0.195874304,1.342309513,0.010388428,0.195874304,1.296751926,0.010622709,0.195874304,1.300989296,0.008409369,0.195874304,1.282448148,0.009087767,0.195874304,1.303700284,0.008407591,0.195874304,1.314344822,0.009547361,0.195874304,1.371972988,0.009562131,0.195951134,1.361889996,0.00986168,0.195835888,1.372315625,0.008494546,0.195874304,1.440080054,0.008372963,0.195874304,1.328422346,0.00894458,0.195874304,1.352652816,0.006493846,0.195874304,1.447775699,0.007115155,0.159380764,1.357435171,0.00815543,0.195874304,1.322306093,0.00902429,0.195874304,1.300111868,0.008707014,0.195874304,1.35723038,0.007715146,0.195912719,1.387446069,0.007261718,0.195874304,1.391788622,0.009406426,0.195874304,1.826823991,0.008490462,0.195874304,1.403899734,0.007124653,0.195874304,1.309696297,0.007444514,0.193108484,1.351036055,0.014032562,0.186232328,1.482435194,0.007406355,0.195874304,1.314560018,0.00858848,0.195874304,1.39534796,0.008366412,0.195874304,2.247913129,0.012279032,0.195874304,1.343149116,0.008387667,0.195874304,1.342413244,0.008244007,0.195874304,1.332224749,0.008873116,0.195874304,1.349053301,0.010007707,0.197141975,1.327800113,0.009054698,0.195874304,1.369939815,0.010421279,0.195912719,1.354155616,0.010105241
1,0.214159489,1.430640618,0.008565854,0.262830377,1.380762045,0.009795713,0.292486161,1.27008035,0.010388395,0.200445607,1.372829167,0.00762812,0.250153661,1.332501302,0.008997358,0.195874304,1.339096593,0.0119202,0.196181625,3.749366848,0.007324416,0.195951134,1.329624248,0.00800464,0.223378912,1.340287211,0.009642015,0.257529199,1.333725174,0.010174406,0.251459748,1.376309121,0.007912195,0.218961284,1.302438771,0.007350388,0.209626615,1.326387055,0.010969444,0.208858326,1.383053035,0.01532022,0.198332816,1.301732954,0.008629479,0.207283348,1.361058374,0.011524539,0.195874304,1.412212338,0.008828743,0.210318074,1.353920562,0.007065906,0.257068217,1.288272399,0.00888,0.210049167,1.345540729,0.007566868,0.199638903,1.304333763,0.008200588,0.195912719,1.349876263,0.008462886,0.196104795,1.339197892,0.007691716,0.228987396,1.291513966,0.00985794,0.249001235,1.36416796,0.007879257,0.247810394,1.284944945,0.014117184,0.195874304,1.310153175,0.007540356,0.238322064,1.338324029,0.008243158,0.196873084,1.300275067,0.007182052,0.212546095,1.28011929,0.00748936,0.278080821,1.309025046,0.009282228,0.213583276,1.285990152,0.008858729,0.253649354,1.299214593,0.010985605,0.196873084,1.32908324,0.011519717,0.244814068,1.44347072,0.007828571,0.217271045,1.338241358,0.008119321,0.195874304,1.483934612,0.011394896,0.195874304,3.422813596,0.011320654,0.202174246,1.29594586,0.00690526,0.225107566,1.295747156,0.008359537,0.282460064,1.325042412,0.012506577,0.195912719,3.588716822,0.011440621,0.210586965,1.31859937,0.010641824,0.195874304,1.311823625,0.00893288,0.216310695,1.521921227,0.009093508,0.20086816,1.40639625,0.007597839,0.196412101,1.433631345,0.010815013,0.261447459,1.31949439,0.010189624,0.207321763,1.354345078,0.007590959,0.20966503,1.49720537,0.008221813,0.214159489,1.430640618,0.008565854
2,0.379955441,1.356793066,0.009822165,0.380570054,1.480413822,0.011668547,0.372272581,1.348365283,0.009922118,0.339005828,1.284348888,0.009910133,0.342732012,1.366663947,0.010652124,0.365358025,1.33028083,0.013338267,0.368700057,1.263271132,0.007736886,0.382567614,1.528006613,0.010864808,0.387945592,1.452414038,0.010041877,0.378956676,1.282483701,0.013033236,0.401160121,1.315701462,0.010195754,0.31922251,1.298535539,0.007917804,0.347226501,1.408080624,0.01132273,0.360901982,1.377306636,0.010878953,0.378226787,1.418142731,0.008530258,0.373348176,1.311337089,0.008105149,0.29913184,1.34173449,0.009970297,0.352642894,1.326371716,0.009552928,0.371696383,1.321472527,0.008345763,0.367201895,1.323567828,0.007577064,0.349531353,1.34471506,0.00925243,0.344998449,1.34667988,0.007962292,0.362015992,1.2821838,0.008036194,0.38660112,1.351871835,0.007874371,0.376690239,1.369904139,0.010184764,0.37884143,1.292574955,0.010245658,0.399393052,1.289818185,0.009026413,0.405500919,1.336119334,0.009767702,0.392094344,1.299237604,0.00800772,0.407383233,1.32037884,0.010588877,0.329287022,1.360474075,0.011943147,0.392516911,1.28726672,0.008007574,0.38844499,1.338840548,0.010022724,0.371196985,1.341698487,0.009206233,0.389366925,1.347865287,0.00916125,0.387100488,1.31984489,0.010836564,0.195874304,1.283364347,0.008533014,0.319990784,3.83678079,0.009355956,0.402735084,1.333660656,0.009182591,0.360402584,1.308836666,0.007515522,0.366856188,1.287881963,0.009833046,0.35963431,1.296598547,0.008171055,0.406192392,1.282797647,0.009827967,0.356177002,1.304413662,0.008499559,0.33562538,1.432947988,0.009281911,0.345766753,1.335026744,0.011794152,0.338967413,1.499962185,0.012356058,0.30474031,1.396701531,0.007852932,0.371043324,1.621859339,0.009078811,0.369506747,4.033845557,0.010485921,0.379955441,1.356793066,0.009822165
3,0.507145047,1.327460122,0.010149065,0.478948981,1.324453842,0.01089641,0.442954838,1.297121976,0.007607711,0.468192995,1.29532245,0.010785311,0.49992317,1.394074446,0.008667033,0.495582372,1.313071847,0.009582608,0.49719575,1.287980018,0.006962769,0.521972954,1.318501417,0.007331614,0.488206834,1.292777157,0.009608605,0.510026097,1.263554527,0.010087022,0.490281194,1.299993614,0.007255259,0.432045162,1.338978763,0.008307102,0.499961585,1.318248051,0.010509983,0.4798325,1.304715502,0.008585623,0.490780592,1.312439162,0.009361642,0.471419781,1.30142449,0.008950442,0.488590956,1.294936627,0.009771755,0.478833735,1.343834974,0.008642803,0.49800247,1.451537689,0.00958688,0.480062991,1.421803703,0.008872473,0.453403503,1.467976853,0.009199615,0.499193311,1.379966846,0.007655045,0.469460666,1.318060544,0.007533198,0.512138903,4.360418604,0.008179763,0.488514125,1.528940021,0.007642468,0.497618318,1.381248062,0.0117357,0.490434855,1.31867377,0.007466832,0.512676716,1.435806189,0.010967078,0.497234166,1.381848703,0.010638192,0.505224347,1.343933305,0.00839609,0.479909331,1.325627643,0.008474426,0.524239421,1.390647907,0.010362963,0.476029515,1.335626294,0.007757514,0.496734798,1.39989777,0.011510676,0.501690209,1.357638523,0.010973619,0.476528883,1.351196303,0.01050405,0.195874304,1.479865471,0.007667516,0.477873385,1.27876238,0.024148426,0.511216938,1.299391406,0.008477498,0.445989549,1.34220657,0.008380287,0.484134912,1.33651373,0.01087063,0.470421016,1.305435057,0.009827526,0.508604765,1.296580999,0.013000429,0.468039334,1.331232573,0.008787415,0.485940367,1.402289172,0.0082753,0.465043038,1.363224975,0.009564747,0.464735717,4.071335277,0.012246316,0.453441918,1.353729059,0.009946649,0.479371548,4.240448972,0.008239283,0.482329428,1.273182584,0.007343597,0.507145047,1.327460122,0.010149065
4,0.592463136,1.557146377,0.010334316,0.564074993,1.378078838,0.00994488,0.535955727,1.295362552,0.00852127,0.547902584,1.36371765,0.010038134,0.610479414,4.240085722,0.00877175,0.568031669,1.60029327,0.010530625,0.568992019,1.334673833,0.009454456,0.589735687,1.427501619,0.007504803,0.547095895,1.299894458,0.011388914,0.594614327,1.299017593,0.009216254,0.553280592,1.332503191,0.009359621,0.540373385,1.49068557,0.010157754,0.58370465,1.32118247,0.008058816,0.553511083,1.526406566,0.010001767,0.583013237,1.322331285,0.007716164,0.564804852,1.391493005,0.009191447,0.573486507,1.362658055,0.009384691,0.563575625,1.2928318,0.009136518,0.595344186,1.405341259,0.012333802,0.587584496,1.338592907,0.007665516,0.545482457,1.459711891,0.008684201,0.573985875,1.465123862,0.00793877,0.54713428,1.291144359,0.007360497,0.604448378,1.336850652,0.006897353,0.582129657,1.300471348,0.00722027,0.574600518,1.370350158,0.010215675,0.56929934,1.41046873,0.00985792,0.599992335,1.26446705,0.008657204,0.568876743,1.434529492,0.009754999,0.583397329,3.993330516,0.009233626,0.543907523,1.40611271,0.008293983,0.593846023,1.35298079,0.008990017,0.56833899,1.304527892,0.007557654,0.597994804,1.262992652,0.007881698,0.581015646,1.270639548,0.00815003,0.573486507,1.318184194,0.008880456,0.355447143,1.274576622,0.010641628,0.559119523,1.320567042,0.008000203,0.587123513,1.293605722,0.007746123,0.588583291,1.326286877,0.009332393,0.563729227,1.315408841,0.009144898,0.563690841,1.332425289,0.009468371,0.587507665,1.337834999,0.008271688,0.561385989,1.419056809,0.012016477,0.573256016,1.285482976,0.009832586,0.55289644,4.582343407,0.008620671,0.57594502,1.333515485,0.008951782,0.548901379,1.327982063,0.0111149,0.568031669,1.278037713,0.009537797,0.534688056,1.31500773,0.010413358,0.592463136,1.557146377,0.010334316
5,0.640019953,1.410786502,0.010823289,0.614897072,1.25533893,0.008282985,0.615089118,1.337658159,0.009640431,0.61155498,1.357865289,0.009089727,0.658919811,1.2720555,0.007729915,0.636562705,1.368440778,0.007929346,0.632721245,1.372209181,0.007220446,0.6230793,3.991623918,0.007142837,0.616664112,1.346049859,0.010376191,0.641940713,1.298052704,0.009766734,0.600184381,1.440514248,0.007459262,0.608020902,1.309419206,0.007849114,0.644629657,1.301250735,0.007811398,0.599992335,1.357749673,0.010482708,0.644860148,1.336348296,0.007965961,0.627381682,1.588258601,0.008490012,0.640096784,1.423735293,0.009075031,0.59626615,1.30701792,0.010760754,0.648586333,1.429945294,0.008281094,0.637638271,1.341988527,0.007896273,0.61731714,3.965434798,0.00917038,0.619621992,1.285754114,0.007587326,0.609787941,1.274808718,0.01026246,0.648970485,1.293826416,0.006943931,0.630570054,1.253583671,0.007221373,0.623924375,1.449561763,0.009096473,0.62204212,1.49760051,0.008895268,0.654578984,1.281292101,0.008903748,0.619890928,4.117845242,0.010439205,0.646896124,1.347872713,0.009098987,0.594883204,1.604872982,0.008969174,0.650391817,1.412508341,0.00924279,0.642440081,1.303711028,0.007737534,0.652120471,1.301187127,0.012127921,0.624001205,1.31030867,0.008541294,0.621657968,1.329538972,0.009532914,0.355447143,1.323101355,0.010978396,0.607828856,1.287113508,0.008693619,0.640826702,1.339830783,0.00825632,0.64605099,1.37030021,0.010238511,0.614897072,1.348734817,0.008590709,0.604986191,1.29254108,0.008105141,0.655846655,1.313191951,0.008339763,0.625384152,1.363199873,0.008920612,0.622848809,1.258214737,0.007359042,0.616510451,1.323489004,0.007986788,0.646089435,1.331159213,0.009388129,0.613590956,1.279459693,0.008122564,0.616318405,1.308995499,0.007195653,0.606714785,2.419292726,0.00777519,0.640019953,1.410786502,0.010823289
6,0.679087281,1.289721411,0.007850133,0.644245565,1.304757956,0.007560471,0.658727705,1.354361273,0.009559832,0.6394822,1.526128194,0.008528432,0.68077749,1.314823438,0.009231952,0.674861729,1.292942173,0.007795026,0.654041171,1.397648962,0.007124491,0.657267988,1.31884942,0.007600855,0.655539334,1.296414162,0.009076323,0.676897645,1.339379995,0.009643659,0.640711427,1.388530665,0.010029927,0.656153977,1.378828634,0.00942348,0.68550247,1.457260434,0.010102808,0.647126615,1.460348229,0.007899074,0.678165317,1.257835123,0.008575769,0.666794717,1.264044454,0.007025966,0.660494804,4.213001309,0.010410802,0.62396282,1.444453611,0.010274014,0.67405498,1.252633298,0.007792073,0.664681911,1.24270587,0.006907243,0.661916077,1.286319904,0.007688057,0.64996928,1.339019726,0.009344125,0.643976629,1.350922444,0.00871494,0.67974031,1.31149085,0.009445306,0.666103244,1.293904791,0.009041065,0.669022739,1.360911623,0.010082427,0.660725236,1.513722319,0.007414422,0.686385989,1.331519183,0.008885431,0.652658284,1.476565608,0.006624368,0.676014125,1.268747384,0.006849551,0.636908412,1.262317571,0.008023321,0.671442866,4.244849827,0.009927089,0.672595263,1.426632471,0.007730987,0.674708068,1.34722318,0.009034719,0.66445142,1.314392887,0.00746025,0.66445142,1.35935198,0.010605602,0.484749526,1.292985657,0.008856819,0.648663163,1.339663821,0.009197821,0.676244617,1.424633439,0.010092882,0.677550733,1.426495492,0.008156112,0.66061002,1.390021007,0.007201166,0.643784583,1.391257372,0.00946035,0.680470169,1.367006021,0.007427546,0.6578058,1.312374847,0.009977897,0.653119266,1.310977281,0.008331731,0.652197301,1.271135812,0.007115684,0.676513493,1.280248083,0.007847696,0.652735114,1.337254738,0.007336677,0.65373385,1.338316433,0.008398692,0.654310107,1.281829159,0.009417869,0.679087281,1.289721411,0.007850133
7,0.69894743,1.304186304,0.008263628,0.675937295,1.293613618,0.007387693,0.684196353,1.731109184,0.007953225,0.66445142,4.025831575,0.010198662,0.697526097,1.333648066,0.009266219,0.692186534,1.280946638,0.009800104,0.674515963,1.337108126,0.009711319,0.675937295,1.31498153,0.006667248,0.675629973,1.260711837,0.009398359,0.690342665,1.420412603,0.008299192,0.670482457,1.283336465,0.007804762,0.672595263,1.285189088,0.007698607,0.699523687,1.275108963,0.007579974,0.663606346,1.276435857,0.008674596,0.704901636,1.285614442,0.007198015,0.687960982,1.307978506,0.009122454,0.690803647,1.29186898,0.008094368,0.644015074,1.266957526,0.008004091,0.702289462,1.271524098,0.009416772,0.680124462,1.258439898,0.007000062,0.668062389,1.324946866,0.00781516,0.672480047,1.306047304,0.010643414,0.668331265,1.440001409,0.007329972,0.693915188,1.366512213,0.006966734,0.673286736,1.3474562,0.008898363,0.697564542,1.303433493,0.009610738,0.688421965,1.278242249,0.00697965,0.7019822,1.400157819,0.010461502,0.667831898,1.292890144,0.006923155,0.694337726,1.389485924,0.008926737,0.650968015,1.276687335,0.00832279,0.693492651,1.263847002,0.008015984,0.696027994,1.260133624,0.007537612,0.702558398,1.290637267,0.008290875,0.687039018,1.293816056,0.008603915,0.686155498,1.270867723,0.009276654,0.484749526,1.328820961,0.008756007,0.666410565,1.427869857,0.007666034,0.695835888,1.361658269,0.007546964,0.697602928,4.275072635,0.00738239,0.674976945,1.398335208,0.009007928,0.677934825,1.376227052,0.01047823,0.694568217,1.381513982,0.010145195,0.677704334,1.415880419,0.00899189,0.676475108,1.331476705,0.00870482,0.672249556,1.318630004,0.00778117,0.68934387,1.360588222,0.009794135,0.672902584,1.384438944,0.007635913,0.6710971,1.333420325,0.009600008,0.672249556,1.350034873,0.008348283,0.69894743,1.304186304,0.008263628
8,0.710356474,1.325842074,0.009009518,0.690611541,1.553069895,0.0077799,0.697334051,1.255952341,0.007051369,0.680931151,1.26196278,0.009165597,0.701866925,1.340360167,0.00917372,0.710855842,1.371396683,0.009354975,0.689996898,1.259143228,0.007960008,0.692724347,1.336830201,0.007013738,0.692762733,1.300428005,0.009936072,0.69798708,1.270388331,0.00784459,0.683389664,1.324346124,0.006932633,0.685809791,1.273562457,0.008691218,0.710049152,1.273736545,0.007962729,0.674285471,1.322747611,0.00927659,0.716810107,1.355232547,0.00724423,0.692148149,1.335431638,0.00917862,0.696412086,1.290375818,0.007895197,0.664605081,1.309629382,0.008379305,0.716502786,1.347282436,0.007954916,0.686193943,1.306117781,0.006737524,0.676167786,1.313196053,0.008938626,0.685425639,1.358133757,0.00721972,0.674247086,1.236667912,0.007035648,0.702020586,1.256631207,0.006877848,0.685387194,1.35359807,0.008899479,0.695029199,1.26744908,0.008056911,0.696642578,1.309263647,0.008099342,0.71158576,1.373807343,0.007991854,0.680009246,1.366438872,0.00705059,0.705631554,1.313509164,0.00992904,0.658420384,1.322845441,0.009921264,0.703595579,1.303232156,0.007585472,0.717962503,1.299034682,0.007384778,0.713736951,1.348149581,0.007782849,0.703096211,1.336082658,0.008766642,0.694645047,1.277543312,0.00998508,0.58259064,1.275487272,0.008325785,0.6710971,1.377245115,0.00773433,0.712315619,1.282754824,0.007149389,0.703249872,1.262752791,0.007489154,0.695413351,1.289044411,0.007706781,0.686846972,1.278051157,0.008134061,0.701060236,1.273575558,0.007265233,0.68661648,1.249801566,0.007245552,0.688153028,1.451334307,0.009676038,0.68838352,1.484595788,0.008726411,0.697372437,1.384550453,0.010890158,0.68454212,1.525207964,0.007299304,0.667025208,4.232963285,0.009945412,0.690342665,4.655897009,0.007450316,0.710356474,1.325842074,0.009009518
9,0.723647833,1.47589054,0.008738061,0.720766723,1.27788601,0.008079319,0.723494172,1.300250061,0.007507036,0.702712059,1.290730521,0.01035474,0.727835,1.265778136,0.008788285,0.734864771,3.987752427,0.009316192,0.70870465,1.2849243,0.009355419,0.715043008,4.184032031,0.009639254,0.711432099,1.572802788,0.011155371,0.72495389,1.284783499,0.008064868,0.705285788,1.384056218,0.007154522,0.722034395,1.399687397,0.007423765,0.726759374,1.389911407,0.010496669,0.699792564,1.374876004,0.007946592,0.728833735,1.496653059,0.008876373,0.719806373,1.378289659,0.0074454,0.715772867,1.344838265,0.010534897,0.684004307,1.413659385,0.008998144,0.742778122,4.013681364,0.010688936,0.708397329,1.491119642,0.00748411,0.717309475,1.281792288,0.007452617,0.707206488,1.257297149,0.007377149,0.708512604,1.285657361,0.009195212,0.724646568,1.286152629,0.012544181,0.718692362,1.274446922,0.008023926,0.720113695,1.336396688,0.007924399,0.715580821,1.365352562,0.008261225,0.740703762,1.30974656,0.007969522,0.70478642,1.531005537,0.007522771,0.715619266,1.300768407,0.009924256,0.691495061,1.371653659,0.010735449,0.727835,1.440779034,0.008163619,0.739051938,1.427197384,0.007617704,0.735325754,1.29680558,0.00903768,0.723263681,1.324683842,0.00770963,0.728065431,1.319854653,0.010203118,0.58259064,1.279544986,0.009322713,0.706899226,1.415392833,0.008299659,0.727066696,1.286374956,0.008857243,0.724838674,1.308893769,0.008866035,0.715657651,1.317139435,0.007161248,0.703057766,1.281388767,0.007868848,0.729525208,1.316439354,0.007539267,0.71815455,1.31166436,0.010078829,0.701252282,1.289626118,0.009339156,0.70958817,1.250575796,0.007414523,0.718884468,1.266287712,0.008374508,0.715580821,1.300962738,0.006701883,0.709434569,1.3083595,0.008758747,0.706284583,1.282405856,0.009020106,0.723647833,1.47589054,0.008738061
