Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.62379998,1.19339852,0.007934035,0.636200011,1.188215927,0.007773638,0.611400008,1.200273193,0.008944322,0.578100026,1.209687388,0.007527911,0.624599993,1.179087353,0.007676004,0.657700002,1.2007671,0.007887755,0.630200028,1.182561856,0.009125164,0.670300007,1.192426209,0.007725387,0.658299983,2.228822717,0.007481068,0.662100017,1.199688771,0.008605661,0.589299977,1.306407583,0.007679202,0.636900008,1.172102253,0.008101886,0.618799984,1.17539774,0.008322365,0.649500012,1.174742898,0.011264031,0.619199991,1.178905933,0.006953934,0.640500009,1.19727168,0.008597473,0.581099987,1.213496159,0.007855067,0.652700007,1.164033832,0.008151042,0.573599994,1.171289904,0.007760977,0.656700015,1.161697312,0.007682986,0.629100025,1.159688126,0.008620053,0.597199976,1.148055832,0.006927148,0.655600011,1.178742055,0.007939368,0.620199978,1.171418676,0.00706153,0.658800006,1.16727694,0.007136557,0.592499971,1.539029815,0.00893341,0.647700012,1.266139193,0.009496825,0.616299987,1.161253778,0.009210664,0.619799972,1.253248721,0.00869462,0.591700017,1.276831559,0.007631163,0.604600012,1.257866248,0.008480711,0.6329,1.244246001,0.008048813,0.665099978,1.168260349,0.008046127,0.616599977,1.351960633,0.008580444,0.645799994,1.361030316,0.00993086,0.627399981,1.151916272,0.009174521,0.610599995,1.24755625,0.008567401,0.653800011,1.233292898,0.008154009,0.653299987,1.15955203,0.007326269,0.610199988,1.278063793,0.009442783,0.625999987,2.016845922,0.008470696,0.614600003,1.159836009,0.007731835,0.624899983,1.202437624,0.008044729,0.65140003,1.224681778,0.008185868,0.687399983,1.265154762,0.00820104,0.675499976,2.022622857,0.007560409,0.628799975,1.229531176,0.00811366,0.63499999,1.193741157,0.009245607,0.681800008,1.182307259,0.008942727,0.636300027,1.205508253,0.009080616,0.62379998,1.19339852,0.007934035
1,0.694800019,3.835532131,0.00742755,0.661000013,1.251670739,0.007924467,0.690199971,1.380949572,0.008372576,0.624899983,1.200481754,0.011182196,0.6972,1.166021144,0.009527999,0.698300004,1.154466073,0.00721606,0.656499982,1.220293364,0.00805134,0.707499981,1.165818123,0.008402064,0.670899987,3.960916217,0.008032875,0.708800018,1.207786077,0.008336174,0.68870002,1.236858761,0.008179561,0.700100005,1.176506305,0.008795946,0.658200026,1.196076936,0.009525202,0.672200024,1.247876961,0.009080804,0.665799975,1.192471171,0.008202929,0.669099987,1.227727919,0.009810343,0.646499991,1.227764686,0.009176265,0.689300001,1.189005703,0.009206313,0.693499982,1.190248781,0.008246443,0.703199983,3.330996072,0.008210025,0.664499998,1.251011292,0.010379805,0.648599982,1.226057432,0.009445532,0.70630002,1.184332997,0.009912863,0.650600016,1.211088391,0.009424751,0.675000012,1.263134351,0.010641863,0.648100019,1.23128683,0.008253699,0.676900029,1.232623432,0.008074129,0.654900014,1.175083149,0.009560854,0.704999983,1.153828296,0.00842258,0.642700016,1.136925054,0.007224863,0.659500003,1.236983904,0.009082343,0.67900002,1.257863867,0.008314985,0.710099995,1.182425976,0.007797169,0.657500029,1.154600175,0.007377628,0.700600028,1.17865732,0.007389307,0.639900029,1.209278183,0.009217258,0.680400014,1.158197315,0.008392003,0.681599975,1.161537521,0.007749715,0.718800008,1.236854057,0.007988869,0.680100024,1.201074873,0.009033477,0.647199988,1.142409199,0.010321914,0.682799995,1.238846864,0.009833587,0.655200005,1.141517186,0.008061532,0.70480001,1.145831051,0.008359363,0.709399998,1.155819799,0.007480337,0.697399974,1.142326447,0.008771269,0.645600021,1.172897408,0.007579027,0.682500005,1.18156752,0.008079513,0.661300004,1.202298799,0.007906203,0.686399996,1.179049525,0.008126413,0.694800019,3.835532131,0.00742755
2,0.712800026,1.221870023,0.008507374,0.709399998,1.182759359,0.00821559,0.718400002,1.243739622,0.008661231,0.666299999,1.149314431,0.007700956,0.692900002,1.206261279,0.00944511,0.708899975,1.162677151,0.009744233,0.716499984,1.226056849,0.008398263,0.724900007,1.173706047,0.007767846,0.683300018,1.139147533,0.008206404,0.710799992,1.222610826,0.008922495,0.724099994,1.157991753,0.007825083,0.721700013,1.165307692,0.007497954,0.674600005,1.178248464,0.008111093,0.684899986,1.145333929,0.008494315,0.696799994,1.164366731,0.007809,0.684199989,1.172986779,0.007884069,0.688499987,1.168442086,0.007624143,0.695599973,1.138480427,0.009850353,0.735599995,1.294737927,0.008926959,0.716099977,1.247810956,0.008188928,0.704100013,1.217168794,0.009770993,0.681599975,1.194150285,0.00801115,0.724300027,1.396838706,0.010076724,0.66170001,1.322415526,0.008468044,0.698700011,1.220471239,0.00774287,0.6954,1.178508412,0.008362981,0.710600019,1.16646378,0.008102997,0.694100022,1.237291031,0.007935954,0.733900011,1.163040968,0.009345199,0.694500029,1.168031753,0.008177534,0.706900001,1.164319318,0.008800683,0.711600006,1.205908058,0.008187054,0.731599987,1.195763122,0.008096882,0.702000022,1.177172318,0.007927265,0.712599993,1.178302247,0.008532299,0.709900022,1.187074426,0.00775764,0.713800013,1.171999006,0.008667755,0.698099971,1.174519168,0.010237866,0.731700003,1.153726238,0.007488589,0.697300017,1.193180575,0.009087117,0.670700014,1.233891189,0.009297992,0.700999975,4.229822411,0.008243478,0.670799971,1.249906824,0.008729174,0.699199975,1.478993456,0.009261728,0.718699992,1.180479423,0.008456271,0.739799976,1.157364085,0.008308891,0.680299997,1.204660034,0.009537234,0.714699984,1.250372975,0.008409428,0.734099984,1.401532652,0.008880654,0.721199989,1.226111826,0.010856952,0.712800026,1.221870023,0.008507374
3,0.740999997,1.254732129,0.007853152,0.734200001,1.26529831,0.00887301,0.734600008,1.188530308,0.008780513,0.710099995,1.15878388,0.007462982,0.701200008,1.147755724,0.009083258,0.705200016,1.250079216,0.008548184,0.721599996,1.178716304,0.007856939,0.743900001,1.263655907,0.008751782,0.708299994,1.241944741,0.008297988,0.728999972,1.15851604,0.007615505,0.740400016,1.179759958,0.007511146,0.739400029,1.155022725,0.008393375,0.698400021,1.187836554,0.008692222,0.697899997,1.142233756,0.008874835,0.727100015,1.223454241,0.008900687,0.700100005,1.205922006,0.007949248,0.712499976,1.164665086,0.007642305,0.726800025,1.296238845,0.008894432,0.746100008,1.211026716,0.007503164,0.727299988,1.181098231,0.009263823,0.7245,3.863547225,0.008626981,0.686999977,1.146019403,0.006903073,0.728900015,1.15075182,0.008345571,0.695100009,1.146117444,0.010273762,0.73180002,1.143281126,0.007757077,0.708199978,1.188440294,0.007346466,0.728999972,1.195119002,0.007781849,0.718299985,1.158577536,0.008395656,0.742600024,1.175738402,0.007484202,0.702700019,1.182185124,0.007879326,0.738799989,1.166214524,0.007301109,0.74119997,1.153099261,0.007766649,0.746200025,1.261386077,0.00863514,0.730400026,1.199097261,0.00853131,0.724900007,1.172197104,0.0076544,0.726300001,1.303222906,0.007697338,0.721599996,1.196744461,0.009063526,0.713800013,1.186047584,0.00994153,0.743300021,1.189022721,0.007689177,0.721300006,1.192975675,0.009388792,0.693300009,1.178194147,0.008252429,0.719699979,1.158046446,0.007368644,0.708899975,1.158326188,0.007651407,0.70450002,1.198138272,0.00795165,0.739300013,1.153024964,0.009034334,0.750800014,1.245336119,0.008579703,0.709100008,1.151997174,0.009378566,0.735199988,1.154416165,0.007442127,0.747600019,1.155730171,0.009827564,0.735800028,1.142076245,0.007489443,0.740999997,1.254732129,0.007853152
4,0.746599972,1.190523585,0.007468913,0.743600011,1.202313205,0.009063138,0.744599998,1.226471852,0.008042799,0.723500013,1.266808403,0.007640224,0.730000019,1.174844399,0.00876127,0.701099992,1.203874671,0.007687677,0.737299979,1.222767397,0.012295717,0.747699976,1.196033534,0.011141927,0.722100019,1.243731584,0.00845707,0.73360002,1.457413132,0.008055259,0.753300011,4.365187746,0.008174358,0.751999974,1.128512007,0.008355292,0.711399972,1.142331081,0.007314602,0.702799976,1.152950795,0.009246032,0.738300025,1.171230623,0.007913227,0.716300011,1.169144385,0.008618473,0.726300001,1.172089001,0.009218969,0.738600016,1.149231705,0.00762466,0.751999974,1.189643559,0.009336448,0.735899985,1.187677222,0.007954838,0.726800025,1.174857452,0.010307982,0.714900017,1.170702443,0.007900029,0.736100018,1.233652761,0.008519588,0.708700001,1.234366529,0.007982445,0.749300003,1.175993578,0.008320516,0.732900023,3.651582832,0.007576965,0.745400012,1.158371273,0.00777159,0.731899977,1.213219528,0.008429706,0.751299977,1.160938417,0.009227329,0.747300029,1.165411413,0.00942579,0.751299977,1.169266253,0.007620007,0.747099996,1.142545727,0.007552501,0.755999982,1.167437688,0.008037754,0.751699984,1.210581444,0.00829284,0.740199983,1.202689538,0.009354692,0.73269999,1.180948841,0.008263834,0.729300022,1.218487314,0.008860612,0.729300022,1.174208804,0.010744476,0.753000021,4.204535723,0.007406143,0.739400029,1.191218763,0.008802847,0.713100016,1.176809723,0.008310521,0.725899994,1.245503463,0.007724232,0.73150003,1.223036037,0.008541061,0.717999995,1.264042563,0.009032344,0.744199991,1.2052483,0.009838569,0.757200003,1.255177442,0.008923438,0.720000029,1.179173453,0.008786391,0.745700002,1.221398411,0.007464556,0.750100017,1.180454281,0.00907256,0.749499977,1.1952738,0.007588265,0.746599972,1.190523585,0.007468913
5,0.75059998,1.190154979,0.006693486,0.755100012,1.231139634,0.007310081,0.75059998,1.189557548,0.008927507,0.75819999,1.157319239,0.009295794,0.748199999,4.245928308,0.007583645,0.712899983,1.252946699,0.007174554,0.740999997,1.166912121,0.008725361,0.753799975,1.222244102,0.008013449,0.738699973,1.258123558,0.008499654,0.746200025,1.176440702,0.008806752,0.763899982,1.176505166,0.007883738,0.762199998,1.181942488,0.007719337,0.724399984,1.19006361,0.008252682,0.710200012,1.173095488,0.0084634,0.746699989,1.244159261,0.007201853,0.741400003,1.158132538,0.009955076,0.75120002,1.201685858,0.008489068,0.753199995,1.187723552,0.008978868,0.759599984,1.222123651,0.00833121,0.7403,1.245326424,0.009415666,0.732200027,1.276405623,0.008573579,0.722199976,1.140343338,0.006820259,0.747500002,1.278451475,0.007512625,0.725199997,1.178949049,0.007173378,0.758400023,1.15169029,0.006844229,0.749100029,1.174050479,0.007343649,0.748700023,1.205662261,0.008220479,0.743399978,1.160869869,0.007080726,0.759299994,1.184895007,0.0105661,0.751399994,1.211465645,0.007528383,0.75910002,1.313139702,0.00833708,0.752399981,1.202782241,0.008787481,0.760399997,1.288112105,0.008031283,0.763000011,1.230976984,0.008259167,0.748899996,1.248786447,0.008543886,0.736199975,1.370047144,0.00825472,0.74089998,1.158331305,0.00854305,0.740499973,1.153820256,0.008323916,0.761500001,1.162697984,0.007611694,0.73150003,1.152872098,0.00920362,0.738399982,1.167914278,0.00888011,0.737200022,1.154238328,0.009299871,0.744300008,1.163163385,0.007637076,0.721700013,1.14746715,0.007834604,0.749800026,1.219128797,0.007664649,0.765600026,1.220936002,0.008441244,0.735300004,1.134241397,0.007291899,0.748300016,1.146272018,0.008050307,0.755699992,1.160091016,0.008108689,0.756299973,1.164428953,0.007353154,0.75059998,1.190154979,0.006693486
6,0.76849997,1.205131951,0.008003163,0.761200011,1.183651539,0.008872693,0.753000021,1.289991349,0.009259133,0.770399988,1.204698776,0.008906339,0.759199977,1.175007848,0.009417699,0.722599983,1.192184748,0.008868668,0.750699997,1.221227108,0.008654512,0.75940001,1.162623123,0.00844683,0.739000022,1.161685194,0.008071304,0.753300011,1.195603958,0.009903921,0.76849997,4.171400271,0.00796009,0.766600013,1.143794838,0.00739494,0.734899998,1.150254008,0.007479786,0.729099989,1.159252213,0.008056635,0.753600001,1.145073487,0.007941328,0.753000021,1.171365441,0.008244485,0.760599971,1.158771385,0.008930802,0.762799978,1.136397472,0.008162302,0.764199972,1.170459098,0.008528962,0.74849999,1.267648305,0.008851047,0.746900022,1.248205738,0.008854958,0.736299992,1.178111596,0.00854188,0.762499988,1.401780095,0.01110551,0.75059998,1.427703667,0.008733162,0.764299989,1.20831428,0.007741004,0.763800025,3.88301142,0.008278308,0.756399989,1.136198126,0.008598386,0.762199998,1.223625315,0.008386749,0.767400026,1.190442312,0.009685914,0.761500001,1.145477729,0.009387276,0.756600022,1.176626402,0.008185857,0.765999973,1.144393953,0.007519674,0.766799986,1.16863501,0.007743492,0.768100023,1.148907777,0.009784899,0.754700005,1.151956202,0.008483669,0.744199991,1.207080436,0.008087785,0.747399986,1.184046808,0.009186123,0.750899971,1.173296225,0.008671036,0.76880002,3.977665307,0.007746731,0.731999993,1.2832811,0.009549448,0.744300008,1.254475319,0.009468532,0.75120002,1.265931784,0.007712411,0.756399989,1.231774492,0.007872688,0.728999972,1.288507006,0.008607689,0.754800022,1.19762513,0.008477345,0.773500025,1.165932852,0.009592347,0.745400012,1.236935499,0.009493444,0.752499998,1.208893832,0.008428409,0.762199998,1.270626628,0.009000333,0.765399992,1.184920178,0.010350665,0.76849997,1.205131951,0.008003163
7,0.76880002,1.201721405,0.008215216,0.772700012,3.716572325,0.007581599,0.764199972,1.16150069,0.008362927,0.774900019,1.185014076,0.006887806,0.766900003,1.134851179,0.007487148,0.737100005,1.21099668,0.007832607,0.753899992,1.148810529,0.008377105,0.761699975,1.199443524,0.007556286,0.754999995,1.261703155,0.007115994,0.763599992,1.148131847,0.008098366,0.771300018,1.183605843,0.007784531,0.771200001,1.199216847,0.008107399,0.759500027,1.192306843,0.008453957,0.740999997,1.201337494,0.00776191,0.759800017,1.185064936,0.007759669,0.765200019,1.204055452,0.008869441,0.76789999,1.300433847,0.00945077,0.767199993,1.234565132,0.00918142,0.768899977,1.248238241,0.009569298,0.756500006,1.379640277,0.008540553,0.761500001,1.163886806,0.008010012,0.75819999,1.157664356,0.007361531,0.76910001,1.204168942,0.009206374,0.759599984,1.198990972,0.008491329,0.773299992,1.156181788,0.008604028,0.776499987,1.210512779,0.007338481,0.765999973,1.21746315,0.007459414,0.769800007,1.195089181,0.007512548,0.772000015,1.235606288,0.008884445,0.764400005,1.290852248,0.00774885,0.763899982,1.208262625,0.009689678,0.772599995,1.367154456,0.008177716,0.771899998,1.199014367,0.008224269,0.778599977,1.538866599,0.008453528,0.761900008,1.230459559,0.008889581,0.74940002,1.228127881,0.007500655,0.755500019,1.145643527,0.008584044,0.755999982,1.167402367,0.007881446,0.777800024,1.173466072,0.008406719,0.738300025,1.202565253,0.008678354,0.756500006,1.213433591,0.008447006,0.753400028,1.248206705,0.008795029,0.766799986,1.147997523,0.007221765,0.741299987,1.182306023,0.007517924,0.762300014,3.677768658,0.008217363,0.778999984,1.242214126,0.007987076,0.751999974,1.124826625,0.008335403,0.765200019,1.150939055,0.006799838,0.766600013,1.149194901,0.007148874,0.768400013,1.140593129,0.00691717,0.76880002,1.201721405,0.008215216
8,0.775699973,1.16698649,0.008747518,0.782599986,1.186971848,0.008097583,0.772000015,1.140103555,0.008190303,0.78490001,1.156871247,0.00766625,0.772899985,1.232881573,0.008518215,0.747300029,1.202469679,0.007476731,0.75999999,1.219686388,0.009418285,0.769500017,1.227520626,0.007885864,0.753199995,1.211303835,0.00797648,0.771399975,1.369324863,0.007713723,0.776600003,1.144048808,0.007985275,0.773400009,1.142840379,0.007459181,0.763700008,1.148928318,0.007742188,0.756900012,1.14346052,0.008096297,0.768100023,1.189916008,0.007119755,0.775900006,1.232453507,0.008360638,0.775699973,1.164455993,0.008506116,0.772199988,1.169807848,0.00793204,0.772099972,1.243840457,0.007318269,0.767499983,1.1664174,0.008219263,0.765999973,1.292209615,0.009806246,0.764199972,1.190598537,0.008149747,0.773800015,1.132718868,0.007799593,0.770600021,1.207675201,0.009231322,0.780399978,1.170520377,0.007868276,0.78640002,1.136299186,0.006861671,0.768400013,1.133801615,0.006839487,0.774100006,1.230133319,0.007980185,0.778999984,1.147357495,0.00834623,0.777700007,1.156646904,0.007628746,0.764299989,1.140223086,0.010838137,0.778299987,1.141890194,0.008075753,0.779699981,1.159603779,0.007668543,0.782800019,1.166918261,0.008726263,0.762099981,1.200694458,0.007504679,0.753199995,1.20551739,0.007534036,0.7597,1.283490412,0.009180687,0.762899995,1.217903671,0.008653574,0.782899976,1.140571171,0.007429732,0.738399982,1.139409295,0.008097732,0.7579,1.261190207,0.008034368,0.772000015,1.139211451,0.006886914,0.773699999,1.236038209,0.007627599,0.75849998,1.226008278,0.007297334,0.773699999,1.171311009,0.008133505,0.783699989,1.180839301,0.008022391,0.75910002,1.188352374,0.008615511,0.770299971,1.190099986,0.008847933,0.772800028,1.208627525,0.007702727,0.773999989,1.279579353,0.007590467,0.775699973,1.16698649,0.008747518
9,0.780399978,1.158743691,0.007560114,0.787999988,1.151401368,0.007590421,0.776899993,1.218877886,0.008566591,0.780499995,1.418514037,0.007646756,0.784300029,1.195424108,0.008252123,0.762600005,1.143126083,0.007536517,0.765299976,1.18187311,0.008405517,0.775200009,1.1331157,0.007308083,0.757600009,1.142226521,0.008338382,0.777700007,1.166569594,0.008246934,0.779299974,1.215685393,0.008822797,0.780099988,1.210288778,0.009096154,0.771300018,1.220854889,0.007482689,0.772700012,1.239382838,0.007645045,0.775099993,1.151130134,0.006544715,0.779299974,4.427931714,0.007678011,0.780799985,1.260101745,0.007899221,0.776000023,3.99035112,0.008028758,0.777400017,1.164103263,0.007934553,0.771899998,1.142628172,0.007204298,0.77759999,1.168310105,0.008185363,0.769800007,1.196757793,0.007171851,0.778599977,1.201605732,0.008261703,0.774699986,1.18933284,0.007759865,0.78609997,1.186083554,0.007505438,0.790099978,1.286479795,0.007711783,0.775099993,1.271823681,0.008944598,0.779100001,1.195465744,0.007738262,0.7852,3.802584645,0.007721176,0.783800006,1.131632912,0.006669834,0.77640003,1.22618984,0.007381071,0.78640002,1.224119303,0.007917749,0.784799993,1.128889433,0.006789333,0.789200008,1.133338839,0.007259839,0.768400013,1.172908389,0.007680114,0.756500006,1.135783799,0.007243046,0.764500022,1.155430036,0.007711694,0.766600013,1.134913794,0.007637654,0.787400007,1.322267958,0.007246057,0.752799988,1.216940698,0.00808804,0.765699983,1.201356908,0.007451632,0.77759999,1.216049172,0.007580918,0.783200026,1.162747562,0.007454295,0.769900024,1.183456592,0.007384391,0.776199996,1.15092184,0.007755581,0.785700023,1.147759365,0.007643467,0.768100023,1.158083415,0.008113018,0.782700002,1.171241408,0.008350274,0.774299979,1.182454265,0.008105846,0.779799998,1.160558775,0.007816684,0.780399978,1.158743691,0.007560114
