Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.2271,1.383138516,0.017439255,0.200399995,1.386254794,0.019334517,0.256099999,1.392891079,0.020025243,0.217700005,1.38686259,0.017716668,0.247700006,1.415349303,0.020522752,0.27610001,1.383035776,0.017277332,0.237599999,1.378233476,0.018440342,0.237800002,1.389668133,0.019195911,0.267199993,1.381184267,0.018379537,0.214900002,1.946921315,0.017580057,0.234899998,1.405851701,0.017909689,0.253199995,1.357157214,0.018425869,0.2104,1.370645771,0.017838252,0.226600006,1.395961401,0.018915545,0.2042,1.394174086,0.018217787,0.276899993,1.415512602,0.020753938,0.264299989,1.393366033,0.018041547,0.28549999,1.448372941,0.017973863,0.222599998,1.386070336,0.020764767,0.225199997,1.413000946,0.018192383,0.252499998,1.384629399,0.018199275,0.291099995,1.371557112,0.018066725,0.216900006,1.41707665,0.020428934,0.225899994,1.39050058,0.017962607,0.213200003,2.095953737,0.018970875,0.25909999,1.369152535,0.016931805,0.286799997,1.717179607,0.016250518,0.270599991,1.374801199,0.017987818,0.238900006,1.395476712,0.016473659,0.290899992,1.377789201,0.016978023,0.260399997,1.380566639,0.016454294,0.281300008,1.393789873,0.016303295,0.229000002,1.374737458,0.017729707,0.241600007,1.368808376,0.016423307,0.189999998,1.36082593,0.016810391,0.251100004,1.391680737,0.017589189,0.265300006,1.752017363,0.019378991,0.201900005,1.385087268,0.016952508,0.278299987,1.384397521,0.019302432,0.258100003,1.36810619,0.019889785,0.289499998,1.392483076,0.017541455,0.246700004,1.382819952,0.019173471,0.2861,1.388087132,0.017358615,0.234300002,1.687102166,0.017533363,0.261500001,1.745858065,0.018147647,0.289799988,1.409874969,0.017481495,0.237299994,1.404030667,0.018252033,0.253199995,1.399421814,0.017944428,0.219600007,1.396437912,0.017668186,0.278200001,1.388122021,0.017684559,0.2271,1.383138516,0.017439255
1,0.323799998,1.378383182,0.017464818,0.322100013,1.375920388,0.019009784,0.303200006,1.399820846,0.01874199,0.299400002,1.396063319,0.0174763,0.326599985,1.394533163,0.022681644,0.351500005,1.387968891,0.018955307,0.302300006,1.393593322,0.018083909,0.304199994,1.391711175,0.017255613,0.280800015,1.350505132,0.01747022,0.321399987,1.400270854,0.017563047,0.312099993,1.436471954,0.017590775,0.310600013,2.929246251,0.017592096,0.285299987,1.383150348,0.017468182,0.322600007,1.379243002,0.060705726,0.306100011,1.373047517,0.017295024,0.308600008,1.381346848,0.0231375,0.312900007,1.796076828,0.017892387,0.323399991,1.380288551,0.01788494,0.289299995,1.339908517,0.017188957,0.261099994,1.366257365,0.017700643,0.323599994,1.375343636,0.016345527,0.295599997,1.364002089,0.016472354,0.3116,1.358492595,0.021182777,0.293300003,1.369987218,0.017524533,0.327100009,1.366052578,0.018755651,0.333400011,1.401140676,0.0201454,0.292299986,1.387381882,0.020157123,0.296999991,1.338315274,0.017395543,0.318300009,1.373939634,0.021738071,0.32069999,1.415659689,0.02068615,0.324400008,1.379859552,0.020334034,0.333600014,1.378695297,0.020364695,0.337000012,2.570211038,0.017787585,0.285400003,1.39038438,0.02124164,0.275000006,1.373935107,0.020498508,0.303499997,1.353129176,0.016681934,0.284500003,1.410760156,0.022444663,0.324699998,1.382111126,0.020864741,0.323199987,1.384628039,0.01785675,0.330300003,1.379989951,0.019358871,0.33829999,1.41756169,0.017737854,0.267500013,1.390996129,0.017845836,0.294,1.409461752,0.018602241,0.300700009,1.400162137,0.018219503,0.325100005,1.371333876,0.018642916,0.319999993,1.380866705,0.018122668,0.301899999,1.371231878,0.018029357,0.291500002,1.372556859,0.01815157,0.323000014,1.396256295,0.018204818,0.308999985,1.411583891,0.017541564,0.323799998,1.378383182,0.017464818
2,0.359100014,1.354737188,0.022325483,0.356999993,1.364025321,0.019059507,0.333299994,1.365779278,0.017247423,0.348100007,1.360945425,0.017220215,0.343199998,1.347897179,0.018842329,0.362699986,1.346635468,0.018748681,0.31279999,1.343523875,0.01736042,0.346700013,1.357745719,0.016992502,0.3213,1.352711721,0.017376236,0.369800001,1.360647473,0.019329363,0.346300006,1.367992356,0.018231129,0.340600014,1.37608982,0.019610379,0.324000001,1.443890211,0.017158289,0.366400003,2.623588019,0.018137146,0.357199997,2.643236398,0.017932799,0.351900011,1.325350417,0.020824824,0.350300014,1.35975107,0.018303866,0.351200014,1.426974622,0.017333471,0.314099997,2.969953179,0.016780352,0.319200009,1.374052475,0.017170934,0.358099997,1.326568082,0.016626312,0.341800004,1.34512228,0.017183026,0.349099994,1.355561296,0.019956575,0.336499989,1.357399793,0.017709932,0.361499995,1.366745627,0.016896392,0.369399995,1.362293838,0.017689236,0.321200013,1.361110082,0.017333255,0.351799995,1.342103038,0.017042937,0.322100013,1.346926275,0.017357486,0.355800003,1.358800701,0.017697898,0.351900011,1.369121024,0.020271186,0.344700009,1.37859282,0.016749856,0.363700002,1.35766586,0.017112602,0.316199988,1.349977931,0.016916862,0.346300006,1.346935095,0.016894227,0.347600013,1.348080391,0.016922611,0.342000008,1.397926137,0.019935573,0.359699994,1.375790915,0.017837885,0.361299992,1.371025121,0.016758958,0.358900011,2.575113718,0.021133972,0.372500002,1.397144875,0.020913757,0.312599987,1.395612458,0.016762967,0.337799996,1.36650353,0.018132784,0.330000013,1.323589227,0.018348179,0.32949999,1.37164934,0.018311728,0.365200013,1.369236557,0.01843562,0.32100001,1.368240406,0.019270623,0.328700006,1.34586669,0.01675492,0.341300011,1.416736754,0.018221033,0.353599995,1.348482915,0.019341148,0.359100014,1.354737188,0.022325483
3,0.39320001,3.201573933,0.017158019,0.396400005,1.362216286,0.017206055,0.376899987,1.383834167,0.018714938,0.379700005,1.362581796,0.019985471,0.369899988,1.358125979,0.026362739,0.381599993,1.389445802,0.017014044,0.33070001,1.417523578,0.020441039,0.368900001,1.395363599,0.017392496,0.361499995,1.401743504,0.017373829,0.380499989,1.352746761,0.018740408,0.378300011,1.381286637,0.021078608,0.373899996,1.341626675,0.017202545,0.333400011,1.353629475,0.016936953,0.388500005,1.37037448,0.022281791,0.375200003,1.418747697,0.016998252,0.371899992,1.39597265,0.029157992,0.381500006,1.374828521,0.01955467,0.363799989,1.341382101,0.017371502,0.354099989,1.411591083,0.017782595,0.349099994,1.345309504,0.016892713,0.384499997,1.435647145,0.016772824,0.360300004,1.376265668,0.016668887,0.368299991,1.350535523,0.018713183,0.35589999,1.37091895,0.01743137,0.380299985,2.600963543,0.016342476,0.39199999,1.382806393,0.017650366,0.369199991,1.401390901,0.017057692,0.374599993,1.362628283,0.016621303,0.338,1.353749524,0.016871318,0.3741,1.402631287,0.016874523,0.369599998,1.358724896,0.016654217,0.367199987,4.850636912,0.017266583,0.389099985,1.352240754,0.017006062,0.342599988,1.384770174,0.016976343,0.372599989,1.372097631,0.041433376,0.380499989,1.375433077,0.017798924,0.363900006,1.354750557,0.019588746,0.377700001,1.362975578,0.017333867,0.369700015,1.38335469,0.016933827,0.379900008,1.379234455,0.021024905,0.39230001,1.377938969,0.017452552,0.348199993,1.369649624,0.016171667,0.355300009,1.373149092,0.016984689,0.364399999,1.395699728,0.018155206,0.360900015,1.38768616,0.023572333,0.383899987,1.380727142,0.020197293,0.358399987,1.362729944,0.01869921,0.369100004,1.405674453,0.018581566,0.364600003,1.346355306,0.018576425,0.386200011,1.379198719,0.017330552,0.39320001,3.201573933,0.017158019
4,0.389299989,1.389012622,0.016533407,0.409299999,1.390568532,0.020550614,0.399300009,1.342441736,0.019247412,0.392399997,1.359304842,0.019747405,0.391299993,1.378512988,0.022145864,0.398000002,1.377386613,0.016894371,0.352600008,1.364028149,0.017761575,0.392399997,1.845831187,0.025378899,0.387400001,1.40764329,0.019285647,0.394499987,1.359942896,0.026048146,0.39230001,1.375933358,0.018551216,0.394600004,1.357387654,0.019713577,0.346500009,1.347930123,0.019446997,0.401800007,1.380092567,0.019226834,0.389200002,1.380704495,0.018446098,0.395099998,1.359102434,0.023646522,0.397000015,1.361678616,0.018061334,0.367199987,1.352460454,0.018652062,0.385399997,1.380962479,0.01811244,0.381399989,1.366100577,0.017765349,0.396699995,1.348765109,0.019641412,0.380400002,1.402352629,0.018942559,0.389200002,1.410995016,0.021299537,0.386900008,5.667940902,0.018200743,0.404900014,1.375404979,0.019378553,0.402999997,1.392286001,0.01744798,0.388099998,1.36931813,0.017199906,0.398099989,1.398301381,0.019551963,0.360799998,3.112441752,0.018997641,0.390500009,1.359292033,0.018686747,0.38440001,1.427272083,0.019351416,0.381500006,1.403837963,0.01762173,0.396200001,1.352947409,0.02227357,0.375400007,1.356658717,0.017358255,0.388700008,1.378583067,0.018886558,0.396499991,1.351145035,0.021995863,0.381799996,1.381179976,0.019231193,0.389699996,1.349172633,0.022429681,0.381700009,1.344817406,0.01945352,0.394499987,1.404532889,0.019727585,0.402500004,1.397390824,0.017081008,0.374000013,1.32916302,0.018421017,0.378399998,1.37248946,0.01766056,0.369800001,1.379166004,0.017280139,0.378500015,1.435169305,0.018048326,0.398799986,2.770805838,0.016763202,0.368499994,1.358916774,0.017199294,0.390199989,2.661356076,0.018479668,0.390199989,1.385776105,0.016842143,0.40290001,1.360544249,0.017248546,0.389299989,1.389012622,0.016533407
5,0.410400003,1.364026401,0.016653046,0.421099991,1.398435606,0.016573833,0.409000009,1.349749183,0.016819301,0.409299999,1.373414508,0.016565559,0.411000013,1.391537359,0.020952007,0.39379999,1.413552779,0.017464611,0.373800009,1.349416524,0.016671393,0.401600003,1.412751977,0.017831614,0.396299988,1.34000504,0.017345996,0.40079999,1.413691442,0.01615591,0.409999996,1.339497458,0.016909417,0.412900001,1.357339445,0.01640108,0.354999989,1.38329873,0.016951554,0.410400003,1.369124281,0.016124218,0.405800015,1.345891791,0.017147545,0.4023,1.37249635,0.018033406,0.414499998,1.389904566,0.016825744,0.399899989,1.339345622,0.016636565,0.397799999,1.409792253,0.02091911,0.389600009,1.362399183,0.018978262,0.405600011,1.389626378,0.019181598,0.383899987,1.405010746,0.019567709,0.391200006,2.859237099,0.027087404,0.393700004,1.387812744,0.019923439,0.411500007,1.369346901,0.019128444,0.408800006,1.404080857,0.019169496,0.3935,1.348196387,0.018110381,0.411000013,1.41192484,0.019855065,0.381399989,1.390719851,0.018288156,0.409200013,1.359857971,0.018790165,0.403299987,1.361264776,0.017963004,0.390500009,1.37324474,0.018334697,0.408600003,1.337065634,0.019118134,0.383300006,3.169765437,0.019188514,0.396299988,1.398433569,0.020390856,0.410699993,1.376398641,0.025838046,0.403400004,1.365794776,0.031771434,0.403200001,1.364703556,0.018758109,0.396899998,1.360707297,0.016342915,0.414400011,1.3492086,0.025427195,0.414499998,1.378280727,0.017674,0.388200015,1.343908287,0.01696239,0.393999994,1.354686501,0.018090689,0.3829,1.351456669,0.016845121,0.40110001,1.387951397,0.019899826,0.417199999,1.404494217,0.019392512,0.37560001,1.383108839,0.01710289,0.394199997,1.375492075,0.017058299,0.40169999,1.36049641,0.016479251,0.416099995,1.398803004,0.017493292,0.410400003,1.364026401,0.016653046
6,0.420899987,1.376110394,0.016981237,0.430799991,1.385451184,0.019061598,0.427100003,1.376285456,0.016364312,0.425999999,1.34617243,0.016605457,0.419200003,1.388132144,0.030475938,0.417299986,1.383582401,0.016931116,0.393000007,4.094006943,0.017125164,0.412600011,1.372441178,0.019175783,0.41049999,1.372644666,0.020574978,0.417499989,1.406596663,0.01860536,0.423099995,1.358693116,0.017943254,0.422399998,1.343345597,0.018298666,0.381399989,1.427443827,0.021478188,0.421999991,1.375194865,0.01721015,0.418099999,1.368963703,0.017844357,0.426999986,1.430064427,0.021179108,0.417699993,1.360187188,0.017512271,0.413199991,1.352300839,0.018674788,0.404100001,1.369992761,0.024143648,0.399100006,1.379862054,0.024441764,0.417600006,1.412904969,0.024217813,0.406199992,1.345955356,0.024930248,0.40169999,1.378906855,0.036899189,0.407900006,1.394908961,0.024043943,0.413300008,1.362451696,0.025367404,0.41960001,1.377617029,0.018769123,0.415499985,1.346223072,0.017877726,0.421900004,1.368013491,0.024124419,0.399899989,1.413261104,0.01950121,0.417400002,1.422362524,0.018747787,0.408600003,1.353184674,0.018885847,0.40990001,1.355062275,0.019404275,0.407000005,1.391538734,0.02508529,0.400299996,1.399978858,0.018914141,0.410899997,3.087427577,0.018071488,0.421700001,1.351911867,0.026179649,0.410899997,1.363034678,0.021261811,0.412999988,1.362227912,0.018662089,0.396499991,1.32592072,0.017942601,0.427100003,1.355450607,0.018781451,0.4208,1.359726045,0.017002051,0.414000005,3.78983776,0.018128973,0.399599999,1.431667638,0.016493081,0.401800007,1.391646494,0.071456036,0.416999996,1.407553583,0.016526323,0.425700009,1.385787046,0.016826908,0.400400013,1.405207594,0.018529711,0.410699993,1.404411929,0.016595048,0.41139999,1.404160421,0.018542414,0.423099995,2.990838211,0.016499721,0.420899987,1.376110394,0.016981237
7,0.430099994,1.393780379,0.017859635,0.441300005,1.41716992,0.016880592,0.433200002,1.353054023,0.018923149,0.426600009,1.387110506,0.016537771,0.434399992,1.378999107,0.024417913,0.426200002,1.380950633,0.016863189,0.405699998,2.923673357,0.016889371,0.420399994,1.3905666,0.017292951,0.419,1.363835133,0.017761371,0.429699987,1.380904185,0.018214379,0.436800003,1.349128454,0.016304635,0.433099985,1.333915996,0.017719066,0.400999993,1.364298488,0.017596542,0.425999999,1.38871336,0.017956756,0.421400011,1.372852504,0.023342325,0.437700003,1.368477755,0.018927967,0.428799987,1.380664847,0.017090833,0.426099986,1.347341115,0.017261255,0.408399999,1.337128892,0.017449841,0.401300013,1.363604918,0.018160595,0.424400002,1.371399435,0.018151726,0.412900001,1.377569111,0.018425405,0.41080001,1.402797489,0.020970915,0.416399986,1.424243193,0.021551982,0.426200002,1.455882704,0.019289783,0.4278,1.388510664,0.018365586,0.415399998,1.35175115,0.019261244,0.433600008,2.027794373,0.086452973,0.411599994,1.375163595,0.017658897,0.424600005,1.393059222,0.018193823,0.42019999,1.373293803,0.017470826,0.418799996,1.39231589,0.018419444,0.414200008,1.353144979,0.017551342,0.404599994,1.376468985,0.018059988,0.414700001,1.37602185,0.017663604,0.426200002,1.384140431,0.018374394,0.416700006,1.361867529,0.022124431,0.42809999,3.052621466,0.018971434,0.406800002,1.375150905,0.016528827,0.429800004,1.401349558,0.023095682,0.434599996,1.350322578,0.018945559,0.430700004,1.436197226,0.016646289,0.404300004,1.341994687,0.016697731,0.413700014,1.351893635,0.017884094,0.423799992,1.413952414,0.019343663,0.432200015,1.381694235,0.018181276,0.404300004,1.372355245,0.019717686,0.42019999,1.399213406,0.016340746,0.428200006,1.381854164,0.016260224,0.437400013,2.94097301,0.016541149,0.430099994,1.393780379,0.017859635
8,0.435200006,1.360586117,0.021111035,0.449600011,1.419970599,0.017116011,0.451000005,1.360774421,0.016440492,0.433999985,1.364479566,0.016314863,0.441700011,1.371314073,0.019124491,0.425300002,1.347655695,0.018465481,0.416500002,1.408715075,0.018063489,0.438600004,1.339223797,0.016751725,0.420300007,1.364144791,0.01652079,0.442699999,1.391962846,0.017557594,0.449600011,1.330523759,0.016862518,0.441700011,1.334831156,0.016105295,0.414600015,1.3893867,0.018110458,0.43720001,1.374570532,0.017657477,0.430000007,1.35534376,0.017106625,0.444700003,1.385450566,0.023711271,0.439300001,1.376878528,0.017632885,0.4384,1.365810848,0.017595171,0.411500007,1.395523399,0.017434645,0.399300009,1.354850703,0.016686121,0.433999985,1.372199181,0.018760918,0.421400011,1.47495143,0.017434787,0.416900009,1.362021267,0.019454782,0.426600009,1.358069789,0.016770034,0.437299997,1.404014907,0.018632716,0.432000011,1.359332743,0.016886019,0.419,1.375876684,0.016756996,0.446999997,1.39097013,0.017384152,0.420300007,1.438349713,0.018265228,0.435699999,1.393118702,0.017989466,0.429399997,1.371915576,0.016767442,0.42719999,1.398132532,0.016850702,0.4296,1.36441045,0.01733494,0.417800009,1.363718235,0.017035643,0.423599988,1.36400186,0.017534575,0.432099998,1.365266249,0.017126995,0.431199998,1.345011734,0.019627509,0.433200002,1.40733652,0.018151507,0.418300003,2.852894425,0.016838751,0.443100005,1.39991291,0.029807184,0.441500008,1.385070156,0.019713811,0.437999994,1.452950685,0.016617454,0.412600011,5.528984189,0.019425078,0.421900004,1.37611774,0.022873148,0.435499996,1.371502409,0.020618913,0.4463,1.348696031,0.018552953,0.41960001,1.404142936,0.018632003,0.42750001,1.372533684,0.017287468,0.429399997,1.407443682,0.016640083,0.435099989,1.411282712,0.019225312,0.435200006,1.360586117,0.021111035
9,0.441500008,1.370666511,0.018291274,0.453500003,1.358361589,0.016655409,0.461400002,1.377964666,0.018145697,0.436100006,1.400185429,0.017800189,0.447400004,1.420434287,0.021221114,0.439399987,1.406927351,0.016917797,0.427100003,1.379399548,0.017598025,0.442799985,1.343408597,0.016469654,0.428299993,1.341126692,0.016972954,0.448500007,1.415574288,0.017483717,0.456499994,1.467818861,0.017442993,0.444400012,1.356232176,0.017627432,0.423700005,1.387050245,0.017524661,0.443899989,1.360481591,0.050576523,0.435699999,1.346873833,0.020351878,0.444799989,1.364200146,0.020646205,0.448599994,1.368854688,0.017633859,0.439500004,1.357331709,0.01858636,0.4199,1.366623531,0.02161378,0.402200013,1.399979922,0.018584357,0.44690001,1.394387838,0.018164269,0.433099985,1.389757994,0.017888738,0.417600006,1.425073562,0.032618389,0.43900001,1.401355889,0.018753553,0.448300004,1.389061995,0.017857337,0.435799986,1.388471084,0.016943696,0.441100001,1.375382275,0.016475831,0.453500003,1.389739181,0.018211049,0.431100011,1.356074079,0.01682636,0.455900013,1.410981288,0.01669884,0.442400008,1.35198537,0.016402957,0.431600004,1.374085543,0.016559239,0.431100011,1.336138283,0.018371184,0.426699996,1.406504166,0.017913295,0.425999999,1.37845148,0.016702706,0.446999997,1.365169451,0.018097484,0.448199987,1.349999462,0.017599563,0.441700011,1.378245118,0.016548246,0.434599996,2.999606898,0.01688964,0.441000015,1.374357618,0.020643359,0.448199987,1.360555434,0.017725099,0.445499986,1.402167041,0.017105962,0.411199987,3.275230676,0.017274354,0.4296,1.378471538,0.016708991,0.445199996,1.369051536,0.01728481,0.447600007,1.372354768,0.017821882,0.43810001,1.40083121,0.017353631,0.434500009,1.37308791,0.016770219,0.43779999,1.397792455,0.016659477,0.447400004,1.388802683,0.017391049,0.441500008,1.370666511,0.018291274
