Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.847599983,1.579777851,0.014297674,0.872099996,1.539890683,0.013491438,0.873600006,1.568427825,0.013546989,0.888899982,1.557321157,0.013536,0.848100007,1.563992465,0.016981289,0.86650002,1.556234475,0.013625965,0.84859997,1.561724211,0.014083485,0.837199986,1.565926766,0.013821878,0.875800014,1.556365833,0.013582957,0.887099981,1.58329177,0.015920845,0.894800007,1.578030303,0.013900966,0.889100015,2.330860813,0.01354818,0.891700029,1.591035796,0.01611719,0.896700025,2.082088894,0.013126059,0.897700012,1.554588018,0.015084194,0.900699973,1.600779459,0.016436252,0.887499988,1.562364682,0.013362041,0.866400003,1.559846863,0.013379845,0.895600021,1.547407213,0.014386974,0.883300006,2.756552789,0.013695423,0.867600024,1.552590544,0.015110842,0.897099972,1.533397092,0.014223259,0.885299981,1.549605449,0.01600417,0.894599974,1.538146947,0.013968492,0.9023,1.540917118,0.013944241,0.895299971,1.612432841,0.014242569,0.878199995,1.613646002,0.015346536,0.829999983,1.552564804,0.013896189,0.875899971,1.637367083,0.014334863,0.862600029,1.58912268,0.014936036,0.848100007,1.560251679,0.014592489,0.898699999,3.936058287,0.014488826,0.899500012,1.569888352,0.013724513,0.892099977,1.629226845,0.01529888,0.872500002,1.594018039,0.014445375,0.885599971,1.544046072,0.014510975,0.851100028,1.613507413,0.054594173,0.862699986,1.629896332,0.014601985,0.884199977,1.56001928,0.013837745,0.894299984,1.633878641,0.052966127,0.865400016,1.613003577,0.01410454,0.889999986,1.545110336,0.013546532,0.881399989,1.571138699,0.014142044,0.89349997,1.589263535,0.013419335,0.894299984,2.076247368,0.013600143,0.856999993,1.560369234,0.013649809,0.883000016,1.557587021,0.013690207,0.870899975,2.158063503,0.013550715,0.885399997,1.560957174,0.013658836,0.887399971,1.564196408,0.013931818,0.847599983,1.579777851,0.014297674
1,0.895699978,1.499312133,0.013911407,0.912899971,1.543603571,0.014222184,0.914399981,1.573843356,0.013607567,0.924700022,1.575445476,0.013783731,0.913200021,1.571622153,0.015497664,0.917299986,1.544471405,0.014254163,0.908599973,1.600020998,0.013697667,0.911300004,1.526387382,0.013836232,0.925899982,1.562838165,0.013851829,0.925400019,1.570566413,0.014054014,0.926199973,1.606621951,0.014285618,0.924300015,1.603167479,0.014515798,0.925800025,1.581213421,0.014568923,0.911800027,1.575910771,0.013952668,0.914300025,1.576997296,0.014325563,0.91900003,4.855376018,0.017267724,0.923799992,1.596626103,0.013514598,0.91869998,1.583024836,0.014334713,0.925599992,1.565243751,0.01468819,0.914499998,1.629780957,0.015179905,0.90109998,3.272563608,0.014996807,0.930499971,1.555036981,0.014676794,0.913900018,1.55204743,0.015848813,0.936399996,1.58020491,0.014993032,0.918600023,1.549066955,0.015245485,0.929199994,1.612341373,0.014543683,0.909799993,1.635815122,0.013339107,0.892799973,1.567920276,0.014927313,0.897300005,1.541980265,0.013469518,0.914099991,1.552885727,0.013881813,0.900200009,1.542650779,0.013465784,0.935899973,1.532978007,0.013336471,0.926100016,1.558895222,0.016270845,0.926100016,1.53783822,0.014136214,0.916199982,1.555604656,0.013366764,0.906400025,1.585645443,0.015046026,0.891799986,1.542632619,0.014523535,0.914300025,1.584719574,0.013525064,0.91900003,1.601543219,0.014091083,0.917400002,1.573533501,0.01810347,0.916800022,1.612168171,0.014084186,0.926199973,1.561386584,0.014538405,0.928499997,1.603569234,0.014259776,0.915700018,1.550252105,0.014398698,0.927999973,1.560523576,0.016046574,0.899800003,1.584043687,0.013886625,0.907100022,1.557454855,0.013868661,0.920000017,1.587526266,0.014288844,0.920700014,1.553026735,0.014275581,0.925999999,1.605048573,0.024470192,0.895699978,1.499312133,0.013911407
2,0.931299984,2.291233461,0.019274782,0.937300026,1.536671075,0.014316807,0.932299972,1.586584022,0.014076515,0.943000019,1.598232411,0.014187544,0.92839998,1.560598287,0.015515195,0.933799982,1.53480639,0.014344548,0.922699988,1.576016862,0.014249776,0.931500018,1.529386233,0.01513282,0.944199979,3.398451622,0.016308437,0.940299988,1.550733191,0.013717139,0.936100006,1.596382182,0.013604133,0.940699995,1.617520048,0.014556474,0.940699995,1.623013934,0.014424259,0.932900012,1.613351784,0.01408361,0.922500014,1.611931791,0.015837086,0.93870002,1.535119279,0.016914777,0.942799985,1.608684257,0.014132053,0.93629998,1.591111203,0.01491779,0.935500026,3.342949636,0.016049359,0.93900001,1.563421384,0.014438513,0.91869998,1.566545738,0.014080645,0.939899981,1.560172434,0.014371066,0.926100016,1.584270811,0.017674712,0.943000019,1.551780968,0.016589517,0.930100024,1.541458548,0.013886713,0.941200018,1.568341552,0.024589085,0.935400009,3.191396032,0.013630304,0.917900026,1.571731485,0.015059526,0.917699993,1.612969181,0.014288744,0.92930001,1.558613953,0.014220388,0.926800013,1.579742864,0.01336507,0.943000019,1.56282626,0.013730485,0.941600025,1.613446058,0.015267162,0.940500021,1.528354955,0.013451687,0.925700009,1.576873224,0.01457078,0.933499992,1.556364544,0.014139565,0.923099995,1.551300358,0.017363486,0.920099974,1.544599564,0.014935863,0.929700017,1.587342393,0.014844657,0.932099998,1.534932159,0.016884015,0.934599996,1.551590976,0.015308196,0.939899981,1.561632822,0.014326789,0.935400009,1.541625609,0.014314362,0.933000028,1.566066802,0.014387147,0.942600012,1.555074774,0.014309239,0.92930001,1.574263014,0.014309451,0.912599981,1.568410258,0.014180876,0.92869997,1.765139901,0.014252453,0.941299975,1.554263408,0.014174157,0.942099988,1.534340176,0.014998024,0.931299984,2.291233461,0.019274782
3,0.94749999,1.547010752,0.014735557,0.944400012,1.566448056,0.025673611,0.940599978,1.535915991,0.015197958,0.949699998,1.56262775,0.016562861,0.944700003,1.557854827,0.015432163,0.944700003,1.555497003,0.014424908,0.939100027,1.533350328,0.015796689,0.942399979,1.545279095,0.013794761,0.947899997,1.527907429,0.01393864,0.945299983,1.53866059,0.014746767,0.944100022,1.569533297,0.015493864,0.94749999,1.593403657,0.013813232,0.946699977,1.569528507,0.013974692,0.939400017,1.556163897,0.01606263,0.936100006,1.653495028,0.014080262,0.943799973,1.549780951,0.016898328,0.951300025,3.330407,0.015307209,0.943499982,1.618243525,0.0151691,0.943199992,3.252189793,0.013694619,0.940599978,1.591806136,0.014556316,0.9296,1.546250767,0.013885639,0.944700003,1.545925556,0.014031477,0.937399983,1.568618322,0.017009467,0.947600007,1.552183665,0.014175644,0.943899989,1.543073564,0.014490547,0.948599994,1.578389711,0.014174686,0.944800019,3.26608072,0.014008138,0.923399985,1.548063852,0.014339038,0.939700007,1.576733308,0.014353062,0.939499974,1.555632895,0.014196087,0.938499987,1.552622928,0.014187296,0.94690001,1.539052967,0.01541927,0.950999975,1.621294041,0.013798051,0.949899971,1.557394698,0.014573304,0.938199997,1.579905455,0.014690743,0.942700028,1.578085471,0.014359196,0.929700017,1.566263932,0.0160251,0.938899994,1.562567804,0.014732389,0.933600008,1.571019019,0.014168465,0.943000019,1.557006278,0.016013342,0.947799981,1.554224851,0.01584853,0.949500024,1.551634484,0.013976198,0.943799973,1.573257023,0.014806149,0.93690002,1.58232942,0.015139842,0.952499986,1.600350116,0.014532519,0.933200002,1.583158977,0.014635492,0.941500008,1.566094789,0.015204486,0.939700007,1.619245982,0.015015654,0.949999988,1.561592439,0.015137327,0.945599973,1.559033051,0.015510526,0.94749999,1.547010752,0.014735557
4,0.954599977,1.554786971,0.014412566,0.950900018,1.554655189,0.014096432,0.946500003,1.561333667,0.015479038,0.954999983,1.585327984,0.014446345,0.951399982,1.549786509,0.087747785,0.957000017,1.580829858,0.014863184,0.947099984,1.592222929,0.014203513,0.9472,1.557210882,0.01397761,0.95389998,1.535576074,0.013652282,0.953599989,1.550203342,0.014099549,0.950399995,1.571507003,0.015796457,0.949000001,1.552069241,0.013714772,0.954100013,1.578544694,0.0135532,0.948700011,3.577579133,0.014729312,0.945500016,1.55125336,0.013541442,0.9472,1.549570741,0.016833444,0.95569998,1.558728632,0.014812718,0.94690001,3.572973825,0.013507753,0.947000027,1.529965085,0.014331996,0.953499973,1.536039405,0.016001658,0.939100027,1.547400979,0.014788975,0.952400029,1.534865526,0.014572976,0.939899981,1.549048226,0.016581269,0.952899992,1.570042962,0.014585682,0.953199983,1.563162853,0.014538841,0.952400029,3.056074474,0.015246917,0.9551,1.565674766,0.014257928,0.914200008,1.578010995,0.015341159,0.9472,1.554885966,0.013862855,0.944700003,1.566232264,0.014985938,0.944100022,1.626564014,0.014491335,0.950699985,1.539270813,0.014040016,0.956499994,1.571453654,0.014631478,0.952899992,1.575822198,0.01448838,0.948199987,1.586696115,0.014444204,0.952400029,3.446776768,0.014496089,0.943400025,1.56844547,0.014920827,0.954100013,1.583274274,0.014743808,0.944100022,1.563858891,0.01397996,0.948899984,1.605836893,0.016569695,0.950800002,1.56278745,0.014108818,0.951300025,1.623209755,0.013535358,0.943599999,1.612069421,0.013925673,0.944700003,1.577414916,0.015005396,0.953800023,1.582054463,0.014224418,0.939400017,1.545947772,0.014840273,0.951699972,1.594882559,0.014204358,0.947300017,1.662824439,0.014302884,0.95569998,1.54545188,0.014486917,0.954900026,1.571608001,0.014267545,0.954599977,1.554786971,0.014412566
5,0.960500002,1.546019321,0.014752347,0.950800002,1.595200754,0.014895797,0.953400016,1.570332619,0.013984077,0.960699975,1.618955982,0.013884204,0.9551,1.66290771,0.026794664,0.963999987,1.575750986,0.013909385,0.950399995,1.589486295,0.014214509,0.950699985,1.570722832,0.016092233,0.957099974,1.536169953,0.017818325,0.95450002,1.581158341,0.013953526,0.958100021,3.343466003,0.013791921,0.955600023,1.585558585,0.014955819,0.955200016,3.421821986,0.01506554,0.953800023,1.568192097,0.01414797,0.954599977,1.588032387,0.014603391,0.953800023,1.544934214,0.016089867,0.954100013,1.535838411,0.013787877,0.953800023,1.5328168,0.015884332,0.953800023,1.543231542,0.014759656,0.959100008,1.586538147,0.014549039,0.948800027,1.531928577,0.01379531,0.956200004,1.599720265,0.014219127,0.932699978,1.570218027,0.017663161,0.957700014,1.562853396,0.014191968,0.960300028,1.545630198,0.014300344,0.954699993,1.537204986,0.0160571,0.95480001,1.525051863,0.015625909,0.916599989,1.563407052,0.013962332,0.954900026,1.54489438,0.015831477,0.956799984,1.550144592,0.01575633,0.951900005,1.550278794,0.01565599,0.955600023,1.574314016,0.015987774,0.961300015,5.591822787,0.014241159,0.956399977,1.566630735,0.015443166,0.952300012,1.607070522,0.015667574,0.955200016,1.5382642,0.013500282,0.947300017,1.581312178,0.030238312,0.961000025,1.600215394,0.01608466,0.949699998,1.555511948,0.015470957,0.953499973,3.392411594,0.022750774,0.95630002,1.597182978,0.014697001,0.952000022,1.560309858,0.01597195,0.948099971,1.574009022,0.014518451,0.953700006,1.580140371,0.015223547,0.958199978,1.54659582,0.015292001,0.948700011,1.565938764,0.014172516,0.957499981,1.601665429,0.014433283,0.950900018,1.562664087,0.015532668,0.960900009,1.57298217,0.013988773,0.957199991,1.57502862,0.014271383,0.960500002,1.546019321,0.014752347
6,0.96390003,1.566722788,0.014535418,0.951900005,1.586184532,0.013927616,0.959100008,3.373367827,0.014107345,0.966400027,1.579252594,0.013405138,0.958500028,1.560842271,0.015296908,0.969600022,1.543043436,0.013671799,0.954699993,1.595335267,0.013538389,0.948599994,1.55483691,0.013988848,0.959200025,1.563714274,0.014527667,0.959500015,1.564795277,0.013660735,0.962899983,1.535957265,0.013227071,0.954200029,1.530310895,0.014030756,0.95480001,1.558384851,0.013948827,0.959599972,1.591801112,0.01358939,0.960500002,1.54485868,0.014904716,0.955299973,1.548934572,0.014438158,0.95539999,1.543422926,0.014776762,0.960699975,1.551079697,0.014078,0.960099995,1.564173938,0.014535856,0.962499976,1.550876095,0.014233615,0.952300012,1.595261705,0.015818523,0.960300028,1.584318401,0.01400638,0.936100006,1.579105525,0.046901892,0.958899975,1.608004159,0.014191023,0.964900017,1.574906362,0.014437436,0.95539999,1.54843029,0.014070156,0.94660002,1.540261395,0.013633418,0.928200006,1.56392885,0.014582814,0.953999996,1.553414416,0.013673879,0.963,1.575160987,0.014876485,0.959500015,1.592166562,0.013786793,0.959100008,1.548042638,0.01351282,0.966899991,1.553988566,0.01460008,0.958199978,1.56813059,0.013969757,0.95480001,1.552214969,0.013474559,0.953499973,1.568000146,0.014582659,0.948700011,1.56258849,0.015149155,0.962100029,1.562416794,0.013879701,0.953700006,3.13319126,0.013781444,0.957400024,1.54891333,0.01724299,0.960200012,1.541124429,0.014320591,0.953299999,2.264815574,0.014077204,0.949400008,1.604088199,0.014365778,0.957000017,3.149718883,0.013466774,0.959999979,1.993417504,0.014956427,0.95539999,1.57806361,0.014887779,0.961000025,1.607534665,0.01450792,0.952000022,1.570382258,0.013336841,0.960099995,1.572404737,0.01343318,0.958999991,1.565183418,0.014103931,0.96390003,1.566722788,0.014535418
7,0.965499997,1.537322646,0.015176506,0.957700014,1.582541842,0.016185199,0.958800018,1.561716985,0.013594031,0.967499971,1.559019729,0.014440879,0.961799979,1.581285118,0.018125822,0.971700013,1.562064923,0.015106447,0.956900001,1.530658084,0.013679297,0.953299999,1.596302466,0.016019506,0.961899996,1.584640063,0.016187117,0.961199999,3.186517453,0.014130118,0.965699971,1.549213551,0.013859485,0.957300007,1.517253176,0.01657378,0.956799984,1.552760786,0.016818285,0.962599993,1.543687735,0.013500652,0.962400019,1.590094387,0.01611943,0.959999979,1.531338915,0.016751286,0.957199991,1.623564982,0.013940551,0.962400019,1.537093625,0.016454585,0.962800026,1.561621194,0.013637863,0.962700009,1.553014858,0.013799558,0.957300007,1.578448148,0.014536512,0.959399998,1.565439967,0.013859278,0.943400025,3.054132508,0.015720297,0.961600006,1.586219476,0.014012865,0.967499971,1.585282404,0.01483473,0.959100008,1.551488174,0.014393993,0.952600002,1.558598388,0.014447444,0.933200002,1.578644245,0.01421778,0.958599985,1.548389116,0.013719606,0.967599988,1.579405198,0.013788918,0.963999987,1.572360327,0.014305194,0.962000012,1.568708267,0.014230114,0.967400014,1.540558322,0.014350283,0.96390003,1.613414846,0.01432299,0.959299982,1.563365209,0.013997539,0.960799992,1.584382537,0.01374202,0.955299973,1.5704079,0.014870276,0.966400027,3.483218335,0.013802185,0.959999979,1.536926857,0.015926784,0.960699975,1.536390351,0.028444804,0.962800026,1.552379645,0.01497509,0.961199999,1.525693961,0.017024545,0.952600002,1.551664558,0.014974669,0.953499973,1.524715886,0.01458358,0.962899983,1.574416365,0.015508255,0.963400006,1.591319144,0.015483583,0.963699996,1.60900309,0.014909812,0.954299986,1.626097899,0.01404532,0.965300024,1.587123125,0.014368586,0.960799992,3.208016537,0.015018284,0.965499997,1.537322646,0.015176506
8,0.965900004,1.574572077,0.014098301,0.958199978,1.59739879,0.014617792,0.960600019,1.571810903,0.01393119,0.967499971,1.552214761,0.014552735,0.964699984,1.592231556,0.015931068,0.972599983,1.580222501,0.014879808,0.959100008,1.65557346,0.014528388,0.959999979,1.603512033,0.0146382,0.961799979,1.568540533,0.014121102,0.966000021,1.538927613,0.014384612,0.964600027,1.554387825,0.014464001,0.959900022,1.563567168,0.014182759,0.957599998,1.558519818,0.013732532,0.96390003,1.55780131,0.01546089,0.965900004,1.586024823,0.013779251,0.962400019,1.543590828,0.016593706,0.960900009,1.544922892,0.01438527,0.963999987,1.547748754,0.013777982,0.964399993,1.5744433,0.015072644,0.964399993,1.570516621,0.014389046,0.957700014,1.602724656,0.014248804,0.960600019,1.592282992,0.014900952,0.940599978,1.581160853,0.015647298,0.966199994,1.546629404,0.014156928,0.965399981,1.603980307,0.015125442,0.963,1.574311608,0.013929978,0.949400008,1.561651695,0.014493856,0.934300005,3.281336233,0.01409713,0.958000004,1.568937853,0.014475845,0.969699979,1.589111962,0.015629577,0.967199981,1.591211428,0.014701529,0.964299977,1.559420526,0.014436241,0.967400014,1.604299729,0.014766651,0.966300011,3.198168764,0.014503899,0.963,1.529052954,0.014977532,0.96420002,1.551395099,0.014154103,0.956200004,1.534180624,0.015709208,0.967400014,1.545688481,0.014500099,0.964600027,1.531192262,0.014126045,0.961399972,1.564767114,0.018022115,0.964900017,1.588501757,0.014368883,0.961199999,1.563878328,0.014071679,0.953999996,1.542680212,0.01405159,0.960500002,1.526643422,0.014384376,0.965600014,5.42329098,0.014198414,0.964999974,1.623765499,0.014822491,0.968299985,1.536274283,0.013741479,0.958700001,1.5470837,0.014484867,0.966600001,1.543191632,0.014293104,0.96509999,1.537057498,0.014175652,0.965900004,1.574572077,0.014098301
9,0.966600001,1.560414559,0.014032515,0.961799979,1.554287634,0.022121129,0.96420002,1.648236286,0.015710957,0.966300011,1.567589604,0.015633801,0.971000016,1.589015468,0.017862477,0.972500026,1.563127052,0.014626962,0.962499976,1.562568371,0.015436482,0.962100029,1.547698214,0.014100678,0.968999982,3.095834916,0.015131396,0.968500018,1.556599807,0.016646711,0.964600027,1.570689087,0.015440115,0.962300003,1.602701595,0.014903387,0.964600027,1.547087169,0.014918753,0.966899991,1.557531888,0.015419618,0.971000016,1.608500309,0.014505659,0.961099982,1.595010342,0.018989337,0.964399993,1.59663657,0.016295669,0.967400014,1.581301167,0.014061616,0.968100011,1.54786145,0.014336373,0.968900025,1.609511496,0.014100064,0.955200016,1.546861189,0.013888137,0.96509999,1.531901459,0.013994215,0.945100009,1.575804586,0.016749365,0.966400027,1.552847009,0.014803407,0.966700017,1.570302546,0.014126708,0.96329999,1.638830636,0.013409446,0.958400011,1.590620956,0.013968997,0.952700019,1.539706075,0.014117843,0.958199978,1.528247342,0.01397059,0.970700026,1.540349016,0.014299465,0.966400027,3.239185403,0.013801655,0.965699971,1.622709258,0.013605022,0.966700017,1.595306609,0.015176054,0.969399989,1.532905175,0.013352072,0.966300011,1.532263089,0.013949225,0.966600001,1.588460039,0.014084104,0.958800018,1.521324332,0.019883361,0.970300019,1.558752404,0.013819146,0.965600014,1.553846653,0.014430467,0.962000012,1.58967411,0.014476654,0.965499997,1.603288929,0.013156919,0.962800026,1.544507363,0.014694577,0.958700001,1.56916568,0.013052184,0.963,1.585848113,0.015156855,0.96420002,1.540846515,0.013240688,0.968999982,1.541111169,0.013198797,0.969399989,1.590568595,0.013061618,0.962199986,1.561455131,0.016157493,0.968999982,1.542495419,0.016462412,0.961199999,1.552761783,0.01339103,0.966600001,1.560414559,0.014032515
