Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.638599992,1.589066945,0.013121785,0.716099977,1.54806176,0.010291181,0.693899989,1.56457042,0.013364099,0.656000018,1.587755652,0.01053043,0.660899997,1.618438155,0.010574856,0.701399982,1.590693564,0.010146228,0.689899981,1.561636757,0.009645728,0.658599973,1.584448005,0.010010786,0.701900005,1.565310197,0.011368705,0.655499995,1.58401802,0.009501423,0.718800008,2.187144222,0.009813775,0.653500021,2.42307198,0.010181702,0.688399971,1.560834254,0.009615848,0.695800006,1.56240315,0.010384702,0.692900002,1.556203298,0.010190886,0.681800008,1.573206357,0.01037895,0.689100027,1.591611395,0.009831402,0.693099976,1.584238444,0.010847327,0.670700014,2.462779796,0.010007223,0.667699993,1.546107153,0.009605272,0.644900024,1.548503935,0.01104528,0.657299995,1.559727819,0.009501741,0.71359998,1.580169375,0.010974294,0.690699995,1.570740512,0.009587298,0.691600025,1.559341476,0.009573881,0.655700028,5.20627807,0.009705641,0.688399971,1.579716045,0.009665716,0.676999986,1.591679749,0.010337243,0.682799995,1.594727849,0.010205642,0.695299983,1.586761619,0.009472342,0.67049998,1.562960502,0.009372032,0.665499985,1.590387611,0.009923414,0.714600027,1.564009053,0.009735622,0.611599982,1.605151563,0.010069792,0.677999973,1.589152838,0.009724118,0.638400018,1.556562721,0.01008653,0.669200003,2.272867613,0.009982878,0.675999999,1.581939833,0.009569956,0.662400007,1.593465412,0.010373782,0.66140002,1.566443709,0.012651884,0.720300019,1.582689941,0.010449986,0.675999999,1.589927258,0.009551087,0.687699974,1.58152865,0.010294649,0.713400006,1.591432969,0.010399792,0.683499992,1.551602249,0.011527428,0.674600005,2.157529744,0.010331921,0.695599973,1.608536046,0.011000937,0.630900025,1.560384335,0.010091987,0.67110002,1.600698319,0.009148201,0.695900023,1.643081967,0.010406331,0.638599992,1.589066945,0.013121785
1,0.679899991,1.590976052,0.010985292,0.698000014,1.549632274,0.009335678,0.734099984,1.592598017,0.010702354,0.727900028,1.560486894,0.009952866,0.744400024,1.595639729,0.010273728,0.731599987,3.075654274,0.010569895,0.722599983,1.56921893,0.010392888,0.723399997,1.54729864,0.009205376,0.738399982,1.54875797,0.009451669,0.719699979,1.594995702,0.010400301,0.735199988,1.57986337,0.01044875,0.70480001,1.568731919,0.011248784,0.737999976,1.557336614,0.009846774,0.703999996,1.630600455,0.010180672,0.72329998,1.553861448,0.009337715,0.701300025,1.625761635,0.011283509,0.7403,1.58379969,0.009821417,0.727699995,1.561172801,0.010403668,0.712800026,1.591856176,0.009732869,0.692399979,1.542603188,0.010957646,0.709599972,1.568077312,0.010511416,0.698400021,1.553652927,0.010807099,0.745299995,1.543849624,0.0114349,0.735400021,2.875448454,0.010113606,0.736699998,1.53477067,0.009532366,0.718100011,1.616930504,0.010007557,0.734899998,1.601982791,0.010492987,0.704999983,1.566483903,0.009653937,0.701200008,1.563072399,0.011388316,0.732900023,1.562490228,0.009550583,0.726899981,2.825357746,0.009792033,0.71359998,1.62247908,0.009693588,0.722299993,1.546229266,0.009424089,0.716000021,1.5603726,0.009544051,0.714600027,1.546658123,0.009482378,0.694599986,1.555348694,0.009444032,0.731100023,1.542252277,0.010629889,0.729399979,1.539773048,0.009407768,0.673699975,1.548973085,0.009770771,0.681900024,1.595404982,0.011224257,0.743700027,1.597059054,0.009941192,0.703299999,1.544962977,0.026977758,0.736100018,1.560480562,0.009972871,0.742999971,1.568842181,0.010641532,0.704100013,1.579406627,0.009882991,0.701600015,1.557487431,0.01019232,0.731999993,1.545957779,0.011784369,0.73210001,1.546086073,0.009549951,0.712499976,1.561472428,0.010482628,0.709100008,1.562206313,0.009926457,0.679899991,1.590976052,0.010985292
2,0.714399993,1.592451591,0.009932998,0.722899973,1.566613291,0.009751035,0.750999987,1.542923862,0.010633572,0.748399973,1.557531795,0.009716913,0.755599976,1.549861475,0.010335663,0.747099996,1.557055236,0.010121611,0.727199972,1.547830908,0.009873381,0.75150001,1.5942791,0.009992881,0.763300002,1.566010521,0.009783853,0.757099986,3.108080111,0.009632494,0.749199986,1.550583408,0.010087902,0.734300017,1.543002075,0.009232208,0.758300006,1.527931002,0.009060762,0.731100023,1.576875306,0.009840806,0.746100008,1.580389348,0.01107239,0.732900023,1.563480996,0.010138156,0.761699975,1.561488166,0.010321722,0.745299995,1.566125902,0.0101037,0.733500004,1.554673954,0.008901127,0.726300001,1.54636846,0.009133686,0.727199972,1.555987761,0.010193091,0.719799995,1.56693225,0.009964507,0.761699975,1.5685437,0.010889164,0.752300024,1.546088605,0.009493815,0.743700027,1.553877668,0.009918621,0.750800014,1.552100762,0.010178661,0.75120002,1.541099436,0.010553551,0.736400008,1.558693711,0.009409462,0.716400027,1.558021993,0.011221394,0.757600009,1.555193515,0.009172993,0.737500012,1.541314089,0.00980338,0.735199988,1.551695159,0.010075734,0.742799997,1.54222558,0.009317438,0.735300004,1.549469155,0.009887773,0.730000019,1.554868965,0.009310931,0.72299999,1.549541201,0.008791008,0.754199982,1.539108925,0.010267328,0.748700023,1.546642256,0.009542135,0.731100023,2.990556349,0.009422719,0.728500009,1.561251073,0.011841069,0.759299994,1.537347107,0.009954066,0.743099988,1.574845418,0.009151415,0.756500006,1.547153914,0.010056945,0.760699987,1.574025934,0.010016005,0.738900006,1.578778718,0.009576154,0.741699994,1.570187887,0.010158123,0.752600014,1.611440623,0.011121735,0.745999992,1.61134198,0.009750523,0.735599995,1.566481166,0.010380072,0.721300006,1.547281247,0.011319969,0.714399993,1.592451591,0.009932998
3,0.739099979,1.551143062,0.011252124,0.744599998,1.537887284,0.011036485,0.762199998,1.574996504,0.011722314,0.758000016,1.586226941,0.010125379,0.76639998,1.565121649,0.012317871,0.766300023,1.558367597,0.011624456,0.742999971,1.591389037,0.010114896,0.767799973,1.57140165,0.010509512,0.771200001,1.534989212,0.010347275,0.773699999,1.590039315,0.010423413,0.764299989,3.388058455,0.010120394,0.754299998,1.565312741,0.010104768,0.77640003,1.58213151,0.010848111,0.762600005,1.539114377,0.010109073,0.763599992,1.542045511,0.010915124,0.755400002,1.563963838,0.011000658,0.773299992,1.54774433,0.009663183,0.758700013,3.328498143,0.01215132,0.749499977,1.573820204,0.010105298,0.753099978,3.291715492,0.010281794,0.736800015,1.539739597,0.01179194,0.739899993,1.565480412,0.010193526,0.773599982,1.575016791,0.010409134,0.753700018,1.567758844,0.009916545,0.765299976,1.548524532,0.009665399,0.75910002,1.57841507,0.009757648,0.772899985,1.545074059,0.010217456,0.760299981,1.547247642,0.009515899,0.729700029,1.563308902,0.010069598,0.772599995,1.554049053,0.009121758,0.744799972,1.549574365,0.009763632,0.749599993,1.573377635,0.009422861,0.752499998,1.573080332,0.010181914,0.75059998,1.553410018,0.009880458,0.739300013,1.550548994,0.009924821,0.754000008,1.566328996,0.010223873,0.771700025,1.563960832,0.009947975,0.759599984,1.558998762,0.009563004,0.753899992,1.587995283,0.01045447,0.761699975,1.540211893,0.013779179,0.76639998,1.54973234,0.009778757,0.767400026,1.584406662,0.010341783,0.769200027,1.55629125,0.009882254,0.774500012,1.553355754,0.010328593,0.749199986,1.543576869,0.011144173,0.75940001,1.550103402,0.012115786,0.763100028,1.56914274,0.012423354,0.747500002,1.577653968,0.01003617,0.750100017,1.606402797,0.010457161,0.744199991,1.590451689,0.009706364,0.739099979,1.551143062,0.011252124
4,0.755500019,1.546580216,0.010070088,0.761200011,1.541717679,0.009349581,0.773100019,1.545326572,0.020090798,0.77640003,1.587226061,0.010590644,0.77759999,1.534779768,0.010241688,0.773299992,1.533787477,0.009964606,0.75029999,1.6232326,0.010127546,0.779399991,3.558381672,0.009378972,0.78579998,1.607252445,0.009625781,0.783500016,1.55445205,0.010334583,0.777499974,1.557702028,0.010913139,0.764199972,1.57982736,0.011345178,0.788800001,1.567592589,0.01041105,0.779399991,1.550313451,0.010822271,0.778699994,1.564807812,0.010075804,0.760500014,1.540979699,0.022257802,0.788900018,1.596067367,0.010910188,0.769200027,1.56579808,0.01080835,0.761099994,1.572135975,0.010138289,0.760599971,1.574129028,0.00993638,0.751100004,1.575832191,0.012397141,0.754899979,4.255432418,0.008849001,0.779900014,1.57533563,0.00922069,0.767499983,1.576291541,0.010799282,0.779900014,1.553458764,0.008683286,0.774200022,3.211550011,0.008986266,0.78609997,1.577796715,0.009410151,0.772700012,1.590083261,0.008730168,0.748700023,1.553128506,0.042779867,0.776799977,1.545320296,0.010261834,0.76849997,1.548793363,0.008945922,0.742600024,1.529035568,0.014038058,0.769999981,1.603542431,0.010077654,0.76880002,1.554975742,0.009525136,0.757300019,1.551444337,0.009705505,0.765600026,1.590166056,0.010437001,0.779399991,1.550812759,0.010752537,0.768999994,1.650873146,0.009565092,0.768400013,1.565946289,0.010389179,0.772000015,1.576004224,0.010933391,0.778500021,1.563111959,0.009662457,0.78490001,1.589552065,0.009719726,0.783299983,1.544482109,0.010322584,0.783800006,1.586592986,0.009733797,0.764400005,1.547306086,0.010468592,0.777199984,1.552890562,0.010205728,0.773299992,1.548631865,0.010655856,0.760599971,1.553099763,0.010068584,0.756500006,1.595772792,0.01090367,0.751699984,1.558180162,0.009961222,0.755500019,1.546580216,0.010070088
5,0.775300026,1.567554072,0.009950246,0.765699983,1.588546355,0.010036692,0.788399994,1.578122949,0.013380056,0.781899989,1.550578313,0.010146783,0.780700028,3.134125353,0.010455202,0.78670001,1.54053536,0.009807113,0.775099993,1.561720565,0.010442715,0.793200016,1.596797634,0.009363718,0.800000012,1.577844667,0.009897777,0.786599994,1.548659983,0.010377551,0.785399973,1.558576555,0.009860416,0.783299983,1.549992047,0.00977146,0.795300007,1.565259829,0.009939363,0.790600002,1.562559736,0.01026995,0.783900023,1.560447254,0.009465414,0.770399988,1.569116761,0.012476625,0.796400011,1.599757668,0.011584577,0.780200005,1.544783468,0.011264104,0.765999973,1.620309633,0.010768591,0.770900011,1.597482635,0.010035553,0.757700026,1.585540389,0.011584533,0.772499979,1.570254017,0.009781726,0.788600028,1.54958648,0.011618741,0.770099998,1.528904878,0.009480981,0.787100017,1.606122261,0.009751186,0.781499982,1.590763765,0.009603623,0.792599976,1.581931471,0.010071543,0.787199974,3.076177414,0.009486407,0.758899987,1.560072731,0.01131373,0.788699985,1.56794173,0.010072513,0.778299987,3.491250863,0.010436,0.76700002,1.59914818,0.009913938,0.782000005,1.564094875,0.010231323,0.783200026,1.556664483,0.009626445,0.766200006,1.544500751,0.009921195,0.779600024,1.560050788,0.010335048,0.791899979,1.630832263,0.010857227,0.779399991,1.615851034,0.009583616,0.779100001,1.556890765,0.00980026,0.7852,1.558799846,0.010891699,0.785600007,1.552370151,0.010187617,0.789900005,1.539062335,0.009549769,0.791999996,1.569801642,0.010224,0.796299994,1.555329361,0.010393053,0.763499975,1.53726108,0.010794407,0.776600003,1.568294886,0.009707946,0.780300021,1.571011921,0.01119911,0.771099985,1.576030518,0.010776011,0.767499983,1.585122015,0.011386529,0.763100028,1.555588222,0.010258735,0.775300026,1.567554072,0.009950246
6,0.792999983,1.563453868,0.009340249,0.769999981,1.561076752,0.010992014,0.795700014,1.551349668,0.01086229,0.793299973,1.553168975,0.010174886,0.788600028,1.562841641,0.012172023,0.797800004,1.567972017,0.009690322,0.785000026,1.591370314,0.009601284,0.801400006,1.560473675,0.009898318,0.805400014,1.557395931,0.01053137,0.795599997,1.577716657,0.009284088,0.793299973,1.545145736,0.009737847,0.790499985,1.593974503,0.010457455,0.80400002,1.56327906,0.01076741,0.792599976,1.576413988,0.010150578,0.791700006,1.560589082,0.010299864,0.791599989,1.584137574,0.010995579,0.804899991,1.569844866,0.010219896,0.787699997,1.560318618,0.012650369,0.780799985,1.577214919,0.009971874,0.789499998,1.54098082,0.009681527,0.757000029,1.568783904,0.010964578,0.77579999,1.574759603,0.009448173,0.792599976,1.537867119,0.010049921,0.78609997,1.591267866,0.009844947,0.797200024,1.561278901,0.009311561,0.786300004,1.601548462,0.010940815,0.80250001,1.579560473,0.01009328,0.800899982,1.588513617,0.010056048,0.772800028,1.592452727,0.010051378,0.79369998,3.093228272,0.009128696,0.780099988,1.566136044,0.009634882,0.772499979,1.592966503,0.009682684,0.794399977,1.553421978,0.010122435,0.788900018,1.540075965,0.009334463,0.78490001,1.563196917,0.009303834,0.772499979,1.545275837,0.010150734,0.797100008,1.552141801,0.00991807,0.790899992,1.546095883,0.009661458,0.799300015,1.547648811,0.011163007,0.786300004,1.580807317,0.009831212,0.797500014,1.573849418,0.009804752,0.800400019,1.534925807,0.010251961,0.799600005,1.577897614,0.009341922,0.804499984,1.546560677,0.009460057,0.774800003,1.527725261,0.009534775,0.785099983,1.608298857,0.009232685,0.796500027,1.561634708,0.010355792,0.782400012,1.618901601,0.009824086,0.766900003,1.538557338,0.009491506,0.774699986,1.565168882,0.009190767,0.792999983,1.563453868,0.009340249
7,0.798500001,1.568838484,0.009407349,0.782700002,1.607682364,0.009585947,0.805999994,1.555244368,0.010672344,0.799099982,1.549693669,0.009875045,0.798300028,1.584296151,0.010649189,0.80400002,1.593206977,0.013138048,0.792999983,1.571349788,0.00940825,0.806599975,1.560919956,0.009572782,0.813000023,1.557218395,0.009462334,0.799600005,3.172140161,0.010246862,0.800100029,1.589699086,0.009816359,0.800400019,1.563692117,0.00895184,0.812099993,1.540450928,0.009046445,0.803300023,1.585388198,0.009398819,0.800300002,1.55781185,0.010895075,0.796599984,1.557374462,0.010661863,0.811500013,1.567268924,0.009495941,0.791100025,1.541195758,0.00999905,0.786899984,1.559317483,0.010010557,0.799499989,1.552210985,0.010129601,0.789600015,1.561600392,0.010985339,0.797100008,1.572002332,0.009100131,0.800400019,1.567429084,0.00981991,0.792200029,1.574370359,0.009184581,0.799399972,1.556947174,0.009317975,0.796199977,1.5715351,0.010262117,0.805499971,1.557451209,0.010020199,0.811100006,1.576631987,0.009596077,0.784799993,1.598354866,0.011326194,0.801999986,1.579063436,0.009977686,0.788200021,1.575833262,0.01029874,0.784799993,1.566810162,0.010173236,0.805599988,1.534823677,0.010772515,0.79400003,1.585750962,0.009903708,0.794099987,1.540007141,0.009719976,0.777199984,1.543798991,0.012066273,0.806599975,1.547126974,0.010724338,0.801599979,1.551174052,0.009802142,0.804400027,1.543038008,0.008754238,0.789200008,1.587566062,0.01040537,0.805800021,1.549114137,0.009776948,0.809800029,3.117809289,0.009923955,0.808099985,1.537321967,0.009617656,0.817200005,1.539368178,0.010064782,0.788399994,1.584688246,0.010142455,0.791299999,1.586224803,0.010164971,0.803200006,3.318378533,0.011128387,0.786499977,1.592196759,0.009372082,0.772599995,1.602245002,0.009519804,0.780399978,1.524712729,0.010121574,0.798500001,1.568838484,0.009407349
8,0.805299997,1.574934502,0.00994384,0.782500029,1.604909097,0.010482369,0.811500013,1.53527612,0.011637053,0.804799974,1.543968825,0.009675221,0.802699983,1.594375994,0.049950564,0.808000028,1.603058613,0.009927504,0.799899995,1.624419859,0.010278833,0.812300026,1.59953376,0.014366908,0.819199979,1.556301218,0.009843298,0.805700004,1.565614851,0.010188945,0.805400014,1.536044633,0.011069332,0.807600021,1.568565863,0.008950555,0.813399971,1.537094113,0.009271343,0.806500018,1.54843095,0.009683827,0.806400001,2.165462654,0.0102542,0.805499971,1.565910364,0.011712745,0.815400004,1.541965995,0.010218963,0.796500027,1.584528626,0.010277114,0.800800025,1.596813324,0.011896925,0.80369997,1.553419196,0.011621338,0.812699974,1.553722745,0.025471052,0.796800017,1.566526416,0.010203557,0.804700017,1.582080582,0.011801048,0.798200011,1.573145146,0.010149627,0.807799995,1.562542542,0.009798836,0.802900016,1.546760161,0.009899128,0.808099985,1.542873016,0.010305712,0.817200005,1.579690879,0.010508464,0.79549998,1.558783963,0.011194129,0.810800016,1.55719281,0.009560914,0.790899992,1.548793898,0.011068827,0.79610002,1.568570775,0.010401196,0.809300005,1.562430169,0.011246481,0.804199994,1.61804983,0.009618041,0.799099982,1.60595833,0.0094434,0.782500029,1.53945959,0.011250814,0.804899991,1.519475608,0.010509004,0.806500018,3.294774805,0.010118614,0.807500005,3.507929632,0.009441886,0.797800004,1.584467666,0.011256658,0.81279999,1.551887305,0.010789103,0.814899981,1.601441858,0.009665505,0.815100014,1.524104787,0.009290453,0.82099998,1.565965381,0.010829451,0.800899982,1.561943936,0.010495226,0.783500016,1.575679776,0.010172918,0.807600021,1.582798499,0.011612092,0.802200019,1.590020518,0.010451696,0.780499995,1.616975641,0.010225142,0.792200029,1.605249911,0.010935838,0.805299997,1.574934502,0.00994384
9,0.807500005,1.563750213,0.009294251,0.782800019,1.56877703,0.009563973,0.81279999,1.535859528,0.012933605,0.815900028,1.540519043,0.009134744,0.811800003,1.594335499,0.00996645,0.810800016,1.578843105,0.009243317,0.807799995,1.600856491,0.009944792,0.816999972,1.577195477,0.010231865,0.818700016,1.542244319,0.009413345,0.814400017,1.616633739,0.00948419,0.810599983,1.562404963,0.012504602,0.81400001,1.550351495,0.010066894,0.820599973,1.570737452,0.009394332,0.816200018,1.529236203,0.009229933,0.812099993,1.562941525,0.009701017,0.814999998,1.55974702,0.010487571,0.818400025,1.54455389,0.009230883,0.79519999,1.553028071,0.01010159,0.806100011,1.548245769,0.010360381,0.812399983,1.576673199,0.010280707,0.817399979,1.545950039,0.011166461,0.804700017,1.566812821,0.009721655,0.810299993,1.564170413,0.010232789,0.802600026,1.584818258,0.010268225,0.809400022,1.576163492,0.010356631,0.808399975,1.546877417,0.009501792,0.815299988,1.55389683,0.009661431,0.818400025,1.566979264,0.01035285,0.802999973,1.54410545,0.011108551,0.814100027,1.598127056,0.009459359,0.79400003,1.558899818,0.010500963,0.807299972,1.560500711,0.011630173,0.821200013,1.533999484,0.009910297,0.805599988,1.614398187,0.009515421,0.810000002,1.602040892,0.009973621,0.792500019,1.574453245,0.010050851,0.811800003,1.580439693,0.015677028,0.810500026,1.640228996,0.009541653,0.811100006,1.591648077,0.009688531,0.792900026,1.538194162,0.011002874,0.81400001,1.538855755,0.010071227,0.823199987,1.60102214,0.009621006,0.82099998,1.623949661,0.010130755,0.821799994,1.531990811,0.010073858,0.816100001,1.593371894,0.009416115,0.790300012,1.566398133,0.010028173,0.817700028,1.616806223,0.010764501,0.809400022,1.583708515,0.009776141,0.790400028,1.581435805,0.0103056,0.801699996,1.576921717,0.009738989,0.807500005,1.563750213,0.009294251
