Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.271281511,1.74921825,0.013575227,0.253726184,1.779899367,0.011361936,0.273701608,1.7871982,0.013368578,0.205208972,2.45817338,0.01193374,0.195874304,1.775916263,0.012966658,0.195874304,1.8084675,0.011841007,0.257529199,1.766645659,0.012321563,0.195874304,1.81276899,0.011232285,0.266057163,1.76903648,0.011607793,0.195874304,1.799201693,0.011883276,0.195874304,1.849912871,0.012094501,0.195874304,1.750728584,0.011818554,0.265711427,1.751924604,0.011731289,0.239205599,1.795935634,0.012007423,0.234211743,1.786221985,0.011583076,0.249500617,1.841105714,0.012975318,0.196911499,1.850508648,0.011531977,0.283996612,1.804823237,0.014738087,0.219960049,1.812091489,0.011770011,0.199331596,1.751060397,0.01196491,0.19802551,1.741174264,0.01370568,0.19230178,1.754260501,0.011849917,0.231253847,1.760403368,0.013294618,0.202673629,1.740846127,0.011570523,0.167486176,1.837924719,0.011970265,0.195874304,1.827609236,0.013807757,0.195874304,1.78005834,0.012365625,0.205401048,1.737805432,0.012416702,0.201751694,1.797796032,0.014285915,0.203902885,1.839514857,0.01298502,0.197257221,1.83504344,0.01283993,0.244429931,1.765395023,0.011853687,0.216886908,1.781736603,0.011594789,0.279271662,4.511960806,0.01177984,0.195874304,1.78464845,0.012132924,0.247618318,1.77162523,0.011349258,0.195874304,2.015229834,0.015405614,0.195874304,1.814932528,0.011784753,0.195874304,1.773080937,0.013951011,0.195874304,1.800430904,0.013705942,0.272933304,1.863435799,0.013649847,0.195874304,1.738876355,0.014753855,0.223609403,1.830784668,0.013350318,0.196335286,2.390999979,0.012135675,0.211854637,1.793141943,0.01229607,0.199408427,2.364544876,0.01290469,0.159496009,1.801455166,0.013880629,0.227604493,1.780203057,0.012347739,0.263214499,1.77718802,0.012059553,0.324754149,1.807563473,0.012268608,0.271281511,1.74921825,0.013575227
1,0.505646884,1.789182335,0.013514628,0.477335572,1.812696336,0.012128582,0.507529199,1.835947813,0.013667747,0.463083893,1.810760358,0.012294008,0.519706488,1.803696637,0.013774117,0.478526443,1.832266472,0.013633333,0.502727389,1.859014765,0.012183638,0.478372782,1.745931332,0.011847405,0.459549785,1.803256185,0.011303797,0.510179758,1.809764903,0.011490645,0.490089118,1.789716095,0.017939988,0.482252598,1.822155259,0.011448451,0.481868476,1.747063374,0.011794078,0.48567149,1.819698912,0.012194274,0.446988314,1.802406667,0.011581728,0.497618318,1.811597469,0.020088,0.484173328,1.833524465,0.012037077,0.489090353,1.769376235,0.013647767,0.51056391,1.775169652,0.011218027,0.470843583,1.800794612,0.012364398,0.467693597,1.778300924,0.013563934,0.445989549,1.77331805,0.011537079,0.489013523,1.761463918,0.013189216,0.480984956,1.807023413,0.011685276,0.461739391,1.753987474,0.011637819,0.494429946,1.774386061,0.013157847,0.477642894,1.745263338,0.011703359,0.410686851,1.84652049,0.011508868,0.506261528,1.76905366,0.012751456,0.47887215,1.749586377,0.011972332,0.486094028,1.748776869,0.011427937,0.515250444,1.786927201,0.011642931,0.468807608,1.749185698,0.012164481,0.455208987,1.773851478,0.011548329,0.485479414,1.809660997,0.011956769,0.434350044,1.831385595,0.011961776,0.503918231,1.751053985,0.013353667,0.475606948,1.850581249,0.012154166,0.465465575,1.772735122,0.011278828,0.439612776,1.785820598,0.013607026,0.46631068,1.745907681,0.011920299,0.451405972,1.8210894,0.011745836,0.484980017,3.621266071,0.012071485,0.475414872,1.743961297,0.011972245,0.44606638,1.788649521,0.013306297,0.448217571,1.856989141,0.015142744,0.490626931,1.839589953,0.017243165,0.476797789,1.776162481,0.012127127,0.494583577,1.810262049,0.011638627,0.491164714,1.80604389,0.013030174,0.505646884,1.789182335,0.013514628
2,0.643285215,1.740856198,0.011741149,0.626690209,1.844173949,0.01167749,0.64420712,1.795194799,0.013555069,0.637254179,1.749384045,0.013376086,0.629571319,1.855179665,0.013367741,0.58850646,1.813765623,0.011983302,0.642593741,1.833946648,0.012334564,0.597264886,1.818036486,0.01161597,0.641748607,1.812056981,0.011627574,0.634642005,3.446578711,0.01199243,0.639559031,1.811088903,0.013957102,0.609365404,1.771713935,0.012954485,0.638252914,1.76107912,0.012100853,0.64428395,1.794969956,0.013348519,0.610940397,1.805053338,0.011945228,0.619660437,1.754131461,0.015763927,0.635218203,1.81754128,0.012472165,0.645474792,1.817247876,0.013359454,0.633912086,1.818860005,0.012390604,0.647933304,1.796980812,0.011807133,0.632337153,1.8470533,0.014353932,0.608443439,1.780293497,0.01166924,0.622810364,3.373658025,0.013661936,0.646665633,1.806384564,0.012270753,0.650468647,1.769995865,0.012248648,0.654463708,1.78297893,0.011615448,0.636754751,1.777492454,0.012066067,0.607598364,1.788972084,0.011822117,0.64620465,1.74449984,0.013027881,0.602412403,1.760590087,0.012143729,0.625422537,1.828719005,0.01198501,0.645782113,1.736854225,0.011177643,0.593922853,1.751205785,0.012074632,0.603603244,1.775680225,0.011723712,0.644245565,1.793191209,0.011811167,0.613283634,1.792407076,0.011912144,0.625614643,1.759301671,0.014251153,0.598955154,3.318950059,0.011670247,0.634411514,1.752109181,0.015652608,0.640135229,1.758134025,0.01370161,0.635679185,1.749962666,0.011974193,0.615434825,1.742297805,0.012106837,0.635794401,1.766703742,0.011356648,0.635295033,1.811869089,0.012101717,0.594460666,1.802183535,0.012166637,0.598225236,1.795099362,0.011384273,0.64044255,1.778476282,0.012952244,0.643554091,1.868999674,0.012018921,0.619276285,1.867502885,0.012582801,0.622464657,4.341621809,0.01173606,0.643285215,1.740856198,0.011741149
3,0.712699771,1.738906936,0.01185604,0.713083923,1.789891942,0.01184373,0.714274764,1.753288684,0.015983013,0.714620471,1.793414978,0.011359052,0.712507665,1.796790785,0.014466841,0.65868932,1.835842162,0.011569084,0.702712059,1.76942453,0.011496241,0.682967126,1.802464738,0.01156943,0.714582026,1.817262268,0.012085372,0.694683492,1.790373947,0.011514335,0.710779071,1.779176354,0.012373333,0.649623513,1.764958669,0.01170945,0.721304536,1.726965527,0.011264508,0.709127247,1.765812235,0.01121959,0.687845707,1.841699122,0.01213064,0.690073729,1.790931452,0.012830871,0.706130922,1.828464774,0.011292353,0.714812517,1.764597973,0.012998807,0.710433304,1.853008078,0.012477236,0.70566994,1.796638457,0.012291486,0.686654866,1.809520134,0.014916019,0.70382607,1.826319149,0.012804158,0.708243728,1.722633237,0.013411971,0.718884468,1.747193239,0.013356551,0.718116164,1.834065764,0.012673558,0.707552254,1.76795189,0.011701724,0.698179185,1.798954066,0.011498842,0.682390928,4.185910911,0.013717385,0.705324233,1.798530991,0.019637357,0.68646282,1.85535562,0.014425648,0.702059031,1.771831484,0.014894496,0.701636434,1.753628106,0.012915318,0.661224663,1.765256534,0.012156935,0.678050101,1.792363563,0.014331843,0.722572207,3.391851567,0.013912921,0.685003102,1.782553394,0.01213424,0.698448062,1.744674293,0.026406842,0.675361097,1.765877524,0.014424859,0.724646568,1.777544811,0.011511441,0.699408412,1.786971699,0.015007701,0.707552254,1.799684712,0.011969274,0.682006776,1.721444351,0.011604867,0.693569481,1.796034842,0.012913672,0.698793769,1.751276162,0.013550399,0.679240942,1.870170027,0.012524926,0.662108183,1.810220122,0.011618483,0.708128452,1.741749355,0.015363391,0.720574677,1.802646243,0.012751198,0.694376171,1.752026891,0.021869142,0.690265834,1.777423266,0.011742489,0.712699771,1.738906936,0.01185604
4,0.749884784,1.826181768,0.012466829,0.746120155,1.840790725,0.011796293,0.752381682,1.855303733,0.018896985,0.756492019,1.813220405,0.012340235,0.753265202,1.84857472,0.01305321,0.704133391,3.597589794,0.011412297,0.733520269,1.768771884,0.01190374,0.730562389,1.83192356,0.011792339,0.751114011,1.824984691,0.012169903,0.74127996,1.768537618,0.01194822,0.73935926,1.77730246,0.012436902,0.712354004,1.792953848,0.012450003,0.750691473,1.824108919,0.011845987,0.743392766,1.804921797,0.011774397,0.739013493,1.832189439,0.012155254,0.736362934,1.786268108,0.014952427,0.753418863,1.813790542,0.012190974,0.749961615,1.813722459,0.012980504,0.746081769,1.814980137,0.012015249,0.74911648,1.826738618,0.01203682,0.72022897,1.807362769,0.012939396,0.74519819,1.79673831,0.012452007,0.732752025,1.796419723,0.014463609,0.74800247,1.831288879,0.012905453,0.741702497,1.754722279,0.013369959,0.736094058,1.813964931,0.011999418,0.738168418,1.773178822,0.011884969,0.734250128,1.793088533,0.012535125,0.741472006,1.788294666,0.013417556,0.741510451,1.761473938,0.011338728,0.739551306,1.796434576,0.013563945,0.745390296,1.780768614,0.011836387,0.729217887,1.761539139,0.011655381,0.71830821,1.770212632,0.01184598,0.750460982,1.776948374,0.011033416,0.716733277,1.798393782,0.011732379,0.737861097,1.778173614,0.013027898,0.72983253,1.782677892,0.011793324,0.753534138,1.802932417,0.011593953,0.731253862,1.827901245,0.013639011,0.741203129,1.809583698,0.01166004,0.715734482,1.76668695,0.012039437,0.719499052,1.828983867,0.012236407,0.733020902,1.817717655,0.011693397,0.720997214,1.81839356,0.011825758,0.713468015,1.796152202,0.011538624,0.739397645,1.794055107,0.013360272,0.757836521,2.273864405,0.013096701,0.737361729,1.796808665,0.016266684,0.717693627,1.783138471,0.012254721,0.749884784,1.826181768,0.012466829
5,0.775314987,1.798774728,0.021246442,0.763252914,1.770477617,0.011342786,0.770935774,1.790038506,0.013237417,0.770474792,1.816525756,0.011992649,0.768054724,1.774097353,0.013420598,0.717424691,1.754204686,0.02078515,0.764904737,1.814714369,0.011779796,0.739973903,1.792626315,0.011664612,0.773240626,1.778258473,0.011121377,0.771627247,1.779480898,0.011685736,0.766210794,1.774790841,0.011901903,0.757874906,1.98887266,0.012060921,0.765019953,1.758294395,0.011910034,0.756607234,1.822253633,0.011963533,0.753034711,1.733159595,0.012110948,0.760256588,1.799738513,0.013040494,0.771358311,4.93174215,0.012206146,0.771896124,1.799382375,0.013748202,0.77600646,1.775199397,0.011937427,0.774469912,1.788079502,0.011134258,0.750768304,1.778412046,0.033501688,0.769091904,1.874576572,0.011634431,0.759449899,1.78122124,0.014959096,0.765480936,1.772010112,0.012645773,0.767632127,1.783747663,0.011764118,0.75760603,1.777175799,0.011901004,0.762369394,1.796117764,0.013289159,0.763905942,1.761568786,0.01278679,0.762523055,1.766996467,0.013974403,0.761639535,1.774046593,0.011719782,0.760410249,1.785636104,0.011352927,0.770397961,1.802574912,0.012330405,0.752189636,1.81676676,0.013888848,0.726375222,1.798152166,0.012024031,0.766172409,1.755087469,0.011388581,0.755262733,3.576334861,0.011547688,0.76240778,1.805943257,0.013698015,0.762791932,1.821563135,0.011912374,0.770820558,1.876141514,0.011755598,0.753073156,1.806973711,0.012915155,0.763675451,1.871313218,0.012460782,0.749423802,1.759616717,0.012137712,0.75280422,1.788008647,0.011646898,0.750038385,1.858008339,0.011975851,0.756031036,1.801124484,0.022450035,0.735748291,1.773490252,0.021845837,0.759872437,1.775621817,0.035882201,0.775622308,1.802644362,0.012173523,0.755646884,1.834472907,0.012273821,0.756607234,1.767106227,0.011644246,0.775314987,1.798774728,0.021246442
6,0.788875222,1.762364329,0.012190334,0.77688998,1.800980239,0.011620592,0.783650875,1.842139263,0.013852653,0.784073472,1.792177119,0.012951412,0.774815619,1.774927769,0.013036533,0.724761844,1.810591258,0.012477275,0.774623513,1.812060493,0.012147215,0.756415188,1.752351135,0.011655408,0.791256905,1.76500816,0.011340829,0.782075882,1.809447891,0.011572659,0.783151507,1.752058325,0.020087891,0.770436406,1.78075786,0.010987993,0.773586333,1.785473088,0.011297499,0.761870027,1.750526153,0.013084482,0.774393082,1.752791777,0.011448021,0.773586333,1.736404598,0.017558291,0.788721561,1.766907586,0.013359602,0.786301494,1.783797489,0.012787208,0.78945142,1.750911689,0.012290504,0.789566696,1.777849671,0.011963844,0.772357106,1.823947374,0.013490849,0.776697934,1.798316483,0.011358412,0.778964341,1.814845293,0.012732512,0.774124146,1.784299151,0.011873313,0.781230807,1.799945848,0.011307169,0.778695464,1.786219497,0.013717348,0.77785033,1.775387822,0.013883461,0.782767355,1.807069726,0.011355268,0.775545478,1.736525428,0.024861844,0.769744933,1.730488371,0.011398711,0.771511972,1.78800593,0.013927133,0.784457564,1.754528341,0.013240049,0.778541803,1.822702473,0.012130967,0.750845134,1.78059427,0.011393243,0.774431467,1.778302135,0.011311261,0.769245565,1.738699045,0.011963339,0.780539334,1.758848151,0.012567392,0.778964341,1.782345237,0.013390308,0.787069738,3.483286612,0.012631209,0.764213264,1.826574402,0.01906284,0.775084496,3.490933966,0.012197782,0.763598621,1.834087733,0.012306931,0.767324805,1.83715608,0.012863827,0.766479731,1.827521407,0.011936614,0.767209589,1.763375579,0.012422171,0.742893338,1.871249591,0.011643738,0.770782113,1.808462894,0.013854465,0.785994172,1.75539514,0.011743189,0.768630922,1.787867163,0.011920873,0.77496928,1.807486117,0.012826468,0.788875222,1.762364329,0.012190334
7,0.795905054,1.781671532,0.012191081,0.78657037,1.888243845,0.011705271,0.793753862,1.742476935,0.013271553,0.791410565,1.743103885,0.011869349,0.782575309,1.835662638,0.01428184,0.733712375,1.785231359,0.012392297,0.786455154,1.779338464,0.011693587,0.773624778,1.824692576,0.020577729,0.800245821,1.77826574,0.012014971,0.791833103,1.767496562,0.01130538,0.792947114,1.740955815,0.012185497,0.779002786,1.780100641,0.011808934,0.781614959,1.79543699,0.012422213,0.776928425,1.783326428,0.012455703,0.782460034,1.84090557,0.012217892,0.781230807,1.831046549,0.013295161,0.795328856,1.747302672,0.01236888,0.793830693,1.824241945,0.014428344,0.793331265,1.772782342,0.011454332,0.800553143,1.764801579,0.011609447,0.78272897,1.819607505,0.012696411,0.791103244,1.847014327,0.013130723,0.785187483,1.740634232,0.013609372,0.782421649,1.775077685,0.011665072,0.794022739,1.802700917,0.012423961,0.785110652,1.843805382,0.013445962,0.784150302,1.808862129,0.030566604,0.792755067,3.613270686,0.011624094,0.790565431,1.754930246,0.019082783,0.783189893,1.784614596,0.011688206,0.782191157,1.780536329,0.013979483,0.776044846,1.902057627,0.01493564,0.792370915,1.79454133,0.011670917,0.762599885,1.794663337,0.011533904,0.778925955,1.788123443,0.011337738,0.781922221,1.82328665,0.011148379,0.795175195,1.747869474,0.013074166,0.789220929,3.393559944,0.012190462,0.797019064,1.758385302,0.011631067,0.780347288,1.761958264,0.014223543,0.781576514,1.750397711,0.012083421,0.781000316,1.808234273,0.013663194,0.774124146,1.768017458,0.011864469,0.775852799,1.725474786,0.011790681,0.779617369,1.823651802,0.014516945,0.758835256,1.860638665,0.012417134,0.781000316,3.625875656,0.013973195,0.798401952,1.857611014,0.012317538,0.776505828,3.859080517,0.011729166,0.786954522,1.73347221,0.012259766,0.795905054,1.781671532,0.012191081
8,0.802742779,3.572716638,0.011886365,0.790795922,1.789875581,0.011781487,0.798632443,1.8079109,0.013203012,0.795905054,1.792349456,0.012205418,0.790181339,1.755051272,0.013747549,0.748501837,1.786012055,0.012351832,0.799861729,1.748857464,0.011514827,0.781614959,1.793245294,0.011579827,0.804356158,1.785327577,0.012578672,0.794368446,1.731771887,0.011913056,0.802435458,1.793885089,0.01113649,0.792831898,1.763728012,0.012275362,0.790181339,1.797599367,0.012249764,0.78457284,1.77988193,0.011814944,0.787761211,1.754732809,0.012205441,0.789720356,1.839088054,0.014126893,0.800130606,1.822831554,0.011626287,0.799554408,1.790560444,0.015980027,0.797710538,1.7674634,0.012059266,0.803050101,1.815201275,0.011940598,0.795098364,1.743859718,0.013802344,0.803357422,1.758589592,0.01932467,0.794522107,1.76633606,0.026542267,0.789797187,1.741888742,0.018356288,0.804202497,1.731454784,0.017989477,0.790219724,1.822200648,0.012001003,0.793869078,1.800638138,0.011473143,0.800245821,1.745784939,0.018484341,0.801014125,3.474449149,0.012868862,0.791026413,1.801628772,0.011823058,0.78561002,1.828012005,0.011740884,0.781077147,1.864440536,0.01158451,0.80289644,1.786051918,0.012300735,0.771972954,1.741448417,0.012789172,0.77984786,1.728141846,0.011859026,0.792025208,1.833105715,0.011873502,0.796634912,1.790338229,0.014168225,0.794598937,1.772920064,0.011847764,0.805931151,1.76877541,0.013131379,0.787261844,1.839704999,0.013838883,0.790527046,1.86181944,0.011867847,0.790949583,1.771983276,0.013256251,0.78080821,1.783282852,0.012960325,0.778464973,1.799483141,0.011663466,0.78376615,1.761610012,0.012032568,0.762138903,1.768117221,0.012153128,0.795559287,1.787539485,0.01377406,0.80001539,1.725185768,0.011723342,0.782997847,1.774932827,0.011732013,0.789681911,1.831716852,0.012461977,0.802742779,3.572716638,0.011886365
9,0.807121992,1.789098143,0.011902564,0.796519697,1.765540461,0.012745468,0.799131811,1.865967033,0.014059447,0.79993856,4.051235725,0.01205095,0.794291615,1.762624004,0.018645618,0.76240778,1.797611413,0.011724452,0.80577749,1.794427042,0.011944775,0.781077147,1.809788913,0.013012068,0.810771346,1.763533884,0.012341814,0.80001539,1.821696281,0.012535833,0.805931151,1.791828331,0.011493872,0.804509819,1.761821726,0.013488767,0.790181339,1.760245843,0.012929373,0.797019064,1.757417247,0.016478466,0.793638587,1.755674752,0.014581401,0.791756272,1.77542895,0.013255397,0.807467759,1.833944477,0.012708558,0.803126931,1.766867846,0.013254095,0.805124462,1.750040046,0.015671548,0.806084812,1.753232351,0.014688173,0.79321605,1.785609991,0.024605522,0.810195148,1.760996616,0.012230029,0.802589118,1.818600287,0.014676088,0.793062389,1.844027996,0.012604187,0.810886621,1.762881456,0.011495155,0.792370915,1.801110062,0.015193805,0.795943439,1.741830364,0.015141401,0.801897645,1.776902723,0.011897749,0.806584179,1.790340209,0.026130428,0.795674562,1.805106779,0.012282337,0.797441602,1.739409681,0.020442749,0.790834367,1.747401108,0.015912657,0.812154293,1.745989609,0.0150228,0.777312517,1.796728772,0.013588984,0.788721561,1.808927414,0.012274561,0.796750128,1.768991181,0.014638992,0.802627563,1.825954678,0.014328358,0.805086076,1.780744253,0.01323799,0.811424375,1.894015486,0.01247414,0.798401952,4.19221388,0.025265323,0.797748923,1.816726243,0.013703135,0.792102039,1.809729115,0.011905747,0.793139219,1.805178906,0.01224498,0.785994172,1.799131131,0.012714982,0.791717887,1.838735967,0.012470447,0.772971749,1.797597517,0.011582528,0.800514758,1.772455683,0.013578092,0.807237267,1.798869142,0.015061662,0.791333735,1.795008337,0.011761711,0.802051306,1.803733158,0.020039159,0.807121992,1.789098143,0.011902564
