Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.2271,1.356679673,0.086114676,0.200399995,2.104464897,0.092454648,0.256099999,1.362152296,0.081641088,0.217700005,1.383827089,0.084418718,0.247700006,1.358589158,0.082109827,0.27610001,1.362060703,0.084975208,0.237599999,1.363495397,0.082232805,0.237800002,1.423524281,0.079539553,0.267199993,1.404931076,0.085329826,0.214900002,1.930951143,0.080805293,0.234899998,1.373722452,0.083262124,0.253199995,1.365762551,0.08528916,0.2104,1.383297901,0.083591893,0.226600006,1.930427219,0.088029691,0.2042,1.385248958,0.084484757,0.276899993,1.357021096,0.08499284,0.264299989,1.354502631,0.08517019,0.28549999,1.384914717,0.08256731,0.222599998,1.355849549,0.079855843,0.225199997,1.496800001,0.090821588,0.252499998,1.378951524,0.081283597,0.291099995,1.397490568,0.079477774,0.216900006,1.38345286,0.08112356,0.225899994,1.386394256,0.080688042,0.213200003,1.371599822,0.08051201,0.25909999,1.385203486,0.084148612,0.286799997,1.369320813,0.084857335,0.270599991,1.370801073,0.079471104,0.238900006,1.398151439,0.087012392,0.290899992,1.391086818,0.086119718,0.260399997,1.383093965,0.085669101,0.281300008,1.36378946,0.084413243,0.229000002,1.376848971,0.086295639,0.241600007,1.394697466,0.085584791,0.189999998,1.389283878,0.089674321,0.251100004,1.413533537,0.080124464,0.265300006,2.244830327,0.090818697,0.201900005,1.610908128,0.086267359,0.278299987,1.395180655,0.083160074,0.258100003,1.369586971,0.082511501,0.289499998,1.346251256,0.088989334,0.246700004,1.388696631,0.082859642,0.2861,1.661342538,0.085930905,0.234300002,1.357534041,0.084428556,0.261500001,1.402262014,0.1059822,0.289799988,4.561077971,0.084980357,0.237299994,1.893986874,0.096678529,0.253199995,1.388353452,0.081250522,0.219600007,1.388222605,0.082315578,0.278200001,1.363036416,0.084672313,0.2271,1.356679673,0.086114676
1,0.323799998,1.398712262,0.075320098,0.322100013,1.361456945,0.075818273,0.301499993,1.365927871,0.076588092,0.293599993,1.370964862,0.074443026,0.326599985,1.379541309,0.074154191,0.351500005,1.383419712,0.074574722,0.309300005,1.379021107,0.072650128,0.304199994,1.414223294,0.082766666,0.280800015,1.405201998,0.080340004,0.321399987,1.364655024,0.075515644,0.312999994,1.367171733,0.109275335,0.310600013,1.360595883,0.074156599,0.28490001,1.356617925,0.07444098,0.322600007,1.39758681,0.073570138,0.306800008,1.369612345,0.075738064,0.308600008,1.365955279,0.074577312,0.312900007,1.383969389,0.074268841,0.323399991,1.375768302,0.074027514,0.289999992,1.495451972,0.076414671,0.261099994,1.388155095,0.074554991,0.323599994,1.418267196,0.122568289,0.295599997,1.363074565,0.074280945,0.298999995,1.368941481,0.07361591,0.283600003,1.374011957,0.073698235,0.327300012,1.406453136,0.08344625,0.333400011,1.370015701,0.076008288,0.292299986,1.401157539,0.074973944,0.296499997,1.417509628,0.07401985,0.317799985,1.370756165,0.079465062,0.32069999,1.391495174,0.07629008,0.324400008,1.363845981,0.076540085,0.333600014,3.906930377,0.077464595,0.337000012,1.365292901,0.074763603,0.285400003,1.37775327,0.07576101,0.275000006,1.395404299,0.075346181,0.303499997,1.400827748,0.08198499,0.284500003,1.356515043,0.083602985,0.326799989,1.363823876,0.07745618,0.32190001,1.382198712,0.074162448,0.325100005,1.358301494,0.074459272,0.33829999,1.379207261,0.074858294,0.267500013,1.360504473,0.073816361,0.3046,1.462152928,0.079496122,0.307000011,1.365297953,0.07465883,0.325100005,1.378094936,0.081285425,0.319599986,1.36854068,0.074766607,0.301899999,1.363228069,0.075723114,0.291500002,2.103032162,0.078639458,0.323000014,1.363842433,0.073772261,0.319099993,1.480425093,0.07473877,0.323799998,1.398712262,0.075320098
2,0.362300009,1.419568717,0.078578259,0.360900015,1.396885701,0.079057486,0.341699988,1.416758706,0.083804249,0.34920001,1.388369592,0.079185166,0.34709999,1.388098352,0.077990761,0.362300009,1.415866978,0.078286474,0.313300014,1.395293982,0.076479566,0.343699992,1.412995613,0.083456731,0.318599999,1.364319304,0.079332673,0.367799997,1.495683451,0.083318882,0.344999999,1.358772188,0.07727413,0.332599998,1.380409966,0.077369665,0.313699991,1.390224386,0.078763358,0.369399995,1.393948992,0.077470554,0.356700003,1.386920029,0.105188093,0.33129999,1.395764471,0.078052029,0.351799995,1.39811499,0.078984796,0.346100003,1.374371686,0.078340378,0.324699998,1.377337535,0.07785157,0.320899993,1.430300882,0.077735709,0.359699994,1.374982764,0.077412101,0.332300007,1.386397281,0.077295994,0.35769999,1.457211995,0.079571475,0.328500003,1.361320495,0.077314304,0.372000009,2.311101668,0.081118446,0.372200012,1.411442014,0.078254458,0.344799995,1.440905919,0.07881739,0.351799995,1.391795715,0.077092403,0.317400008,1.379349851,0.079923517,0.34830001,1.367258893,0.077336168,0.354600012,1.34705929,0.079694439,0.339399993,1.385760489,0.078734621,0.367399991,1.367406741,0.0781923,0.301800013,1.379732524,0.084687929,0.33950001,1.368742175,0.078771936,0.345299989,1.411589272,0.085343592,0.348199993,1.39193912,0.085428887,0.34740001,1.40306563,0.078775789,0.35620001,5.016980003,0.077870165,0.363400012,1.404256809,0.078502392,0.374199986,2.044259343,0.108929243,0.307099998,1.392853186,0.078286847,0.339100003,1.360116318,0.07762648,0.331499994,1.510159471,0.078161053,0.342900008,1.423275087,0.091196559,0.359800011,1.386809427,0.078264816,0.328599989,1.394387512,0.078745208,0.340200007,1.402565401,0.077649728,0.344300002,2.587053303,0.077712794,0.35589999,1.37153884,0.080269122,0.362300009,1.419568717,0.078578259
3,0.382600009,2.607932086,0.075901984,0.391200006,1.36819147,0.076399672,0.373699993,1.993115457,0.127097889,0.380600005,1.388477033,0.075805605,0.366899997,1.404215043,0.074840814,0.383899987,1.373562323,0.075357184,0.335900009,1.400116943,0.077358915,0.370799989,1.382215987,0.085088482,0.360599995,1.353400723,0.076190619,0.381599993,1.362475424,0.076488086,0.37560001,1.386386559,0.075724715,0.371600002,1.396979975,0.077064294,0.319799989,1.37100454,0.078497266,0.390899986,1.380931137,0.077726112,0.379299998,1.3889647,0.076458113,0.374599993,1.404123384,0.078045026,0.380899996,1.350318237,0.07612227,0.360799998,1.37275907,0.083688574,0.361900002,1.375221446,0.076030048,0.356599987,1.359363534,0.075613941,0.383899987,1.361485636,0.078503558,0.354799986,1.36195593,0.077379135,0.370999992,1.371587224,0.077235181,0.36469999,1.607727209,0.081320807,0.384299994,1.397268229,0.076903099,0.390899986,1.602297792,0.120486142,0.371800005,1.4472101,0.076936052,0.376199991,1.75258129,0.075587105,0.336199999,1.36802252,0.075962021,0.372000009,1.386905238,0.096732011,0.37470001,1.40220607,0.076277001,0.367700011,1.378946756,0.077214702,0.390799999,1.40048539,0.086513508,0.34040001,1.409748006,0.076845659,0.371399999,1.409169115,0.075910415,0.379200011,1.390727297,0.084289219,0.35800001,1.408144543,0.146835181,0.376800001,1.422117027,0.075329919,0.367900014,1.36176909,0.078308845,0.383899987,1.499317697,0.075366368,0.386400014,1.393578423,0.07568654,0.347499996,1.341027654,0.076190398,0.361000001,1.377865845,0.078568061,0.3574,1.403550073,0.076340798,0.368499994,1.388217583,0.085384001,0.385600001,1.370008551,0.075556028,0.363000005,1.380731045,0.076373524,0.367700011,5.526625626,0.076198494,0.360100001,1.409143732,0.076380313,0.384299994,1.380903684,0.079649485,0.382600009,2.607932086,0.075901984
4,0.391400009,1.372825067,0.079468534,0.407900006,1.388400679,0.079457288,0.397399992,1.395833567,0.078102608,0.394199997,1.667653297,0.079964252,0.391299993,1.358654763,0.079191071,0.391799986,1.360899868,0.078780135,0.353899986,1.395641561,0.080278325,0.3926,1.403791873,0.087898355,0.387800008,1.399172238,0.078934931,0.392500013,1.3794837,0.078527025,0.397500008,1.444516988,0.087170956,0.396699995,1.374099573,0.084012079,0.352699995,1.373790505,0.085532322,0.400299996,1.401677591,0.078947763,0.394199997,1.412959566,0.078518515,0.392699987,4.03039472,0.077986313,0.404300004,1.404486474,0.078672186,0.391400009,1.410634251,0.079130027,0.385100007,1.387283559,0.079219668,0.379799992,1.424457652,0.079774141,0.393599987,1.397136073,0.080148944,0.373400003,1.405328976,0.078742241,0.387300014,1.748673206,0.078252128,0.381900012,3.410381505,0.08007832,0.403200001,1.397367127,0.081652948,0.401600003,1.369020864,0.083000758,0.391600013,1.536725769,0.078833373,0.396499991,1.374177049,0.080206105,0.360799998,1.369734751,0.080728421,0.390599996,1.388586801,0.080995844,0.388900012,1.367137503,0.079075138,0.380400002,2.185377765,0.085062083,0.399500012,1.372978907,0.079236839,0.376399994,1.360379845,0.080742065,0.391299993,1.399788318,0.080521354,0.398200005,1.354670742,0.084822596,0.39289999,1.400005328,0.13725681,0.390100002,1.376770585,0.079924663,0.384900004,1.370610742,0.07901436,0.394499987,1.391932224,0.078581595,0.401800007,1.386509512,0.080841095,0.379000008,1.998754976,0.109421976,0.382200003,1.371563767,0.081866937,0.372200012,1.427044235,0.079082281,0.380299985,1.371391406,0.086630843,0.40169999,1.379483082,0.078299183,0.373600006,1.362866642,0.080330138,0.388399988,1.38387178,0.081895971,0.392100006,1.381587934,0.080023459,0.401600003,1.379324811,0.080143908,0.391400009,1.372825067,0.079468534
5,0.403299987,1.414693791,0.085242357,0.421700001,1.373669212,0.081824333,0.4111,1.369236678,0.082280479,0.408699989,1.383950113,0.079851654,0.411000013,1.369042811,0.08022172,0.398299992,1.386640574,0.082132924,0.374000013,1.380077758,0.080173186,0.406399995,1.364846335,0.088260293,0.401199996,1.418120981,0.079930689,0.400999993,1.372802349,0.080887463,0.405999988,1.416619692,0.082263336,0.41080001,1.479313865,0.140145571,0.365999997,1.386684116,0.081392329,0.408499986,3.061550342,0.082435262,0.406699985,1.390365505,0.080851474,0.410299987,1.406799106,0.083450933,0.414700001,1.949681093,0.095108486,0.394800007,1.413012926,0.080955501,0.393900007,1.406554742,0.082386848,0.394499987,1.388768707,0.082759877,0.409399986,1.40219116,0.0806939,0.395900011,1.397197749,0.081512233,0.389999986,1.360735254,0.080281893,0.395000011,1.377852142,0.082134171,0.406500012,3.019629639,0.08068018,0.409000009,1.408168437,0.083258901,0.406500012,1.399404824,0.080819159,0.403299987,1.386983401,0.080925843,0.379700005,1.478045991,0.115040793,0.403100014,1.3592935,0.082015678,0.403699994,1.482585992,0.081718503,0.393700004,1.364566994,0.093603448,0.405200005,1.38380096,0.085082944,0.387499988,1.391909639,0.08186557,0.411000013,1.400451089,0.082182531,0.417600006,1.406275418,0.088643068,0.406899989,1.39974436,0.136374815,0.399899989,2.706469626,0.083399744,0.388700008,1.442870256,0.084123053,0.414600015,1.348933786,0.082480199,0.415800005,1.363951738,0.082705608,0.388900012,1.364678571,0.081760828,0.393000007,1.409443629,0.08275722,0.387600005,1.405976619,0.082937923,0.398200005,1.403578957,0.092270923,0.415100008,1.360787565,0.080779713,0.388500005,1.365983012,0.081490978,0.399800003,1.388223678,0.080329952,0.405099988,1.34543594,0.083147648,0.415499985,1.384142189,0.08173761,0.403299987,1.414693791,0.085242357
6,0.41870001,1.466495818,0.193865798,0.432799995,1.384643685,0.085035774,0.424299985,1.383901957,0.087180501,0.420700014,5.395357836,0.086186152,0.424299985,1.411607272,0.085250736,0.416200012,1.428585043,0.085233457,0.395500004,1.391714865,0.086967525,0.411599994,1.365320089,0.090439568,0.408899993,1.37709842,0.085498926,0.418500006,1.391906618,0.087035085,0.424299985,1.359231251,0.084836504,0.426200002,1.364715005,0.086044389,0.373299986,1.463689793,0.087238654,0.420700014,1.394543287,0.085752475,0.411599994,1.367837987,0.087008309,0.419099987,1.504707528,0.088101788,0.417899996,1.353621608,0.086260581,0.409399986,5.772967923,0.11376908,0.404700011,1.392386504,0.087143978,0.391900003,1.385195194,0.085279123,0.421200007,5.31210548,0.085516393,0.401600003,1.37118568,0.084896389,0.397700012,1.413604586,0.106419308,0.408399999,1.370202684,0.084728628,0.415699989,1.400458232,0.086565989,0.419999987,1.390191115,0.086367383,0.411199987,1.396938966,0.085536108,0.420300007,1.400084397,0.086234789,0.400900006,1.384263151,0.08479886,0.413800001,1.428767189,0.087626935,0.411799997,1.394435138,0.087211395,0.403699994,1.413505625,0.086460379,0.411799997,1.389187444,0.085665187,0.393400013,9.259909026,0.159211878,0.423999995,1.375950741,0.088961747,0.418599993,1.384041806,0.093635617,0.415499985,1.357575392,0.108501713,0.413899988,1.345632985,0.0891513,0.393000007,1.379697802,0.086448192,0.423700005,1.388538849,0.084438151,0.426099986,1.371114135,0.088294966,0.408300012,1.401050818,0.086621328,0.402099997,1.401664287,0.085611589,0.398799986,1.379994651,0.087806239,0.417699993,1.432993625,0.095438441,0.428600013,1.415658079,0.087441352,0.39379999,1.385628452,0.08657374,0.412099987,1.388882557,0.08625351,0.414000005,1.419384113,0.08757101,0.423799992,1.399597822,0.085391039,0.41870001,1.466495818,0.193865798
7,0.432200015,1.389159218,0.076495384,0.442299992,1.391969235,0.076886312,0.4384,1.365744425,0.075867671,0.425199986,1.388510428,0.075863129,0.434199989,1.406780009,0.076295322,0.425099999,1.408838091,0.075607162,0.400400013,1.360153202,0.076563587,0.421799988,1.418481655,0.087764858,0.417899996,1.556527082,0.107421882,0.429899991,2.93413121,0.078404149,0.439399987,1.411670568,0.07585887,0.430999994,1.389875109,0.076513836,0.393299997,1.431326566,0.076497756,0.430099994,1.414423717,0.075479089,0.425900012,1.468476525,0.075933198,0.435099989,1.405448428,0.075909298,0.430700004,1.427866744,0.076335371,0.425900012,1.373213261,0.076542073,0.414499998,1.399928827,0.075552618,0.398600012,1.368994128,0.076233796,0.425999999,1.415564538,0.075841828,0.414099991,1.362211908,0.075530291,0.41170001,1.395943744,0.076133498,0.419999987,1.4037949,0.076317312,0.427700013,1.376606326,0.076198672,0.425300002,1.426118771,0.077357144,0.42019999,1.452818858,0.076488381,0.435200006,1.409464924,0.076282588,0.408600003,1.364184176,0.077949606,0.424199998,1.36489184,0.076178824,0.426200002,1.389933539,0.078311352,0.418500006,1.413148131,0.076147431,0.417499989,2.026466045,0.080777895,0.404599994,1.386446803,0.076343935,0.416099995,1.412434278,0.077294153,0.433400005,2.644018576,0.082425275,0.41929999,1.355681599,0.084620048,0.423099995,1.538455126,0.110935462,0.401600003,1.364813842,0.077084535,0.431699991,1.390154668,0.076200695,0.435699999,1.373715748,0.103751136,0.424299985,1.40418704,0.076372809,0.413100004,1.367857213,0.076015115,0.416500002,1.401833836,0.07562092,0.426099986,1.37693334,0.085403108,0.435799986,2.336250083,0.112069514,0.4005,1.379072282,0.077665432,0.415800005,1.391859111,0.076287599,0.426299989,1.401049434,0.078135049,0.434399992,1.364312334,0.0764297,0.432200015,1.389159218,0.076495384
8,0.432399988,1.371290483,0.075542052,0.449000001,2.051276947,0.079999479,0.452399999,1.376105228,0.147194514,0.430000007,1.364898705,0.07453516,0.443100005,6.229125619,0.076227663,0.433899999,1.380401799,0.078478254,0.41929999,1.3814913,0.074310401,0.435499996,1.40085197,0.081189787,0.425199986,1.403289499,0.074333757,0.444499999,1.408255385,0.076621303,0.451299995,1.405614165,0.074717458,0.442299992,1.37492417,0.07721261,0.408300012,1.379473079,0.07767304,0.444599986,1.416285341,0.075635748,0.431800008,1.365489928,0.075051188,0.443300009,1.417587521,0.077321274,0.43720001,1.443887989,0.075876655,0.436300009,1.383057856,0.090751666,0.417299986,1.373635381,0.077319067,0.398999989,1.623844322,0.133595133,0.434199989,1.415742361,0.074953013,0.423700005,1.403519633,0.076307462,0.414400011,1.385502339,0.075838846,0.428000003,2.991902758,0.073748216,0.432399988,1.385934582,0.074628915,0.427300006,1.395193141,0.076600626,0.434899986,1.365206043,0.077914641,0.4463,1.40406064,0.074812608,0.422100008,1.373494624,0.076916495,0.432500005,1.393545823,0.078924491,0.430799991,1.381838348,0.075518458,0.42719999,1.363093315,0.076297028,0.422899991,1.393025854,0.078199298,0.416500002,1.400507543,0.076728109,0.428799987,1.426560672,0.076948744,0.438800007,1.502310932,0.081150213,0.431300014,1.401311954,0.081447471,0.434100002,1.385006465,0.078557856,0.414900005,1.368682066,0.074836666,0.444200009,1.419579884,0.077090051,0.437999994,1.435355253,0.075453276,0.438499987,1.365667693,0.075327954,0.418000013,1.424781162,0.075495507,0.427399993,1.399091274,0.074713213,0.436399996,1.364216535,0.094967721,0.446399987,1.380635031,0.077357089,0.422899991,1.481835315,0.081326037,0.426200002,1.364326217,0.074832412,0.433099985,1.355524998,0.076218698,0.436300009,1.40761261,0.075409404,0.432399988,1.371290483,0.075542052
9,0.440899998,1.394228021,0.074825086,0.455900013,1.378459157,0.074639104,0.455000013,1.375206589,0.074488167,0.4366,1.420378554,0.076106341,0.453000009,1.487552867,0.075489169,0.434500009,1.393271911,0.076561822,0.425399989,1.411230812,0.074835299,0.440899998,1.351502389,0.081398915,0.430200011,1.395278363,0.073413646,0.450300008,1.388403515,0.074578848,0.455000013,4.870152495,0.075680833,0.446999997,1.389640465,0.074726671,0.416500002,1.421774089,0.074006727,0.449800014,1.341568652,0.074328243,0.435799986,1.439287043,0.074603803,0.444400012,1.380893621,0.07424855,0.443800002,1.362499506,0.074390548,0.442200005,1.379498522,0.073568465,0.425999999,1.454440303,0.078345814,0.406399995,1.433074516,0.074570933,0.44659999,2.42532441,0.109720515,0.437400013,1.388781903,0.075420814,0.423599988,1.419997035,0.074403566,0.439399987,1.37676156,0.074161145,0.444700003,1.367544627,0.073772902,0.434899986,1.396868587,0.07563104,0.437700003,1.343803738,0.074609117,0.454400003,1.401765201,0.073635739,0.4287,1.37805677,0.07508305,0.445300013,1.435936716,0.074951674,0.44690001,1.382745082,0.078195294,0.435299993,1.403612114,0.076959844,0.423099995,1.427064411,0.073641853,0.428299993,1.435868041,0.074581055,0.434799999,1.434991916,0.075483943,0.440800011,1.417531301,0.081506609,0.432000011,1.375848981,0.60029578,0.441700011,1.371222375,0.078162979,0.439999998,1.382118906,0.074280942,0.451900005,1.417974204,0.075078055,0.443500012,1.35262104,0.075496315,0.445100009,1.412397588,0.090897944,0.416399986,2.448748559,0.109457055,0.427100003,2.751622492,0.074517385,0.443800002,1.465574991,0.083026929,0.451200008,1.365492956,0.077364312,0.433600008,1.400401407,0.074244081,0.432900012,1.419168171,0.079378806,0.449699998,1.397874949,0.074568649,0.451499999,1.463506633,0.075686444,0.440899998,1.394228021,0.074825086
