Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.638599992,1.595209778,0.066302707,0.716099977,1.552288809,0.065864605,0.693899989,1.573381908,0.065917532,0.656000018,1.572650716,0.066560193,0.660899997,1.601937181,0.065117079,0.701399982,1.580078492,0.06574006,0.689899981,1.559202964,0.065836682,0.658599973,1.597998228,0.064987243,0.701900005,1.589353093,0.06555782,0.655499995,1.558393225,0.066243357,0.718800008,1.554614402,0.065022313,0.653500021,1.549112033,0.066100548,0.688399971,1.57206744,0.06737025,0.695800006,2.483697796,0.072169481,0.692900002,1.571571126,0.065024162,0.681800008,1.602198428,0.065232322,0.689100027,1.595957707,0.065569257,0.693099976,2.342105479,0.066663997,0.670700014,1.585878219,0.06623215,0.667699993,1.581580136,0.064802529,0.644900024,1.555455434,0.065883751,0.657299995,1.587516771,0.066872137,0.71359998,1.535804595,0.06561298,0.690699995,1.546041945,0.066436653,0.691600025,2.97778492,0.074142265,0.655700028,1.594818587,0.067410814,0.688399971,1.587329606,0.06710824,0.676999986,1.542050811,0.066045283,0.682799995,1.55984045,0.065513333,0.695299983,1.586832975,0.066187029,0.67049998,1.633995955,0.067593452,0.665499985,1.611206294,0.066857634,0.714600027,1.572144273,0.064519798,0.611599982,1.570670411,0.066440917,0.677999973,1.602500385,0.067787514,0.638400018,1.584843717,0.065049179,0.669200003,1.619491253,0.092338733,0.675999999,1.615343249,0.068308646,0.662400007,1.61016776,0.091392834,0.66140002,1.571039656,0.065924081,0.720300019,1.667902998,0.065936284,0.675999999,1.592360174,0.065223314,0.687699974,1.568770526,0.065786498,0.713400006,1.588781046,0.065240459,0.683499992,1.674105913,0.084362087,0.674600005,2.245958432,0.066905162,0.695599973,1.553636387,0.065736254,0.630900025,1.549581418,0.065084846,0.67110002,2.174429197,0.065295798,0.695900023,1.587303405,0.065067349,0.638599992,1.595209778,0.066302707
1,0.680000007,1.589095401,0.064956749,0.698000014,1.594525997,0.064880279,0.732200027,1.578879626,0.065350657,0.727900028,1.583544006,0.066598986,0.744400024,1.581004772,0.066600962,0.731599987,1.572087465,0.065240964,0.722599983,1.609571662,0.066729194,0.718999982,1.654354826,0.070019349,0.738399982,1.544794156,0.064366647,0.719699979,1.600557681,0.065475094,0.735199988,4.074392125,0.065254437,0.707799971,1.591266212,0.066647915,0.737600029,1.602041937,0.064862226,0.702400029,1.557081568,0.090792408,0.723999977,2.855041222,0.064552797,0.701300025,1.572540719,0.06489089,0.7403,1.602805756,0.065426255,0.725899994,1.611875776,0.065690126,0.712800026,1.565265514,0.066382735,0.692399979,1.569797626,0.065085699,0.709599972,1.533363114,0.065317272,0.698400021,1.559586509,0.070610339,0.745299995,1.618450152,0.065666243,0.735400021,1.544508771,0.066445718,0.736699998,1.555422175,0.072393158,0.719500005,1.553806905,0.06656781,0.738399982,1.588330183,0.066222507,0.708299994,1.569214487,0.065534512,0.700600028,1.550811637,0.066321551,0.732900023,1.591668238,0.067856663,0.726899981,1.576668799,0.066933141,0.705299973,1.588478736,0.067082569,0.723800004,1.582093303,0.064573806,0.708500028,1.567486656,0.066807819,0.714600027,2.682254358,0.066071299,0.694599986,1.601443048,0.065734882,0.731100023,1.534658714,0.072841441,0.727100015,1.535233216,0.067215383,0.673699975,1.587685611,0.065376156,0.681900024,1.831296208,0.070514099,0.744499981,1.591749639,0.066057344,0.704699993,1.588439485,0.065234994,0.736100018,1.638809442,0.06742927,0.747099996,1.577518751,0.065350385,0.703100026,1.60215962,0.066285423,0.701600015,1.559311259,0.065433289,0.731999993,1.609767921,0.068906699,0.73210001,1.58893646,0.064991522,0.71420002,1.542940666,0.065271474,0.709100008,1.568243733,0.065593482,0.680000007,1.589095401,0.064956749
2,0.713400006,1.613717406,0.066654585,0.712599993,1.601417748,0.065300101,0.747900009,1.561477464,0.067235371,0.747600019,1.531242626,0.064774117,0.753400028,1.578461315,0.06548541,0.758899987,1.578292869,0.06547929,0.725600004,1.633346254,0.071604361,0.748099983,1.626397604,0.064600873,0.757399976,1.607956146,0.06466732,0.753899992,1.578365376,0.065330706,0.745400012,1.589813298,0.064568852,0.731899977,1.555625664,0.064841961,0.7597,1.548757021,0.064807699,0.741599977,1.601990902,0.095288072,0.742999971,1.544889451,0.064907715,0.726999998,1.5892554,0.065411041,0.763000011,1.595314153,0.064678584,0.745999992,1.60633172,0.066389015,0.728500009,1.600267731,0.064257966,0.720399976,1.577268492,0.06426225,0.721800029,1.582099013,0.064842292,0.720499992,1.607116853,0.071289493,0.762399971,3.297739977,0.065457245,0.751600027,1.618340717,0.066648351,0.745599985,1.555100755,0.065402666,0.751800001,1.588352919,0.067549476,0.756099999,1.597027225,0.066135871,0.737299979,1.567350685,0.06474235,0.714299977,1.561233786,0.066570924,0.754700005,1.884576736,0.070439031,0.74119997,1.579779359,0.066044675,0.739300013,1.619081696,0.069096048,0.74150002,1.55705842,0.064412449,0.736699998,1.567460838,0.067477772,0.720600009,1.572055302,0.068413353,0.734600008,1.839305029,0.069180828,0.755299985,1.592733041,0.072103576,0.754000008,1.583874448,0.06659074,0.726100028,1.580270886,0.064399594,0.739799976,1.576610619,0.068793411,0.758899987,1.58438308,0.066370312,0.746800005,1.547585896,0.067016682,0.755999982,1.573803301,0.065443328,0.763000011,1.552939116,0.065032321,0.736199975,1.545655163,0.066375712,0.747600019,1.579386537,0.066928464,0.750199974,1.591054065,0.064874449,0.74849999,1.571531635,0.066908126,0.741299987,1.605898671,0.065782325,0.719600022,1.556757399,0.065924188,0.713400006,1.613717406,0.066654585
3,0.73360002,1.552968136,0.067010947,0.752200007,1.530559351,0.067057839,0.762899995,1.669727704,0.066482061,0.757300019,1.61773356,0.067385454,0.768700004,1.563900994,0.067165653,0.767099977,1.605715691,0.065980714,0.743799984,1.597224831,0.067541952,0.763999999,1.538407715,0.068262305,0.776899993,1.583239728,0.065880723,0.772300005,1.588155796,0.066205223,0.763700008,3.018804716,0.066425259,0.754700005,1.570431879,0.06692957,0.774100006,1.584262323,0.066539057,0.764699996,1.55576654,0.084424812,0.763400018,1.546680072,0.069361648,0.750699997,1.575695003,0.071842332,0.778100014,1.557554687,0.066127961,0.757600009,1.600579302,0.066524702,0.750100017,1.590348395,0.068898855,0.749800026,1.576454193,0.066179072,0.745999992,1.569245348,0.070177395,0.743600011,1.567756247,0.071700477,0.775600016,1.543955903,0.066293458,0.752900004,1.59913067,0.066716007,0.768700004,1.541609534,0.066712096,0.761399984,1.587908864,0.066411284,0.769800007,1.592095599,0.066457487,0.7579,1.847022844,0.084209151,0.728999972,1.550756118,0.06786479,0.770299971,1.588541219,0.065830911,0.747200012,1.600982115,0.066156887,0.741900027,1.559956408,0.066346748,0.754999995,1.564853001,0.06571824,0.75940001,1.595494096,0.065873871,0.738499999,1.566275374,0.068937924,0.741599977,1.603118417,0.065858235,0.764999986,1.539954209,0.197435965,0.75940001,1.596717982,0.067098329,0.752099991,1.570253798,0.067831155,0.759800017,1.588138163,0.066765792,0.76730001,1.585266038,0.06779941,0.766499996,1.597256576,0.067299863,0.768599987,1.633056049,0.067910366,0.772499979,3.828967864,0.068947868,0.760200024,1.588825036,0.066331791,0.764199972,1.550689027,0.066432307,0.763300002,1.553273595,0.066854224,0.745100021,1.594630454,0.06867816,0.750999987,1.598039066,0.068016664,0.743499994,1.594226083,0.066432729,0.73360002,1.552968136,0.067010947
4,0.760800004,1.574449615,0.067338946,0.754899979,1.608680987,0.068825488,0.774200022,1.547240203,0.067259219,0.771099985,1.592203499,0.067140259,0.774800003,1.573198386,0.067985388,0.772099972,1.630385907,0.067058487,0.753700018,1.599314938,0.066942858,0.781799972,1.601408274,0.068988139,0.786300004,1.588861947,0.067391491,0.782000005,1.573640259,0.066851713,0.777899981,1.574359272,0.068371633,0.765799999,1.571554357,0.067110979,0.788500011,2.256229206,0.083183553,0.781300008,1.597879357,0.074403573,0.772700012,1.602966655,0.068244947,0.765999973,1.568326029,0.067919623,0.787899971,1.573984807,0.068099285,0.770699978,1.541227388,0.068000888,0.761699975,1.55337886,0.067373009,0.762300014,1.57358183,0.066640372,0.744599998,1.587081752,0.066830473,0.7597,1.578508717,0.074148262,0.783399999,3.519286229,0.06806992,0.766900003,1.573993096,0.067043442,0.777700007,1.613886936,0.067453185,0.772700012,1.606528979,0.067378986,0.787899971,1.560651927,0.067987853,0.779699981,1.629506873,0.068867133,0.746200025,1.590928956,0.069256449,0.780300021,1.584187058,0.06843261,0.764999986,5.0130353,0.069451235,0.756200016,1.849306641,0.068323314,0.768899977,1.575404227,0.067483839,0.769699991,1.586214824,0.068294429,0.757000029,1.590633229,0.067606638,0.768599987,1.57668815,0.067605762,0.779299974,1.580244558,0.153815393,0.770900011,1.596758778,0.067624519,0.770399988,1.579911923,0.067723898,0.774699986,1.608408304,0.067246134,0.781499982,1.607709923,0.067189225,0.779399991,1.563030038,0.066696522,0.787500024,1.572332949,0.068700118,0.787400007,1.60213725,0.067154938,0.76639998,1.561606213,0.067104789,0.77670002,1.547709937,0.066585209,0.771499991,1.600053892,0.066786397,0.76730001,1.681202633,0.067437349,0.755699992,1.59395226,0.070570182,0.754100025,1.620811064,0.13013262,0.760800004,1.574449615,0.067338946
5,0.775300026,1.573478948,0.06684215,0.768899977,1.600936459,0.065898784,0.787,1.626801503,0.067572623,0.783599973,1.60388066,0.067961737,0.781199992,2.258657821,0.082722823,0.784600019,1.603922341,0.067882736,0.76639998,1.60749945,0.067531709,0.792999983,1.552185063,0.066958224,0.798799992,1.563049703,0.066239025,0.789099991,1.611265381,0.065870665,0.78640002,1.542110646,0.0683834,0.778299987,1.61050415,0.066255622,0.7949,1.597124934,0.066345439,0.789300025,1.602861314,0.089749372,0.784399986,1.56941972,0.066504125,0.773599982,1.592519161,0.065909159,0.797500014,1.575408321,0.066680244,0.780099988,1.60187696,0.065805896,0.769900024,5.823759151,0.065376843,0.77670002,1.625691179,0.067310124,0.751999974,1.543650966,0.07067702,0.773000002,1.575919752,0.072165505,0.792400002,1.551571861,0.065705286,0.774500012,1.587323941,0.066649414,0.786800027,1.544127308,0.065759749,0.781099975,1.539629723,0.067959649,0.79610002,1.593364491,0.072348376,0.787400007,1.597968785,0.066444325,0.762700021,1.589875856,0.06673458,0.786800027,1.601348804,0.066328842,0.770699978,1.603390277,0.066453586,0.752799988,1.600215143,0.066498723,0.787400007,1.607320843,0.067094634,0.782599986,1.559295482,0.068200113,0.76819998,1.57475247,0.068801714,0.775600016,1.586889457,0.069444847,0.791100025,1.54967345,0.071182728,0.780399978,3.926262289,0.068939087,0.786199987,1.603349386,0.066181498,0.782999992,1.586928888,0.066875463,0.789900005,1.590507751,0.06708196,0.793200016,1.609619479,0.065303368,0.791700006,1.581784594,0.066327815,0.797299981,3.219002659,0.065548252,0.771200001,1.603889892,0.065623006,0.779699981,1.588835133,0.066689529,0.77579999,1.590056128,0.065761502,0.772099972,1.541718587,0.066779962,0.767499983,1.604609152,0.066315478,0.761600018,1.617976086,0.065957657,0.775300026,1.573478948,0.06684215
6,0.787599981,1.59909639,0.066825238,0.773000002,1.594415195,0.068942788,0.797100008,1.578017381,0.066783592,0.793200016,1.883480533,0.126908504,0.788399994,1.619937095,0.067440356,0.795700014,1.542568636,0.068299617,0.784099996,1.569126696,0.06616812,0.801800013,1.588613454,0.067388112,0.808700025,1.564650312,0.067656972,0.79460001,1.588941111,0.067614218,0.788999975,1.583341204,0.067424504,0.793500006,1.61268983,0.066868104,0.802900016,1.61380989,0.06924999,0.79339999,1.624384952,0.074058548,0.796700001,1.58494257,0.067040699,0.790000021,1.621329803,0.066961254,0.803300023,1.613076545,0.06675031,0.787899971,1.574584048,0.067795759,0.781300008,1.610136167,0.072453744,0.788800001,1.57098781,0.066368331,0.769900024,1.595804434,0.06641394,0.781700015,1.602941369,0.070841749,0.796599984,1.545235016,0.069604676,0.782199979,4.05444824,0.06736373,0.797900021,1.636671737,0.067144637,0.787699997,1.610003312,0.067141373,0.802200019,1.615063408,0.067450011,0.798399985,1.620730285,0.066680063,0.772099972,1.567889862,0.067119223,0.791100025,1.559828363,0.067158499,0.783699989,1.550206868,0.067003481,0.774600029,3.13065983,0.066705545,0.795899987,1.559305831,0.068516524,0.790400028,1.544372286,0.067449834,0.781899989,1.671441124,0.071748665,0.776600003,1.584178829,0.067050864,0.800499976,1.591608159,0.073281242,0.790199995,1.551799299,0.068218027,0.799499989,1.605624284,0.066407098,0.789699972,1.604880519,0.068032954,0.796999991,1.564877802,0.067150783,0.80250001,1.572636904,0.066179873,0.797900021,1.574778624,0.066267204,0.804700017,1.571246922,0.066965921,0.774699986,1.556975575,0.068322304,0.782000005,1.558336603,0.066510003,0.787800014,1.548601916,0.066762666,0.779699981,1.559095889,0.066836527,0.76910001,1.578689056,0.066280619,0.765200019,1.580258967,0.066579737,0.787599981,1.59909639,0.066825238
7,0.799199998,1.603125573,0.066574864,0.77700001,1.578760292,0.067140044,0.805100024,3.38694308,0.065975339,0.797399998,1.583902983,0.067587507,0.794499993,1.578561533,0.065628928,0.804700017,1.855453594,0.094957934,0.79430002,1.646841178,0.068506361,0.804499984,1.600400531,0.068654861,0.813600004,1.569165631,0.066239665,0.803799987,1.569414704,0.067320508,0.800499976,1.594138779,0.066752053,0.800199986,4.030850341,0.066665052,0.81190002,1.588938591,0.120514673,0.803900003,1.579472145,0.075379581,0.797699988,1.603184466,0.06791325,0.793900013,1.562025105,0.067609349,0.809499979,1.579667242,0.067942481,0.791400015,1.548342455,0.066055531,0.792699993,1.546850359,0.067157344,0.795000017,1.564316601,0.069491489,0.790099978,1.577046287,0.066460508,0.794200003,1.578239736,0.072437062,0.800300002,1.628741362,0.077249575,0.792100012,1.596714182,0.067076139,0.80369997,1.62958046,0.066623066,0.791199982,1.571898745,0.06657678,0.805199981,1.597196101,0.066696382,0.805499971,1.584728356,0.065889108,0.784200013,1.61867239,0.068422309,0.805700004,1.608691292,0.068397351,0.792100012,1.597897737,0.067659632,0.788399994,1.586818596,0.06748279,0.805100024,1.619893264,0.066893906,0.795000017,1.581102543,0.068136837,0.791100025,3.354561096,0.067496458,0.770900011,1.58347552,0.06597902,0.801800013,1.556670274,0.089282302,0.800999999,1.559999943,0.068538545,0.801800013,1.597010683,0.066184211,0.787899971,1.578908352,0.068753126,0.80430001,1.603024283,0.06814173,0.808700025,1.627983754,0.066213219,0.806400001,1.551468794,0.070655413,0.815299988,1.55379382,0.066467984,0.789900005,1.593735205,0.068369859,0.792599976,1.632597493,0.06823314,0.804400027,1.586937428,0.066908557,0.792100012,1.583432869,0.066970267,0.776199996,1.582472534,0.065839973,0.779699981,1.576231672,0.066293967,0.799199998,1.603125573,0.066574864
8,0.8046,1.629192462,0.068990449,0.782599986,1.541829947,0.067185282,0.810699999,1.601049984,0.067577073,0.804700017,1.633887272,0.067886393,0.801199973,1.608850314,0.067714861,0.805400014,1.581247431,0.068716477,0.798399985,1.583055468,0.068718379,0.8125,1.533845225,0.070008156,0.818400025,4.55503308,0.067172175,0.804700017,1.637130205,0.069399087,0.805400014,1.615530152,0.067999376,0.804899991,1.600760289,0.067944687,0.815999985,1.634440291,0.067487104,0.806699991,1.627564718,0.078009102,0.805999994,1.655521551,0.072844016,0.810100019,1.566121304,0.067894462,0.814599991,1.540460579,0.068605301,0.794799984,1.614631705,0.067959348,0.799399972,1.631005261,0.066935486,0.80309999,1.587476735,0.067071035,0.807600021,1.635698613,0.067078756,0.797399998,1.555636981,0.074180041,0.80430001,1.555339581,0.066837361,0.796199977,1.572813427,0.067897448,0.804099977,1.551938667,0.067068499,0.801299989,1.595061393,0.070257604,0.810400009,1.559204106,0.068324997,0.814100027,1.572681051,0.067880274,0.794700027,1.621617628,0.068323805,0.814800024,1.558496576,0.067638432,0.78609997,1.559013995,0.06827236,0.794099987,1.565942602,0.06835539,0.811999977,1.644054501,0.06709514,0.800599992,1.594186792,0.067356628,0.800499976,1.60800926,0.067722128,0.785300016,1.618666353,0.067114156,0.813499987,1.575506676,0.086618251,0.807699978,1.61671877,0.070128557,0.809800029,1.592324749,0.067567704,0.787299991,5.71278211,0.069583568,0.810000002,1.619150531,0.069719012,0.816200018,1.578360077,0.068025742,0.814400017,1.623845771,0.067713524,0.819899976,1.933825073,0.078721945,0.8028,1.596705349,0.068162784,0.789499998,1.558119069,0.069589723,0.806500018,1.595455003,0.068700525,0.801999986,1.591262376,0.067980422,0.784699976,1.595654278,0.068513819,0.791100025,1.610432167,0.069664556,0.8046,1.629192462,0.068990449
9,0.809800029,1.639882944,0.068394984,0.788399994,1.601401108,0.067317665,0.813399971,1.579865644,0.067228488,0.818199992,1.591021878,0.067017192,0.810800016,1.60273589,0.067857142,0.809800029,1.619561777,0.06836019,0.804700017,1.588691928,0.067027266,0.813600004,1.574476177,0.069255268,0.819000006,1.613319025,0.067286013,0.811200023,1.596788496,0.068036906,0.809800029,1.584269369,0.067156451,0.813600004,1.588785891,0.067571507,0.821399987,1.570946991,0.068182805,0.817200005,1.616411921,0.103426598,0.809400022,1.578480857,0.067743279,0.813499987,1.64428511,0.067492584,0.820599973,1.573357409,0.069647374,0.794700027,1.59806328,0.067032194,0.804899991,1.612771976,0.068612326,0.810500026,1.592073138,0.067500779,0.818400025,1.604520109,0.068344708,0.804099977,1.594603371,0.073543611,0.812900007,1.555614057,0.06758669,0.805599988,1.61382841,0.066983604,0.807900012,1.652203886,0.067521701,0.811399996,1.587666903,0.069531477,0.817499995,1.569141367,0.068368342,0.819500029,1.606482849,0.06813513,0.8028,1.526814943,0.070018677,0.817300022,1.587994911,0.06685899,0.790099978,4.853983652,0.07230581,0.802100003,1.60247137,0.069030347,0.816500008,1.569825346,0.067959718,0.806900024,1.537836136,0.068609346,0.806800008,1.574982231,0.067949727,0.790499985,1.573070023,0.06838992,0.817799985,1.611618194,0.883533089,0.805299997,1.609855459,0.068663292,0.811500013,1.542984671,0.067884275,0.790499985,1.612581708,0.06844292,0.815999985,1.612611278,0.067918411,0.824899971,1.544416538,0.06755943,0.813499987,1.506573567,0.068516546,0.825299978,1.58455134,0.068339065,0.804899991,1.577931425,0.067112333,0.790400028,1.578390527,0.067798332,0.818199992,1.549634445,0.066912677,0.81129998,3.730457184,0.070394888,0.788699985,1.588083272,0.073336406,0.800199986,1.556584144,0.068333108,0.809800029,1.639882944,0.068394984
