Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.847599983,2.111030299,0.066835846,0.872099996,1.603637621,0.066896195,0.873600006,3.332021058,0.066079679,0.888899982,1.582532743,0.06678485,0.848100007,1.573825617,0.066641623,0.86650002,1.592945502,0.066132702,0.84859997,1.599560453,0.067115802,0.837199986,1.546819946,0.065622958,0.875800014,1.583533638,0.065981462,0.887099981,1.572616832,0.067928183,0.894800007,1.594855561,0.069202316,0.889100015,1.771815512,0.066956561,0.891700029,1.591931019,0.06561131,0.896700025,1.7006889,0.119353658,0.897700012,1.584797421,0.066824309,0.900699973,1.564565395,0.067214558,0.887499988,1.595337134,0.066019166,0.866400003,1.580044079,0.066091791,0.895600021,1.569321299,0.065801321,0.883300006,1.601116575,0.065869127,0.867600024,1.565583616,0.065993979,0.897099972,2.137686836,0.095914966,0.885299981,1.588840895,0.066037253,0.894599974,1.575319928,0.065781421,0.9023,1.573991913,0.066399436,0.895299971,1.583576056,0.068286758,0.878199995,1.601790984,0.068403697,0.829999983,1.564963384,0.067669856,0.875899971,1.591124509,0.068849957,0.862600029,1.59797554,0.067499384,0.848100007,1.61076595,0.067230491,0.898699999,1.61302407,0.066987372,0.899500012,1.544408491,0.065854535,0.892099977,1.632435182,0.067555523,0.872500002,4.828569928,0.066516009,0.885599971,1.552650809,0.066853322,0.851100028,1.813473623,0.078656663,0.862699986,1.641470415,0.067585028,0.884199977,1.560806014,0.067763234,0.894299984,1.598921721,0.066943768,0.865400016,1.621057789,0.067739521,0.889999986,1.565581665,0.06594691,0.881399989,1.57162846,0.066176909,0.89349997,1.565331179,0.06637354,0.894299984,1.546202535,0.066119616,0.856999993,1.576960674,0.065813387,0.883000016,1.59291764,0.066666473,0.870899975,1.571706976,0.066987105,0.885399997,1.593972887,0.066122603,0.887399971,1.521223091,0.067430602,0.847599983,2.111030299,0.066835846
1,0.895699978,1.574772139,0.06671405,0.912899971,1.561959095,0.066465426,0.914399981,1.615867035,0.067041526,0.924700022,1.604151678,0.06573265,0.913200021,1.551344711,0.066920316,0.917299986,1.551523425,0.066584494,0.908599973,1.575699703,0.065565289,0.911300004,1.611894109,0.067141523,0.925899982,1.590138679,0.066716117,0.925400019,1.599763387,0.066651306,0.926199973,1.577387486,0.065767919,0.924300015,1.68343564,0.114777553,0.925599992,1.596663503,0.065315859,0.911800027,1.62393112,0.079567011,0.914300025,1.578892117,0.067778884,0.91900003,3.239776981,0.067416032,0.923799992,1.584989762,0.065607539,0.91869998,1.58372447,0.066752065,0.925599992,1.574429802,0.065987953,0.914499998,1.584606149,0.066335395,0.90109998,1.600433277,0.066499263,0.930499971,1.593975949,0.069294652,0.913900018,1.573971286,0.066809804,0.936399996,1.577068612,0.068220888,0.918600023,1.674211427,0.06562695,0.928900003,1.634364533,0.067706307,0.909799993,1.597386063,0.066921157,0.892799973,1.56050957,0.066370868,0.897300005,1.558353348,0.068186501,0.914099991,1.569516163,0.066150199,0.900200009,1.568054766,0.070342112,0.935899973,1.564549634,0.068237067,0.926100016,1.605056184,0.065664269,0.926100016,1.556125189,0.066191221,0.916199982,1.586608004,0.066113876,0.906400025,1.589583441,0.06567577,0.891799986,1.568736135,0.072414751,0.914300025,1.587052695,0.067911158,0.91900003,1.579259281,0.066873495,0.917400002,1.599997098,0.066824155,0.916700006,1.621238492,0.065808953,0.926199973,1.568674107,0.065740152,0.928499997,1.63299625,0.066186603,0.915700018,1.627307831,0.065697678,0.927999973,1.70621451,0.113103995,0.899800003,1.56102527,0.068759548,0.907100022,1.589382982,0.06616336,0.920000017,1.606703785,0.067912124,0.920700014,1.561247358,0.06663666,0.925999999,1.632380482,0.067320229,0.895699978,1.574772139,0.06671405
2,0.92900002,1.563717935,0.070024409,0.935000002,1.710248634,0.094413753,0.934300005,1.567925554,0.070326904,0.942900002,1.56271538,0.069362194,0.928600013,1.610899117,0.070063417,0.932500005,1.602675863,0.072603979,0.927299976,1.537820678,0.07023535,0.930700004,1.561897538,0.070622974,0.942200005,1.587960781,0.069762168,0.940299988,1.625034162,0.071192973,0.9375,1.551360522,0.070082205,0.939999998,1.550284059,0.071313678,0.938199997,1.554070627,0.069386029,0.933499992,1.594667563,0.091032888,0.921299994,1.568521922,0.069345481,0.940100014,1.593128933,0.070526288,0.943599999,1.60346194,0.069903338,0.935299993,1.566864214,0.070275749,0.936500013,1.569318603,0.068943931,0.939800024,1.567192713,0.069203158,0.92019999,1.785017856,0.069092887,0.93870002,1.612096004,0.075907292,0.921400011,1.568781117,0.070245313,0.943400025,1.555836512,0.069421144,0.930499971,1.551814226,0.068910375,0.942300022,1.775091575,0.092385438,0.933000028,1.590173328,0.071471351,0.912800014,1.561806281,0.070351776,0.919799984,1.567717068,0.070123979,0.92900002,1.556029628,0.070941734,0.932500005,1.596204035,0.071379759,0.942499995,1.558607754,0.071119401,0.942900002,1.540258453,0.06921075,0.940199971,1.588598615,0.072330806,0.926800013,1.534981439,0.070771969,0.931100011,1.557802061,0.111084701,0.915099978,1.553984753,0.109412819,0.91900003,1.842313872,0.070840909,0.922299981,3.490079436,0.06952459,0.931500018,1.587069962,0.070663788,0.932900012,1.590093442,0.070403494,0.942200005,1.574615438,0.071388559,0.934700012,1.55787476,0.070828702,0.933399975,1.595836237,0.070061684,0.941699982,1.586694946,0.069877341,0.927100003,1.578850746,0.07068532,0.918299973,5.085281667,0.07189689,0.929400027,1.581473353,0.069809015,0.942099988,1.578453146,0.070998258,0.940999985,1.594851087,0.069250789,0.92900002,1.563717935,0.070024409
3,0.944899976,1.557432102,0.068329502,0.94569999,1.650487536,0.067380023,0.940800011,1.63131257,0.084550076,0.948800027,1.56544944,0.06724736,0.943599999,1.561441437,0.069852448,0.943400025,1.569346094,0.069694866,0.940299988,1.577569575,0.067175795,0.943000019,1.555491103,0.069684091,0.946099997,1.591024125,0.068148095,0.945900023,1.576906909,0.06845439,0.945200026,1.611894807,0.067331434,0.947099984,1.605208978,0.068221785,0.94660002,1.619586083,0.067925518,0.940699995,3.383489524,0.076391187,0.935500026,1.589588879,0.068693805,0.945900023,1.566931716,0.067134674,0.951099992,1.568365768,0.066951193,0.943899989,1.582757892,0.068173353,0.942499995,1.554362934,0.067167397,0.944800019,1.684748159,0.073264349,0.932200015,3.501940461,0.068837124,0.944199979,1.540856894,0.077154672,0.929499984,1.556472604,0.068017048,0.94599998,1.555673774,0.068056667,0.943799973,1.549408215,0.067262022,0.949199975,1.567649125,0.069585319,0.943799973,1.571177332,0.06786585,0.927699983,1.55603938,0.069393859,0.941399992,1.568976319,0.067404889,0.940400004,1.601916761,0.067389414,0.941900015,1.542504005,0.068619091,0.94690001,1.556028626,0.069687971,0.950600028,1.568537371,0.067280902,0.948899984,1.732158461,0.073321969,0.938899994,1.600821669,0.06856751,0.943400025,1.584341492,0.067314366,0.931999981,1.608157288,0.072331824,0.941999972,1.583618297,0.069625852,0.934000015,1.57160949,0.068073069,0.943799973,1.577411539,0.071098688,0.94660002,1.58586212,0.069270239,0.949100018,1.791680365,0.067630827,0.942499995,1.571334786,0.067767418,0.93779999,1.56854269,0.068693087,0.953199983,1.570373105,0.067248364,0.935100019,1.547308189,0.068719166,0.940999985,1.591131104,0.067779727,0.935400009,1.591086905,0.068638414,0.950500011,1.581365047,0.069000268,0.946699977,1.579172179,0.068461549,0.944899976,1.557432102,0.068329502
4,0.948300004,2.069441082,0.097910121,0.94630003,1.61759537,0.06911221,0.944299996,1.559391299,0.06658113,0.957099974,1.54853713,0.066678929,0.952799976,1.626947,0.068444103,0.956499994,1.610303675,0.066652002,0.94660002,1.544868871,0.068879718,0.943300009,1.616959435,0.06789971,0.952799976,2.059454376,0.068958098,0.952899992,1.588180011,0.067291808,0.948300004,1.588735394,0.067139787,0.950299978,1.562707643,0.066642925,0.953800023,1.560884939,0.067497195,0.949599981,1.592627601,0.076979061,0.947000027,1.57118252,0.067930705,0.948599994,1.553651166,0.066964236,0.954699993,1.603546062,0.066938864,0.949699998,1.581937882,0.066642388,0.945100009,1.595495387,0.06678989,0.952000022,1.575908615,0.06742478,0.938300014,1.610640913,0.067856662,0.952400029,1.601060561,0.073421921,0.933499992,1.531606565,0.067656896,0.953999996,1.732100113,0.072357731,0.954900026,1.595782227,0.066639026,0.953299999,1.556187522,0.067606911,0.952000022,1.581528109,0.066711244,0.914399981,1.580344692,0.06745021,0.94749999,1.55902056,0.073879839,0.949500024,1.549097919,0.067873414,0.944100022,1.593050315,0.06722563,0.947899997,1.568468022,0.068967768,0.957199991,1.583837537,0.066578669,0.954100013,1.610494669,0.068089362,0.94630003,1.564404053,0.067590874,0.952300012,1.579801997,0.06698215,0.948899984,1.592919915,0.161175869,0.95480001,1.553744496,0.067299158,0.947600007,1.575123777,0.06687194,0.948800027,1.545013014,0.066816796,0.952199996,1.605854688,0.068106635,0.950699985,1.577220601,0.067002067,0.943300009,1.567750297,0.067479097,0.944500029,1.604596118,0.068036168,0.956700027,1.541194314,0.067058558,0.943899989,1.552824561,0.067698264,0.951300025,1.567457474,0.06811317,0.945299983,5.640309631,0.06710235,0.954999983,1.589033642,0.069023145,0.950500011,1.561481128,0.067771585,0.948300004,2.069441082,0.097910121
5,0.959900022,1.573246848,0.06764335,0.948000014,1.585209672,0.066641607,0.953100026,1.536596214,0.066545776,0.962899983,1.537671608,0.068495418,0.95450002,1.592336921,0.066631319,0.96420002,1.572400067,0.066676368,0.950500011,1.580269274,0.06779795,0.952600002,1.566407344,0.067372601,0.958599985,1.564215361,0.066592038,0.955500007,1.853070063,0.067782905,0.957499981,1.568575623,0.06608964,0.953100026,1.548386333,0.065926482,0.956099987,1.539374129,0.066754624,0.953100026,1.560491533,0.076682079,0.956200004,1.582892363,0.066515584,0.950699985,1.561677803,0.066772866,0.956799984,1.548591099,0.067643794,0.951799989,1.622009166,0.072307983,0.955299973,1.579468235,0.0663535,0.958700001,1.593759394,0.066195087,0.949800014,1.561593086,0.066679134,0.954299986,1.567623953,0.069519081,0.94599998,1.607366804,0.068403693,0.956200004,1.598714289,0.066640541,0.959599972,1.549503769,0.066932139,0.954900026,1.596416323,0.066863269,0.954299986,1.560373198,0.068202985,0.916700006,1.592354882,0.066511657,0.951499999,1.580237591,0.066764952,0.95630002,1.578766538,0.067983119,0.953599989,1.567642817,0.067908603,0.95539999,1.586887022,0.067407106,0.961399972,5.311118244,0.066194279,0.95660001,1.585370527,0.066837292,0.954999983,4.455254457,0.069611232,0.95480001,1.537254892,0.126834193,0.949999988,1.578916608,0.15756471,0.959299982,1.547778748,0.068993072,0.951399982,1.627155202,0.066418162,0.953999996,1.587611085,0.06625994,0.957300007,1.564157754,0.066502408,0.951600015,1.63148881,0.066906042,0.945900023,1.607169428,0.071789986,0.953800023,1.582043023,0.065995493,0.957599998,1.560468173,0.067054459,0.949699998,1.557261874,0.067860974,0.957099974,1.580288899,0.066512296,0.950999975,1.615998912,0.067415579,0.960900009,1.573702199,0.067843947,0.957199991,1.573088032,0.066144451,0.959900022,1.573246848,0.06764335
6,0.961899996,1.568960524,0.068676946,0.954299986,1.601217725,0.067597067,0.959500015,1.569579086,0.066493073,0.965399981,1.580725206,0.069596312,0.959200025,1.581174034,0.068534601,0.969200015,1.583400833,0.068930367,0.953800023,1.615670018,0.067041779,0.950699985,1.567170409,0.068507282,0.960799992,1.567050204,0.067129362,0.957499981,1.605420076,0.06676565,0.961899996,1.561046875,0.067342793,0.95450002,1.571643779,0.067901748,0.956700027,1.546314057,0.066876404,0.960699975,1.562239721,0.086664722,0.959900022,1.544671607,0.06745416,0.95599997,1.576387603,0.067626171,0.956099987,1.871303384,0.069625544,0.958199978,1.622435107,0.068340463,0.959900022,1.564251519,0.06756512,0.960200012,1.626481956,0.0668001,0.952899992,1.530723983,0.07202705,0.958899975,1.561275283,0.07042832,0.93779999,1.552057055,0.067611774,0.959299982,1.549249011,0.066424234,0.964399993,1.571501519,0.066496751,0.956099987,1.555875022,0.068533423,0.949599981,1.575962547,0.069138122,0.923399985,1.575677594,0.067993173,0.954900026,1.562889065,0.068031109,0.961099982,1.603663709,0.068007788,0.959599972,1.595320705,0.068181356,0.959699988,1.648561297,0.08787831,0.966300011,1.613183422,0.066967291,0.958899975,1.577837858,0.068200012,0.955200016,1.587896261,0.067056654,0.958999991,1.613975137,0.06643666,0.953199983,1.595848032,0.119169265,0.961799979,1.5865208,0.066979678,0.953599989,1.555893342,0.066596915,0.957199991,1.513863334,0.067853475,0.961700022,3.160039775,0.06720422,0.957700014,1.570022276,0.067950696,0.948899984,1.61127109,0.067014201,0.956499994,1.594006943,0.067977011,0.961199999,1.602203605,0.067471149,0.953299999,1.57128,0.068433312,0.961099982,1.568116292,0.067195884,0.953299999,1.62261281,0.073484276,0.962599993,1.594834649,0.067553407,0.958400011,1.574894412,0.066799059,0.961899996,1.568960524,0.068676946
7,0.966099977,1.56065384,0.06787281,0.955900013,1.536625758,0.065216444,0.961700022,1.597089951,0.06673099,0.967000008,1.608414511,0.065629096,0.959999979,1.546516117,0.065544478,0.971599996,1.553443867,0.069318645,0.957599998,1.566196822,0.066356119,0.954100013,3.187235779,0.065300709,0.960799992,1.583376521,0.066655313,0.962800026,1.569679754,0.066463908,0.9648,1.676381005,0.090384902,0.95569998,1.565002348,0.066463717,0.954999983,1.560484044,0.066306394,0.963100016,1.570158922,0.075397263,0.962000012,1.610722721,0.066787239,0.962199986,4.524065548,0.066314028,0.958199978,1.590595833,0.066309556,0.962300003,1.596107244,0.065713967,0.961499989,1.60401798,0.065596388,0.963699996,1.617141382,0.06515555,0.956399977,1.644226092,0.113899281,0.958000004,4.641827069,0.074454644,0.933499992,1.591054036,0.067090126,0.962700009,1.551186409,0.065043895,0.967700005,1.563826181,0.066276117,0.958100021,1.607302015,0.065870108,0.944800019,3.369675324,0.065969222,0.934099972,1.552856642,0.069527103,0.958299994,1.555921566,0.065648207,0.966199994,1.552859898,0.065543847,0.961399972,1.535788228,0.065348174,0.961600006,1.544843584,0.065374349,0.968299985,1.552648905,0.065361836,0.964100003,1.592893028,0.066404891,0.959999979,1.570305989,0.066072007,0.958800018,1.58651959,0.065206032,0.954900026,1.56350232,0.070877132,0.965699971,1.717215828,0.071495835,0.960300028,1.55560779,0.065916134,0.960200012,1.594783686,0.066372539,0.962899983,1.580665007,0.066470344,0.959200025,1.547398934,0.066082456,0.950100005,1.57290997,0.065454845,0.956499994,1.577145794,0.067246094,0.962800026,1.568530957,0.066978767,0.961600006,1.524373757,0.065169549,0.963500023,2.114363595,0.06539819,0.95569998,1.997895777,0.066229396,0.965399981,1.536125088,0.06499223,0.962199986,1.555015053,0.065477049,0.966099977,1.56065384,0.06787281
8,0.965600014,1.581692647,0.064832969,0.961300015,1.602953868,0.067296839,0.962000012,1.555100882,0.065383579,0.967899978,1.585897833,0.066013049,0.966300011,1.569626909,0.064813105,0.971700013,1.610356339,0.065772243,0.961499989,1.554586365,0.064475699,0.961199999,1.618771273,0.067490811,0.965900004,1.613862089,0.066143664,0.960699975,1.556116345,0.064608305,0.959399998,1.622810543,0.066166454,0.962800026,1.553480704,0.065497126,0.958500028,1.569660881,0.065415051,0.961000025,1.601898051,0.076321401,0.96450001,1.603246044,0.06572715,0.964100003,1.606992222,0.066000566,0.958299994,1.587016592,0.067430703,0.96390003,1.563429563,0.065562504,0.964399993,1.567112057,0.066088533,0.964900017,1.557376523,0.066313324,0.954999983,1.610966837,0.06497689,0.962899983,1.575848977,0.071884196,0.943300009,1.569933825,0.067925604,0.96450001,1.528063355,0.065416126,0.967899978,1.612418659,0.066018419,0.963,1.804624202,0.065802506,0.953000009,1.602424873,0.066348087,0.939599991,1.55659716,0.064887319,0.956499994,1.574048479,0.066231999,0.970799983,1.530536663,0.065543097,0.964699984,1.613086928,0.065868805,0.964600027,1.640109286,0.067630814,0.967400014,1.579492722,0.064555159,0.965900004,1.547172336,0.065811656,0.965499997,1.607008915,0.065565834,0.963999987,1.594425874,0.065590377,0.957000017,1.580055122,0.09706406,0.968699992,1.544506459,0.065895594,0.966000021,1.53961766,0.065816832,0.962400019,1.600629459,0.06485176,0.962899983,1.578606623,0.065441745,0.958899975,1.783036306,0.116201954,0.954900026,1.541733721,0.065053453,0.962000012,1.580945582,0.065718981,0.966499984,1.52853214,0.0817598,0.964699984,1.75219303,0.120432023,0.965900004,1.518016096,0.065382715,0.958199978,1.569373569,0.065182796,0.966899991,1.556640012,0.065355498,0.964100003,1.546479855,0.065905278,0.965600014,1.581692647,0.064832969
9,0.964600027,1.566410014,0.068966084,0.963,1.600102018,0.068210888,0.965699971,1.549166732,0.070039361,0.968200028,1.568768837,0.068755664,0.971000016,1.616271184,0.070622491,0.972500026,1.596654644,0.070040509,0.963199973,1.540687949,0.069167562,0.963100016,1.615096581,0.068751452,0.968999982,1.634253528,0.11792346,0.965699971,1.543681536,0.069127266,0.963800013,1.590957655,0.068721834,0.961399972,1.633279726,0.07072182,0.965499997,1.581430462,0.068656878,0.966400027,1.598601449,0.094000927,0.972000003,1.599716613,0.068231816,0.962700009,1.569045574,0.069996212,0.961099982,1.578396215,0.068703852,0.965799987,1.550691522,0.069086865,0.967100024,1.588628325,0.069889455,0.968599975,3.955618245,0.068375158,0.956099987,1.58223521,0.069160955,0.965499997,1.557938595,0.07529142,0.938899994,5.141736468,0.07032202,0.968100011,1.613617315,0.069482259,0.967400014,1.57039823,0.069206844,0.96509999,1.556814047,0.069797139,0.961099982,1.561836788,0.07095727,0.947600007,1.613300394,0.06900824,0.96450001,1.589456864,0.070621559,0.970300019,1.587696058,0.071888888,0.966000021,1.585403133,0.069534377,0.966000021,1.603934162,0.069426611,0.965900004,1.550454776,0.068568919,0.968200028,1.866981392,0.071184342,0.967499971,1.536328067,0.069415081,0.965799987,1.599329344,0.068827335,0.958100021,1.547331117,0.144741954,0.971599996,1.565382949,0.069120707,0.966600001,1.568953426,0.071972642,0.964399993,1.608840871,0.068865672,0.967000008,1.625563576,0.202865968,0.961799979,1.56568253,0.068598987,0.957000017,1.529640572,0.068924542,0.962899983,1.566954786,0.068157369,0.964100003,4.455852578,0.069538118,0.967599988,1.666915584,0.069312483,0.968699992,1.572143941,0.068947359,0.964699984,1.580462221,0.070569733,0.969399989,3.732442229,0.068704237,0.96359998,1.5765029,0.080269668,0.964600027,1.566410014,0.068966084
