Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.638599992,1.539746473,0.147250924,0.716099977,1.579729637,0.14004319,0.693899989,1.545564848,0.143348173,0.656000018,1.806292738,0.148253786,0.660899997,2.049279412,0.140157449,0.701399982,2.008197338,0.169897391,0.689899981,1.550854372,0.137691016,0.658599973,1.519167742,0.13705013,0.701900005,1.546482699,0.141800115,0.655499995,1.562855863,0.197808479,0.718800008,1.542299956,0.140954533,0.653500021,4.979582854,0.14099935,0.688399971,1.820491439,0.14726108,0.695800006,1.523829738,0.137554255,0.692900002,1.540694229,0.160101581,0.681800008,1.516680166,0.13768524,0.689100027,3.339289164,0.137326096,0.693099976,1.647012249,0.143905084,0.670700014,1.542280156,0.144835026,0.667699993,1.601847514,0.144733408,0.644900024,1.54575967,0.150577672,0.657299995,1.602501353,0.142907267,0.71359998,1.574655605,0.141328856,0.690699995,1.589041812,0.142388059,0.691600025,1.542960019,0.145030641,0.655700028,1.529748064,0.138185147,0.688399971,1.871026306,0.134816241,0.676999986,2.220913631,0.143785018,0.682799995,1.729718558,0.148059621,0.695299983,1.777698116,0.149856879,0.67049998,3.763533421,0.174564134,0.665499985,1.5265292,0.137080285,0.714600027,1.571966378,0.136944023,0.611599982,1.523721606,0.157871481,0.677999973,1.584355914,0.154979433,0.638400018,2.734246304,0.143011946,0.669200003,2.246588699,0.179008564,0.675999999,1.831986153,0.136147752,0.662400007,1.563862427,0.140887199,0.66140002,1.852349788,0.14297471,0.720300019,1.554905341,0.146296889,0.675999999,1.554368466,0.140873746,0.687699974,1.538865468,0.138656659,0.713400006,2.194857007,0.197669393,0.683499992,1.535528154,0.138756404,0.674600005,1.576333889,0.14337907,0.695599973,1.901051695,0.141246405,0.630900025,1.611259061,0.141796425,0.67110002,1.603281169,0.141780049,0.695900023,1.538213421,0.144647311,0.638599992,1.539746473,0.147250924
1,0.680000007,1.540081187,0.162504945,0.694599986,1.53207946,0.163094864,0.730499983,1.588939308,0.161756534,0.727900028,1.588038469,0.164506817,0.744400024,1.56114096,0.168586195,0.731599987,1.546136974,0.163862201,0.722599983,1.553096252,0.161368055,0.723399997,1.533085034,0.162370936,0.738399982,1.582971132,0.163314417,0.719699979,1.569430664,0.158878319,0.735199988,3.052621467,0.167507051,0.70480001,1.539081574,0.159433762,0.739799976,4.137793664,0.170631538,0.703999996,1.627392167,0.180126164,0.723999977,1.794353153,0.228440368,0.701300025,1.540391522,0.160624061,0.7403,1.564619591,0.160629311,0.725899994,1.53790097,0.161352672,0.712800026,2.018721054,0.167582237,0.692399979,1.574332297,0.163424062,0.709599972,1.643318079,0.160398686,0.698400021,1.54912542,0.159300053,0.745299995,1.662873,0.170019046,0.7324,1.52793612,0.159809343,0.736699998,1.552912082,0.160883691,0.719799995,1.561423547,0.163065526,0.734899998,1.545443729,0.161342586,0.708299994,1.584103547,0.229125527,0.700600028,1.533657997,0.162125773,0.732900023,1.624112159,0.169490878,0.726899981,1.541106384,0.170970263,0.70450002,1.54227002,0.163299736,0.722299993,1.520552875,0.259740082,0.708500028,1.550261477,0.164458919,0.714600027,1.576380746,0.162865941,0.695100009,1.540065038,0.164760195,0.731999993,1.532974463,0.170118104,0.729399979,1.541083355,0.163916478,0.673699975,1.579555525,0.161195567,0.681900024,3.918657288,0.171443658,0.744700015,1.585295763,0.162170447,0.703299999,1.550472954,0.158671845,0.736100018,1.555288288,0.162621985,0.743200004,1.542039579,0.168828115,0.704100013,1.806309625,0.180490993,0.701600015,1.565075311,0.162998562,0.731999993,1.575125504,0.16190076,0.73210001,1.537039163,0.216234319,0.71420002,1.982472978,0.170730417,0.709100008,1.541559599,0.161518041,0.680000007,1.540081187,0.162504945
2,0.711300015,3.664858688,0.17026672,0.708100021,1.572691465,0.171613141,0.744499981,1.533868959,0.177709211,0.752300024,1.542393504,0.180348364,0.754400015,1.539655601,0.175771731,0.751600027,1.538886104,0.230974493,0.730199993,1.751428714,0.17498408,0.746800005,4.178567384,0.180073641,0.762399971,1.543928871,0.173005054,0.750100017,1.565830771,0.17099875,0.746900022,1.552982108,0.169492038,0.732200027,1.529945602,0.168967917,0.758599997,1.540122715,0.175065271,0.738099992,1.566553943,0.171910319,0.744899988,1.55777566,0.170786563,0.730000019,1.950457665,0.204734285,0.761399984,1.542504225,0.171278453,0.737399995,1.557952733,0.172925916,0.727299988,1.553402415,0.168849424,0.725000024,1.561510405,0.173707769,0.722299993,4.038943835,0.17447497,0.717800021,1.615992182,0.230975282,0.764699996,1.540626352,0.170930639,0.74849999,1.605070346,0.170770977,0.742699981,1.536159382,0.17025289,0.75150001,1.541839965,0.172688884,0.757099986,1.817739875,0.17438946,0.736400008,1.538536103,0.17804544,0.713100016,1.535662295,0.173289875,0.755699992,1.57701645,0.170588525,0.742900014,1.563278284,0.177593921,0.734000027,1.540932042,0.169793122,0.744300008,1.565552454,0.169556708,0.731299996,1.568729503,0.172844652,0.728600025,1.612125951,0.17769427,0.734799981,1.532707242,0.174310337,0.756299973,1.533781894,0.297457239,0.750800014,1.543990979,0.176164534,0.727100015,2.4942263,0.353498969,0.726400018,1.525613519,0.171567165,0.757399976,1.531648833,0.169366681,0.74879998,1.55769174,0.169511359,0.757700026,1.562982469,0.171779227,0.762399971,1.548834429,0.183131879,0.739199996,1.531389875,0.16873999,0.738900006,1.55200803,0.170063086,0.751800001,1.546487475,0.168708766,0.750400007,1.549077747,0.171032499,0.733399987,1.542886178,0.174038433,0.726599991,1.667186311,0.177927181,0.711300015,1.664858688,0.17026672
3,0.734700024,1.539232202,0.181589721,0.743900001,1.534325966,0.184308509,0.760399997,1.53835996,0.188312892,0.760699987,1.618826343,0.191720191,0.772599995,1.78286961,0.193482148,0.765200019,1.577969525,0.19784005,0.746500015,1.532220836,0.182245615,0.7676,1.522958914,0.184369965,0.773000002,1.518003345,0.184945104,0.771700025,1.543830346,0.186137283,0.766900003,1.539085826,0.183918563,0.755699992,1.553276597,0.18272824,0.777899981,1.677752264,0.196126198,0.767499983,1.56857555,0.182968909,0.763400018,1.571497668,0.218409797,0.746999979,1.528193871,0.182445676,0.777999997,3.219623118,0.186895626,0.757200003,1.553545034,0.183957842,0.743900001,1.546600793,0.182997714,0.748899996,1.568439125,0.187885642,0.735499978,1.58888411,0.188694524,0.742900014,1.534674437,0.182163095,0.772599995,1.554825702,0.183001352,0.756299973,4.43626841,0.186936205,0.761900008,1.558592618,0.181333601,0.762899995,1.585369325,0.184654523,0.766900003,3.558248023,0.18530657,0.760900021,1.852824246,0.195357819,0.722500026,1.535521262,0.1825122,0.769699991,1.561663482,0.184493271,0.746999979,1.622372286,0.195199216,0.74119997,1.526270553,0.182502735,0.760599971,1.555537538,0.183027222,0.760100007,1.579524397,0.185030107,0.734799981,1.556192494,0.185499077,0.75940001,4.032708338,0.195161796,0.767799973,1.62105019,0.200197252,0.762000024,1.523860089,0.187058922,0.759800017,1.534685573,0.181736304,0.762899995,1.539387327,0.184591936,0.769200027,1.53404742,0.182261597,0.765399992,1.554009745,0.182637275,0.770099998,1.52884392,0.186623757,0.774699986,1.781614803,0.195265464,0.748600006,1.540393917,0.184059115,0.764100015,1.555985252,0.182531197,0.761799991,1.528667711,0.183158372,0.754899979,1.576867366,0.18435319,0.74849999,1.556382342,0.181970737,0.747600019,1.57294475,0.18564192,0.734700024,1.539232202,0.181589721
4,0.756900012,1.561747512,0.182338509,0.755699992,4.24403138,0.185221588,0.777999997,1.58194865,0.180648657,0.770699978,1.57670954,0.218439873,0.776600003,1.569096336,0.185812064,0.775900006,1.575506016,0.187232887,0.750800014,1.537671372,0.181059957,0.775900006,1.589398597,0.183326464,0.792800009,1.53842081,0.181401159,0.783100009,1.553166067,0.179260104,0.778299987,1.544987842,0.180940997,0.763800025,1.575116222,0.268508539,0.788900018,1.528751159,0.189722175,0.780099988,2.02250573,0.256395954,0.772800028,1.998472085,0.188452008,0.761500001,1.544982579,0.1807944,0.788399994,1.523792319,0.180549406,0.76880002,1.548023624,0.18440982,0.760800004,1.855209156,0.186525965,0.764599979,1.548373939,0.179367081,0.746900022,1.559419904,0.180392743,0.757799983,1.574593094,0.185893257,0.784500003,1.653606782,0.189296122,0.768700004,1.535498256,0.180948862,0.776600003,1.593824266,0.181623628,0.773199975,1.541380394,0.181481796,0.787299991,1.576406159,0.180629419,0.771700025,1.536507532,0.189013244,0.745299995,1.602102176,0.182541898,0.778599977,2.294185813,0.25610022,0.764599979,1.566817182,0.190148641,0.74849999,1.556383751,0.184061537,0.767799973,1.534944871,0.180304934,0.768100023,1.560995011,0.182373748,0.754999995,1.572969147,0.180883131,0.763400018,1.537218167,0.185378118,0.780399978,1.538664097,0.190490139,0.769299984,1.584759233,0.182656047,0.766099989,5.003397423,0.182566768,0.777999997,1.975658334,0.188785695,0.779699981,3.67384202,0.183944318,0.780900002,1.580265379,0.18176947,0.785399973,1.572136112,0.181421157,0.786899984,1.570545419,0.192879506,0.771600008,1.695937186,0.186015522,0.774299979,1.539706931,0.207067385,0.771600008,1.566504722,0.181316899,0.763300002,1.57777619,0.183083102,0.755200028,1.630290703,0.309912277,0.751800001,1.540739127,0.187955635,0.756900012,1.561747512,0.182338509
5,0.771000028,1.56206103,0.182825029,0.763599992,1.526366847,0.183344869,0.789699972,1.581153117,0.183820315,0.784600019,1.561129414,0.190688757,0.782000005,1.553692523,0.190740474,0.789499998,1.576563613,0.193457646,0.773500025,2.228986135,0.192530978,0.79460001,1.672458326,0.190866134,0.800599992,1.54645722,0.184711595,0.787400007,1.56939946,0.188531357,0.783500016,1.595470325,0.182925991,0.778199971,1.54764473,0.185502666,0.797500014,1.552826866,0.191617264,0.792400002,1.56444618,0.187789925,0.781899989,1.543031693,0.188804266,0.77670002,1.674247995,0.215877059,0.797200024,5.312932757,0.185642716,0.779399991,1.599912432,0.185939044,0.770699978,1.536830435,0.18964089,0.775300026,1.534812746,0.182438219,0.756299973,1.552024106,0.186633794,0.765399992,1.688629594,0.18815719,0.792200029,1.539775387,0.185722025,0.778199971,1.558006126,0.187069099,0.784200013,1.539414112,0.183012941,0.780799985,1.562703659,0.188185612,0.794499993,1.847122251,0.189999163,0.78579998,1.606949374,0.188351599,0.760299981,1.600555604,0.182912085,0.786899984,1.574904127,0.18517063,0.774900019,1.539175481,0.19255197,0.771200001,1.543437478,0.184807776,0.785300016,1.566107356,0.186631264,0.778400004,1.566392736,0.185507735,0.765399992,1.626473789,0.188989541,0.781199992,1.580923183,0.194306999,0.789900005,1.54744299,0.190208586,0.779299974,4.226851797,0.187422545,0.78609997,2.325007838,0.186955241,0.780700028,1.572416787,0.18443655,0.792299986,1.602042709,0.183800387,0.791400015,1.542271807,0.182886839,0.794799984,1.569285585,0.183169807,0.797800004,1.558727065,0.190070783,0.768100023,1.57888487,0.182965308,0.778400004,1.557982087,0.187413925,0.780499995,1.562267818,0.184878827,0.775399983,1.583786299,0.187045883,0.765799999,1.576631487,0.182389498,0.761500001,5.053368515,0.289239231,0.771000028,1.56206103,0.182825029
6,0.789300025,1.574161141,0.17573966,0.77759999,1.526480626,0.177926,0.795700014,3.437446232,0.177671963,0.791800022,2.337275197,0.235795099,0.788699985,1.625926794,0.184162132,0.79549998,2.902832856,0.192283539,0.782599986,1.59126427,0.171453777,0.800800025,1.55768254,0.171220126,0.806699991,1.585376649,0.175595641,0.799700022,1.584088183,0.171527698,0.797800004,1.564320618,0.173891506,0.790099978,1.575395804,0.173370619,0.807200015,1.551874178,0.180154864,0.796000004,1.57853118,0.173391864,0.790300012,1.583006277,0.17407607,0.783500016,1.536967184,0.174209805,0.805400014,1.565309787,0.17277696,0.787400007,1.569310327,0.173351112,0.779299974,1.609053851,0.173024472,0.788699985,1.53867343,0.171259268,0.763400018,1.557728471,0.194581321,0.781700015,1.562918006,0.173318673,0.791199982,1.596170711,0.170277079,0.783699989,1.55461356,0.172994479,0.797900021,1.577474964,0.172852999,0.783999979,1.59277999,0.173128875,0.805299997,1.57656897,0.175263156,0.798500001,2.062660099,0.186328103,0.771899998,3.896945221,0.175191298,0.791700006,1.533859716,0.176479264,0.781599998,1.597092108,0.185038194,0.775699973,1.567224463,0.172421204,0.794700027,1.537396167,0.176566409,0.788100004,1.594277273,0.172492229,0.781899989,1.564216082,0.178565813,0.778100014,1.728772766,0.195494206,0.796700001,1.716196087,0.180917673,0.790099978,1.593556685,0.177002017,0.799499989,1.533672379,0.187167042,0.793299973,1.546464141,0.172662512,0.796199977,1.554505928,0.257769699,0.802699983,1.560616806,0.171810743,0.800800025,1.560610047,0.171810059,0.804199994,2.134934925,0.462817056,0.782500029,1.538621387,0.17324603,0.785899997,1.55299362,0.172450427,0.791599989,1.577932581,0.171908442,0.785300016,1.572301352,0.173002267,0.765799999,1.545059139,0.176091055,0.773599982,1.585641895,0.172500681,0.789300025,1.574161141,0.17573966
7,0.797399998,1.594536915,0.180675162,0.777999997,1.621136998,0.180747292,0.805700004,1.554375559,0.181406658,0.797500014,1.58595497,0.190350669,0.797599971,6.60151866,0.188524237,0.802999973,1.569421684,0.186916244,0.793600023,1.552053037,0.18262498,0.809800029,1.580000034,0.181202433,0.813399971,1.514118141,0.183812096,0.8028,1.57982944,0.181316785,0.798699975,3.393408322,0.187880456,0.800300002,1.560843182,0.187460689,0.811500013,1.579695468,0.211850096,0.800999999,2.086677874,0.191478807,0.796500027,1.586579038,0.283001355,0.802200019,1.556523335,0.181897981,0.809400022,1.547069909,0.182282234,0.788699985,1.553965322,0.182863577,0.794499993,1.574670555,0.188310406,0.796500027,1.536045612,0.181666716,0.796700001,1.550496712,0.182930279,0.793299973,1.561787118,0.187422603,0.796800017,1.809094201,0.220534381,0.793799996,1.531540978,0.181217061,0.7949,1.554983168,0.187729783,0.793299973,1.544468725,0.187375709,0.808099985,1.633137523,0.184753051,0.809199989,1.539706628,0.190597929,0.782899976,1.555996646,0.186395679,0.802200019,1.898739898,0.256311369,0.788600028,1.550811573,0.189648514,0.787599981,1.571942209,0.180646506,0.802699983,1.564086188,0.188025206,0.794399977,1.573486291,0.181921571,0.79460001,1.542931071,0.222975459,0.77579999,1.548640437,0.186811099,0.806699991,1.539740257,0.223349432,0.797399998,1.552948467,0.18418208,0.804700017,1.593171872,0.186725267,0.788100004,1.927655384,0.240743473,0.801999986,1.582542209,0.182090034,0.808300018,1.609354842,0.185169932,0.808600008,1.555173883,0.18136585,0.814400017,1.560334495,0.189639685,0.779600024,5.875559802,0.213186285,0.787800014,1.61080022,0.181792296,0.801900029,1.561660932,0.193977288,0.790799975,1.518432518,0.20589647,0.778500021,1.617821563,0.220172565,0.783200026,1.558216295,0.184755827,0.797399998,1.594536915,0.180675162
8,0.805899978,1.544874213,0.197624454,0.777899981,1.587349623,0.191370591,0.809700012,1.584994238,0.190077794,0.809000015,1.551005005,0.199159207,0.804700017,1.570676922,0.195892604,0.804700017,1.584941217,0.196846446,0.797900021,1.884943283,0.235741391,0.808700025,2.357058004,0.212656508,0.817099988,1.537605558,0.1910155,0.808099985,1.550050241,0.242218073,0.805700004,1.621046672,0.189207396,0.806100011,1.586702963,0.194950731,0.815599978,1.574565695,0.199540166,0.806699991,1.578856184,0.194545956,0.806500018,1.576562451,0.194617976,0.805700004,2.240165528,0.251028496,0.814300001,5.258836146,0.191921139,0.794700027,4.861564193,0.190061117,0.799199998,1.592545041,0.191170269,0.805000007,1.530771766,0.189903043,0.803300023,1.573794731,0.193957016,0.799099982,2.630527039,0.227727671,0.804799974,1.5350996,0.191718398,0.791999996,1.570706506,0.274127054,0.807500005,1.607323069,0.191930144,0.801500022,1.564852883,0.190102044,0.808000028,2.307519995,0.21008838,0.816999972,8.503084565,0.208132865,0.793500006,1.556844673,0.192716276,0.810899973,1.530008267,0.190504735,0.78609997,1.551447334,0.199660687,0.799199998,1.52231335,0.194071199,0.81370002,5.670904458,0.196977095,0.799600005,1.545421692,0.189867403,0.803200006,1.657144343,0.195460735,0.788600028,1.584726576,0.263086584,0.813799977,1.564604451,0.251008124,0.806500018,1.56212428,0.194872237,0.805899978,1.892292851,0.29263535,0.784099996,1.545719607,0.195118302,0.810000002,1.587277735,0.193421313,0.815400004,1.596498067,0.189107164,0.813899994,1.528921138,0.212562865,0.817700028,1.560652921,0.201855606,0.793500006,1.560879053,0.193092587,0.790400028,1.595312133,0.195839462,0.803799987,1.551168358,0.190163396,0.806100011,1.603187102,0.190805575,0.782100022,8.308771621,0.189912294,0.798099995,7.410005524,0.241973162,0.805899978,1.544874213,0.197624454
9,0.810100019,1.53762451,0.191714883,0.788999975,1.561581868,0.18496119,0.815500021,1.576486547,0.184301079,0.818899989,1.621827519,0.193934968,0.8125,1.774228819,0.222972917,0.810100019,2.211104735,0.218189999,0.804799974,1.53295233,0.192141655,0.81400001,1.543572378,0.184037444,0.818799973,1.556842989,0.214530237,0.808200002,4.205169125,0.185136612,0.812600017,1.554675698,0.190597797,0.812699974,1.571770433,0.185306871,0.821099997,1.615904817,0.202343494,0.816200018,1.549871494,0.190019764,0.813000023,4.924926243,0.185434232,0.81099999,1.573163763,0.185320119,0.816999972,1.576107438,0.184767571,0.79400003,1.572745384,0.182596481,0.801599979,1.540535183,0.188661977,0.812099993,1.557976934,0.188055502,0.819000006,1.55108549,0.183656139,0.802200019,1.555397442,0.186666733,0.806900024,1.568680897,0.245041491,0.808000028,1.584561135,0.184995781,0.807799995,1.57700975,0.186512804,0.802999973,1.592574205,0.188721222,0.813000023,1.560005906,0.185263818,0.819299996,1.577918279,0.31376393,0.800999999,1.594700159,0.288819019,0.813899994,1.563060293,0.184306213,0.785399973,2.148537898,0.278530384,0.806200027,1.572181995,0.19031874,0.818499982,1.577857319,0.184189155,0.803499997,1.602469107,0.188091815,0.811399996,1.577286556,0.185970221,0.79610002,8.227763453,0.193125143,0.816299975,1.585048427,0.20726135,0.810299993,1.576125597,0.187046366,0.810800016,1.552226059,0.18455055,0.796500027,1.56115293,0.184673666,0.816100001,1.574449789,0.189785061,0.826200008,1.564876134,0.185351875,0.817399979,1.599717746,0.185227545,0.823000014,1.727088896,0.312568415,0.813799977,1.585385644,0.184983085,0.797299981,1.595491679,0.184257485,0.818400025,1.586357154,0.185062117,0.808399975,1.597105823,0.190356768,0.792299986,1.547479319,0.189075903,0.802200019,1.572182771,0.18504054,0.810100019,1.53762451,0.191714883
