Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0,0.847599983,1.529899709,0.137159993,0.872099996,1.576578424,0.142706145,0.873600006,1.537562053,0.139679423,0.888899982,1.555762148,0.134706349,0.848100007,1.551017299,0.139912448,0.86650002,1.635128533,0.134506038,0.84859997,1.556828535,0.13408252,0.837199986,1.564814978,0.133435606,0.875800014,1.555375711,0.132368985,0.887099981,1.549101051,0.137413588,0.894800007,1.802601178,0.144519432,0.889100015,1.560289897,0.139860253,0.891700029,1.748308402,0.136953918,0.896700025,1.547545544,0.140381205,0.897700012,1.540976932,0.135397215,0.900699973,1.541627737,0.134218005,0.887499988,1.53756344,0.13655363,0.866400003,1.869610232,0.146928583,0.895600021,1.552001492,0.142561506,0.883300006,1.610156193,0.167244498,0.867600024,1.596836761,0.136966538,0.897099972,1.547012743,0.13769049,0.885299981,1.545878293,0.142653837,0.894599974,2.143354496,0.166771836,0.9023,5.244089996,0.136468193,0.895299971,1.544385254,0.1357302,0.878199995,1.78454853,0.139411517,0.829999983,1.553490873,0.135687304,0.875899971,1.818833273,0.17681497,0.862600029,1.802233175,0.145413142,0.848100007,3.09359032,0.137873132,0.898699999,1.533878827,0.134055311,0.899500012,1.551556603,0.143566948,0.892099977,1.53811239,0.147893566,0.872500002,1.566391921,0.137325779,0.885599971,1.972252468,0.138888366,0.851100028,2.405821098,0.429608129,0.862699986,1.716118213,0.134927548,0.884199977,2.224882284,0.140154558,0.894299984,1.59965232,0.136087569,0.865400016,2.045000467,0.15207408,0.889999986,1.547013547,0.140756045,0.881399989,1.546141033,0.133933787,0.89349997,1.562307698,0.149931639,0.894299984,1.53879242,0.136471136,0.856999993,1.846551886,0.145842433,0.883000016,1.544366888,0.136734486,0.870899975,2.484422765,0.145881818,0.885399997,1.600483838,0.133294139,0.887399971,1.544523329,0.135730947,0.847599983,1.529899709,0.137159993
1,0.895699978,1.545014637,0.174449659,0.912899971,1.563559175,0.174797213,0.914399981,1.541440422,0.172365735,0.924700022,4.190498981,0.179957953,0.913200021,1.537464462,0.186092915,0.917299986,1.550273894,0.180532744,0.908599973,1.543249407,0.174000734,0.911300004,1.546285072,0.17509668,0.925899982,2.020200781,0.182715529,0.925400019,1.56437475,0.178161413,0.926199973,1.591604216,0.178090825,0.924300015,1.541459811,0.180888651,0.925599992,1.600629812,0.179852059,0.911800027,1.591898466,0.173688585,0.914300025,1.609956301,0.177148152,0.91900003,1.542957967,0.174125721,0.923799992,1.560184965,0.211911701,0.91869998,1.549988036,0.179142706,0.925599992,1.703955299,0.176026875,0.914499998,1.54649747,0.172684374,0.90109998,2.06001716,0.177679434,0.930499971,4.203602317,0.176729389,0.913900018,1.555348931,0.174526506,0.936399996,1.579458796,0.176114524,0.918600023,1.561946767,0.179865931,0.928900003,1.644234768,0.197728205,0.909799993,1.574766354,0.178814631,0.892799973,1.618996337,0.181807835,0.897300005,1.587166058,0.172566427,0.914099991,1.655686789,0.17391586,0.900200009,1.563943244,0.181035119,0.935899973,1.549265287,0.175622904,0.926100016,1.55402296,0.179524602,0.926100016,1.659638752,0.21454227,0.916199982,1.531609144,0.176786788,0.906400025,1.544675226,0.176869297,0.891799986,1.536390704,0.197945314,0.914300025,1.549336072,0.173801885,0.914399981,1.569441766,0.173481895,0.917400002,1.549003302,0.175839243,0.916800022,6.549433927,0.179029108,0.926199973,1.620821556,0.20071767,0.928499997,1.571951716,0.179350494,0.915700018,1.546616642,0.178020471,0.927900016,1.582380086,0.173712951,0.899800003,1.551434856,0.265391058,0.907100022,1.8351093,0.198169761,0.920000017,1.566305993,0.172171258,0.920700014,1.657957174,0.173852112,0.925999999,1.573956409,0.177735958,0.895699978,1.545014637,0.174449659
2,0.930800021,1.93885624,0.215825236,0.935500026,1.557596505,0.190793059,0.931299984,1.580810146,0.194689228,0.943400025,1.550299174,0.195019374,0.930899978,1.571934712,0.191504084,0.931999981,1.586383658,0.195771545,0.925100029,1.563056198,0.192264589,0.933399975,1.566919317,0.187803704,0.941999972,4.931838111,0.193315075,0.939599991,1.548277387,0.186736927,0.937399983,1.577673756,0.189329987,0.939800024,1.780544667,0.192810257,0.93900001,1.539849744,0.192038215,0.934800029,1.571262807,0.192518504,0.923799992,1.55174486,0.18742615,0.937600017,3.990332078,0.189056346,0.943400025,1.562050917,0.187892539,0.935599983,1.570605407,0.185197502,0.93629998,5.050520829,0.191773479,0.93870002,1.57474814,0.186104642,0.91839999,1.541600401,0.186986634,0.939199984,1.606533979,0.187497915,0.925000012,1.578140005,0.191621248,0.944100022,1.587408198,0.189596374,0.930400014,1.55537857,0.20836646,0.942600012,1.55974829,0.187130454,0.931699991,1.669122929,0.191426285,0.916199982,1.537018937,0.19493997,0.916599989,1.55203738,0.187383939,0.931699991,1.582920188,0.189506182,0.929400027,1.549383875,0.203683412,0.942600012,1.746596749,0.193864145,0.939599991,1.80643276,0.280293199,0.939999998,1.566718068,0.189052772,0.92809999,1.603591799,0.191402642,0.933600008,1.575425838,0.196391824,0.919499993,1.550555877,0.208294089,0.920700014,1.573288457,0.195200539,0.921599984,1.660474197,0.193911211,0.932600021,1.560435458,0.190472725,0.935899973,1.556728975,0.187674738,0.941500008,1.559435364,0.201369463,0.937900007,4.389208082,0.198380089,0.934700012,1.559711373,0.193952544,0.942399979,1.566145914,0.190777561,0.927299976,1.560860092,0.187648739,0.91839999,1.577144287,0.190926475,0.930999994,1.587596985,0.189073845,0.941500008,1.545435433,0.186898022,0.940599978,1.657137057,0.188014363,0.930800021,1.93885624,0.215825236
3,0.943799973,1.573907379,0.172257242,0.943300009,1.553952937,0.17075396,0.942200005,1.540614776,0.170468277,0.948899984,1.729259247,0.174353697,0.944400012,1.563476899,0.176109785,0.940299988,1.596532596,0.178724087,0.938199997,1.539428884,0.17076023,0.940999985,1.557887732,0.175263417,0.948700011,1.564217018,0.1718412,0.944999993,1.550287404,0.173438557,0.943000019,2.114515341,0.266555403,0.949000001,1.568869035,0.171550653,0.947300017,1.667905959,0.177460199,0.942700028,1.540840363,0.176334972,0.93720001,1.563988637,0.173849253,0.942399979,1.572671734,0.171582866,0.950800002,1.569700508,0.170745058,0.941799998,1.756812218,0.304576242,0.944000006,1.551249011,0.172900038,0.943799973,2.357891252,0.195540295,0.931999981,1.558090852,0.171746393,0.944899976,1.614914308,0.173005643,0.936200023,1.557557091,0.171619897,0.944700003,1.618783939,0.301439316,0.945299983,1.605112659,0.176552419,0.948700011,4.423344683,0.174800726,0.943400025,1.55152274,0.170337347,0.92049998,1.612241859,0.187457965,0.940599978,1.671655201,0.266910949,0.938000023,1.555154799,0.172628568,0.942900002,1.597998398,0.179696807,0.946099997,1.567440572,0.175587558,0.950699985,3.872585157,0.171139635,0.949599981,1.588140212,0.175289528,0.938600004,1.566265472,0.178551223,0.942399979,1.679858556,0.183069072,0.931699991,1.560422048,0.191493336,0.93870002,1.541202729,0.178091656,0.931100011,1.540038244,0.172050711,0.943000019,1.576701738,0.172851189,0.948000014,1.880032325,0.241736161,0.949100018,1.57091785,0.17262448,0.941900015,1.607400228,0.174794785,0.938300014,1.992918273,0.180826949,0.953000009,1.560118237,0.175744059,0.937099993,1.641272339,0.256792532,0.941200018,1.574639159,0.176953954,0.939100027,4.376670765,0.175553582,0.948599994,1.552511094,0.176954654,0.946699977,1.539478076,0.171710533,0.943799973,1.573907379,0.172257242
4,0.954200029,1.560358848,0.180598217,0.948499978,1.565042434,0.180522672,0.946099997,1.578340953,0.187327128,0.955799997,1.597278468,0.182839992,0.949100018,1.565580271,0.180688155,0.956399977,1.534103972,0.187418119,0.9472,1.561822066,0.180018665,0.944599986,2.964146478,0.186956041,0.952799976,1.914478729,0.387658983,0.95389998,1.814622298,0.18884741,0.949500024,1.561121203,0.181923805,0.949400008,1.581076945,0.180752072,0.954999983,1.613275842,0.278530565,0.948400021,1.585314304,0.180227734,0.943799973,1.594758667,0.17946454,0.949999988,1.581456346,0.180589342,0.955799997,1.667006317,0.185037773,0.948099971,1.577062388,0.180247113,0.948199987,1.751973961,0.178460274,0.950800002,1.583858295,0.182147412,0.938600004,2.274960638,0.412102036,0.952199996,1.537320744,0.179481036,0.923500001,1.718541462,0.179922507,0.955299973,1.563184889,0.181837789,0.952300012,1.552414751,0.183224365,0.953499973,2.059195652,0.186750025,0.953700006,1.585696715,0.180266856,0.912500024,1.608421285,0.184727684,0.947700024,1.559901647,0.185540387,0.946099997,1.705542143,0.182493557,0.9472,1.615252215,0.187103494,0.950299978,1.604995561,0.179141646,0.957199991,1.544494257,0.179310735,0.953599989,1.552403393,0.183051687,0.945900023,1.57142379,0.184366222,0.953499973,1.601263676,0.189832706,0.945299983,1.565235066,0.188129328,0.956499994,1.576326796,0.180482681,0.945800006,1.567519647,0.23810881,0.949400008,1.577351329,0.180196319,0.950900018,1.55115688,0.185396481,0.949800014,6.423687222,0.227830457,0.943199992,1.584472421,0.178830261,0.945500016,3.565471067,0.186905195,0.954100013,1.604983998,0.181080299,0.940999985,1.547145361,0.179011587,0.950600028,1.545459095,0.184945227,0.944899976,1.568945047,0.177213982,0.95539999,1.565567427,0.179180582,0.950600028,1.541731277,0.179687089,0.954200029,1.560358848,0.180598217
5,0.958199978,1.735874798,0.175498699,0.950399995,1.742860715,0.174852503,0.952899992,1.559753674,0.173872015,0.961000025,1.591385113,0.176009263,0.955600023,1.582520474,0.177785426,0.965799987,1.575484171,0.178602834,0.949599981,1.660718619,0.170093426,0.9472,1.587327762,0.169891641,0.956499994,1.563762117,0.171141685,0.954999983,1.570965275,0.168279864,0.95389998,1.568989645,0.169577537,0.954200029,1.586225306,0.198449659,0.95630002,1.616711026,0.176529119,0.953499973,2.935611303,0.178847761,0.954699993,1.572719264,0.169213633,0.955200016,1.60345893,0.170222645,0.959100008,1.559243019,0.170117735,0.955299973,1.563019494,0.337434367,0.954900026,1.571176213,0.171963483,0.959900022,1.566085219,0.170146862,0.947099984,1.586351909,0.175331819,0.955299973,1.593448384,0.173227231,0.938899994,1.597549728,0.169628472,0.957300007,1.549991579,0.170300934,0.960300028,2.078687095,0.26285552,0.953700006,1.570147178,0.172718016,0.951799989,1.569625136,0.173710654,0.917299986,1.539539761,0.178859112,0.952099979,1.571560157,0.174595247,0.95660001,1.586389131,0.169592742,0.954100013,1.59414627,0.190207851,0.957099974,1.847942878,0.17991946,0.961099982,2.115178111,0.18316933,0.957300007,1.570914464,0.17029201,0.954100013,4.003388071,0.175900538,0.954999983,1.563265696,0.177372252,0.948800027,1.558232153,0.210397986,0.959399998,1.653908229,0.195072642,0.951900005,1.645836253,0.169871491,0.951600015,1.589632524,0.170271857,0.957799971,1.610203718,0.170350143,0.95389998,1.54951878,0.167935729,0.944800019,1.552398864,0.175183099,0.950699985,1.592552743,0.173955085,0.958999991,1.575317439,0.172001767,0.947000027,1.564784586,0.168097771,0.958000004,1.539576579,0.191703758,0.951799989,3.899617633,0.169034997,0.960799992,1.568342975,0.189755078,0.955500007,1.620715287,0.171556355,0.958199978,1.735874798,0.175498699
6,0.963699996,1.544497199,0.197470522,0.952000022,1.551582231,0.188253404,0.958199978,1.546663641,0.186492241,0.965900004,1.723673922,0.193794305,0.954599977,1.611032507,0.194500344,0.968999982,1.626296171,0.195640055,0.953400016,1.645712957,0.241351144,0.953199983,1.609874018,0.185086349,0.958400011,1.526324104,0.201220267,0.960399985,1.579841984,0.185052654,0.96359998,2.95848222,0.209430035,0.954599977,1.541577769,0.187237733,0.957400024,1.579575941,0.190152207,0.959699988,1.586006091,0.189542126,0.961799979,1.576067205,0.187582435,0.95539999,1.577868726,0.186416723,0.956499994,1.60930321,0.189967716,0.958299994,2.161465072,0.219640113,0.959999979,1.58887097,0.191309819,0.962300003,6.37548378,0.192508474,0.95389998,1.546579657,0.185596661,0.958599985,1.598706776,0.190886519,0.936600029,4.548406404,0.189480421,0.958500028,1.611836332,0.218757845,0.964600027,1.553164802,0.186221585,0.95660001,1.560274556,0.191971605,0.952600002,1.608163892,0.193827377,0.929400027,1.742250833,0.192123814,0.954400003,1.573669246,0.315618097,0.963500023,1.571701558,0.188016036,0.957300007,5.742921304,0.197863348,0.960399985,1.571825,0.191190622,0.966799974,1.555157446,0.186472962,0.957899988,1.547267964,0.188099293,0.957300007,1.57543736,0.188677369,0.959200025,1.694099028,0.192272892,0.951900005,1.571483028,0.198638727,0.962400019,1.567965494,0.188270779,0.955500007,1.569766703,0.185418647,0.958400011,1.574173658,0.187362714,0.959500015,2.409789146,0.262245581,0.956799984,1.554810937,0.190140111,0.952400029,1.608923323,0.187040837,0.957400024,1.617643512,0.204702007,0.961899996,1.592689803,0.186844638,0.956099987,1.667395358,0.213379184,0.964100003,1.566047642,0.188762891,0.95599997,1.647153703,0.190688511,0.962199986,1.557565412,0.186268264,0.959599972,1.621758993,0.185527562,0.963699996,1.544497199,0.197470522
7,0.966099977,1.577092331,0.19157391,0.957599998,5.290916819,0.194637882,0.958199978,1.582497294,0.195505071,0.967999995,7.218364947,0.198582224,0.960699975,1.583263417,0.20489666,0.971499979,1.634844432,0.198242892,0.955799997,1.570100765,0.190988242,0.954999983,1.584746717,0.19101325,0.960099995,2.220177257,0.277372844,0.962800026,1.660712706,0.200701979,0.96420002,1.561575079,0.204137079,0.95630002,1.548522769,0.195936818,0.956700027,1.577571178,0.200622805,0.962100029,1.709818825,0.190414144,0.961300015,1.673981578,0.191399151,0.960500002,1.562948566,0.191210116,0.958000004,1.633423574,0.197210142,0.96450001,1.557105488,0.191868124,0.963999987,1.63051513,0.195246958,0.962199986,1.573335139,0.196272611,0.9551,1.868292738,0.294357657,0.957700014,1.56038968,0.272031261,0.941200018,1.766933888,0.19151447,0.961799979,1.567872066,0.1907789,0.967499971,1.537242193,0.191317273,0.957700014,1.559085435,0.198257288,0.948599994,1.586085251,0.193248782,0.936100006,1.581990884,0.193772572,0.95599997,1.551905934,0.192231487,0.965900004,1.592408633,0.191161381,0.962599993,1.621459823,0.22016415,0.960600019,1.551127147,0.197280451,0.966000021,1.566126289,0.191107681,0.962800026,2.08348517,0.242221157,0.962300003,1.57056192,0.191567209,0.961700022,1.568579558,0.197820985,0.95450002,1.524246318,0.225620404,0.966499984,1.578431282,0.191511419,0.959200025,6.153860778,0.194847019,0.959500015,1.751163719,0.197226917,0.961099982,1.569174785,0.190915048,0.960099995,1.721193317,0.210307183,0.953400016,1.593529983,0.192190331,0.955200016,1.611836668,0.204649533,0.961899996,1.733550868,0.19279422,0.962000012,7.62425201,0.199934361,0.964699984,2.273796525,0.235418501,0.958899975,1.553161134,0.190863334,0.965200007,1.720019177,0.196668964,0.963400006,1.56929895,0.195520605,0.966099977,1.577092331,0.19157391
8,0.964999974,1.601405109,0.358461578,0.958599985,1.668947773,0.287426031,0.961300015,2.002523726,0.267069403,0.966600001,1.577915392,0.196587737,0.967199981,1.582764361,0.196164889,0.972199976,1.585711497,0.196470617,0.961799979,1.628533871,0.192856274,0.961399972,1.65084908,0.190970865,0.965300024,1.584319149,0.190595684,0.96359998,1.553650551,0.190480125,0.965600014,1.627673316,0.191173694,0.959900022,2.166200244,0.199679057,0.960600019,9.439772814,0.196742775,0.963500023,4.212413268,0.191098284,0.967199981,1.571287014,0.190323573,0.96359998,1.555638287,0.191763093,0.960900009,1.555261623,0.214902998,0.964100003,1.580778042,0.376580384,0.96450001,1.589867936,0.189876243,0.96420002,1.549728541,0.188720794,0.955600023,1.600573836,0.190751793,0.960799992,1.736579392,0.191126633,0.933499992,1.605703379,0.194882662,0.963800013,1.596006263,0.190513537,0.966099977,5.652554778,0.213363986,0.964100003,1.562897501,0.194000684,0.950999975,1.582166711,0.193035445,0.940800011,1.56403382,0.229685776,0.959999979,1.56691787,0.194466824,0.970399976,1.5889559,0.191254949,0.964299977,1.561304509,0.194940342,0.964600027,1.630974365,0.256693114,0.966600001,2.06407851,0.204680398,0.966600001,1.570711238,0.197543399,0.966799974,1.609047938,0.197401211,0.9648,1.545648479,0.199913121,0.954299986,1.552258821,0.235718711,0.968800008,1.75773402,0.292509186,0.9648,1.670128306,0.190144334,0.960399985,1.595477008,0.195262781,0.96509999,1.609252709,0.191000831,0.960900009,1.594104622,0.18960833,0.954400003,2.08946661,0.264929897,0.962400019,1.577942966,0.196666108,0.96329999,1.59745797,0.192521898,0.964600027,1.612843752,0.194788851,0.968100011,1.549206271,0.199691608,0.95630002,7.656049143,0.192603801,0.967499971,1.590647331,0.346074345,0.961799979,1.639730695,0.190894228,0.964999974,1.601405109,0.358461578
9,0.967599988,1.554152148,0.188005249,0.963199973,1.601388537,0.189368467,0.96450001,1.57941063,0.191157273,0.966799974,1.781303338,0.192654405,0.970600009,1.711703959,0.196522173,0.972100019,1.668576423,0.192249704,0.963699996,1.58182931,0.186981684,0.961899996,1.594837828,0.18752761,0.967999995,1.581954437,0.189400675,0.969200015,1.577236681,0.263274767,0.963800013,2.084084439,0.197272803,0.964399993,1.570686449,0.189669693,0.967199981,1.78860594,0.195661727,0.966700017,1.601160363,0.185123299,0.971599996,1.546872281,0.246373012,0.961000025,1.614825046,0.193956502,0.958100021,6.418766144,0.187714909,0.966000021,2.116712902,0.271608433,0.966400027,1.574943566,0.187714342,0.969399989,1.82529885,0.232575773,0.957400024,1.55588581,0.186619366,0.96420002,1.596585045,0.187099955,0.939300001,1.565902374,0.188539359,0.969200015,1.703145593,0.289840287,0.968200028,1.596508353,0.187724437,0.962800026,1.564008413,0.188549017,0.960099995,1.619988253,0.192987571,0.950999975,4.470221189,0.19290512,0.960900009,1.616933879,0.1975419,0.970899999,1.579043882,0.193779956,0.963999987,1.720237829,0.216401813,0.966700017,1.588551286,0.19192065,0.967299998,4.326235295,0.187575226,0.968800008,1.565360122,0.188613478,0.966600001,1.615763023,0.18856426,0.965399981,1.730284429,0.237053458,0.958299994,4.325118877,0.313457708,0.970300019,1.630924798,0.189698924,0.964299977,1.605753579,0.18822025,0.96420002,1.56091489,0.192099513,0.967299998,1.893079355,0.193499468,0.961300015,1.571654519,0.190395741,0.960399985,1.576497267,0.321386698,0.96390003,1.727581982,0.19350689,0.964999974,1.565595749,0.188003737,0.966300011,1.679032248,0.197121203,0.969799995,1.591218026,0.191401573,0.963999987,1.709590234,0.305701612,0.969399989,7.686255241,0.193430136,0.96390003,1.598084724,0.189274627,0.967599988,1.554152148,0.188005249
