Unnamed: 0,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,Average Accuracy,Average Training
0,0.226999998,2.232397969,0.225299999,1.315707799,0.204400003,1.315888583,0.253300011,1.32080142,0.242699996,1.579845586,0.247899994,1.307608517,0.227300003,1.30587996,0.2509,1.286409973,0.225500003,1.310164458,0.262400001,1.305314495,0.225500003,1.316856438,0.215000004,1.305517729,0.242500007,1.458189167,0.197400004,1.31285129,0.25819999,1.317617428,0.239500001,1.981816667,0.180099994,1.310186306,0.204300001,1.325008784,0.183400005,1.306360713,0.222000003,1.307525114,0.1928,1.318257086,0.232500002,1.918237188,0.192000002,1.315910352,0.190099999,1.32658986,0.252200007,1.304849971,0.210500002,1.326285752,0.244299993,1.321833888,0.213699996,1.307723684,0.186900005,1.322954457,0.209700003,2.038605486,0.211999997,1.309692795,0.222299993,1.315429612,0.199499995,1.31725734,0.25999999,1.298955817,0.247600004,1.32979387,0.204500005,1.303210215,0.258899987,1.310321255,0.242500007,1.29551673,0.209099993,1.292163234,0.25940001,1.292841186,0.191799998,1.2931663,0.234500006,1.300729512,0.166299999,1.305761679,0.2359,1.300541914,0.238499999,1.297448248,0.224800006,1.464876053,0.227599993,1.293926047,0.269899994,1.289640706,0.223900005,1.48617421,0.25909999,1.303407024,0.226999998,2.232397969
1,0.328399986,1.321658439,0.33829999,1.309633927,0.333299994,1.317253209,0.356700003,1.308255037,0.3292,1.318310353,0.329600006,1.313710544,0.328700006,1.341832214,0.321399987,1.345470723,0.333999991,1.37854839,0.342599988,1.314236262,0.357199997,1.379377938,0.340999991,1.342277116,0.304399997,1.296436675,0.344300002,1.319236049,0.35620001,1.343258308,0.32249999,1.353374383,0.297100008,1.348612878,0.318199992,1.317858954,0.328099996,1.326397849,0.333600014,2.679452719,0.324000001,1.358865968,0.321200013,1.31260139,0.294,1.34737016,0.306600004,1.310107401,0.331699997,1.347903381,0.332399994,1.345142632,0.351500005,1.356406415,0.313199997,1.347163988,0.340600014,1.47009752,0.343699992,1.347902023,0.307300001,1.339786399,0.333000004,1.369756584,0.334300011,1.354661948,0.314399987,1.34461401,0.363900006,1.318951383,0.269499987,1.327205045,0.317699999,1.346813433,0.322899997,1.329168472,0.331999987,1.326270244,0.332700014,1.328645006,0.355500013,1.360857722,0.32159999,1.344145798,0.263099998,1.311814114,0.314500004,2.504799575,0.327899992,1.348758326,0.328700006,1.311208708,0.334600002,1.330423993,0.340600014,1.323251183,0.300500005,1.302456345,0.343899995,1.287988383,0.328399986,1.321658439
2,0.368200004,1.36838072,0.369700015,1.341711182,0.34889999,1.367024733,0.386099994,1.370151631,0.36649999,1.344969578,0.359200001,1.318500607,0.363499999,1.373367394,0.366899997,1.307076967,0.372000009,1.312729284,0.373600006,1.324567206,0.384600013,1.33855807,0.361799985,1.346586655,0.354200006,1.30753543,0.377099991,1.356444893,0.342999995,1.337664655,0.379500002,1.326291627,0.34889999,1.346317594,0.32249999,1.3380035,0.347299993,1.35248543,0.378100008,1.32946292,0.374500006,1.361845226,0.355599999,1.339072338,0.324900001,1.295802941,0.320100009,1.330142638,0.377999991,1.354022823,0.358700007,2.51361551,0.3829,1.344876219,0.368999988,1.324868489,0.365500003,1.33632722,0.373400003,1.348982431,0.334199995,1.33179557,0.352600008,1.343980519,0.38350001,1.344439427,0.338800013,1.340193409,0.37560001,1.339052271,0.335799992,1.317733583,0.36680001,1.340744744,0.373400003,1.301468217,0.365399987,1.329577518,0.370099992,1.311490943,0.380800009,1.330481721,0.354900002,1.316811639,0.309100002,1.304605334,0.369899988,1.343764601,0.365399987,1.351897511,0.3662,1.308642843,0.370799989,1.332028132,0.375800014,1.340532418,0.336800009,1.332709141,0.378600001,2.487533174,0.368200004,1.36838072
3,0.387199998,1.301969397,0.382699996,1.315180019,0.374000013,1.324970859,0.409500003,1.335193316,0.37349999,1.321106224,0.372399986,1.356949537,0.372599989,1.333631208,0.381999999,2.615268729,0.387499988,1.346223545,0.389600009,1.316861417,0.408800006,1.38325138,0.3759,1.339805977,0.385399997,1.339163101,0.400299996,1.326779394,0.368699998,1.330249789,0.399699986,1.339903217,0.363900006,1.330884319,0.355199993,1.32860765,0.377999991,1.344824827,0.393000007,2.531325038,0.389299989,1.36515676,0.383100003,1.333023572,0.334800005,1.336811023,0.367300004,1.30046531,0.395500004,1.349471839,0.376700014,1.311768247,0.401600003,1.377503838,0.397000015,1.370518005,0.38440001,1.340165011,0.382299989,1.302615329,0.344500005,1.304496481,0.379200011,2.567290052,0.394600004,1.425025793,0.354099989,1.366192107,0.413199991,1.353550738,0.369899988,1.355297616,0.394400001,1.341117901,0.401600003,1.319412983,0.384900004,1.316887104,0.397000015,1.319001976,0.396699995,1.32898911,0.374900013,1.337907544,0.332700014,1.379393537,0.399800003,1.310566687,0.379200011,1.343886545,0.390599996,1.345713909,0.393900007,1.350261683,0.388500005,1.333878177,0.367500007,1.359348872,0.383399993,1.351217291,0.387199998,1.301969397
4,0.4014,1.346825851,0.406100005,1.355694253,0.395599991,1.356984103,0.42809999,1.329788268,0.404700011,1.331480002,0.388300002,1.335728935,0.379099995,1.327154265,0.397799999,1.33571619,0.402799994,1.311088498,0.398999989,1.35670315,0.412800014,1.330671153,0.390500009,1.312358396,0.405200005,1.356157835,0.415100008,1.318739879,0.391099989,2.618971299,0.411799997,1.363079711,0.390199989,1.335801328,0.362199992,1.331998744,0.400299996,1.326441546,0.404599994,1.31948112,0.410899997,1.361985465,0.395900011,1.39612832,0.350199997,1.347542122,0.380199999,1.361123566,0.412499994,1.355862275,0.39230001,1.362619097,0.414900005,2.603929586,0.414700001,1.30278173,0.394300014,1.330955451,0.396200001,1.336802066,0.362399995,1.312923674,0.389600009,1.341281777,0.407299995,1.326247707,0.388500005,1.361650331,0.422899991,1.359514819,0.404199988,1.318367541,0.406100005,1.344320869,0.416399986,1.352676971,0.385699987,1.331000025,0.399800003,1.389456338,0.408300012,1.352391905,0.3926,1.361850432,0.355100006,1.367238405,0.419999987,1.352391679,0.396499991,1.329289437,0.406199992,1.349601748,0.408899993,1.332683029,0.412600011,1.33243805,0.390599996,1.356561398,0.398000002,1.35076693,0.4014,1.346825851
5,0.40959999,1.342872203,0.410100013,1.325119143,0.416200012,1.309040838,0.437700003,1.347076826,0.423900008,1.35628194,0.399199992,1.325185147,0.391799986,1.288123926,0.415100008,1.313480297,0.415199995,1.353318337,0.407499999,1.333904858,0.421799988,1.335414777,0.406199992,1.325193099,0.412200004,1.334903446,0.431899995,1.376560362,0.4023,1.3080892,0.429399997,1.311694161,0.396600008,1.316362421,0.381300002,1.325156319,0.419,1.293310382,0.415600002,1.282711737,0.425999999,2.637584674,0.406100005,1.321109008,0.361999989,1.389796962,0.390399992,1.314830756,0.423299998,1.373766507,0.405800015,1.307415034,0.424600005,1.302117006,0.418500006,1.342027683,0.410699993,1.321207534,0.407099992,1.31785574,0.382699996,1.318896361,0.404500008,1.385565826,0.415899992,1.320563228,0.414200008,2.686121566,0.429500014,1.326731337,0.416099995,1.375094488,0.405099988,1.376278262,0.428000003,1.355977777,0.400200009,1.331948131,0.40959999,1.406731258,0.421999991,1.338022774,0.405000001,1.334505129,0.380899996,1.302706981,0.422100008,1.30662865,0.411500007,1.343148725,0.419800013,1.360546737,0.424600005,1.342941436,0.418599993,1.325867475,0.41049999,1.330596363,0.406899989,1.352571192,0.40959999,1.342872203
6,0.416599989,2.585338604,0.424299985,1.354665462,0.431100011,1.334125434,0.439300001,1.332541088,0.42930001,1.417338694,0.414000005,1.371158635,0.408100009,1.320224867,0.423299998,1.373495966,0.418900013,1.323850977,0.4208,1.329486965,0.4287,1.346039188,0.418900013,1.327034175,0.423299998,1.330552156,0.442999989,1.314165857,0.417899996,1.328785201,0.438800007,1.314587021,0.422399998,2.640283257,0.393999994,1.349261348,0.428499997,1.320381262,0.423099995,1.347761349,0.435200006,1.394572726,0.414299995,1.438342699,0.381399989,1.351600182,0.407000005,1.312593627,0.434500009,1.338567377,0.414799988,1.313534789,0.428200006,1.345880624,0.426899999,1.322405204,0.422500014,2.706250075,0.414600015,1.372237248,0.403200001,1.325721406,0.417699993,1.408275904,0.427399993,1.340223294,0.426800013,1.319198516,0.443399996,1.315605455,0.425399989,1.317670399,0.401800007,1.338724684,0.438699991,1.344489597,0.410299987,1.350809641,0.423200011,1.337171361,0.433299989,1.352740017,0.413800001,3.21106281,0.387300014,1.347738885,0.436300009,1.387055705,0.430599988,1.372172552,0.430400014,1.322244534,0.435299993,1.358137851,0.419800013,1.364164725,0.417899996,1.319219865,0.419400007,1.346093163,0.416599989,2.585338604
7,0.415699989,1.337072307,0.424199998,1.350185221,0.441799998,1.33922653,0.447899997,1.349978658,0.444000006,1.320713304,0.423500001,1.324771653,0.419800013,1.331171972,0.442999989,1.366868681,0.427700013,1.315568862,0.437400013,1.311174673,0.429399997,1.298221726,0.432399988,1.370028616,0.431600004,1.330702,0.447699994,1.3487582,0.425000012,1.331358697,0.447100013,1.373146473,0.435000002,1.304159029,0.405800015,1.307607459,0.441900015,1.29614673,0.436100006,1.319702236,0.442200005,1.316323552,0.421400011,1.334213509,0.390799999,1.321661883,0.424499989,1.331069318,0.445899993,2.72665427,0.417199999,1.340627413,0.432300001,1.327376417,0.434399992,1.327335289,0.435000002,1.341398045,0.423799992,1.328849109,0.416900009,1.357028646,0.433499992,1.331687041,0.433099985,1.32622306,0.434700012,1.308653454,0.452800006,1.355304952,0.432700008,1.328104876,0.434500009,1.286800303,0.447299987,1.401840292,0.434199989,1.34514501,0.433099985,1.369491793,0.443199992,1.377585004,0.428900003,1.347534449,0.411799997,1.338177396,0.442499995,1.349966479,0.443599999,1.298296114,0.434899986,1.357915774,0.443100005,1.297717899,0.426800013,2.879400511,0.425999999,1.330863731,0.423299998,1.373438916,0.415699989,1.337072307
8,0.422100008,1.350339342,0.432700008,1.343098181,0.450100005,1.309621507,0.449299991,1.321619758,0.450800002,1.351395009,0.426899999,1.315457964,0.432200015,1.362227097,0.44780001,1.361619103,0.435799986,1.375130924,0.447899997,1.350073926,0.448399991,1.365978544,0.442299992,1.335396939,0.434399992,1.33265454,0.451999992,1.345791942,0.443599999,1.340662579,0.453700006,1.31917646,0.453599989,1.332078876,0.4208,1.313188423,0.449800014,1.329578661,0.447600007,1.354342271,0.450399995,1.381708965,0.432900012,1.426507732,0.407700002,1.380472389,0.435600013,2.70715101,0.452899992,1.337132836,0.434399992,1.384061445,0.442000002,1.36391383,0.431199998,1.382726793,0.438899994,1.332373711,0.440899998,1.302901455,0.431300014,1.317305346,0.445600003,1.318583504,0.440499991,3.214844563,0.446500003,1.37999254,0.460999995,1.348022286,0.435000002,1.381509251,0.432399988,1.326451043,0.462900013,1.359807224,0.445499986,1.359562641,0.441900015,1.343926905,0.450899988,1.351119113,0.432000011,1.333454538,0.416599989,1.321127907,0.45480001,1.315474381,0.453700006,1.327746807,0.442299992,1.384026884,0.448399991,1.338925486,0.435000002,1.334235642,0.430900007,1.331110451,0.43779999,1.319301346,0.422100008,1.350339342
9,0.429899991,1.407875295,0.438800007,1.321705779,0.467500001,1.328193642,0.456900001,3.098567603,0.457800001,1.416540862,0.438800007,1.349814988,0.441199988,1.330114104,0.450300008,1.329790447,0.449299991,1.336853612,0.45629999,1.315150511,0.453000009,1.345544487,0.444799989,1.321195148,0.449299991,1.318233068,0.455000013,1.312671542,0.453700006,1.316950441,0.461100012,1.334023505,0.461199999,2.885640046,0.440100014,1.372352985,0.461600006,1.374535333,0.460500002,1.35757693,0.456900001,1.33812778,0.440699995,1.368751177,0.420100003,1.342999855,0.441100001,1.308127364,0.457500011,1.335240553,0.425099999,1.304726718,0.45629999,1.299952023,0.430500001,1.309834477,0.449299991,1.312758825,0.447600007,1.393202336,0.444200009,1.361478488,0.448900014,1.368047683,0.444599986,1.322071245,0.456800014,1.345684718,0.469000012,1.367371378,0.439300001,1.334623654,0.443800002,1.327470711,0.468699992,1.320573859,0.46450001,1.331351593,0.451099992,1.315622709,0.46419999,1.32969715,0.440600008,2.753768951,0.439300001,1.3431259,0.451499999,1.346762367,0.457700014,1.355412695,0.455300003,1.343210738,0.456200004,1.353184764,0.449499995,1.321463543,0.443500012,1.31045992,0.444200009,1.336747137,0.429899991,1.407875295
