Unnamed: 0,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,Average Accuracy,Average Training
0,0.653599977,1.559215919,0.671599984,1.536379822,0.659699976,1.519575893,0.719399989,1.828488658,0.711399972,1.506468054,0.689800024,1.531891578,0.653299987,1.523700739,0.694199979,1.545626075,0.699400008,1.882209128,0.682799995,1.505646714,0.679799974,1.502643979,0.648100019,1.510539535,0.684199989,1.532477252,0.671599984,1.504519849,0.685800016,1.508063467,0.670400023,1.497411243,0.713,1.498193761,0.684700012,1.509864212,0.710099995,1.515449403,0.68720001,1.490177371,0.671000004,1.514401713,0.678300023,2.038294899,0.654699981,1.49767537,0.643999994,1.550371585,0.67809999,1.50380826,0.678499997,1.494504807,0.675800025,1.492901513,0.705200016,1.507489524,0.683700025,1.502605171,0.674399972,2.160658149,0.708199978,1.50887373,0.655200005,1.492745614,0.671000004,1.49099135,0.637600005,1.499252059,0.711499989,1.507966465,0.678799987,1.505001051,0.690999985,1.499894745,0.682099998,1.494338175,0.685500026,1.487983853,0.663699985,2.26651788,0.681900024,1.502755614,0.685299993,1.50519811,0.666199982,1.498622013,0.655099988,1.509914354,0.704900026,1.510319454,0.673500001,1.520883356,0.68629998,1.517791043,0.657800019,3.642058247,0.693000019,1.521843808,0.670099974,1.517995393,0.653599977,1.559215919
1,0.716899991,1.504926776,0.722199976,1.500700691,0.689300001,1.491023619,0.730300009,1.506755289,0.724099994,1.492467606,0.734600008,1.4968796,0.677299976,1.500084233,0.724399984,2.81474462,0.720799983,1.57501785,0.722100019,1.501058017,0.709999979,1.519997789,0.700500011,1.502806536,0.696500003,1.493226306,0.702099979,1.530440679,0.735599995,1.520641724,0.702400029,1.512106618,0.728399992,1.508998122,0.732200027,1.517126732,0.734499991,1.48823899,0.711799979,3.117945746,0.705900013,1.516288129,0.700800002,1.505174683,0.725000024,1.505758048,0.680199981,1.488427792,0.721899986,1.513055226,0.692399979,1.497983382,0.699100018,1.513388019,0.73269999,1.513944838,0.711600006,1.525250824,0.724600017,1.500659441,0.731400013,1.485446884,0.68629998,2.787885223,0.686200023,1.514988698,0.702700019,1.516260943,0.732500017,2.655389743,0.72329998,1.518891993,0.713699996,1.498993248,0.721400023,1.50915493,0.707300007,1.500469305,0.683600008,1.509847954,0.692300022,1.498159295,0.699199975,1.466932449,0.703299999,1.494132365,0.698499978,2.685942534,0.717599988,1.511570678,0.692099988,1.553973044,0.710200012,1.552664759,0.712499976,1.522345343,0.727199972,1.52162605,0.724900007,1.512848305,0.716899991,1.504926776
2,0.747099996,1.510423092,0.736500025,1.507853924,0.722100019,1.542662784,0.747600019,1.532657358,0.749300003,1.548450611,0.749100029,1.508944134,0.713699996,1.500447176,0.745100021,1.514280699,0.739099979,1.498907123,0.738600016,1.512899532,0.727999985,1.50132479,0.729799986,1.514738443,0.720499992,1.499811078,0.726899981,1.50094141,0.755900025,1.52168822,0.728100002,1.523951498,0.749899983,1.522323315,0.754800022,1.531954226,0.753799975,1.508094842,0.728699982,1.503525862,0.738499999,1.509038004,0.717999995,1.504330086,0.745999992,1.487250499,0.711499989,1.499579848,0.745800018,1.515603492,0.709699988,1.494071611,0.740700006,2.839378319,0.758599997,1.522165252,0.743399978,1.50699062,0.748899996,1.530102016,0.750100017,1.508142971,0.710300028,1.517953261,0.70630002,1.503757091,0.749100029,1.510644571,0.760500014,1.539637683,0.753000021,1.49423052,0.736299992,1.503025979,0.734899998,1.503827208,0.750500023,2.793847271,0.695500016,1.498233698,0.729399979,1.498587836,0.748199999,1.516474275,0.731999993,1.492408621,0.721099973,1.501754551,0.7403,1.502251965,0.722000003,1.500757861,0.743300021,1.503997915,0.727100015,1.507909344,0.760299981,1.498749783,0.749599993,2.842270942,0.747099996,1.510423092
3,0.752399981,1.547273658,0.735400021,1.496263319,0.749499977,1.48939016,0.760900021,1.512510222,0.772300005,1.501402047,0.761200011,1.510645926,0.728200018,1.490060632,0.757600009,2.759152551,0.747600019,1.561204735,0.754800022,1.538289655,0.75150001,1.523855478,0.754199982,1.506545223,0.748099983,1.484291102,0.745199978,1.513968802,0.76789999,1.491580081,0.755100012,1.502112676,0.765600026,1.493748744,0.766799986,1.484346639,0.764599979,1.481224912,0.732500017,1.513034986,0.75819999,1.520917203,0.748000026,1.532144443,0.756799996,1.515057611,0.734499991,1.501164863,0.75880003,1.509224681,0.739899993,1.513422848,0.746299982,1.529297491,0.766300023,1.492180586,0.765500009,1.502225924,0.753199995,1.47877249,0.759000003,1.487558368,0.737500012,1.480403559,0.731899977,2.845527033,0.76819998,1.509706085,0.76849997,2.765465781,0.760200024,1.526604286,0.759199977,1.513427307,0.741100013,1.504778233,0.764800012,1.500862011,0.713500023,1.524483545,0.763400018,1.488137667,0.761799991,1.494796897,0.749899983,1.504428948,0.743399978,1.502661821,0.757099986,2.771240992,0.732200027,1.505483151,0.742999971,1.500197876,0.734099984,1.491795304,0.769800007,1.498040923,0.753600001,1.512662199,0.752399981,1.547273658
4,0.771000028,1.538427,0.739899993,1.523647397,0.764900029,2.760524229,0.763899982,1.564522733,0.782400012,1.525516385,0.773999989,1.51644304,0.741999984,1.527180173,0.768700004,1.49197346,0.772000015,1.501325233,0.762899995,1.506282691,0.765799999,1.485673952,0.763199985,1.489908148,0.768299997,1.502564669,0.762700021,1.48244262,0.782199979,1.491003508,0.768999994,1.525236301,0.781000018,1.529571104,0.775200009,1.521187883,0.77579999,1.506401487,0.741599977,1.505000263,0.767799973,1.494561202,0.771099985,1.497020957,0.768100023,1.488292556,0.75880003,1.509069614,0.770600021,1.478631026,0.759500027,1.490515935,0.7676,1.495177076,0.786000013,1.530747584,0.782400012,1.50839359,0.766799986,1.513761768,0.77759999,1.521248741,0.762099981,1.513948195,0.743900001,1.533419669,0.777700007,1.498197409,0.776899993,1.510942227,0.771099985,1.501819705,0.76910001,1.479429572,0.751100004,1.495275561,0.773999989,1.495714934,0.723399997,2.837846602,0.778599977,1.542059815,0.780900002,1.511339889,0.760200024,1.519487499,0.763599992,1.504764385,0.765699983,1.5037356,0.739700019,1.503847822,0.750400007,1.500030489,0.753600001,1.552146206,0.778500021,1.484357761,0.769699991,1.503405543,0.771000028,1.538427
5,0.780900002,1.523473592,0.754400015,1.503273619,0.778500021,1.503288576,0.773000002,1.50380284,0.79549998,1.511175659,0.783900023,1.507491081,0.754599988,1.504823433,0.777999997,1.490030081,0.785700023,1.492879022,0.779100001,1.557208376,0.779900014,1.529399015,0.782299995,1.505958684,0.779399991,1.501547534,0.771600008,1.505320369,0.787999988,1.503685086,0.788699985,1.495611449,0.789300025,1.501091498,0.780200005,1.504980371,0.782000005,1.499640805,0.758700013,1.466779779,0.782500029,1.504349593,0.775099993,2.876978939,0.780200005,1.541053965,0.779299974,1.482055619,0.781000018,1.541985583,0.760999978,1.515779816,0.776199996,1.504592749,0.796199977,1.543787874,0.789799988,1.530406936,0.778999984,1.50458343,0.788399994,1.488112442,0.778900027,1.490187288,0.750100017,1.49294929,0.790499985,1.511470598,0.782100022,1.495773771,0.783699989,1.546617547,0.785000026,1.516809501,0.763000011,1.534895965,0.791400015,1.509208753,0.737600029,1.498858035,0.782999992,1.499459037,0.786899984,1.499896117,0.77609998,1.50364095,0.76730001,1.498781675,0.778900027,1.498062663,0.756900012,2.801070279,0.761300027,1.506849513,0.758000016,1.510745201,0.785899997,1.512288175,0.773299992,1.516758261,0.780900002,1.523473592
6,0.792900026,1.508478427,0.764999986,2.819149927,0.798399985,1.497514207,0.791499972,1.488991768,0.802100003,2.832303343,0.794399977,1.51748827,0.762000024,1.560426939,0.787899971,1.510734296,0.793900013,1.519186449,0.786800027,1.533165553,0.78670001,1.494906073,0.785399973,1.49595826,0.784099996,1.53412146,0.778100014,1.493935375,0.800599992,1.496060176,0.799600005,1.485403824,0.79460001,2.871451876,0.786300004,1.514424563,0.792400002,1.533689557,0.764400005,1.515568787,0.799099982,1.52140953,0.780300021,1.494067963,0.790499985,1.490483586,0.786499977,1.52693383,0.796500027,1.5075174,0.781400025,1.493397451,0.787100017,1.491629042,0.804700017,1.486727543,0.797299981,1.478708132,0.788999975,1.544170397,0.802200019,1.518676665,0.786899984,1.52154573,0.766700029,1.534453832,0.793500006,1.529764914,0.782800019,1.55193757,0.793200016,1.523578549,0.791400015,1.505350123,0.778900027,1.502345233,0.795000017,1.500168379,0.744899988,1.487452829,0.792500019,1.474380587,0.791899979,2.899975661,0.778100014,1.538408566,0.773699999,1.561671295,0.792200029,1.515407221,0.767799973,1.506009402,0.768100023,1.535291284,0.766700029,1.508650331,0.794200003,1.503246302,0.78640002,1.493740898,0.792900026,1.508478427
7,0.799799979,1.524712058,0.768899977,1.513461623,0.798799992,1.517838188,0.79549998,1.505585495,0.81190002,1.507393601,0.800300002,1.504556188,0.773400009,1.506412516,0.796800017,1.498152978,0.800700009,1.479743367,0.794399977,1.494854243,0.79339999,1.478398425,0.79400003,2.929926601,0.790600002,1.494187618,0.788100004,1.527286846,0.807399988,1.515621183,0.806100011,1.54951435,0.799399972,1.502229792,0.795799971,1.492853955,0.798699975,1.498825227,0.776899993,1.493795904,0.80339998,1.526431585,0.786599994,1.493358909,0.796299994,1.522046812,0.792699993,1.503802713,0.806400001,1.478709613,0.788399994,1.531396996,0.795899987,1.55515892,0.813000023,1.505917571,0.802299976,1.471745596,0.799099982,1.498338772,0.804700017,1.510243581,0.7949,1.482040207,0.774600029,1.480239185,0.80250001,1.541220336,0.787599981,1.488408482,0.800999999,1.486988492,0.788900018,1.476619516,0.791199982,2.956622714,0.799700022,1.527562958,0.754499972,1.512683375,0.796599984,1.519111783,0.801400006,1.512272242,0.796700001,1.508988342,0.79430002,1.510502039,0.804700017,1.492901839,0.777400017,1.508423438,0.781199992,1.48349352,0.788200021,1.49409136,0.798200011,1.544154535,0.798200011,1.518255082,0.799799979,1.524712058
8,0.802399993,1.511132083,0.777899981,1.492310143,0.806800008,1.497892878,0.807099998,1.505690903,0.815400004,1.494589264,0.811600029,1.471004819,0.778900027,1.510102341,0.802600026,1.518343985,0.810400009,1.532469887,0.806599975,1.510798095,0.79549998,1.505314667,0.800700009,1.497236834,0.801299989,1.487008417,0.801999986,1.497574039,0.811600029,1.487404108,0.807200015,1.490791229,0.803900003,1.481296814,0.802200019,1.471655712,0.804700017,1.485131483,0.783500016,2.8634856,0.806599975,1.524747024,0.793799996,1.528558598,0.800499976,1.501686163,0.800999999,2.887854907,0.811600029,1.503746231,0.797800004,1.520488214,0.799700022,1.496843764,0.815699995,1.507123285,0.807399988,1.488496296,0.800400019,1.48892588,0.811600029,1.505470557,0.802399993,1.486797052,0.778999984,2.813065385,0.810000002,1.509431471,0.79400003,1.533527356,0.802200019,1.516421182,0.79460001,1.509490314,0.798699975,1.540287166,0.804700017,1.562093173,0.772000015,1.51342724,0.806400001,1.487236082,0.80250001,1.49364724,0.802100003,1.490188604,0.801900029,1.497740505,0.812699974,1.493951866,0.782800019,1.515931613,0.782800019,1.497413579,0.798699975,1.51238455,0.802900016,1.495030861,0.801500022,1.506733998,0.802399993,1.511132083
9,0.805700004,1.535696504,0.792500019,1.522424698,0.808899999,1.475585627,0.815100014,1.565584723,0.82130003,1.532488754,0.813199997,1.509895046,0.79460001,1.506523641,0.810299993,1.558583689,0.81220001,1.507748964,0.81370002,1.505495331,0.800700009,1.490443058,0.801199973,1.537611371,0.809199989,1.506444454,0.806299984,1.508137482,0.816100001,1.47058906,0.810400009,2.832575762,0.808300018,1.533731099,0.814199984,1.512779919,0.811500013,1.522267312,0.788900018,1.528686914,0.815900028,1.507558199,0.79460001,1.511869419,0.802299976,1.499127281,0.80400002,1.503823227,0.81370002,1.504252814,0.805299997,1.486180408,0.80309999,1.487012804,0.819999993,1.472750063,0.812099993,2.890887547,0.805700004,1.507521822,0.82069999,1.494341173,0.808799982,1.521790814,0.792299986,1.507193206,0.815199971,1.500743359,0.796899974,1.548401595,0.805899978,1.500698416,0.801599979,1.493357693,0.809300005,1.501890853,0.808099985,1.490866549,0.78490001,1.500815781,0.810199976,1.481700843,0.797900021,1.504930129,0.805599988,1.52304589,0.808799982,1.511014427,0.815500021,1.531888457,0.791299999,1.506921238,0.790099978,1.495516294,0.805100024,1.49598171,0.808600008,1.48254876,0.805999994,1.501268028,0.805700004,1.535696504
