Unnamed: 0,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,Average Accuracy,Average Training
0,0.355331898,1.891329161,0.408804536,1.741472435,0.345958829,1.706817909,0.419099569,2.01048704,0.369852483,1.687942485,0.361170858,1.735733636,0.444145679,1.685839027,0.414873987,1.682084738,0.322602957,1.713041909,0.325829744,1.693848889,0.363936692,1.699282114,0.359326988,1.679295194,0.35106793,1.741345244,0.424362332,1.704949526,0.324600488,1.664788523,0.339658886,1.706737568,0.406807005,1.720674766,0.285072207,1.716771106,0.25864321,1.701623656,0.360210508,1.691915662,0.290027648,2.217651511,0.381453604,1.676829759,0.37012139,1.676220895,0.373732328,1.744976514,0.364013523,1.729589029,0.347034425,1.666637304,0.346074075,1.683887949,0.352143526,1.679305731,0.365550101,2.301837051,0.370736003,1.707315828,0.361708671,1.671731896,0.37891826,1.695002264,0.387715131,1.693744473,0.36451292,1.693712032,0.346996009,1.745625314,0.420328826,1.683582918,0.388329744,1.688568355,0.292793483,2.492082479,0.299554408,1.669357232,0.300553173,1.693319202,0.364320844,1.697562014,0.395820528,1.692245868,0.240934238,1.728552064,0.355754465,1.731814968,0.361401349,1.7143955,0.359672725,1.698945567,0.373348176,1.687418435,0.306238472,1.762853864,0.382029802,1.744617563,0.39132607,1.718925933,0.355331898,1.891329161
1,0.569184065,1.686334925,0.591041803,1.656832521,0.569337726,1.667513697,0.599147201,1.658920232,0.541717887,3.071628387,0.546442866,1.782251361,0.562000632,1.743562059,0.562231123,1.748347669,0.517324805,1.756016711,0.538952053,1.728103154,0.558620155,1.73451796,0.589121103,1.696987458,0.591003358,1.755933345,0.586931467,1.679908853,0.586278439,1.697255138,0.586739421,1.678031096,0.590158284,1.660918074,0.58266747,1.66122251,0.572526097,3.389192632,0.592770457,1.760884657,0.612169623,1.707418741,0.563998163,1.751036073,0.590619266,1.737138389,0.587277174,1.753349524,0.605370343,1.70359845,0.581591904,1.707676798,0.562077463,1.694160875,0.593077779,1.728365254,0.578787625,1.702034255,0.609672725,1.698650548,0.599031985,1.681287946,0.578441918,1.715480707,0.57794255,1.720495645,0.538952053,1.685326967,0.554855585,1.688547492,0.583128452,1.665514227,0.605255067,1.699385189,0.5328058,1.694307113,0.558696985,1.688792668,0.51056391,1.66172512,0.585394919,2.9356855,0.606868446,1.705951537,0.578710794,1.703411287,0.608020902,1.684218464,0.538145363,1.700320139,0.594691157,1.681283063,0.568953574,1.666511533,0.596458197,1.690935345,0.59123385,1.684167443,0.602988601,1.67549001,0.569184065,1.686334925
2,0.672710538,1.700212009,0.65772897,1.691077657,0.676513493,1.694673857,0.694145679,1.686348247,0.665834367,1.677722631,0.622464657,1.68941761,0.677320242,1.707711446,0.685464025,1.661424463,0.652427793,1.6687972,0.643054724,1.697951756,0.660456359,1.754466424,0.688191473,1.728555131,0.693607867,1.70641509,0.652965605,1.725047331,0.685079873,1.71458684,0.669906259,1.723205534,0.695451736,1.67396513,0.687231123,1.685337205,0.687884152,1.68180358,0.671058714,1.698999549,0.699293196,1.686362867,0.690957308,1.655196325,0.695643842,1.694052401,0.683274448,1.716363612,0.699638903,1.692226361,0.682314098,1.701755751,0.669944704,1.729509606,0.704632759,1.737390731,0.648010135,1.682097464,0.700560868,1.708028376,0.686424375,1.699766896,0.656730175,1.725473571,0.706899226,3.070641627,0.640557766,1.744880587,0.641825438,1.714508473,0.687115848,1.731773517,0.70574677,1.722216747,0.661455154,1.714316315,0.686309159,1.744368031,0.67974031,1.709735707,0.662569165,1.756562921,0.688153028,1.69890582,0.68077749,1.685395525,0.669099569,1.669988788,0.654271662,1.736668659,0.690227389,1.696865989,0.684004307,3.088062693,0.66836971,1.711415377,0.690150559,1.693323111,0.697334051,1.692866145,0.672710538,1.700212009
3,0.730024576,1.731318187,0.689766467,1.690626323,0.703672409,1.736210486,0.714927793,1.745596199,0.706207752,1.72160645,0.694453001,1.70056608,0.720881999,1.704277848,0.710241258,1.720441322,0.714159489,1.692067296,0.715619266,1.685047984,0.709933937,1.685795891,0.727066696,1.692041899,0.721842349,1.696437415,0.705016911,1.694319179,0.727412403,3.120505484,0.714159489,1.747552389,0.736132443,1.747009732,0.737131238,1.743233689,0.737323284,1.75171452,0.711662591,1.672738798,0.74327749,1.699284635,0.721304536,1.72775851,0.744045794,1.716924619,0.726375222,1.7148611,0.739051938,1.768777365,0.723263681,1.765381285,0.720728338,1.719611397,0.746657968,1.762273471,0.707398593,1.771454626,0.747541487,1.750737431,0.738091588,1.720655707,0.692801178,1.75169283,0.745159805,1.802108454,0.687922537,1.734357745,0.705247402,1.674780457,0.731445909,1.689828168,0.744621992,1.686728928,0.717616796,1.736538166,0.732444704,1.727898764,0.72399354,1.763784515,0.702635229,1.766532417,0.743661642,1.755029046,0.739935458,1.789892273,0.701290727,1.75140932,0.7019822,1.710857211,0.748770773,1.694605672,0.737169623,1.740249904,0.726490498,1.71005639,0.721880734,1.684104551,0.738706231,1.685530304,0.730024576,1.731318187
4,0.755570054,1.680768449,0.714735687,1.766637428,0.730024576,1.700486065,0.74143362,1.711328707,0.734595895,1.682966646,0.734058082,1.664624493,0.755032241,1.769756031,0.75103718,1.795880847,0.73559463,1.705981019,0.736900747,1.730522509,0.730139852,1.698104819,0.765096784,1.684318749,0.751267672,1.693400318,0.741318405,1.721802583,0.766748607,1.734990438,0.741510451,1.668005665,0.762023687,1.672599883,0.763406575,1.74903564,0.756645679,1.749379574,0.754648149,1.77256849,0.765788257,1.718850884,0.74039644,1.715116188,0.770666897,1.689030277,0.745966494,1.699807068,0.75184387,1.69751145,0.758835256,1.658665105,0.752496898,1.71184906,0.771396756,1.675098867,0.737822652,1.699966168,0.765865088,1.742804697,0.755032241,1.690568095,0.739320815,3.229645469,0.776621103,1.758889515,0.725875854,1.708913198,0.752612174,1.713755467,0.745428681,1.742940751,0.768054724,1.701584798,0.739090323,1.680002619,0.754648149,1.706788789,0.75760603,1.66945856,0.71830821,1.677924923,0.774854004,1.720202826,0.767939448,1.68473217,0.749308527,2.983105557,0.730139852,1.712845179,0.761716366,1.742919728,0.767171144,1.741187563,0.732752025,1.729584524,0.750768304,1.727968449,0.756607234,1.707239072,0.755570054,1.680768449
5,0.760525525,1.703702507,0.748809159,1.721159671,0.748271346,1.742674088,0.766249239,1.720084991,0.755339563,1.793387027,0.760102928,1.695447411,0.749078035,1.700222099,0.777811944,1.761077653,0.76544255,1.720720535,0.752343297,1.702126153,0.74224031,1.703059946,0.779924691,3.015877539,0.766940713,1.694997824,0.767593741,1.762164068,0.776774764,1.780059096,0.75872004,1.711474886,0.77504611,1.729767295,0.782498479,1.702511169,0.776083291,1.761868426,0.761985242,1.723120864,0.771896124,1.737773704,0.765788257,1.677339021,0.784688056,1.682951177,0.771435142,1.720329379,0.763483405,1.68407444,0.77320224,3.199786842,0.775276601,1.707003453,0.787415504,1.707610514,0.772741258,1.707524414,0.780308843,1.726906439,0.772049785,1.73736529,0.77105099,1.697703022,0.786263049,1.759880789,0.758182228,1.753276779,0.762753546,1.724667359,0.761140108,1.708979796,0.781230807,1.69885337,0.754071891,3.121585425,0.778080821,1.729629195,0.775852799,1.731830179,0.730946541,1.779799191,0.789720356,1.746889483,0.782229543,1.819356386,0.776736319,1.747725459,0.760832846,1.729476862,0.779732645,1.683072589,0.778580189,1.670532602,0.751229227,1.713740228,0.762830377,1.717854391,0.767555296,3.032269682,0.760525525,1.703702507
6,0.781038702,1.70599301,0.766671777,1.722760346,0.772741258,1.703981846,0.783996642,1.712032065,0.765019953,1.674162057,0.780885041,1.728371724,0.764751077,1.694662408,0.789144158,1.734838446,0.777274132,1.765106058,0.762638271,1.719730231,0.71254611,1.748564546,0.788875222,1.705762057,0.770205915,1.711403006,0.783919811,1.701988975,0.787876487,1.727237068,0.779540539,1.720236967,0.785456359,1.717451799,0.790142894,1.718078243,0.78753072,1.697634535,0.779310107,1.763769048,0.784150302,1.740213934,0.784150302,1.738980428,0.796558082,1.731531517,0.784035027,3.217842793,0.769783318,1.769276259,0.785571575,1.732032523,0.78169179,1.778420458,0.795367241,1.693009656,0.780692995,1.724898342,0.789336205,1.746324622,0.781153977,1.685525957,0.772779644,1.735641143,0.794560552,3.16519457,0.761216938,1.775945193,0.77408576,1.735048898,0.776198506,1.71038938,0.784880161,1.732475333,0.769322395,1.71734352,0.793446541,1.721605439,0.786301494,1.677339555,0.746619523,1.739630793,0.797672093,1.695687737,0.797825754,1.698610544,0.784534395,1.710504206,0.777389348,1.692329433,0.788030088,1.800833547,0.791564226,1.77649798,0.768592477,1.726133411,0.788337409,1.704811531,0.775468647,1.736139459,0.781038702,1.70599301
7,0.785302699,1.72768036,0.777581453,1.74790823,0.780155182,1.668908756,0.796865404,1.661196149,0.783305168,1.679402471,0.783574045,1.734714354,0.761793196,1.717795661,0.787492335,1.699474208,0.791026413,1.724579798,0.77873385,1.776608856,0.735287368,1.711846513,0.800706804,1.784899674,0.781538129,1.727596204,0.798939764,1.704847554,0.79705745,1.678069035,0.792524576,1.693951951,0.795789778,1.670775819,0.795597732,3.579960453,0.789797187,1.721608105,0.786378324,1.720836642,0.794983089,1.689052517,0.789605081,1.730517417,0.803011656,1.716968589,0.793830693,1.740666678,0.775852799,1.763360627,0.790872753,1.753135667,0.792486191,1.728066219,0.801974475,1.665165199,0.79425323,1.688711929,0.797979414,1.764467579,0.772894919,1.740439219,0.795866609,1.761311355,0.804471433,1.742550318,0.779540539,1.719317508,0.777735114,1.714227813,0.774930835,1.71039209,0.791679442,1.788403486,0.783574045,1.687381604,0.805662274,1.71854664,0.79905498,1.694319701,0.753034711,1.673592673,0.803434253,1.687900275,0.805892766,1.773567759,0.798978209,1.769337195,0.792178869,1.709778787,0.796980619,1.712611971,0.797710538,1.710176144,0.76632607,1.694834719,0.794022739,1.696992514,0.78745389,1.697650004,0.785302699,1.72768036
8,0.791141689,1.742872891,0.785341144,1.671721625,0.782306373,1.716519671,0.798939764,1.731462615,0.772818089,1.692846005,0.79329288,1.686741288,0.771550417,1.694737934,0.796903789,1.749951977,0.798325121,1.666050365,0.782613695,1.709441324,0.741856158,1.683899855,0.809465289,1.701685724,0.78176862,1.696095097,0.801590323,3.340679128,0.798440397,1.718836297,0.801782429,1.770148551,0.809119523,1.80529347,0.803434253,1.720372386,0.797672093,1.710996359,0.789566696,1.717286134,0.800322652,1.711495865,0.799515963,1.685680879,0.800937295,1.67930162,0.797633708,1.692410812,0.788183749,1.688655695,0.796634912,3.208572076,0.798171461,1.736874747,0.805931151,1.721192712,0.797825754,1.689129968,0.801014125,1.684095399,0.775122941,1.710704584,0.799400747,1.725257782,0.808428109,1.72360478,0.796058714,1.677276206,0.789758742,1.667838798,0.791218519,1.658717251,0.787838042,1.708930179,0.782575309,3.162658957,0.811885357,1.76469882,0.805047631,1.721945129,0.771588802,1.750133618,0.809081137,1.710643445,0.807813466,1.728410819,0.80385679,1.738873245,0.79425323,1.755373605,0.796596467,1.694999294,0.80762136,1.719508507,0.789835572,3.385879262,0.799247086,1.772917411,0.790872753,1.703310787,0.791141689,1.742872891
9,0.798939764,1.76563473,0.793984354,1.73256313,0.795597732,1.782840946,0.799208641,1.67638354,0.789105713,1.676955194,0.794560552,1.713639592,0.77600646,1.667077538,0.789144158,1.678615105,0.795098364,3.209888272,0.783535659,1.732473887,0.741779327,1.767535599,0.814267039,1.753742632,0.794752598,1.72115197,0.80961895,1.734665302,0.808543324,1.725981919,0.808812261,1.68429583,0.812999368,1.690533075,0.800245821,1.677364347,0.801398277,1.713734833,0.791756272,1.67689921,0.799093425,1.690787531,0.80377996,1.761684696,0.803011656,1.746035769,0.807275653,1.643898401,0.789643526,1.72135955,0.803818405,1.730252053,0.804164112,1.748583012,0.812922537,1.742908028,0.801014125,1.731367351,0.804356158,1.703260032,0.791794717,1.707228492,0.802243412,1.686225422,0.812077463,3.141853017,0.787569165,1.716436249,0.793638587,3.27137169,0.808159173,1.728826349,0.797249556,1.701274534,0.80289644,1.711221075,0.821258426,1.693316748,0.81146282,1.66998993,0.769015074,1.732062196,0.811385989,1.661789236,0.816379845,1.692477629,0.806853116,1.696128614,0.797518432,1.652776576,0.806699455,1.732389097,0.813806057,1.722696244,0.79433006,1.707555863,0.801667154,1.698667675,0.800437927,1.738283763,0.798939764,1.76563473
