Unnamed: 0,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,Average Accuracy,Average Training
0,0.226999998,1.636053905,0.225299999,1.316771227,0.204400003,1.32259255,0.253300011,1.31264736,0.242699996,1.672677237,0.247899994,1.334794483,0.227300003,1.338662287,0.2509,1.303502018,0.225500003,1.35790312,0.262400001,1.299278714,0.225500003,1.322859806,0.215000004,1.352218046,0.242500007,1.495077881,0.197400004,1.366172831,0.25819999,1.321270087,0.239500001,1.813651364,0.180099994,1.303916425,0.204300001,1.321925932,0.183400005,1.299550964,0.222000003,1.30837604,0.1928,1.309037108,0.232500002,1.329459911,0.192000002,1.298495651,0.190099999,1.277594595,0.252200007,1.308626748,0.210500002,1.297729814,0.244299993,1.304830532,0.213699996,1.292676499,0.186900005,1.313731625,0.209700003,1.317316273,0.211999997,1.895457926,0.222299993,1.304380202,0.199499995,1.290226386,0.25999999,1.299558931,0.247600004,1.284855751,0.204500005,1.284724777,0.258899987,1.308805916,0.242500007,1.307641646,0.209099993,1.29474326,0.25940001,2.289203915,0.191799998,1.29385957,0.234500006,1.308559801,0.166299999,1.319236653,0.2359,1.324449371,0.238499999,1.335921049,0.224800006,1.283947854,0.227599993,1.332562201,0.269899994,1.304596074,0.223900005,1.557583152,0.25909999,1.322659867,0.226999998,1.636053905
1,0.327600002,1.305045358,0.340999991,1.298517583,0.331800014,1.324675681,0.354000002,1.332217503,0.331,1.300112004,0.333099991,1.314222667,0.328900009,1.328945808,0.321399987,1.342749689,0.333999991,1.383344648,0.337300003,1.300723546,0.357199997,1.337853853,0.340999991,1.314480546,0.302300006,1.302396065,0.343699992,1.315609231,0.35620001,1.320133096,0.337500006,1.319969907,0.298799992,1.314400878,0.321200013,1.355879314,0.328099996,1.32462061,0.333000004,1.341569686,0.325199991,1.32020493,0.321200013,1.301962743,0.291599989,1.315534533,0.29550001,1.310634828,0.331699997,1.318684944,0.332599998,1.303065995,0.344300002,1.333274046,0.314900011,1.31167476,0.338,1.302418673,0.343699992,1.3079602,0.308999985,1.326903595,0.329400003,1.345073672,0.334300011,1.299550788,0.309100002,1.343421112,0.361200005,1.311498827,0.269499987,1.332313162,0.314999998,1.324635651,0.322899997,1.356261595,0.331999987,1.338704455,0.332700014,1.301208803,0.356900007,1.325327507,0.317799985,1.301156393,0.257499993,1.321302622,0.315899998,2.409332892,0.3292,1.347432087,0.328700006,1.325008162,0.334600002,1.305376267,0.343800008,1.3160955,0.300500005,1.300903408,0.345999986,1.319392923,0.327600002,1.305045358
2,0.366299987,1.365942806,0.364300013,1.332146817,0.354499996,1.347325366,0.389200002,1.333718296,0.359699994,1.384383291,0.358900011,1.309226367,0.362899989,1.306624287,0.366899997,1.332414839,0.372799993,1.34282333,0.365700006,1.282042946,0.388700008,1.337384887,0.364100009,1.363125909,0.3574,1.321012546,0.372200012,1.344230957,0.347900003,1.333220494,0.380299985,1.350570826,0.33860001,1.335765282,0.328900009,1.33568396,0.349400014,1.354787748,0.381500006,1.28883421,0.370700002,1.375004966,0.358599991,1.307250715,0.323199987,1.354287839,0.327899992,1.338075343,0.381599993,1.362470858,0.363099992,2.695326263,0.387400001,1.332395001,0.368499994,1.336607842,0.368299991,1.340851517,0.366400003,1.339777888,0.331800014,1.298322766,0.354699999,1.31853866,0.383700013,1.299709563,0.332800001,1.306975647,0.383399993,1.308728316,0.342700005,1.334833936,0.368699998,1.310151508,0.372099996,1.330497373,0.371100008,1.309968863,0.378399998,1.319948439,0.380100012,1.301623518,0.3495,1.326950233,0.303799987,1.324859036,0.359499991,1.287096211,0.368400007,1.297230655,0.363900006,1.306709482,0.373899996,1.305512423,0.370200008,1.357693939,0.341800004,1.329093302,0.375,2.491293938,0.366299987,1.365942806
3,0.391299993,1.291020651,0.3917,1.314279701,0.378600001,1.354426749,0.408499986,1.330375031,0.382600009,1.370361316,0.375800014,1.377087026,0.379500002,6.158757833,0.388599992,1.338131706,0.39289999,1.335539871,0.386500001,1.347442372,0.404500008,1.314156848,0.373600006,1.353576803,0.387800008,1.357907187,0.401499987,1.344406513,0.369700015,1.340777823,0.401899993,1.30715467,0.359499991,1.301071549,0.351599991,1.312611952,0.372099996,1.318405907,0.392800003,1.354796435,0.398600012,1.363121897,0.383700013,1.309974447,0.335399985,1.358726664,0.36500001,2.994630373,0.394300014,1.323514319,0.379299998,1.337603565,0.401600003,1.291525526,0.397100002,1.363122582,0.386700004,1.277483025,0.376800001,1.322987009,0.349599987,1.292077234,0.372500002,1.360478028,0.396299988,1.338882428,0.368699998,1.342117127,0.411199987,1.965013073,0.379500002,1.356784928,0.390100002,1.336768621,0.400099993,1.30660898,0.385600001,1.326761774,0.398400009,1.342268307,0.392399997,1.318994613,0.379299998,1.340428385,0.329600006,1.412273288,0.4014,2.773432487,0.382499993,1.383727679,0.386700004,1.354023548,0.390899986,2.358530231,0.398499995,1.412564895,0.359299988,1.291442579,0.389899999,1.333228774,0.391299993,1.291020651
4,0.405999988,1.361956804,0.398699999,1.341039743,0.398600012,1.330064543,0.425799996,1.364813953,0.393299997,1.367769724,0.386099994,1.335055076,0.379700005,1.364012843,0.404599994,1.336549438,0.403800011,1.303926871,0.398099989,1.292086943,0.413399994,1.339520691,0.39410001,1.360548572,0.403699994,1.301113006,0.416900009,1.308258789,0.388200015,1.318794876,0.413399994,1.357506079,0.384299994,1.360721656,0.364300013,1.344751162,0.40169999,1.315063932,0.405099988,1.27465192,0.416999996,1.315680635,0.399599999,1.290691818,0.349000007,1.282958675,0.382800013,1.326061202,0.41049999,1.304433895,0.389600009,1.278180092,0.418000013,1.324129069,0.404900014,1.372480555,0.397799999,1.304845113,0.396100014,1.338903815,0.367599994,1.305846865,0.388700008,1.333720901,0.41170001,1.296162489,0.38440001,1.304431694,0.423099995,1.294339177,0.39320001,1.29728181,0.399100006,1.29265783,0.416500002,1.311328283,0.391799986,1.275459811,0.407499999,1.329045697,0.410100013,1.341854096,0.393700004,1.32201564,0.358099997,1.326895318,0.419400007,1.311408713,0.40079999,1.306672312,0.40110001,1.345084906,0.412800014,1.299356428,0.404599994,1.333105803,0.386500001,1.311691166,0.396100014,2.525596687,0.405999988,1.361956804
5,0.411300004,1.305673193,0.409999996,1.301664101,0.418099999,1.30788906,0.438800007,1.274694381,0.424699992,1.34606918,0.404199988,1.30003261,0.397199988,1.320724755,0.413899988,2.575964603,0.413800001,1.35848821,0.409999996,1.336084071,0.422100008,1.316306239,0.404399991,1.30228491,0.413899988,1.305208363,0.433499992,1.327983699,0.403200001,1.295154165,0.42809999,1.292575101,0.40169999,1.293857968,0.375800014,1.294627451,0.406899989,1.286795113,0.415100008,2.552713803,0.425399989,1.354836371,0.405000001,1.347341652,0.364100009,1.306561666,0.394800007,1.286206263,0.426400006,1.298588496,0.407900006,1.310877423,0.425099999,1.295763943,0.420700014,1.3239126,0.413399994,1.293048438,0.406199992,1.32672387,0.382499993,1.315047765,0.404599994,1.312513248,0.414400011,2.598608827,0.405400008,1.353293366,0.428499997,2.53856723,0.411500007,1.319913879,0.414700001,1.324782561,0.42719999,1.355202217,0.405400008,1.342259447,0.413500011,1.296922373,0.423599988,1.288074632,0.407999992,1.320294131,0.380400002,1.286076759,0.422899991,1.295453357,0.415699989,2.528935135,0.417600006,1.350388239,0.423799992,1.318584825,0.414999992,1.349514323,0.4023,1.315316989,0.404399991,1.293647989,0.411300004,1.305673193
6,0.411000013,1.322108358,0.422899991,1.337905954,0.431699991,1.319393998,0.442600012,1.34966826,0.429100007,1.316534789,0.419099987,1.335443753,0.411900014,1.299239221,0.426499993,1.331464623,0.422600001,1.288918517,0.421700001,1.300713183,0.427300006,1.307186444,0.421499997,1.284849674,0.42750001,1.310482844,0.442799985,1.298182615,0.418000013,2.750505998,0.439799994,1.355699049,0.420899987,1.324804962,0.391099989,1.315451337,0.426400006,1.356137271,0.420300007,1.331275666,0.437700003,1.331000941,0.416799992,1.316694864,0.377400011,1.283646814,0.40990001,1.330553364,0.438300014,1.284307142,0.414600015,1.291857389,0.4296,1.290162481,0.42750001,1.320849586,0.418300003,1.355027752,0.414900005,1.314731857,0.397700012,1.310204198,0.417800009,1.313946072,0.427599996,1.311228002,0.420300007,1.307682296,0.441500008,1.293932952,0.425900012,1.334283145,0.412900001,1.29606016,0.436300009,1.291381244,0.413700014,1.280096982,0.422399998,1.310690038,0.429899991,1.349793251,0.416900009,1.327456805,0.391000003,1.307434513,0.425900012,1.294073528,0.427399993,1.290112619,0.42750001,1.3110474,0.4366,1.295010582,0.42019999,1.29766002,0.422600001,1.308944638,0.412999988,1.320349345,0.411000013,1.322108358
7,0.423900008,1.277829632,0.424699992,1.292126669,0.440200001,1.311138055,0.448799998,1.290022232,0.443899989,1.317223744,0.421499997,1.278052373,0.419699997,1.279759313,0.440100014,1.279775577,0.424400002,1.371241889,0.437099993,1.316281844,0.426499993,1.356410006,0.430299997,1.338657924,0.428000003,1.285610188,0.448700011,1.357493912,0.42809999,1.323606208,0.447299987,1.30041013,0.429899991,1.31519948,0.406699985,1.334830163,0.441399992,1.30277297,0.431100011,1.324926613,0.441199988,1.305468719,0.424499989,2.919253518,0.393400013,1.328827039,0.425500005,1.335144363,0.446799994,1.33100806,0.41170001,1.365863587,0.433400005,1.301593881,0.432000011,1.303509579,0.430299997,1.298305699,0.425000012,1.292006498,0.419499993,1.292947988,0.437599987,1.284385159,0.432200015,1.292399561,0.437000006,1.293026821,0.450599998,1.337280368,0.428799987,1.325555078,0.427700013,1.314939992,0.449000001,1.316589469,0.428499997,1.314069137,0.43720001,1.30873867,0.4366,1.302869681,0.421000004,1.288480845,0.407400012,1.286697352,0.439599991,1.288404829,0.442200005,1.305905301,0.432599992,2.761268724,0.448599994,1.326944247,0.430200011,1.295513824,0.42750001,1.295657545,0.425199986,1.307864397,0.423900008,1.277829632
8,0.421600014,1.292170275,0.436199993,2.582060851,0.450800002,1.285637806,0.451200008,1.293198177,0.452800006,1.290246945,0.428000003,1.3361411,0.431800008,1.328179866,0.44690001,1.307413746,0.434100002,1.307362116,0.448799998,1.289091697,0.442000002,1.290687313,0.442900002,1.293216603,0.437900007,1.301455533,0.450100005,1.278461953,0.438899994,1.289668638,0.455500007,1.280612858,0.445199996,1.296959782,0.421000004,2.785183167,0.453999996,1.304077902,0.447600007,1.305311035,0.448399991,1.316061586,0.434700012,1.311940204,0.404500008,1.303515277,0.433899999,1.316720355,0.453799993,1.295586283,0.418500006,1.296059583,0.447699994,1.291824576,0.433600008,1.302798578,0.443800002,1.282105125,0.441100001,1.27212493,0.432000011,2.589616832,0.447299987,1.328167853,0.439700007,1.310998899,0.446399987,1.321394229,0.460900009,1.311605716,0.434799999,1.308752732,0.424499989,1.316358446,0.461100012,1.297751402,0.448700011,1.300099497,0.441700011,1.292389142,0.447299987,1.281046543,0.432099998,1.30145935,0.423500001,2.573450159,0.452300012,1.321676223,0.451700002,1.316404395,0.441300005,1.319765191,0.448799998,1.318496792,0.430599988,1.295588248,0.441000015,1.278352647,0.439300001,1.288946486,0.421600014,1.292170275
9,0.425399989,1.316624449,0.441599995,1.277714055,0.463800013,1.329494399,0.455300003,1.327904894,0.45570001,1.315092925,0.438600004,1.312040143,0.442200005,1.315119797,0.453099996,1.306858792,0.444799989,1.284174417,0.453999996,1.291376163,0.441000015,1.305774403,0.441900015,1.291563586,0.444299996,1.299630558,0.453399986,1.324010238,0.448500007,1.307586996,0.461199999,1.325159062,0.460900009,1.313308822,0.42719999,1.304840591,0.46509999,1.315908157,0.456499994,1.298454109,0.455300003,1.283953797,0.444099993,1.275627368,0.418099999,1.290344112,0.442499995,1.294138256,0.455900013,1.321097851,0.422600001,2.637801241,0.451299995,1.343144194,0.43779999,1.302666829,0.451299995,1.302815101,0.443899989,1.290081262,0.449600011,1.306782106,0.449699998,1.309875451,0.441700011,1.298037902,0.455799997,1.283401517,0.468400002,1.309854452,0.433899999,1.28522715,0.448000014,1.291642914,0.4745,1.300704115,0.463099986,3.560624162,0.449999988,1.33228464,0.462000012,1.713838533,0.436399996,1.340995538,0.431800008,1.301698206,0.462399989,1.284554116,0.459800005,1.294585034,0.452899992,1.305739945,0.453299999,1.293420406,0.4454,1.276324682,0.443300009,2.88955935,0.445199996,1.319812712,0.425399989,1.316624449
