Unnamed: 0,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,Average Accuracy,Average Training
0,0.653599977,1.540144827,0.671599984,1.526090403,0.659699976,1.520116448,0.719399989,1.483706147,0.711399972,1.493926761,0.689800024,1.498866231,0.653299987,1.511068152,0.694199979,1.524447839,0.699400008,1.937146184,0.682799995,1.494827678,0.679799974,1.529225726,0.648100019,1.495620265,0.684199989,1.515681123,0.671599984,1.496326846,0.685800016,3.60569517,0.670400023,1.478309433,0.713,1.486287277,0.684700012,1.484070361,0.710099995,1.492323118,0.68720001,1.486442231,0.671000004,2.140634361,0.678300023,1.503986296,0.654699981,1.482833974,0.643999994,1.517270718,0.67809999,1.472631402,0.678499997,1.479455177,0.675800025,1.49261879,0.705200016,1.473199892,0.683700025,2.116847459,0.674399972,1.49252809,0.708199978,1.489815379,0.655200005,1.484420254,0.671000004,1.489216752,0.637600005,1.503297003,0.711499989,3.749533942,0.678799987,1.491023157,0.690999985,1.493941204,0.682099998,1.498748487,0.685500026,1.501025402,0.663699985,1.493910244,0.681900024,1.49230318,0.685299993,1.48787025,0.666199982,1.472291468,0.655099988,1.487983861,0.704900026,1.515763761,0.673500001,1.514842032,0.68629998,1.529612448,0.657800019,1.520833546,0.693000019,1.719705344,0.670099974,1.495765147,0.653599977,1.540144827
1,0.716300011,1.481491961,0.722199976,1.479664782,0.689300001,1.474430594,0.730300009,1.492054061,0.718999982,1.499940632,0.733900011,3.065095988,0.671000004,1.556165147,0.724399984,1.516644881,0.720799983,1.506028985,0.722100019,1.52049404,0.708899975,1.557392422,0.700500011,1.495161218,0.696500003,2.403693399,0.702099979,1.514760009,0.735599995,1.480625516,0.702700019,1.539527196,0.724900007,1.480876834,0.734499991,2.79100701,0.735800028,1.503915616,0.711799979,1.488101026,0.704299986,1.493948574,0.700800002,1.491024032,0.725000024,1.507935208,0.680199981,1.512263258,0.721899986,1.486564114,0.692399979,1.47028867,0.702199996,1.491303287,0.73269999,1.476064161,0.711300015,1.486860265,0.724600017,2.98006701,0.731400013,1.483851991,0.68629998,1.489678002,0.686200023,1.495802494,0.70630002,1.48487578,0.734499991,1.490020355,0.7227,1.479072019,0.713699996,1.47487784,0.721400023,1.484500596,0.707300007,1.480789148,0.685199976,1.479401092,0.691999972,1.471190255,0.699299991,2.741538445,0.703299999,1.510345171,0.695900023,1.520462956,0.717599988,1.489813766,0.692099988,1.463137505,0.710200012,1.480511609,0.712499976,1.497928678,0.727199972,1.472522895,0.724900007,1.530508868,0.716300011,1.481491961
2,0.745800018,1.474236821,0.736599982,1.488023585,0.725099981,1.478145203,0.752900004,1.487712817,0.752600014,1.462164376,0.748099983,1.469722017,0.708599985,1.489417059,0.743799984,1.489657055,0.734499991,1.485293014,0.745100021,1.469017598,0.727299988,1.513598041,0.729099989,1.514367767,0.721199989,1.437566833,0.725799978,1.507347758,0.757700026,1.501868164,0.732800007,1.501967407,0.746699989,1.515101688,0.750800014,1.480210629,0.751999974,1.487595888,0.723399997,1.47001851,0.744700015,1.494458091,0.718800008,1.485935887,0.747099996,2.754354585,0.70569998,1.477530397,0.750999987,1.523089489,0.723100007,1.506937221,0.735599995,1.50739874,0.753499985,1.487826264,0.743399978,1.488176279,0.742699981,1.503940009,0.751900017,1.483355108,0.716199994,1.483632688,0.705799997,1.487285029,0.745999992,1.477769677,0.756500006,1.483598599,0.754499972,1.517441296,0.741100013,1.542452165,0.735800028,1.520177406,0.751999974,1.555874102,0.701200008,1.484001519,0.724399984,1.491975181,0.751399994,1.489990025,0.733900011,1.485720169,0.726400018,1.467148487,0.735499978,1.483550514,0.728399992,1.469691378,0.738600016,1.472556283,0.728100002,1.521555874,0.747300029,1.518476831,0.747500002,1.506932423,0.745800018,1.474236821
3,0.753199995,1.490981286,0.740999997,1.500140471,0.745500028,1.473120973,0.761300027,1.471968149,0.773299992,2.914133861,0.758700013,1.522801692,0.729600012,1.493293667,0.760999978,1.481415154,0.747900009,1.470078021,0.753199995,1.489374096,0.754299998,1.484575999,0.754000008,1.48412759,0.744599998,1.495666892,0.744499981,1.488386459,0.768000007,1.487960957,0.753199995,1.466257326,0.763300002,1.517178432,0.763400018,1.515606565,0.765699983,1.513717841,0.734600008,1.510800248,0.75819999,1.48764329,0.749899983,1.517893345,0.754700005,1.511776441,0.733900011,1.504840809,0.759000003,1.50072047,0.742999971,1.480588758,0.755100012,1.479905882,0.771399975,1.479105704,0.766799986,2.818251006,0.749800026,1.517372105,0.762499988,1.515299964,0.741400003,1.53750637,0.723800004,1.490624801,0.766900003,1.496345209,0.767199993,1.521411094,0.757200003,1.498618834,0.750999987,1.482335108,0.743900001,1.484071863,0.763199985,1.486359835,0.712300003,1.485977953,0.76700002,2.607484807,0.763499975,1.509178951,0.753400028,1.506170132,0.743099988,1.489961918,0.74940002,1.502465781,0.733200014,1.48603361,0.743600011,1.482039101,0.733799994,1.528925316,0.769900024,1.484948836,0.759899974,1.472463801,0.753199995,1.490981286
4,0.768400013,1.502777844,0.744099975,1.480262561,0.764400005,1.493453964,0.76730001,1.49231825,0.783800006,1.461061095,0.775200009,1.476017597,0.736800015,1.472276577,0.774100006,1.487594858,0.767799973,1.487598596,0.766700029,1.494582043,0.764299989,1.535610882,0.767400026,1.503446568,0.766700029,1.50834407,0.757700026,1.490298191,0.782899976,1.502955326,0.771000028,1.740201058,0.779399991,1.532508374,0.771799982,1.492447693,0.777499974,1.481671926,0.744400024,1.470339366,0.770799994,1.487403262,0.762199998,1.489522567,0.764800012,3.098171881,0.757399976,1.496785827,0.770099998,1.509522964,0.762700021,1.494539598,0.764500022,1.502946015,0.784200013,1.502584422,0.778199971,1.490649148,0.768599987,1.465011553,0.773899972,1.480798151,0.762099981,1.489265565,0.734300017,1.477745096,0.780600011,1.506594806,0.776799977,1.482568514,0.774800003,2.859045544,0.773599982,1.512060046,0.753300011,1.535007691,0.779500008,1.49369667,0.726499975,1.486382452,0.776199996,1.494749967,0.782400012,1.47841067,0.759299994,1.476337323,0.754400015,1.461826313,0.763199985,1.463137733,0.740100026,1.48105509,0.753499985,2.627000952,0.753099978,1.501538955,0.783500016,1.514318462,0.767499983,1.496645943,0.768400013,1.502777844
5,0.782199979,1.477650156,0.755400002,4.88976558,0.779699981,1.478134873,0.773500025,1.471819066,0.791800022,1.474056793,0.78670001,1.486141584,0.748000026,1.509622745,0.781300008,1.506441546,0.783100009,1.505222734,0.773599982,1.503882573,0.782999992,1.496744308,0.778400004,1.494749951,0.776199996,1.522455632,0.774500012,1.492628352,0.789900005,1.48079688,0.787500024,1.47280169,0.787599981,1.458937687,0.779799998,2.896504912,0.784399986,1.53096229,0.757200003,1.561578155,0.782500029,1.538066631,0.772899985,1.496057784,0.782800019,1.477577617,0.775200009,1.490167169,0.786000013,1.473539177,0.76849997,1.477835597,0.778900027,1.480715525,0.793600023,1.486026599,0.787599981,1.469897349,0.777899981,1.492151309,0.788999975,1.543941775,0.775600016,1.522663556,0.746399999,1.521698893,0.789900005,1.545399306,0.78490001,1.488033007,0.782500029,1.492593756,0.784099996,1.484816855,0.766200006,1.486971375,0.791599989,1.472433173,0.734300017,1.467277075,0.782000005,1.466153705,0.791800022,1.494437482,0.773599982,3.109698961,0.773299992,1.523811378,0.783800006,1.504501278,0.753400028,1.49028149,0.760500014,1.499009644,0.762600005,1.44452491,0.786000013,1.492589226,0.77670002,1.472149495,0.782199979,1.477650156
6,0.792699993,1.486163689,0.762600005,1.49515265,0.796199977,1.508728382,0.786499977,1.497546493,0.805400014,1.537429453,0.797399998,1.509249331,0.772700012,1.490417635,0.787400007,1.482368161,0.790000021,1.485764272,0.789699972,1.470059288,0.791599989,1.474052988,0.790600002,3.131785943,0.784300029,1.484716814,0.7773,1.507120053,0.803300023,1.500961972,0.799600005,1.520249501,0.791700006,1.492548643,0.786000013,1.496158109,0.791000009,1.530450233,0.764400005,1.485970239,0.794200003,1.474422143,0.779999971,1.476607466,0.791599989,1.463316759,0.787400007,1.485844835,0.794499993,2.930053785,0.771899998,1.505202448,0.787800014,1.503356182,0.808300018,1.495634226,0.795899987,1.499802809,0.790899992,1.496017374,0.800899982,1.49330629,0.784099996,1.464868959,0.763000011,1.469486086,0.79369998,1.48413766,0.785899997,1.464760929,0.791000009,1.485916923,0.789300025,1.474514307,0.782599986,2.793527869,0.799600005,1.517441175,0.748700023,1.50366678,0.791000009,1.496381231,0.796599984,1.507364262,0.781099975,1.504605732,0.780200005,1.486343213,0.79339999,1.507109959,0.767799973,1.489633556,0.767799973,1.482829911,0.772400022,1.468889293,0.796700001,1.490852293,0.784500003,1.489496648,0.792699993,1.486163689
7,0.796299994,1.470653037,0.771499991,1.486755459,0.803499997,1.478679394,0.800000012,1.493417728,0.812600017,1.472310516,0.806400001,1.472362403,0.780300021,3.180443551,0.796700001,1.500887634,0.802900016,1.497544174,0.799199998,1.505038424,0.79549998,1.509631901,0.794700027,1.480549129,0.79339999,1.487656509,0.790899992,1.493984685,0.807900012,1.50193168,0.801900029,1.474265121,0.799700022,1.494664876,0.795099974,1.485621487,0.797299981,1.481003825,0.778400004,1.523748561,0.800499976,1.496122384,0.787800014,1.498815449,0.798099995,1.510698629,0.79610002,2.703933828,0.802699983,1.475055271,0.789600015,1.496441938,0.801299989,1.477227947,0.810699999,1.483426845,0.802299976,1.494152416,0.792900026,1.474355536,0.807600021,1.463875125,0.797999978,1.537701718,0.771700025,1.504107306,0.80400002,1.501947664,0.788299978,1.505906842,0.793099999,1.517569324,0.795000017,1.500366123,0.791899979,1.491163961,0.797599971,1.484574402,0.764400005,1.481728164,0.798500001,1.484835067,0.800100029,1.483443541,0.792900026,1.472720543,0.790600002,1.477232264,0.805599988,1.529657804,0.778400004,1.524099044,0.779999971,1.501777415,0.782500029,1.502444354,0.797500014,1.495838458,0.798399985,1.492788372,0.796299994,1.470653037
8,0.798900008,1.496897207,0.780799985,1.508638347,0.809099972,1.524828505,0.80430001,1.501954197,0.816600025,1.49742358,0.812099993,1.515257534,0.779699981,1.505245592,0.806200027,1.48097039,0.810800016,1.503760325,0.803200006,1.49259965,0.796299994,1.499153455,0.802100003,1.482402594,0.80339998,1.513391673,0.793299973,1.467064554,0.810800016,1.476391475,0.806900024,1.515317376,0.805599988,1.505075264,0.803499997,1.56574445,0.805000007,1.512719689,0.787,1.495104602,0.806400001,1.49026893,0.787299991,1.496054928,0.796800017,1.489575014,0.798300028,1.504539397,0.809899986,1.48528749,0.801900029,1.499873064,0.80430001,1.476016598,0.814199984,1.542117041,0.807900012,1.506610412,0.801699996,1.496482531,0.814400017,1.520624234,0.801900029,1.498367695,0.774299979,1.49059214,0.808700025,1.506802227,0.796700001,1.507199116,0.805599988,1.499420311,0.79460001,1.484146751,0.800000012,1.470093598,0.804199994,1.485787339,0.779999971,1.460284136,0.807399988,1.534137876,0.806299984,1.511076792,0.798799992,1.503367584,0.798600018,2.303977959,0.811699986,1.629145572,0.784399986,1.476707691,0.779399991,1.48535144,0.796700001,1.467264525,0.807799995,1.487740511,0.802999973,1.471061389,0.798900008,1.496897207
9,0.806100011,1.47705371,0.791499972,1.620230188,0.807600021,1.497637515,0.814899981,1.487874263,0.818000019,1.483247133,0.817300022,1.466663332,0.790899992,1.478810021,0.803300023,1.473078232,0.812399983,1.473844474,0.81220001,1.476815286,0.800000012,1.553812751,0.801900029,1.522522762,0.808300018,1.524278315,0.804700017,1.526852472,0.814800024,1.514263934,0.809700012,1.498164021,0.810199976,1.49040173,0.809000015,1.484379403,0.810699999,1.483091563,0.795799971,1.513943345,0.81220001,1.477470746,0.799000025,1.459964959,0.800800025,4.597553842,0.803900003,1.472508255,0.808000028,1.514627421,0.802999973,1.507128737,0.810000002,1.513966131,0.819899976,1.486629379,0.811699986,1.498828,0.80369997,1.495376451,0.818599999,1.470743318,0.808499992,1.477165747,0.788200021,1.465067866,0.814999998,1.482230609,0.800599992,1.478294268,0.805899978,1.467388083,0.799300015,1.537170713,0.808399975,1.496582252,0.809800029,1.493998061,0.790099978,1.51185032,0.813399971,1.483934274,0.803600013,1.488457869,0.802100003,1.473220031,0.803300023,1.484406219,0.817600012,1.477232884,0.794200003,1.47924873,0.779999971,1.519350424,0.807799995,1.508519811,0.811200023,1.555905123,0.802100003,1.521598324,0.806100011,1.47705371
