Unnamed: 0,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,Average Accuracy,Average Training
0,0.878899992,1.516818689,0.885100007,1.526236504,0.889400005,1.483851645,0.893400013,1.493376218,0.895099998,1.493422687,0.897800028,1.902144214,0.882700026,1.476171546,0.902700007,1.490695461,0.890999973,1.506391797,0.858200014,1.505665036,0.882600009,1.935861457,0.863099992,1.485051943,0.898100019,3.735339521,0.88410002,1.526700699,0.890699983,1.496442835,0.90259999,1.500575446,0.897000015,1.993329621,0.900399983,1.503492871,0.863799989,1.50320681,0.878400028,1.490367742,0.870800018,1.490157647,0.895299971,1.485853919,0.891499996,1.488304903,0.900600016,1.517384241,0.880800009,2.058980397,0.898999989,1.477062729,0.872600019,1.506971153,0.897599995,1.495230502,0.896799982,1.489063649,0.878600001,1.499038545,0.901899993,1.495743619,0.898199975,1.480293026,0.905099988,1.470608218,0.870100021,1.463045086,0.891600013,1.530494097,0.870700002,1.468869726,0.908500016,1.47298148,0.888599992,1.484452551,0.895500004,1.470227449,0.890500009,1.48521011,0.878700018,1.47779866,0.889199972,1.483869855,0.899100006,1.476749084,0.872699976,1.49494876,0.906700015,1.470056205,0.886500001,1.507544226,0.863399982,1.709499724,0.902899981,1.509673829,0.888800025,1.517836298,0.880699992,1.826453516,0.878899992,1.516818689
1,0.909799993,1.47806273,0.939300001,1.460169163,0.920000017,1.527034938,0.922200024,1.488518284,0.921000004,1.465957679,0.924399972,1.51941293,0.91930002,1.509094403,0.922399998,1.504729288,0.916999996,1.514521908,0.897199988,1.48607809,0.914399981,1.491355077,0.911499977,1.519480254,0.925700009,1.476965033,0.91839999,1.512420698,0.928499997,1.591867547,0.922500014,1.499455354,0.931299984,1.504963258,0.936999977,1.509182268,0.918600023,1.503568823,0.915600002,1.50132653,0.931100011,1.485212656,0.936500013,1.491882699,0.911000013,1.494764912,0.935599983,1.483863229,0.918799996,1.514229753,0.929400027,1.494438114,0.924499989,1.499586883,0.92049998,1.491761462,0.927600026,1.48997449,0.931999981,1.480696498,0.933700025,1.501241767,0.923399985,1.487480062,0.927600026,1.493245342,0.931299984,1.461000219,0.927600026,1.476553319,0.915899992,1.484401438,0.943000019,1.500773661,0.915099978,1.494109224,0.927999973,1.504544206,0.912999988,1.487832875,0.909200013,1.485244856,0.925800025,1.487607645,0.928300023,1.503585622,0.922999978,1.493868945,0.931200027,1.489898621,0.911000013,1.484140425,0.904600024,1.508288205,0.938499987,2.582202429,0.927100003,1.546936733,0.935400009,1.550092805,0.909799993,1.47806273
2,0.9278,1.480821727,0.945500016,1.477832449,0.929099977,1.47919267,0.943499982,1.491192867,0.940500021,1.493117941,0.938499987,3.154408443,0.93690002,1.558048777,0.936600029,1.554204629,0.944000006,1.526277579,0.930800021,1.501934724,0.944199979,1.489082117,0.951099992,1.471438198,0.935100019,1.500661771,0.940100014,1.478047431,0.944999993,1.486391967,0.944800019,1.502882714,0.941200018,1.488350287,0.945500016,1.527749557,0.933300018,1.524765354,0.940800011,1.503324266,0.945599973,1.503248846,0.95450002,1.504630242,0.91960001,1.511695349,0.944400012,1.491128328,0.930499971,1.503574272,0.944999993,1.505787492,0.941600025,1.493287746,0.941299975,1.501989838,0.938799977,1.485120449,0.945599973,2.755742764,0.941200018,1.524669509,0.943499982,1.510782238,0.936600029,1.491457357,0.944500029,1.511730069,0.942300022,1.496778439,0.893400013,1.48097484,0.952499986,1.477493131,0.930100024,1.471090293,0.939400017,1.482189283,0.936100006,1.476380869,0.927399993,1.497634253,0.943499982,1.515967079,0.943000019,1.509914,0.939899981,1.510023484,0.947600007,1.503646849,0.930000007,1.479999827,0.909799993,1.476348272,0.950200021,1.485012959,0.945200026,1.484819307,0.943300009,1.474028237,0.9278,1.480821727
3,0.93629998,1.546516677,0.950399995,1.502831621,0.944999993,1.528245922,0.950699985,1.4859687,0.944700003,1.485219649,0.944000006,1.483443104,0.936200023,1.503590279,0.950299978,1.48733116,0.953299999,1.497324253,0.945800006,1.482460653,0.953700006,2.838397776,0.95569998,1.560612929,0.936500013,1.501338367,0.951399982,1.663041624,0.950500011,1.522196651,0.956799984,1.530978623,0.952499986,1.499448519,0.954400003,1.488861123,0.944199979,1.497128559,0.94690001,1.478635388,0.947300017,1.485043688,0.958899975,1.640627262,0.929899991,1.534050636,0.949999988,1.481520082,0.93779999,1.54254994,0.955900013,1.576683357,0.944100022,1.535486064,0.950500011,1.536606952,0.941699982,1.500627812,0.946399987,1.503376815,0.949999988,1.49368672,0.949599981,1.490051744,0.948199987,1.477800876,0.954599977,1.475207155,0.951399982,1.491921316,0.890600026,1.504048296,0.957400024,1.534645856,0.929199994,1.511083135,0.946099997,1.507647947,0.951200008,1.514129345,0.936100006,1.517491524,0.948000014,1.485282792,0.948199987,1.492221539,0.948099971,1.493745249,0.955299973,1.494278285,0.939400017,1.475647744,0.932299972,1.470538556,0.952499986,3.041433405,0.954599977,1.514416772,0.950699985,1.485737133,0.93629998,1.546516677
4,0.947300017,1.476010048,0.952899992,1.491425676,0.949699998,1.483838396,0.953100026,1.484160836,0.958199978,1.490054552,0.946200013,1.501562254,0.940500021,1.54278948,0.956200004,1.534797939,0.960399985,1.493284882,0.953999996,1.487553194,0.958899975,1.493694867,0.957599998,1.48372914,0.94569999,3.030189228,0.959599972,1.487203655,0.954599977,1.487839561,0.962400019,1.501215528,0.958000004,1.551117266,0.957099974,1.493581545,0.946099997,1.538852733,0.949000001,1.495229763,0.949100018,1.555107324,0.962000012,1.530582249,0.947600007,1.504399418,0.951399982,1.49320578,0.950600028,1.534015525,0.960600019,1.493075475,0.950699985,1.504506795,0.95599997,1.499786955,0.953400016,1.480610134,0.952799976,1.516657161,0.954200029,3.416797193,0.952799976,1.513719839,0.959500015,1.53165868,0.955200016,1.493629088,0.954299986,1.503668681,0.897499979,1.508421608,0.959399998,1.508382027,0.930199981,1.492558811,0.948800027,1.467291522,0.957099974,1.479622752,0.936600029,1.484691831,0.953400016,1.487244856,0.95539999,2.743170262,0.956399977,1.498779447,0.957599998,1.494133343,0.949299991,1.469774444,0.936100006,1.485130099,0.957199991,1.499319602,0.959800005,1.486731005,0.951200008,1.489770644,0.947300017,1.476010048
5,0.948099971,1.492229971,0.957199991,1.524643185,0.958999991,1.513894949,0.954999983,1.488668633,0.956700027,1.477785902,0.954900026,1.463124948,0.952899992,1.499167486,0.962000012,1.483751014,0.966000021,1.497122864,0.960500002,1.49073295,0.963100016,1.517665083,0.96359998,2.984241661,0.957300007,1.490554121,0.961399972,1.502168688,0.960099995,1.501052323,0.96329999,1.493554798,0.955500007,1.567774374,0.962499976,1.493409655,0.947600007,1.487093576,0.944999993,1.489057166,0.952499986,1.49643624,0.964699984,1.498129193,0.949100018,1.485905349,0.959900022,1.499948523,0.956099987,1.472710583,0.962800026,1.554796046,0.953199983,1.545673161,0.961499989,1.541070994,0.957799971,1.526172467,0.961000025,1.498818251,0.953999996,1.507670005,0.957199991,1.511653558,0.96450001,1.496982254,0.954699993,1.51955703,0.957799971,1.479721565,0.913500011,1.468517146,0.963400006,1.48279683,0.921199977,2.913544196,0.955200016,1.517629468,0.962100029,1.552173662,0.944500029,1.510352449,0.961300015,1.500038614,0.958500028,1.486422164,0.958100021,1.488194854,0.963400006,1.480389235,0.955500007,1.492435139,0.944899976,1.478475476,0.964699984,1.493292343,0.960399985,2.913829749,0.953700006,1.514917226,0.948099971,1.492229971
6,0.952899992,1.476355949,0.961199999,1.490235909,0.961300015,1.497913548,0.961300015,1.485353133,0.960300028,1.478716856,0.957499981,1.473584724,0.958800018,3.214165565,0.966700017,1.580643658,0.966600001,1.522948602,0.959500015,1.5022972,0.963400006,1.523626915,0.965200007,1.481499995,0.960500002,1.485077765,0.963400006,1.508605227,0.962499976,1.486299145,0.965300024,1.492078913,0.95660001,1.492687605,0.96359998,1.515025396,0.950800002,1.491748775,0.950100005,2.907250779,0.952300012,1.519331155,0.963400006,1.518358298,0.950600028,1.505915845,0.959399998,2.694702648,0.957300007,1.491225633,0.962599993,1.510830184,0.960099995,1.495680942,0.959999979,1.503239011,0.961199999,1.484518832,0.96329999,1.466309099,0.962199986,1.48567697,0.958400011,1.48125579,0.968400002,1.516892322,0.958299994,1.54440046,0.966799974,1.509306757,0.929400027,1.531526184,0.968299985,1.516000922,0.922599971,1.488636028,0.962899983,1.502737329,0.962800026,1.492027254,0.949100018,1.48926022,0.964999974,1.468271581,0.961300015,1.480107047,0.963699996,1.491664282,0.966899991,2.941851827,0.959699988,1.504232006,0.957599998,1.512120034,0.966600001,1.500582821,0.963,1.528125844,0.959200025,1.497676573,0.952899992,1.476355949
7,0.95599997,1.569671617,0.964600027,1.511980704,0.964600027,2.890001756,0.959299982,1.503452748,0.958999991,1.492702494,0.959599972,1.536230982,0.965900004,1.500631338,0.967299998,1.510154685,0.968200028,1.481985601,0.958700001,1.49576188,0.966099977,1.447487372,0.966899991,1.476930672,0.962599993,1.488694227,0.965799987,1.485007562,0.960799992,1.473851358,0.967100024,1.500743161,0.959900022,1.520410517,0.960399985,1.518948939,0.952400029,1.508857611,0.953499973,1.504933091,0.955900013,1.478766527,0.966000021,1.491855083,0.958599985,1.4895534,0.955600023,1.503569783,0.960300028,1.47884357,0.96390003,1.471264914,0.963100016,1.47150894,0.96420002,3.035658928,0.965499997,1.52990083,0.968200028,1.513016458,0.964600027,1.481622491,0.957400024,1.498459407,0.970499992,1.48828813,0.962400019,1.483108108,0.969799995,1.501058195,0.932699978,1.482629635,0.969399989,1.491734571,0.944500029,1.46903047,0.965900004,1.48729548,0.966799974,1.490912202,0.954200029,1.533011016,0.965900004,1.523107279,0.96329999,1.539943935,0.963100016,1.513606929,0.969399989,1.494795679,0.963100016,1.500616538,0.964999974,1.488802778,0.969399989,1.465722167,0.964999974,1.486982693,0.963400006,1.463822276,0.95599997,1.569671617
8,0.959200025,1.480904773,0.963100016,1.491274067,0.9648,1.509885768,0.960300028,1.495397692,0.960300028,1.466094727,0.95660001,1.484436548,0.971199989,1.495404537,0.970700026,1.474310575,0.969399989,1.480456916,0.964999974,1.483269451,0.967999995,1.493746882,0.968699992,1.534196235,0.959599972,1.466229524,0.965799987,1.502660796,0.963500023,1.523730689,0.963999987,1.553058523,0.967999995,1.533227771,0.962499976,1.541717058,0.95630002,1.487756108,0.957499981,1.529838077,0.962499976,1.477025577,0.967999995,1.485168389,0.960300028,2.979345233,0.95660001,2.142879779,0.964100003,1.513428192,0.96390003,1.497699142,0.965399981,1.491395029,0.967700005,1.499529277,0.967999995,1.505895048,0.970499992,1.489705157,0.957799971,1.488601382,0.958999991,1.480784898,0.969699979,1.460245342,0.966099977,1.489699178,0.971199989,1.466916294,0.939999998,3.023149223,0.971099973,1.505297044,0.938899994,1.500070968,0.966799974,1.495386694,0.969799995,1.492090084,0.959900022,1.492227556,0.968299985,1.466130113,0.966199994,1.471301873,0.964399993,1.476686022,0.973200023,1.462237519,0.966000021,1.473674785,0.968599975,1.589225473,0.972299993,1.594675173,0.96390003,1.515728278,0.96329999,1.51365745,0.959200025,1.480904773
9,0.962000012,1.466745798,0.962100029,1.471602882,0.967800021,1.487608133,0.964399993,1.479439825,0.960399985,1.505758526,0.959200025,1.478891215,0.972599983,1.505299714,0.971400023,1.526067365,0.968299985,1.506713304,0.970499992,1.494070893,0.970399976,1.498052154,0.970099986,1.52236437,0.95630002,1.519029435,0.96509999,1.499498232,0.963,1.488374286,0.966199994,1.490418102,0.968500018,1.480944144,0.966799974,1.485052657,0.959900022,1.486061511,0.961799979,1.525487515,0.967700005,1.515806421,0.969200015,1.528042174,0.961899996,1.516030214,0.966899991,1.559121818,0.964399993,1.510234725,0.968900025,1.481580754,0.967199981,1.498368185,0.970099986,1.489705749,0.968900025,1.481678282,0.970399976,1.474161291,0.959200025,1.473702371,0.961899996,2.991480371,0.966499984,1.513052042,0.965600014,1.533462062,0.97240001,1.521282032,0.944100022,1.564039422,0.971599996,1.502062991,0.953299999,1.492384071,0.967499971,1.507378841,0.967400014,1.476722472,0.962899983,1.476579189,0.969600022,1.480734839,0.966799974,1.465453579,0.967299998,1.479329112,0.972899973,1.522810207,0.966700017,1.514819375,0.966899991,1.513805153,0.972500026,1.506478534,0.965600014,1.477084301,0.964900017,1.489339638,0.962000012,1.466745798
