Unnamed: 0,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,Average Accuracy,Average Training
0,0.355331898,2.36649172,0.408804536,1.717516423,0.345958829,1.732316755,0.419099569,1.750744307,0.369852483,1.709768804,0.361170858,1.682089263,0.444145679,2.119670413,0.414873987,1.70721044,0.322602957,1.698458229,0.325829744,1.692190644,0.363936692,1.717797754,0.359326988,2.201881422,0.35106793,1.734546596,0.424362332,1.721734847,0.324600488,1.738481291,0.339658886,1.727590294,0.406807005,1.693658933,0.285072207,2.402392396,0.25864321,1.719882299,0.360210508,1.687234482,0.290027648,1.726883053,0.381453604,1.672797962,0.37012139,1.709941352,0.373732328,1.764867045,0.364013523,1.692968813,0.347034425,2.436294586,0.346074075,1.688964545,0.352143526,1.691188119,0.365550101,1.704677794,0.370736003,1.698324729,0.361708671,1.765795893,0.37891826,1.69773614,0.387715131,2.524899983,0.36451292,1.743967919,0.346996009,1.707428672,0.420328826,1.67339494,0.388329744,1.686047522,0.292793483,1.757880287,0.299554408,1.695240817,0.300553173,1.661375154,0.364320844,1.687393821,0.395820528,1.681489219,0.240934238,2.632881985,0.355754465,1.677657645,0.361401349,1.718111774,0.359672725,1.698769029,0.373348176,1.699575851,0.306238472,1.717217632,0.382029802,1.683522405,0.39132607,4.268324323,0.355331898,2.36649172
1,0.569184065,1.681896186,0.591464341,1.687273687,0.56833899,1.748989398,0.594960034,1.741155883,0.541141689,1.710025035,0.544983089,1.700452844,0.57122004,1.718472933,0.559081137,1.67176215,0.514597416,1.675919714,0.539182544,1.653718741,0.558620155,3.383871354,0.601452053,1.70150912,0.593461871,1.699213076,0.581399798,1.806997195,0.584741831,1.72454483,0.586739421,1.73381017,0.590081453,1.686620785,0.585125983,1.716646999,0.574139535,1.716348729,0.592770457,1.773684493,0.612323284,1.66264311,0.567455411,1.698127767,0.590619266,3.07430232,0.582821131,1.693028548,0.615626931,1.683546482,0.589697301,1.680348544,0.560925007,1.66933278,0.582321763,1.699031966,0.575983405,1.692781745,0.618431151,1.662051712,0.59899354,1.680013833,0.580170572,1.692317874,0.570336521,1.727771008,0.537838042,1.675575928,0.553434253,1.712885987,0.581246138,3.123497284,0.60379535,1.702332555,0.531999052,1.820040185,0.551206231,1.728551369,0.51056391,1.682776644,0.584242463,1.67351034,0.609403789,1.660573407,0.578710794,1.681262404,0.606215417,1.680378135,0.53841424,1.665724531,0.596227705,1.665626491,0.568953574,1.670171648,0.595843554,1.684916857,0.595036864,1.787293312,0.607521534,1.7083644,0.569184065,1.681896186
2,0.677051306,3.032040516,0.651236951,1.69717232,0.67205745,1.696375048,0.690611541,2.952964137,0.668331265,1.740949628,0.620428681,1.713076058,0.679932415,1.718009951,0.676974475,1.679810875,0.65388751,1.682646333,0.63548708,1.689422701,0.661378324,1.717415354,0.691379845,1.728993987,0.686693311,1.685717639,0.651544273,1.683942197,0.688690841,1.682055145,0.668715417,2.981794315,0.697142005,1.706654608,0.683696985,1.828857351,0.690342665,1.878627776,0.666180074,1.71999896,0.695528567,1.705353074,0.685387194,1.668269019,0.693684697,1.674760694,0.684849441,1.696774659,0.705247402,1.683778461,0.676897645,1.686902713,0.668177605,1.678405872,0.699677348,4.595698357,0.638291359,1.70716942,0.70486325,1.75182545,0.686885357,1.683878391,0.664797187,1.692677581,0.701367557,1.69347686,0.640058398,1.681581904,0.651236951,1.66912305,0.689651191,1.698079209,0.705977261,1.681006095,0.656807005,1.697790627,0.684657335,1.643103173,0.670328856,1.712346418,0.660033822,1.684414267,0.685809791,1.69149854,0.68550247,1.708699073,0.66149354,1.689585278,0.653503358,1.684252224,0.698486507,1.685396686,0.680969596,1.681863477,0.673709273,1.690400625,0.689190209,1.670600317,0.69518286,1.691450625,0.677051306,3.032040516
3,0.72687459,1.668850757,0.685809791,1.659595936,0.704555929,1.673887832,0.708819926,1.678021623,0.711662591,1.673821058,0.702404737,1.666099705,0.724800229,1.635000174,0.713852167,3.491269525,0.709357738,1.713300254,0.697641373,1.71459938,0.708781481,1.714663284,0.730293512,1.674021165,0.727796555,1.648168234,0.710087597,1.684544564,0.725568533,1.855087378,0.723455727,1.676052453,0.734403789,1.692036948,0.737092793,1.669645516,0.739820242,1.654992261,0.720267355,1.727633331,0.740857422,1.7301854,0.719691157,1.690903759,0.745467126,1.668573822,0.725760579,1.67558273,0.738283634,1.683491013,0.724300861,1.683388504,0.725222826,1.704598175,0.743123829,1.668967176,0.713544846,1.677133509,0.749423802,1.666034137,0.732329428,3.090837379,0.688614011,1.744511147,0.750499368,1.762995758,0.686808527,1.723967817,0.69894743,2.871033216,0.732982457,1.702583455,0.74623543,1.684556646,0.71631068,1.681333242,0.727719724,1.695279465,0.722341716,1.701952729,0.687000632,1.674521503,0.741472006,1.692019317,0.73847574,3.138368788,0.693838358,1.727308652,0.712277174,1.725597498,0.747080505,1.727373858,0.735133708,1.683711381,0.720728338,1.742146456,0.724454522,1.680481191,0.737861097,1.666024142,0.72687459,1.668850757
4,0.752074361,1.690227529,0.725799024,1.686839849,0.731292248,1.702123849,0.730293512,1.686630903,0.735479414,1.682203753,0.732406259,1.68867816,0.749001205,1.694995542,0.744084179,1.661793903,0.737707436,1.716788334,0.742355585,1.701584576,0.73655498,1.654324061,0.768746138,3.357377532,0.748847544,1.761908086,0.737976313,1.777123275,0.763790727,1.729749437,0.741472006,1.728755559,0.760602355,1.693766729,0.759757221,1.69145043,0.760179758,1.721539912,0.739704967,1.712048222,0.76248461,1.721495585,0.745275021,1.717129214,0.766057134,1.666130205,0.748617113,1.696384666,0.748578668,3.20021018,0.75184387,1.740282529,0.753879845,1.723818076,0.772011399,1.702487968,0.74231714,1.704401784,0.768477261,1.683946304,0.755915821,1.669132432,0.735018432,1.717711895,0.776275337,1.702191267,0.725760579,1.679956784,0.746734798,1.674964802,0.743507981,1.644801163,0.764021218,3.338120194,0.737937927,1.790724998,0.752765834,1.691584203,0.76344502,1.725068157,0.717924118,1.724126974,0.771473587,1.779880384,0.767901063,1.691725901,0.743930519,1.675469781,0.734980047,1.693076105,0.767401636,1.679835987,0.763944387,1.673873341,0.726375222,1.68482719,0.752458513,1.65550812,0.754110336,1.713211759,0.752074361,1.690227529
5,0.768438816,1.657748613,0.746004939,1.667278745,0.742624462,1.723139041,0.764943123,1.69040108,0.757413924,1.710464798,0.764021218,3.242746224,0.756223083,1.687540042,0.774162591,1.708956185,0.762446225,1.681396488,0.742509246,1.685651895,0.745851278,1.669501885,0.778618634,1.69544557,0.760909677,3.277797792,0.771588802,1.669731381,0.779502153,1.673700439,0.756338358,1.677572839,0.776582658,1.730467453,0.782037497,3.287372067,0.77016747,1.738310756,0.768016279,1.701885205,0.770782113,1.728531569,0.76928395,1.721285267,0.788990498,1.712514544,0.769668102,1.673370722,0.764021218,1.672163641,0.776813149,1.705986264,0.777005196,1.660162911,0.78745389,1.648697112,0.770705283,1.693457063,0.780424118,3.310416446,0.767171144,1.709049884,0.768976629,1.695994784,0.786455154,1.734107539,0.75288105,1.734733741,0.753457308,1.70959114,0.759065747,1.783076813,0.780539334,1.734387485,0.750384152,1.68025663,0.771588802,1.682994124,0.773547947,1.656460973,0.726452053,1.671537618,0.793408096,5.512349757,0.781384468,1.719720343,0.775276601,1.685926023,0.761754751,1.739345508,0.78184545,1.678429696,0.777543008,1.699351598,0.75288105,1.704310084,0.76248461,1.69718505,0.767401636,1.666228033,0.768438816,1.657748613
6,0.78080821,1.668212977,0.763598621,1.71616648,0.768208385,1.770212412,0.783842981,1.682556524,0.771319926,1.711676959,0.776160121,1.696536076,0.761178553,1.714916582,0.787876487,1.709978301,0.781153977,1.643612783,0.766018748,1.648299049,0.737553775,3.34442761,0.782421649,1.695192717,0.776774764,1.699078705,0.783189893,1.730024951,0.786762476,1.752790104,0.77400893,1.683785981,0.783151507,1.695075338,0.790988028,1.703875959,0.791871548,1.729079499,0.781653345,1.70386387,0.783535659,1.692063795,0.786301494,1.710389875,0.795674562,3.331467321,0.788798392,1.692651831,0.766057134,1.738653531,0.784342349,1.755531162,0.783958197,1.73646795,0.798901379,1.766771001,0.786339879,1.745892898,0.787607551,1.712422697,0.77873385,1.675971487,0.777735114,1.68727647,0.798939764,1.677557529,0.766710222,1.771397076,0.765058398,1.692341299,0.772625983,3.294516718,0.780500948,1.778305456,0.770359576,1.785901538,0.788875222,1.738708766,0.787031353,1.695530349,0.75295788,1.683826709,0.797787368,1.692426672,0.799285471,1.652031111,0.784419179,1.701748331,0.78368932,1.66106212,0.791256905,1.696572589,0.789681911,1.721093335,0.764827907,3.288687932,0.783650875,1.753691101,0.778657019,1.76571897,0.78080821,1.668212977
7,0.791525841,1.663487356,0.777389348,1.708274524,0.781077147,1.661867779,0.789989233,1.64689151,0.766441286,1.769583706,0.787607551,1.765889881,0.765711427,1.720136062,0.796481252,1.689743965,0.789643526,1.814295817,0.775699139,1.699898363,0.71919179,1.719991729,0.798709273,1.72376193,0.781730175,1.765730059,0.792793512,1.720374188,0.7941764,1.679595531,0.793869078,1.660835423,0.799708068,1.76207513,0.794137955,1.748449408,0.796135545,1.710776869,0.785033822,1.668611674,0.790834367,1.706897451,0.786762476,1.698136028,0.796711743,1.762224635,0.794675767,1.794189912,0.788337409,1.66787875,0.790296555,1.715684384,0.790603876,1.741254663,0.805086076,1.684677532,0.793869078,1.723745881,0.796442866,1.774960502,0.789067328,1.722387847,0.793830693,1.72450915,0.801820815,1.735298382,0.781422853,1.736235976,0.781807005,1.776045734,0.782498479,1.688612525,0.790872753,1.705939989,0.782114327,1.705535318,0.805354953,1.647413877,0.79809463,1.732777311,0.753918231,1.779034218,0.801014125,1.749650281,0.80289644,1.743403693,0.797364771,1.686148737,0.790872753,1.745465488,0.797787368,1.749390332,0.800591588,1.760666158,0.774892449,1.667366456,0.794637382,1.71136128,0.787377059,1.651420043,0.791525841,1.663487356
8,0.797787368,1.695227714,0.789758742,1.661274623,0.790872753,1.694999221,0.797633708,1.765440502,0.771281481,1.841311672,0.787838042,1.726483456,0.76816994,1.732187869,0.797326386,1.693162914,0.792601407,1.709025901,0.782959461,3.273300746,0.729064226,1.727075235,0.807352483,1.742710388,0.777773499,1.727100078,0.800591588,1.733881721,0.795405626,1.659356475,0.803818405,1.748359661,0.810732961,1.711153651,0.803203762,1.676201137,0.800553143,1.69927547,0.78929776,1.708401949,0.798632443,1.739652146,0.794214785,3.059217481,0.802358627,1.736796131,0.799515963,2.233464248,0.792524576,1.694644393,0.799477577,1.686816312,0.799362302,1.720606023,0.807467759,1.676184648,0.800207436,1.70172193,0.80097574,1.679863023,0.780769825,1.723613846,0.797403216,1.658850789,0.808082342,1.692689278,0.778925955,3.529386572,0.78937459,1.671323623,0.793753862,1.751748212,0.787415504,1.741101208,0.791410565,1.722604288,0.81257683,1.697137536,0.798133075,1.722702496,0.763521791,1.658681661,0.811693311,1.709368825,0.810348809,1.649114298,0.80105257,1.705806361,0.796289206,1.727150493,0.805662274,1.690179127,0.808889031,1.77882651,0.780270457,1.878034004,0.795751393,1.750037145,0.797364771,1.708037091,0.797787368,1.695227714
9,0.801283062,1.71490003,0.798209906,1.766578251,0.801590323,1.679555384,0.802665949,5.024926556,0.787761211,1.739588482,0.798209906,1.694171169,0.791794717,1.762262231,0.787991703,1.704814123,0.796212375,1.743189702,0.790757537,1.650557007,0.750537813,1.749727071,0.812922537,1.722544917,0.799439132,1.683461759,0.809964657,1.69696442,0.801475108,1.684213941,0.804087281,3.110323196,0.815150559,1.724144622,0.79993856,1.745504574,0.802665949,1.721609146,0.798401952,1.758109688,0.807314098,1.688152751,0.802781165,1.653778578,0.806161642,1.747270735,0.808812261,1.738968943,0.790949583,1.67702898,0.805086076,1.726690296,0.803472638,1.694222672,0.818070054,3.110611943,0.804048836,1.743126594,0.80201292,1.73034781,0.779732645,1.758108728,0.810464025,1.701342258,0.810540855,1.729720231,0.79521358,1.752972324,0.791948378,1.732445226,0.800745249,1.721468747,0.797287941,1.699273548,0.805278122,1.670114888,0.818415821,1.725302383,0.8105793,3.430444028,0.780500948,1.731722441,0.812922537,1.696188762,0.812807322,1.750122264,0.809119523,1.733588947,0.798401952,1.741294037,0.797710538,1.733722524,0.814382315,1.741870254,0.781269193,1.688578085,0.799823284,1.654786508,0.800783634,1.685033282,0.801283062,1.71490003
